"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633165573,FALSE,0.512724459171295,7790,1210,9310,0.0538508605975666,0.0106714779716147,3.77843686706353,354.068750093837,0.0119731270109131,112514202,417,154884856000,915897616,3460661318.75,9773981.23339844,1.1219745796,"VISrl",759,"009FAC",7,FALSE,734881840,1,353,3,417,"Rostrolateral visual area",NA,NA,1,22,"Rostrolateral visual area",354,8,"/997/8/567/688/695/315/22/417/",1848950861,8690
"2",2,633164101,FALSE,0.154815942049026,5740,7390,8700,0.0002176537153274,7.36711663194001e-05,0.0232951194047928,316.204040527344,4.83928306640625e-05,112514202,788,83951788032,536225408,12491435,39504.3515625,0.6568761248,"PAA",239,"59DAAB",6,FALSE,734881840,1,444,3,788,"Piriform-amygdalar area",NA,NA,1,698,"Piriform-amygdalar area",445,8,"/997/8/567/688/695/698/788/",1121206289,8690
"3",1,633164948,FALSE,0.123770453035831,9300,2680,3610,2.73556138775045e-05,4.4760963646695e-05,0.00779817160218954,174.218139648438,6.08220993652344e-06,112514202,482,5088305664,110924096,865005.125,4965.0693359375,0.1358820176,"bic",484,"CCCCCC",5,FALSE,734881840,1,1142,3,482,"brachium of the inferior colliculus",NA,NA,1,948,"brachium of the inferior colliculus",1143,10,"/997/1009/967/933/948/482/",2423549855,8690
"4",1,633164909,FALSE,0.216397643089294,7400,6440,4380,0.000288938269913395,0.000812073418332466,0.194783829318071,239.859875869408,6.42421414550781e-05,112514202,557,6447189760,64578600,12578867,52442.564453125,0.079108785,"TM",352,"FF4C3E",7,FALSE,734881840,1,773,3,557,"Tuberomammillary nucleus",NA,NA,1,331,"Tuberomammillary nucleus",774,8,"/997/8/343/1129/1097/467/331/557/",1759031183,8690
"5",1,633164669,FALSE,0,0,0,0,0,0,0,0,0,112514202,908,6249490432,95425200,0,0,0.11689587,"act",537,"CCCCCC",4,FALSE,734881840,1,1242,3,908,"anterior commissure, temporal limb",NA,NA,1,768,"anterior commissure temporal limb",1243,8,"/997/1009/991/768/908/",3387830123,8690
"6",3,633165937,FALSE,0.431231290102005,4010,5050,7860,0.00982766594342325,0.00108909902769695,0.362132016479122,332.506050661801,0.0021850698625,112514202,952,208920199168,1637803776,593101184,1783730.5,2.0063096256,"EPd",118,"A0EE9D",6,FALSE,734881840,1,559,3,952,"Endopiriform nucleus, dorsal part",NA,NA,1,942,"Endopiriform nucleus dorsal part",560,9,"/997/8/567/688/703/942/952/",1669532679,8690
"7",2,633164229,FALSE,0.206140175461769,12310,7070,7260,0.000466637977911348,0.000366985826985911,0.076296254992485,207.899719238281,0.000103751652539062,112514202,955,22797131776,230786096,17608114,84695.2265625,0.2827129676,"LRNm",826,"FFB3D9",7,FALSE,734881840,1,982,3,955,"Lateral reticular nucleus, magnocellular part",NA,NA,1,235,"Lateral reticular nucleus magnocellular part",983,9,"/997/8/343/1065/354/370/235/955/",68562325,8690
"8",1,633164903,FALSE,0.999988555908203,4470,2460,5610,5.40949020812567,0.00790922081581139,4.43057863354193,560.178902159961,1.20273868620599,112514202,567,18617611326387.3,124137070112,549999050468.724,981827498.943668,152.0679108872,"CH",70,"B0F0FF",2,FALSE,734881840,1,2,3,567,"Cerebrum",NA,NA,1,8,"Cerebrum",3,2,"/997/8/567/",2878815794,8690
"9",2,633164146,FALSE,0.60551905632019,8350,2770,5950,0.0113419557120963,0.0034991754218936,1.56933951377869,448.488403320312,0.0025217549875,112514202,848,11423107208,588303040,923247232,2058575.5,0.720671224,"IIn",671,"CCCCCC",3,FALSE,734881840,1,1112,3,848,"optic nerve",NA,NA,1,967,"optic nerve",1113,8,"/997/1009/967/848/",3100185865,8690
"10",1,633164894,FALSE,0.400999516248703,5320,4130,5620,0.00102937601482918,0.00116673822049052,0.367566913366318,315.038024902344,0.000228870061328125,112514202,581,12814857216,160132496,58859408,186832.703125,0.1961623076,"TRS",355,"96A7D3",6,FALSE,734881840,1,619,3,581,"Triangular nucleus of septum",NA,NA,1,826,"Triangular nucleus of septum",620,8,"/997/8/567/623/803/826/581/",609929054,8690
"11",1,633165156,FALSE,0.0183079186826944,4500,4620,1670,2.5547134305454e-06,2.56353132499498e-06,0.000624272914137691,243.52067565918,5.68011505126953e-07,112514202,180,37896515584,180876608,112916.3671875,463.682861328125,0.2215738448,"GU2/3",729,"009C75",7,FALSE,734881840,1,109,3,180,"Gustatory areas, layer 2/3",NA,NA,1,1057,"Gustatory areas layer 2/3",110,11,"/997/8/567/688/695/315/1057/180/",3375335567,8690
"12",2,633163904,FALSE,0.276088118553162,8280,2050,6840,0.000910541481985167,0.000175066568772309,0.0462654083967209,264.273223876953,0.000202448553125,112514202,502,134906355712,944007296,43674884,165264.125,1.1564089376,"SUB",345,"4FC244",7,FALSE,734881840,1,535,3,502,"Subiculum",NA,NA,1,822,"Subiculum",536,8,"/997/8/567/688/695/1089/822/502/",3628141206,8690
"13",3,633166058,FALSE,1,7010,5180,7260,2.2890971300846,0.0303664537056995,22.7808596612159,750.198224725204,0.5089547386,112514202,1097,2092592564288,13681981440,311687299072,415473256,16.760427264,"HY",136,"E64438",4,FALSE,734881840,1,715,3,1097,"Hypothalamus",NA,NA,1,1129,"Hypothalamus",716,5,"/997/8/343/1129/1097/",3938328193,8690
"14",2,633163684,FALSE,1,3820,2710,5770,0.153625869202194,0.118286997079849,138.24787902832,1168.74951171875,0.03415696655,112514202,171,74625335296,235725296,32588521472,27883238,0.2887634876,"PL1",1011,"2FA850",7,FALSE,734881840,1,239,3,171,"Prelimbic area, layer 1",NA,NA,1,972,"Prelimbic area layer 1",240,11,"/997/8/567/688/695/315/972/171/",1260135134,8690
"15",3,633165889,FALSE,0.1329535394907,3750,5230,4390,0.000170481968819419,4.52303907995439e-05,0.0185399980110848,409.901344723109,3.79047287841797e-05,112514202,900,19092721664,684111616,12683428,30942.6357421875,0.8380367296,"aco",536,"CCCCCC",4,FALSE,734881840,1,1111,3,900,"anterior commissure, olfactory limb",NA,NA,1,840,"anterior commissure olfactory limb",1112,9,"/997/1009/967/840/900/",1365430169,8690
"16",1,633165122,FALSE,0.269776910543442,12020,6430,5690,0.000397995466015709,0.00401414511725307,0.875597357749939,218.127975463867,8.8489769921875e-05,112514202,222,1444913280,17995500,15756812,72236.546875,0.0220444875,"RO",310,"FFC6E2",6,FALSE,734881840,1,1013,3,222,"Nucleus raphe obscurus",NA,NA,1,379,"Nucleus raphe obscurus",1014,8,"/997/8/343/1065/354/379/222/",2676196695,8690
"17",2,633164119,FALSE,0.690871298313141,3890,4000,6070,0.0411056821328019,0.0328486636281013,11.9394035339355,363.466949462891,0.0091393813875,112514202,814,33555503104,227124000,2711725056,7460719.5,0.2782269,"DP",384,"A4DAA4",6,FALSE,734881840,1,410,3,814,"Dorsal peduncular area",NA,NA,1,698,"Dorsal peduncular area",411,8,"/997/8/567/688/695/698/814/",327990420,8690
"18",2,633163683,FALSE,0.532302260398865,7330,3490,8180,0.00484983994961613,0.00270807388198631,1.16678267256447,430.853338354513,0.00107830680986328,112514202,170,33218903040,325046692,379258848,880250.45703125,0.3981821977,"LGd",162,"FF8084",7,FALSE,734881840,1,662,3,170,"Dorsal part of the lateral geniculate complex",NA,NA,1,1008,"Dorsal part of the lateral geniculate complex",663,8,"/997/8/343/1129/549/864/1008/170/",2639836426,8690
