"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633259504,FALSE,0.453983962535858,7400,6720,6720,0.000585552305358388,0.00294515689988634,1.42586404784247,484.138569288958,0.000232987783984375,112596790,557,8628146048,64578600,92080304,190194.109375,0.079108785,"TM",352,"FF4C3E",7,FALSE,734881840,1,773,3,557,"Tuberomammillary nucleus",NA,NA,1,331,"Tuberomammillary nucleus",774,8,"/997/8/343/1129/1097/467/331/557/",1759031183,8690
"2",2,633259441,FALSE,0.367984682321548,6290,2260,5830,0.0002122772942721,0.000160645227879286,0.0551583394408226,343.355010986328,8.44638744140625e-05,112596790,443,29209985024,429207296,23674362,68950.1015625,0.5257789376,"dhc",479,"CCCCCC",6,FALSE,734881840,1,1254,3,443,"dorsal hippocampal commissure",NA,NA,1,618,"dorsal hippocampal commissure",1255,10,"/997/1009/991/768/1099/618/443/",1923336249,8690
"3",2,633259484,FALSE,0.42065891623497,8270,5670,5910,0.00142015090183767,0.00402426812797785,1.71077740192413,425.115173339844,0.0005650696078125,112596790,525,16804277248,114624896,196097680,461281.3125,0.1404154976,"SUM",348,"FF4C3E",7,FALSE,734881840,1,770,3,525,"Supramammillary nucleus",NA,NA,1,331,"Supramammillary nucleus",771,8,"/997/8/343/1129/1097/467/331/525/",4172534656,8690
"4",1,633261875,FALSE,0.204391643404961,9030,4510,4860,0.000179605590003815,0.000164566517923959,0.0440517626702785,267.683624267578,7.14639973632812e-05,112596790,214,30322147328,354494688,15616116,58337.95703125,0.4342559928,"RN",309,"FF90FF",5,FALSE,734881840,1,853,3,214,"Red nucleus",NA,NA,1,323,"Red nucleus",854,8,"/997/8/343/313/323/214/",2118050513,8690
"5",3,633263949,FALSE,0.277294754981995,7960,1760,6380,8.84249585011395e-05,4.83723843141707e-05,0.0174511022852932,360.765807448132,3.51837657226562e-05,112596790,590,124808970240,593756992,10361714,28721.44140625,0.7273523152,"RSPv6a",639,"1AA698",8,FALSE,734881840,1,337,3,590,"Retrosplenial area, ventral part, layer 6a",NA,NA,1,886,"Retrosplenial area ventral part layer 6a",338,11,"/997/8/567/688/695/315/254/886/590/",884041004,8690
"6",3,633264107,FALSE,0.485001862049103,3510,4610,5820,0.0137497383060463,0.00983179411356792,5.65677166657861,575.354976033544,0.0054709391953125,112596790,814,99145326592,454248000,2569577216,4466072.8125,0.5564538,"DP",384,"A4DAA4",6,FALSE,734881840,1,410,3,814,"Dorsal peduncular area",NA,NA,1,698,"Dorsal peduncular area",411,8,"/997/8/567/688/695/698/814/",327990420,8690
"7",1,633260721,FALSE,0.248350217938423,5960,2330,3000,0.000911763790359488,0.00223740260116756,1.08126652240753,483.268646240234,0.00036278539609375,112596790,182305709,31139094528,132363904,143120656,296151.34375,0.1621457824,"SSp-un6a",NA,"188064",9,FALSE,734881840,1,98,3,182305709,"Primary somatosensory area, unassigned, layer 6a",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 6a",99,11,"/997/8/567/688/695/315/453/322/182305689/182305709/",3257546540,8690
"8",3,633264350,FALSE,0.294633835554123,5990,4360,6120,0.000651762166016778,0.00210851786147365,1.15043449247128,545.612875039738,0.000259332294238281,112596790,1113,14779703296,100402200,115506154,211699.83203125,0.122992695,"IAD",138,"FF909F",7,FALSE,734881840,1,681,3,1113,"Interanterodorsal nucleus of the thalamus",NA,NA,1,239,"Interanterodorsal nucleus of the thalamus",682,8,"/997/8/343/1129/549/856/239/1113/",3914886814,8690
"9",3,633263938,FALSE,0.487108111381531,10470,6300,4600,0.000325472257745271,0.0208712636969774,9.74096720020927,466.716694381088,0.000129503477975464,112596790,576,847588064,5065200,49339947.0625,105717.12487793,0.00620487,"ACVII",920,"FFB3D9",6,FALSE,734881840,1,968,3,576,"Accessory facial motor nucleus",NA,NA,1,370,"Accessory facial motor nucleus",969,8,"/997/8/343/1065/354/370/576/",3949410146,8690
"10",3,633263336,FALSE,0.581275701522827,4340,2560,6710,0.0432120397192186,0.00498039991286011,2.8594953476216,574.149746537015,0.0171938139146484,112596790,39,683550757120,2818200688,8058631756,14035766.4609375,3.4522958428,"ACAd",4,"40A666",7,FALSE,734881840,1,226,3,39,"Anterior cingulate area, dorsal part",NA,NA,1,31,"Anterior cingulate area dorsal part",227,9,"/997/8/567/688/695/315/31/39/",1697985147,8690
"11",3,633263995,FALSE,0.698680758476257,11760,5410,4650,0.0601696364267946,0.025582709454391,15.2241336844761,595.09465608472,0.0239411409125,112596790,651,143144378368,763945216,11630404096,19543788.5,0.9358328896,"NTS",222,"FFA5D2",6,FALSE,734881840,1,948,3,651,"Nucleus of the solitary tract",NA,NA,1,386,"Nucleus of the solitary tract",949,8,"/997/8/343/1065/354/386/651/",1090041084,8690
"12",1,633262762,FALSE,0,0,0,0,0,0,0,0,0,112596790,64,14221523968,72501296,0,0,0.0888140876,"AD",7,"FF909F",7,FALSE,734881840,1,679,3,64,"Anterodorsal nucleus",NA,NA,1,239,"Anterodorsal nucleus",680,8,"/997/8/343/1129/549/856/239/64/",1062958533,8690
"13",1,633260102,FALSE,0.506485939025879,10640,4310,4340,0.0261681782692299,0.00490583438932312,2.13648364288748,435.498525497975,0.0104121626882236,112596790,1132,190782063104,1732574720,3701617549.36035,8499724.64344788,2.122404032,"P-sen",282,"FFAE6F",5,FALSE,734881840,1,884,3,1132,"Pons, sensory related",NA,NA,1,771,"Pons sensory related",885,6,"/997/8/343/1065/771/1132/",4249678601,8690
"14",1,633260109,FALSE,0.192838817834854,7100,5210,960,0.000182046801749764,0.000134201152832247,0.0748430714011192,557.693176269531,7.2435341015625e-05,112596790,1121,71073882112,440613888,32976896,59130.890625,0.5397520128,"ENTl1",988,"32B825",9,FALSE,734881840,1,495,3,1121,"Entorhinal area, lateral part, layer 1",NA,NA,1,918,"Entorhinal area lateral part layer 1",496,11,"/997/8/567/688/695/1089/822/909/918/1121/",1675684242,8690
"15",1,633262417,FALSE,0.572281956672668,6460,5480,2420,0.00850883956584142,0.0073090516962111,6.84965133666992,937.146423339844,0.00338561671875,112596790,131,98613329920,378129600,2590055936,2763768.75,0.46320876,"LA",157,"90EB8D",5,FALSE,734881840,1,561,3,131,"Lateral amygdalar nucleus",NA,NA,1,703,"Lateral amygdalar nucleus",562,8,"/997/8/567/688/703/131/",437540953,8690
"16",3,633263712,FALSE,0.0332616791129112,9130,6680,3620,6.65532953010895e-06,1.0361837312669e-06,9.13972812250307e-05,88.2056709318172,2.64811608581543e-06,112596790,229,24932202752,2086239488,190676.6171875,2161.72741699219,2.5556433728,"sV",594,"CCCCCC",4,FALSE,734881840,1,1127,3,229,"sensory root of the trigeminal nerve",NA,NA,1,901,"sensory root of the trigeminal nerve",1128,9,"/997/1009/967/901/229/",1119694834,8690
"17",1,633261589,FALSE,0,0,0,0,0,0,0,0,0,112596790,385,862867489792,3183360336,0,0,3.8996164116,"VISp",755,"08858C",7,FALSE,734881840,1,185,3,385,"Primary visual area",NA,NA,1,669,"Primary visual area",186,8,"/997/8/567/688/695/315/669/385/",3425643282,8690
"18",2,633259694,FALSE,0.131908044219017,10580,5510,6870,2.33375638550757e-05,0.000155883943079971,0.0436239056289196,279.8486328125,9.28587802734375e-06,112596790,798,1424842368,48627900,2121339,7580.30859375,0.0595691775,"VIIn",665,"CCCCCC",3,FALSE,734881840,1,1130,3,798,"facial nerve",NA,NA,1,967,"facial nerve",1131,8,"/997/1009/967/798/",2302244085,8690
"19",3,633263700,FALSE,0.168074041604996,9400,2750,10350,6.49349008404759e-05,9.38741259741372e-05,0.046571342035503,496.104134682795,2.5837211315918e-05,112596790,312782632,39600666624,224679600,10463630.5,21091.6010742188,0.27523251,"VISpor1",NA,"08858C",8,FALSE,734881840,1,214,3,312782632,"Postrhinal area, layer 1",NA,NA,1,312782628,"Postrhinal area layer 1",215,11,"/997/8/567/688/695/315/669/312782628/312782632/",1476324402,8690
"20",1,633261563,FALSE,0.168921962380409,5520,5090,5470,3.21729834851044e-05,0.00278782285749912,1.83132994174957,656.903259277344,1.28014390136719e-05,112596790,428,546383872,3748500,6864740.5,10450.154296875,0.0045919125,"mct",477,"CCCCCC",6,FALSE,734881840,1,1251,3,428,"medial corticohypothalamic tract",NA,NA,1,737,"medial corticohypothalamic tract",1252,10,"/997/1009/991/768/1099/737/428/",597319395,8690
"21",3,633264094,FALSE,1,6410,5260,7090,0.0348040767216986,0.00697924944692135,6.65393809332949,953.388776821072,0.0138483353832031,112596790,797,251478634496,1619767808,10777834720,11304763.578125,1.9842155648,"ZI",382,"F2483B",6,FALSE,734881840,1,802,3,797,"Zona incerta",NA,NA,1,290,"Zona incerta",803,8,"/997/8/343/1129/1097/290/797/",3420252476,8690
"22",1,633261840,FALSE,0.401212692260742,10680,6970,5680,0.000614083855645108,0.0066539729014039,2.35252571105957,353.552032470703,0.000244340318359375,112596790,230,1605308032,29976300,70520016,199461.484375,0.0367209675,"RPA",311,"FFC6E2",6,FALSE,734881840,1,1012,3,230,"Nucleus raphe pallidus",NA,NA,1,379,"Nucleus raphe pallidus",1013,8,"/997/8/343/1065/354/379/230/",2034543671,8690
"23",1,633262406,FALSE,0.195859327912331,10590,3790,4970,8.13492314904129e-05,6.10854476690292e-05,0.0296221263706684,484.929351806641,3.23683759765625e-05,112596790,145,22938626048,432560704,12813368,26423.1640625,0.5298868624,"V4",725,"AAAAAA",2,FALSE,734881840,1,1301,3,145,"fourth ventricle",NA,NA,1,73,"fourth ventricle",1302,8,"/997/73/145/",2366263365,8690
"24",3,633263953,FALSE,0.399308800697327,5250,6520,6970,0.00126390769759187,0.000616470637599033,0.299235369948386,485.400847498297,0.000502901364964294,112596790,596,106705399808,665938816,199272447.96875,410531.726501465,0.8157750496,"NDB",215,"96A7D3",7,FALSE,734881840,1,618,3,596,"Diagonal band nucleus",NA,NA,1,904,"Diagonal band nucleus",619,9,"/997/8/567/623/803/826/904/596/",278981173,8690
"25",1,633260626,FALSE,0.307286739349365,11370,6750,4330,0.00157416062281978,0.00160554458852857,0.632708013057709,394.076873779297,0.0006263491609375,112596790,978,27128819712,318462304,201493648,511305.4375,0.3901163224,"PGRNl",829,"FFB3D9",7,FALSE,734881840,1,992,3,978,"Paragigantocellular reticular nucleus, lateral part",NA,NA,1,938,"Paragigantocellular reticular nucleus lateral part",993,9,"/997/8/343/1065/354/370/938/978/",3947319470,8690
"26",1,633260168,FALSE,0,0,0,0,0,0,0,0,0,112596790,1066,20707915776,93128400,0,0,0.11408229,"VISam2/3",1123,"08858C",8,FALSE,734881840,1,173,3,1066,"Anteromedial visual area, layer 2/3",NA,NA,1,394,"Anteromedial visual area layer 2/3",174,11,"/997/8/567/688/695/315/669/394/1066/",1625313305,8690
