"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633872377,FALSE,0.210685238242149,6610,3930,4330,9.92373571992539e-05,3.49319489032496e-05,0.0239181313663721,684.706481933594,2.41207069824219e-05,142654808,1020,139377557504,563678080,13482126,19690.373046875,0.690505648,"PO",268,"FF909F",7,FALSE,734881840,1,669,3,1020,"Posterior complex of the thalamus",NA,NA,1,138,"Posterior complex of the thalamus",670,8,"/997/8/343/1129/549/856/138/1020/",2102251263,8690
"2",3,633873869,FALSE,0,0,0,0,0,0,0,0,0,142654808,38,30999809024,169875008,0,0,0.2080968848,"PVH",287,"FF5D50",6,FALSE,734881840,1,720,3,38,"Paraventricular hypothalamic nucleus",NA,NA,1,157,"Paraventricular hypothalamic nucleus",721,8,"/997/8/343/1129/1097/157/38/",3443963014,8690
"3",3,633874202,FALSE,0,0,0,0,0,0,0,0,0,142654808,249,24801675264,71445600,0,0,0.08752086,"AUDpo6a",455,"019399",8,FALSE,734881840,1,148,3,249,"Posterior auditory area, layer 6a",NA,NA,1,1027,"Posterior auditory area layer 6a",149,11,"/997/8/567/688/695/315/247/1027/249/",2585833835,8690
"4",3,633875158,FALSE,0.560037136077881,9150,6070,5350,0.000280497739077907,8.98847453113809e-05,0.0407507818262795,453.36705004959,6.81779922851562e-05,142654808,792,24206970944,619187424,25232371.625,55655.50390625,0.7585045944,"drt",664,"CCCCCC",3,FALSE,734881840,1,1149,3,792,"dorsal roots",NA,NA,1,967,"dorsal roots",1150,7,"/997/1009/967/792/",3729235522,8690
"5",1,633872528,FALSE,0,0,0,0,0,0,0,0,0,142654808,940,31354941440,569584768,0,0,0.6977413408,"cing",541,"CCCCCC",4,FALSE,734881840,1,1243,3,940,"cingulum bundle",NA,NA,1,768,"cingulum bundle",1244,8,"/997/1009/991/768/940/",1622445056,8690
"6",1,633872048,FALSE,0.0177871994674206,7740,3810,1780,1.32038684610735e-06,3.14569348347504e-07,0.000132872490212321,422.394897460938,3.20934223937988e-07,142654808,484682520,57031606272,832843776,110662.0234375,261.987121582031,1.0202336256,"or",NA,"CCCCCC",4,FALSE,734881840,1,1216,3,484682520,"optic radiation",NA,NA,1,896,"optic radiation",1217,8,"/997/1009/983/896/484682520/",3215415810,8690
"7",2,633873531,FALSE,0,0,0,0,0,0,0,0,0,142654808,312782648,26930429952,81117904,0,0,0.0993694324,"VISpor6a",NA,"08858C",8,FALSE,734881840,1,218,3,312782648,"Postrhinal area, layer 6a",NA,NA,1,312782628,"Postrhinal area layer 6a",219,11,"/997/8/567/688/695/315/669/312782628/312782648/",1870039016,8690
"8",2,633870518,FALSE,0.197107762098312,6090,5040,10510,4.98230157126753e-05,9.0232708309785e-06,0.00341271100338597,378.212187942928,1.21100198242187e-05,142654808,111,248129078016,1095581708,3738903.75,9885.73046875,1.3420875923,"AIp",13,"219866",7,FALSE,734881840,1,285,3,111,"Agranular insular area, posterior part",NA,NA,1,95,"Agranular insular area posterior part",286,9,"/997/8/567/688/695/315/95/111/",1382517995,8690
"9",2,633871629,FALSE,0.238180100917816,9840,6000,7350,1.83011675507469e-05,1.33192543216865e-05,0.00498854974284768,374.536712646484,4.44829560546875e-06,142654808,863,6253141248,272632512,1360040.875,3631.26171875,0.3339748272,"rust",673,"CCCCCC",3,FALSE,734881840,1,1230,3,863,"rubrospinal tract",NA,NA,1,1000,"rubrospinal tract",1231,8,"/997/1009/1000/863/",3405101120,8690
"10",1,633872804,FALSE,0,0,0,0,0,0,0,0,0,142654808,831,4562238464,21726900,0,0,0.0266154525,"AId6b",952,"219866",8,FALSE,734881840,1,284,3,831,"Agranular insular area, dorsal part, layer 6b",NA,NA,1,104,"Agranular insular area dorsal part layer 6b",285,11,"/997/8/567/688/695/315/95/104/831/",2036891461,8690
