"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633793640,FALSE,0,0,0,0,0,0,0,0,0,146046430,312782562,48987979776,159857104,0,0,0.1958249524,"VISa5",NA,"009FAC",8,FALSE,734881840,1,350,3,312782562,"Anterior area, layer 5",NA,NA,1,312782546,"Anterior area layer 5",351,11,"/997/8/567/688/695/315/22/312782546/312782562/",133169917,8690
"2",1,633794899,FALSE,0,0,0,0,0,0,0,0,0,146046430,344,79319875584,338659200,0,0,0.41485752,"AIp5",891,"219866",8,FALSE,734881840,1,288,3,344,"Agranular insular area, posterior part, layer 5",NA,NA,1,111,"Agranular insular area posterior part layer 5",289,11,"/997/8/567/688/695/315/95/111/344/",3116139673,8690
"3",1,633795133,FALSE,0.0768959149718285,8610,2490,3980,3.17402264372303e-05,3.01033651339822e-06,0.000980139011517167,325.591156005859,3.38113189086914e-06,146046430,10,185308381184,916876800,898666.6875,2760.10766601562,1.12317408,"SCig",425,"FF90FF",6,FALSE,734881840,1,834,3,10,"Superior colliculus, motor related, intermediate gray layer",NA,NA,1,294,"Superior colliculus motor related intermediate gray layer",835,9,"/997/8/343/313/323/294/10/",4208210812,8690
"4",2,633792865,FALSE,0,0,0,0,0,0,0,0,0,146046430,54,2260712960,22204800,0,0,0.02720088,"mfb",572,"CCCCCC",4,FALSE,734881840,1,1262,3,54,"medial forebrain bundle",NA,NA,1,824,"medial forebrain bundle",1263,8,"/997/1009/991/824/54/",4274696721,8690
"5",2,633793727,FALSE,0.506855070590973,8960,1860,9060,0.00318865448281308,0.000502751884455485,0.239774208709445,476.923540463975,0.000339671847714233,146046430,409,146419457536,551530784,132242857.3125,277283.140991211,0.6756252104,"VISl",758,"08858C",7,FALSE,734881840,1,178,3,409,"Lateral visual area",NA,NA,1,669,"Lateral visual area",179,8,"/997/8/567/688/695/315/669/409/",1805245805,8690
"6",2,633793747,FALSE,0.494246155023575,8510,1700,7220,0.0207282474106563,0.00419963430613279,1.00926733016968,240.322662353516,0.00220807934375,146046430,443,7277994496,429207296,433184896,1802513.75,0.5257789376,"dhc",479,"CCCCCC",6,FALSE,734881840,1,1254,3,443,"dorsal hippocampal commissure",NA,NA,1,618,"dorsal hippocampal commissure",1255,10,"/997/1009/991/768/1099/618/443/",1923336249,8690
"7",1,633794519,FALSE,0,0,0,0,0,0,0,0,0,146046430,929,679657280,24082200,0,0,0.029500695,"SSp-n6b",1106,"188064",9,FALSE,734881840,1,50,3,929,"Primary somatosensory area, nose, layer 6b",NA,NA,1,353,"Primary somatosensory area nose layer 6b",51,11,"/997/8/567/688/695/315/453/322/353/929/",1588026147,8690
"8",1,633794481,FALSE,0.0268634408712387,2340,3870,5440,6.29885964821051e-06,3.1606480206392e-06,0.000448754901299253,141.98193359375,6.7098687133789e-07,146046430,969,34552905728,173301296,77769.8046875,547.744384765625,0.2122940876,"ORBvl1",1111,"248A5E",8,FALSE,734881840,1,273,3,969,"Orbital area, ventrolateral part, layer 1",NA,NA,1,746,"Orbital area ventrolateral part layer 1",274,11,"/997/8/567/688/695/315/714/746/969/",4095217692,8690
"9",3,633795964,FALSE,0.245101660490036,7270,4000,8820,0.00142150789153022,7.42115901517715e-05,0.023525251657611,317.002392880938,0.000151426319364166,146046430,484682520,41060786176,1665687552,39185718.84375,123613.321929932,2.0404672512,"or",NA,"CCCCCC",4,FALSE,734881840,1,1216,3,484682520,"optic radiation",NA,NA,1,896,"optic radiation",1217,8,"/997/1009/983/896/484682520/",3215415810,8690
"10",2,633793831,FALSE,0.246671259403229,3330,6180,5830,0.000446749200877849,5.99106293382692e-05,0.0198612693390655,331.514950826575,4.75900187194824e-05,146046430,589,124898029568,648449120,12879022.625,38848.9948730469,0.794350172,"TT",356,"62D09F",6,FALSE,734881840,1,398,3,589,"Taenia tecta",NA,NA,1,698,"Taenia tecta",399,8,"/997/8/567/688/695/698/589/",2827574122,8690
