"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633046348,FALSE,0.589735627174377,9300,1790,8620,0.0261283403916794,0.0146406581625342,6.59739065170288,450.621185302734,0.008642582025,113144533,33,65036988416,481888800,3179208704,7055169,0.59031378,"VISp6a",428,"08858C",8,FALSE,734881840,1,190,3,33,"Primary visual area, layer 6a",NA,NA,1,385,"Primary visual area layer 6a",191,11,"/997/8/567/688/695/315/669/385/33/",2158341533,8690
"2",2,633047601,FALSE,0.0586442090570927,12950,2510,7000,1.01399070799697e-05,5.77596529183211e-06,0.000778752844780684,134.826446533203,3.35402009277344e-06,113144533,944,83232776192,474029088,369151.5,2737.9755859375,0.5806856328,"FOTU",400,"FFFC91",5,FALSE,734881840,1,1050,3,944,"Folium-tuber vermis (VII)",NA,NA,1,645,"Folium-tuber vermis (VII)",1051,8,"/997/8/512/528/645/944/",1120315048,8690
"3",3,633049410,FALSE,1,2820,2860,6450,0.362682069711456,0.23393716270319,314.759949395923,1345.48930045492,0.1199658872125,113144533,84,200040525824,418622400,131765565440,97931336.5,0.51281244,"PL6a",1000,"2FA850",7,FALSE,734881840,1,243,3,84,"Prelimbic area, layer 6a",NA,NA,1,972,"Prelimbic area layer 6a",244,11,"/997/8/567/688/695/315/972/84/",3335965557,8690
"4",3,633050137,FALSE,0,0,0,0,0,0,0,0,0,113144533,1093,103555264512,2114143232,0,0,2.5898254592,"PRNc",277,"FFBA86",6,FALSE,734881840,1,913,3,1093,"Pontine reticular nucleus, caudal part",NA,NA,1,987,"Pontine reticular nucleus caudal part",914,8,"/997/8/343/1065/771/987/1093/",3254684830,8690
"5",1,633048655,FALSE,0,0,0,0,0,0,0,0,0,113144533,802,7064884736,121815000,0,0,0.149223375,"sm",524,"CCCCCC",5,FALSE,734881840,1,1285,3,802,"stria medullaris",NA,NA,1,1083,"stria medullaris",1286,9,"/997/1009/991/824/1083/802/",1930258468,8690
"6",2,633046950,FALSE,0.388280630111694,7940,1230,7560,0.000807382776204416,0.0173048004508018,5.34317684173584,308.768463134766,0.000267061426953125,113144533,469,1179979776,12598200,67314408,218009.328125,0.015432795,"VISpm6b",624,"08858C",8,FALSE,734881840,1,205,3,469,"posteromedial visual area, layer 6b",NA,NA,1,533,"posteromedial visual area layer 6b",206,11,"/997/8/567/688/695/315/669/533/469/",1015740806,8690
"7",1,633049316,FALSE,0.59879070520401,6830,3920,5660,0.000301098676495785,0.00102416216395795,0.346624195575714,338.446594238281,9.95956869140625e-05,113144533,59,8753312768,79384496,27516588,81302.6015625,0.0972460076,"IMD",148,"FF909F",7,FALSE,734881840,1,684,3,59,"Intermediodorsal nucleus of the thalamus",NA,NA,1,444,"Intermediodorsal nucleus of the thalamus",685,8,"/997/8/343/1129/549/856/444/59/",80523806,8690
"8",3,633049418,FALSE,0.11110407859087,8240,5400,5460,6.72156840962922e-05,5.68106280446414e-05,0.00825625759183472,145.32945464618,2.22332170532227e-05,113144533,100,40317135712,319474816,2637666.375,18149.5649414062,0.3913566496,"IPN",153,"FFA6FF",6,FALSE,734881840,1,870,3,100,"Interpeduncular nucleus",NA,NA,1,165,"Interpeduncular nucleus",871,8,"/997/8/343/313/348/165/100/",814290991,8690
"9",3,633049454,FALSE,0,0,0,0,0,0,0,0,0,113144533,147,1182223616,13037400,0,0,0.015970815,"LC",159,"FFC395",6,FALSE,734881840,1,928,3,147,"Locus ceruleus",NA,NA,1,1117,"Locus ceruleus",929,8,"/997/8/343/1065/771/1117/147/",2295858987,8690
"10",2,633046799,FALSE,0.749305546283722,4630,3050,8170,0.134483066168255,0.0129952804768048,6.55815512734431,504.656682020056,0.0444835344652344,113144533,345,504994264576,2794329020,18325643190,36313089.359375,3.4230530495,"SSp-m",750,"188064",8,FALSE,734881840,1,72,3,345,"Primary somatosensory area, mouth",NA,NA,1,322,"Primary somatosensory area mouth",73,9,"/997/8/567/688/695/315/453/322/345/",2638278704,8690
