"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,631418570,FALSE,0.184430778026581,8720,5350,4790,0.000491164050596377,0.000195726612738606,0.0189808897303028,96.9765402094394,7.42297675042912e-05,272404772,932,29255270080,309593712,5876364.10866714,60595.7285749316,0.3792522972,"cett",540,"CCCCCC",4,FALSE,734881840,1,1150,3,932,"cervicothalamic tract",NA,NA,1,792,"cervicothalamic tract",1151,8,"/997/1009/967/792/932/",2955091529,8690
"2",3,631419230,FALSE,0,0,0,0,0,0,0,0,0,272404772,38,52574679040,169875008,0,0,0.2080968848,"PVH",287,"FF5D50",6,FALSE,734881840,1,720,3,38,"Paraventricular hypothalamic nucleus",NA,NA,1,157,"Paraventricular hypothalamic nucleus",721,8,"/997/8/343/1129/1097/157/38/",3443963014,8690
"3",3,631419848,FALSE,0.477986484766006,8530,5820,6690,0.0146936150753534,0.00227406653403811,0.501955883885457,220.73051793877,0.0022206503703125,272404772,924,46458757120,797151616,400134944,1812775.8125,0.9765107296,"cpd",539,"CCCCCC",4,FALSE,734881840,1,1202,3,924,"cerebal peduncle",NA,NA,1,784,"cerebal peduncle",1203,9,"/997/1009/983/784/924/",993976011,8690
"4",2,631417419,FALSE,1,7680,3000,8780,4.78540311369015,0.215742558240891,1179.40161132812,5466.7080078125,0.7232193808,272404772,463,4695778525184,2736516864,3227452440576,590383168,3.3522331584,"CA3",57,"7ED04B",8,FALSE,734881840,1,467,3,463,"Field CA3",NA,NA,1,375,"Field CA3",468,9,"/997/8/567/688/695/1089/1080/375/463/",3396545448,8690
"5",2,631418403,FALSE,0.0127941155806184,7620,3990,8030,2.1737012991256e-06,1.46270315326547e-06,0.000309360475512221,211.499145507812,3.28512117004394e-07,272404772,484682524,36651511808,183340800,56718.39453125,268.173156738281,0.22459248,"ar",NA,"CCCCCC",4,FALSE,734881840,1,1217,3,484682524,"auditory radiation",NA,NA,1,896,"auditory radiation",1218,8,"/997/1009/983/896/484682524/",601332939,8690
"6",3,631420046,FALSE,0,0,0,0,0,0,0,0,0,272404772,919,230971760640,629035200,0,0,0.77056812,"ACAd6a",963,"40A666",8,FALSE,734881840,1,230,3,919,"Anterior cingulate area, dorsal part, layer 6a",NA,NA,1,39,"Anterior cingulate area dorsal part layer 6a",231,11,"/997/8/567/688/695/315/31/39/919/",3995874244,8690
"7",2,631417962,FALSE,0.342403441667557,4530,5170,9670,0.000728147320015311,0.000434403395047411,0.126851588487625,292.013336181641,0.00011004511875,272404772,996,74353647616,206795696,26232362,89832.75,0.2533247276,"AId1",1114,"219866",8,FALSE,734881840,1,280,3,996,"Agranular insular area, dorsal part, layer 1",NA,NA,1,104,"Agranular insular area dorsal part layer 1",281,11,"/997/8/567/688/695/315/95/104/996/",633930990,8690
"8",3,631419865,FALSE,0.0891466438770294,4850,5410,2680,1.76605875835482e-05,8.66930495932106e-07,0.000569346550709841,656.738404498841,2.66904979858398e-06,272404772,942,866477981696,2513253568,1430912.25,2178.81616210938,3.0787356208,"EP",117,"A0EE9D",5,FALSE,734881840,1,558,3,942,"Endopiriform nucleus",NA,NA,1,703,"Endopiriform nucleus",559,8,"/997/8/567/688/703/942/",2263280236,8690
"9",2,631416745,FALSE,0.0361743718385696,5740,6720,5710,1.39646172542838e-05,2.5930112315109e-05,0.00363227725028992,140.079498291016,2.11047671508789e-06,272404772,133,13459966976,66441600,241334.3125,1722.83813476562,0.08139096,"PVpo",299,"FF5547",6,FALSE,734881840,1,750,3,133,"Periventricular hypothalamic nucleus, preoptic part",NA,NA,1,141,"Periventricular hypothalamic nucleus preoptic part",751,8,"/997/8/343/1129/1097/141/133/",2330540908,8690
"10",1,631418805,FALSE,0.379566043615341,4970,6630,4640,0.00224362162277743,0.000831305631436408,0.511558353900909,615.367370605469,0.00033907919609375,272404772,596,96682500096,332969408,170333280,276799.34375,0.4078875248,"NDB",215,"96A7D3",7,FALSE,734881840,1,618,3,596,"Diagonal band nucleus",NA,NA,1,904,"Diagonal band nucleus",619,9,"/997/8/567/623/803/826/904/596/",278981173,8690
"11",2,631417401,FALSE,0.157782897353172,12350,5770,8150,0.000134793026528872,1.99929872906068e-05,0.00213557481765747,106.816192626953,2.0371309765625e-05,272404772,437,209867620352,831773696,1776314.875,16629.640625,1.0189227776,"SPVI",337,"FFA5D2",6,FALSE,734881840,1,955,3,437,"Spinal nucleus of the trigeminal, interpolar part",NA,NA,1,386,"Spinal nucleus of the trigeminal interpolar part",956,9,"/997/8/343/1065/354/386/437/",3412250118,8690
"12",1,631418905,FALSE,0,0,0,0,0,0,0,0,0,272404772,422,15894999040,60713100,0,0,0.0743735475,"SPFp",335,"FF8084",7,FALSE,734881840,1,654,3,422,"Subparafascicular nucleus, parvicellular part",NA,NA,1,406,"Subparafascicular nucleus parvicellular part",655,9,"/997/8/343/1129/549/864/406/422/",1800790730,8690
