"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633784605,FALSE,0.275572955608368,4180,3260,5700,0.000143263917236394,0.00180652120616287,0.164595201611519,91.1116943359375,0.000125167734179687,127761449,19,5662255104,56560500,9309587,102177.7421875,0.0692866125,"IG",143,"7ED04B",7,FALSE,734881840,1,491,3,19,"Induseum griseum",NA,NA,1,1080,"Induseum griseum",492,8,"/997/8/567/688/695/1089/1080/19/",2117099319,8690
"2",3,633789712,FALSE,0.531639516353607,7800,5580,7780,0.00822114413038601,0.00153640201064825,0.554949457743269,361.200684389316,0.00718270170895233,127761449,1099,202434217632,3816338384,2117874916.76562,5863429.9664917,4.6750145204,"fxs",561,"CCCCCC",4,FALSE,734881840,1,1244,3,1099,"fornix system",NA,NA,1,768,"fornix system",1245,8,"/997/1009/991/768/1099/",2860735463,8690
"3",2,633785353,FALSE,0.365481734275818,3080,3220,6100,0.000372925869588769,0.000603465596213937,0.347757130861282,576.266662597656,0.00032582025546875,127761449,363,99935772672,440747104,153272944,265975.71875,0.5399152024,"PL5",1035,"2FA850",7,FALSE,734881840,1,242,3,363,"Prelimbic area, layer 5",NA,NA,1,972,"Prelimbic area layer 5",243,11,"/997/8/567/688/695/315/972/363/",1282533063,8690
"4",1,633787362,FALSE,0.347730994224548,5530,5460,2330,0.000439709015223806,0.000249562046230028,0.138748333411299,555.967285519892,0.000384167780664062,127761449,942,196674826240,1256626784,174354872,313606.3515625,1.5393678104,"EP",117,"A0EE9D",5,FALSE,734881840,1,558,3,942,"Endopiriform nucleus",NA,NA,1,703,"Endopiriform nucleus",559,8,"/997/8/567/688/703/942/",2263280236,8690
"5",1,633787631,FALSE,0.103260301053524,7870,440,3420,1.38545864231464e-05,0.000115176466351841,0.0100472783669829,87.2337799072266,1.21045635498047e-05,127761449,805,12371228672,85792496,861981.0625,9881.2763671875,0.1050958076,"VISpm1",383,"08858C",8,FALSE,734881840,1,200,3,805,"posteromedial visual area, layer 1",NA,NA,1,533,"posteromedial visual area layer 1",201,11,"/997/8/567/688/695/315/669/533/805/",403944131,8690
"6",3,633788707,FALSE,0.58435070514679,8410,4660,10060,0.02694256905028,0.0203598537352511,12.3545576204057,606.809743383125,0.0235393557991211,127761449,28,155889238016,943808384,11660335062.75,19215800.6523438,1.1561652704,"ENTl6a",993,"32B825",9,FALSE,734881840,1,505,3,28,"Entorhinal area, lateral part, layer 6a",NA,NA,1,918,"Entorhinal area lateral part layer 6a",506,11,"/997/8/567/688/695/1089/822/909/918/28/",3113499141,8690
"7",3,633789061,FALSE,0.0120993601158261,8290,1200,7330,1.31624751526542e-07,3.72579152213415e-06,0.00158493034967297,425.394265958584,1.14998753547668e-07,127761449,469,2913921792,25196400,39934.5390625,93.8765335083008,0.03086559,"VISpm6b",624,"08858C",8,FALSE,734881840,1,205,3,469,"posteromedial visual area, layer 6b",NA,NA,1,533,"posteromedial visual area layer 6b",206,11,"/997/8/567/688/695/315/669/533/469/",1015740806,8690
"8",1,633787114,FALSE,0.106748819351196,10860,4620,5360,1.16365450641228e-06,3.84004670195282e-05,0.027125209569931,706.377075195312,1.01666910095215e-06,127761449,599626927,3586491392,21612600,586246.3125,829.933959960938,0.026475435,"PDTg",NA,"FFBA86",6,FALSE,734881840,1,910,3,599626927,"Posterodorsal tegmental nucleus",NA,NA,1,987,"Posterodorsal tegmental nucleus",911,8,"/997/8/343/1065/771/987/599626927/",1383431414,8690
"9",2,633786994,FALSE,0.232397243380547,8700,5610,6150,0.000176134909301614,0.00450170133262873,1.84969937801361,410.888946533203,0.000153886672460937,127761449,607344846,4395996672,27905400,51616600,125621.7734375,0.034184115,"IPL",NA,"FFA6FF",7,FALSE,734881840,1,874,3,607344846,"Interpeduncular nucleus, lateral",NA,NA,1,100,"Interpeduncular nucleus lateral",875,9,"/997/8/343/313/348/165/100/607344846/",2418971137,8690
"10",2,633784703,FALSE,0.332440257072449,8640,3710,6120,0.0003744135905633,0.0074429945088923,1.61332201957703,216.757110595703,0.00032712005703125,127761449,67,2650080512,35877600,57882120,267036.78125,0.04395006,"INC",149,"FF90FF",6,FALSE,734881840,1,840,3,67,"Interstitial nucleus of Cajal",NA,NA,1,795,"Interstitial nucleus of Cajal",841,9,"/997/8/343/313/323/795/67/",4183673030,8690
"11",3,633788797,FALSE,0.592477798461914,6540,5140,10370,0.0161497097692502,0.0303242540994688,23.1667791885664,763.968640830384,0.0141097815728516,127761449,120,79382085632,379834208,8799535225,11518189.0390625,0.4652969048,"AIp1",863,"219866",8,FALSE,734881840,1,286,3,120,"Agranular insular area, posterior part, layer 1",NA,NA,1,111,"Agranular insular area posterior part layer 1",287,11,"/997/8/567/688/695/315/95/111/120/",3201384576,8690
"12",1,633788668,FALSE,0.124286785721779,9900,3050,3580,1.67362691937269e-05,5.9667597142317e-06,0.00171226022015651,286.966511500788,1.46222505569458e-05,127761449,4,449276944384,2000504736,3425384.6796875,11936.5310668945,2.4506183016,"IC",141,"FF7AFF",5,FALSE,734881840,1,812,3,4,"Inferior colliculus",NA,NA,1,339,"Inferior colliculus",813,8,"/997/8/343/313/339/4/",3456805092,8690
"13",2,633786898,FALSE,1,5650,5580,7020,0.473029875901886,0.13186215090963,153.234204139238,1162.07875483735,0.413279763028125,127761449,290,953020668928,2558514576,392051944832,337371235.125,3.1341803556,"LZ",177,"F2483B",5,FALSE,734881840,1,793,3,290,"Hypothalamic lateral zone",NA,NA,1,1097,"Hypothalamic lateral zone",794,6,"/997/8/343/1129/1097/290/",3347032583,8690
"14",3,633789622,FALSE,0.460251778364182,6020,2310,8070,0.00102907303913329,0.0111339974336398,2.93389931067543,263.50817198961,0.000899087105102539,127761449,1026,5493282816,65919600,193401469,733948.657226562,0.08075151,"SSp-ul6b",1118,"188064",9,FALSE,734881840,1,85,3,1026,"Primary somatosensory area, upper limb, layer 6b",NA,NA,1,369,"Primary somatosensory area upper limb layer 6b",86,11,"/997/8/567/688/695/315/453/322/369/1026/",997472564,8690
"15",2,633784608,FALSE,0.769072592258453,8190,5500,10240,0.0208324990571708,0.0205793362110853,9.32401847839355,453.076751708984,0.018201070825,127761449,20,100749565952,721987200,6731822080,14858017,0.88443432,"ENTl2",992,"32B825",9,FALSE,734881840,1,496,3,20,"Entorhinal area, lateral part, layer 2",NA,NA,1,918,"Entorhinal area lateral part layer 2",497,11,"/997/8/567/688/695/1089/822/909/918/20/",4209621032,8690
"16",1,633788412,FALSE,0.589264690876007,7140,7080,5580,0.00119941034171791,0.00667156046256423,1.99520623683929,299.061401367188,0.0010479084875,127761449,223,7629373952,128221200,255827744,855435.5,0.15707097,"ARH",27,"FF5D50",6,FALSE,734881840,1,733,3,223,"Arcuate hypothalamic nucleus",NA,NA,1,157,"Arcuate hypothalamic nucleus",734,8,"/997/8/343/1129/1097/157/223/",218062747,8690
"17",3,633789744,FALSE,0.514564871788025,7080,4330,10640,0.00133287937701933,0.00150549980533145,0.9105825985494,604.837407035684,0.0011645185666748,127761449,1127,104575676416,631436416,574975012.5,950627.401367188,0.7735096096,"TEa2/3",706,"15B0B3",7,FALSE,734881840,1,362,3,1127,"Temporal association areas, layer 2/3",NA,NA,1,541,"Temporal association areas layer 2/3",363,11,"/997/8/567/688/695/315/541/1127/",74295275,8690
"18",3,633789352,FALSE,0.076346755027771,10200,1260,5150,6.26421984763468e-05,0.000137418667958504,0.0142881414499764,103.97525796343,5.47296360351562e-05,127761449,834,49641134080,325117792,4645329,44677.25390625,0.3982692952,"SCzo",811,"FF7AFF",6,FALSE,734881840,1,811,3,834,"Superior colliculus, zonal layer",NA,NA,1,302,"Superior colliculus zonal layer",812,9,"/997/8/343/313/339/302/834/",1177562266,8690
"19",1,633787365,FALSE,0.165349811315536,4630,2460,4610,2.74784909830888e-05,3.44075706379954e-05,0.00375209818594158,109.048629760742,2.40075834960937e-05,127761449,940,21273972736,569584768,2137138,19598.02734375,0.6977413408,"cing",541,"CCCCCC",4,FALSE,734881840,1,1243,3,940,"cingulum bundle",NA,NA,1,768,"cingulum bundle",1244,8,"/997/1009/991/768/940/",1622445056,8690
"20",3,633788904,FALSE,0.0814431458711624,7820,3220,10560,3.96847387382832e-06,6.65989152695363e-06,0.00328347859653185,493.022834267359,3.46720159912109e-06,127761449,251,99711299584,424987200,1395436.375,2830.36865234375,0.52060932,"AUDp2/3",1021,"019399",8,FALSE,734881840,1,138,3,251,"Primary auditory area, layer 2/3",NA,NA,1,1002,"Primary auditory area layer 2/3",139,11,"/997/8/567/688/695/315/247/1002/251/",1321647110,8690
"21",1,633787965,FALSE,0.381587266921997,3880,4730,3620,0.000411775174230035,0.00118501018732786,0.838862776756287,707.894958496094,0.0003597623640625,127761449,583,44707430400,247832096,207897120,293683.5625,0.3035943176,"CLA",72,"8ADA87",5,FALSE,734881840,1,557,3,583,"Claustrum",NA,NA,1,703,"Claustrum",558,8,"/997/8/567/688/703/583/",2624439303,8690
"22",3,633789249,FALSE,0.604240119457245,8910,6050,9050,0.00543816208283314,0.00472780027241027,3.00158161475306,634.879106943074,0.00475124817986755,127761449,727,117255176192,820375168,2462423021.46875,3878569.94274902,1.0049595808,"ENTm5",939,"32B825",9,FALSE,734881840,1,514,3,727,"Entorhinal area, medial part, dorsal zone, layer 5",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 5",515,11,"/997/8/567/688/695/1089/822/909/926/727/",2298328736,8690
"23",2,633786748,FALSE,0.891405165195465,5180,5820,6500,0.01027979246936,0.168538689613342,217.314422607422,1289.40380859375,0.0089813147375,127761449,1109,25727025152,43501500,9453503488,7331685.5,0.0532893375,"PS",279,"FF5547",6,FALSE,734881840,1,747,3,1109,"Parastrial nucleus",NA,NA,1,141,"Parastrial nucleus",748,8,"/997/8/343/1129/1097/141/1109/",747009513,8690
"24",2,633786290,FALSE,0.530091106891632,9820,3630,6570,0.000397404124368613,0.0925710126757622,88.7353134155273,958.564758300781,0.0003472065734375,127761449,911,732031488,3061800,271689792,283433.9375,0.003750705,"IVn",679,"CCCCCC",3,FALSE,734881840,1,1122,3,911,"trochlear nerve",NA,NA,1,967,"trochlear nerve",1123,8,"/997/1009/967/911/",1219326126,8690
"25",2,633785634,FALSE,0.579396843910217,7650,6710,6620,0.0100002629130846,0.110444036898446,62.7272182425757,567.954776048739,0.00873709356953125,127761449,557,13550275456,64578600,4050835936,7132321.28125,0.079108785,"TM",352,"FF4C3E",7,FALSE,734881840,1,773,3,557,"Tuberomammillary nucleus",NA,NA,1,331,"Tuberomammillary nucleus",774,8,"/997/8/343/1129/1097/467/331/557/",1759031183,8690
"26",3,633788867,FALSE,0.443961203098297,12530,5180,5720,0.000111912535817667,0.00168017070783497,0.535357073692365,318.632547988063,9.77764590332031e-05,127761449,207,2081683584,47505600,25432459,79817.517578125,0.05819436,"AP",25,"FFA5D2",6,FALSE,734881840,1,937,3,207,"Area postrema",NA,NA,1,386,"Area postrema",938,8,"/997/8/343/1065/354/386/207/",265254740,8690
"27",2,633785587,FALSE,0.612860977649689,5570,6480,5830,0.0224099947079519,0.0873923972249031,51.9562606811523,594.516967773438,0.0195793073,127761449,515,47651475456,182888992,9502228480,15983108,0.2240390152,"MPN",205,"FF4C3E",6,FALSE,734881840,1,776,3,515,"Medial preoptic nucleus",NA,NA,1,467,"Medial preoptic nucleus",777,8,"/997/8/343/1129/1097/467/515/",1542829951,8690
"28",2,633786647,FALSE,0.932017862796783,6250,2300,8250,0.00172752718899799,0.0187959298491478,11.1701030731201,594.283081054688,0.0015093169875,127761449,1062,8669949568,65551184,732213504,1232095.5,0.0803002004,"SSp-bfd6b",981,"188064",9,FALSE,734881840,1,57,3,1062,"Primary somatosensory area, barrel field, layer 6b",NA,NA,1,329,"Primary somatosensory area barrel field layer 6b",58,11,"/997/8/567/688/695/315/453/322/329/1062/",455984295,8690
"29",3,633789261,FALSE,0.482238739728928,9010,5750,9230,0.00250895655238306,0.00319350767573441,1.83231271755712,573.761801632665,0.002192041184375,127761449,743,77363982336,560331008,1026701632,1789421.375,0.6864054848,"ENTm6",941,"32B825",9,FALSE,734881840,1,516,3,743,"Entorhinal area, medial part, dorsal zone, layer 6",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 6",517,11,"/997/8/567/688/695/1089/822/909/926/743/",301262618,8690
"30",3,633788929,FALSE,0.597586989402771,7720,4170,10260,0.00279613718172255,0.00233433442498339,1.83524911805895,786.198026476866,0.00244294699072266,127761449,289,174686216192,854308800,1567869471.75,1994242.44140625,1.04652828,"TEa5",1026,"15B0B3",7,FALSE,734881840,1,364,3,289,"Temporal association areas, layer 5",NA,NA,1,541,"Temporal association areas layer 5",365,11,"/997/8/567/688/695/315/541/289/",475299804,8690
"31",3,633789757,FALSE,0.106748819351196,10860,4620,5360,1.16406056734794e-06,1.92069341044588e-05,0.0135651084130912,706.260996123381,1.01702387086377e-06,127761449,599626927,7055855872,43225200,586354.524177551,830.223568052053,0.05295087,"PDTg",NA,"FFBA86",6,FALSE,734881840,1,910,3,599626927,"Posterodorsal tegmental nucleus",NA,NA,1,987,"Posterodorsal tegmental nucleus",911,8,"/997/8/343/1065/771/987/599626927/",1383431414,8690
"32",1,633787122,FALSE,0.226464688777924,6050,6510,3450,6.3618780999046e-05,0.00172666949220002,1.28312277793884,743.120056152344,5.5582862890625e-05,127761449,1139,5354092544,26278200,33718156,45373.765625,0.032190795,"NLOT3",1137,"95E4C8",7,FALSE,734881840,1,425,3,1139,"Nucleus of the lateral olfactory tract, layer 3",NA,NA,1,619,"Nucleus of the lateral olfactory tract layer 3",426,11,"/997/8/567/688/695/698/619/1139/",2600277896,8690
"33",1,633788138,FALSE,0.0979523062705994,10220,1390,2920,3.60280125875899e-05,8.07186677136017e-06,0.000922065934369971,114.23205566791,3.14771841338448e-05,127761449,385,623099397120,3183360336,2935268.12265015,25695.6605174243,3.8996164116,"VISp",755,"08858C",7,FALSE,734881840,1,185,3,385,"Primary visual area",NA,NA,1,669,"Primary visual area",186,8,"/997/8/567/688/695/315/669/385/",3425643282,8690
"34",3,633789427,FALSE,0.604342758655548,10760,4380,6550,0.00379665862529572,0.00555702837321345,2.89877835446857,521.641812815201,0.00331708895546875,127761449,898,64471052288,487279808,1412516160,2707827.71875,0.5969177648,"PCG",253,"FFBA86",6,FALSE,734881840,1,911,3,898,"Pontine central gray",NA,NA,1,987,"Pontine central gray",912,8,"/997/8/343/1065/771/987/898/",771958956,8690
"35",2,633784629,FALSE,0.253432869911194,7400,3630,8160,9.65669874215547e-05,0.00223693088628352,0.563071548938751,251.716110229492,8.43692623046875e-05,127761449,27,1289024384,30789000,17336410,68872.8671875,0.037716525,"IGL",144,"FF909F",7,FALSE,734881840,1,705,3,27,"Intergeniculate leaflet of the lateral geniculate complex",NA,NA,1,1014,"Intergeniculate leaflet of the lateral geniculate complex",706,8,"/997/8/343/1129/549/856/1014/27/",1900856090,8690
"36",3,633789327,FALSE,0.337410688400269,9160,4580,5710,0.000114791474881794,0.00196389405655554,0.19292495142487,98.2359261085803,0.000100291748901367,127761449,812,253774536,41688000,8042655.375,81870.8154296875,0.0510678,"dscp",525,"CCCCCC",5,FALSE,734881840,1,1175,3,812,"superior cerebellar peduncle decussation",NA,NA,1,326,"superior cerebellar peduncle decussation",1176,9,"/997/1009/960/752/326/812/",3545529547,8690
"37",2,633786340,FALSE,0.0670187175273895,12570,1910,7110,8.11633160247945e-06,3.85748035114375e-06,0.000807383970823139,209.303436279297,7.09112843017578e-06,127761449,936,387097427968,1500636544,1211589.875,5788.67626953125,1.8382797664,"DEC",399,"FFFC91",5,FALSE,734881840,1,1046,3,936,"Declive (VI)",NA,NA,1,645,"Declive (VI)",1047,8,"/997/8/512/528/645/936/",1592716230,8690
"38",1,633787045,FALSE,0.197838470339775,6050,2470,2980,1.36391045276729e-05,0.000879950763192028,0.247822865843773,281.632659912109,1.19162999511719e-05,127761449,182305713,900969728,11054700,2739607.5,9727.591796875,0.0135420075,"SSp-un6b",NA,"188064",9,FALSE,734881840,1,99,3,182305713,"Primary somatosensory area, unassigned, layer 6b",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 6b",100,11,"/997/8/567/688/695/315/453/322/182305689/182305713/",1529046678,8690
"39",3,633788889,FALSE,0.202722132205963,8270,1720,9060,7.54672961923837e-05,0.000294688919323083,0.189887896163528,644.367275836876,6.59347493164062e-05,127761449,233,44581523456,182647808,34682608,53824.28515625,0.2237435648,"VISal5",453,"08858C",8,FALSE,734881840,1,168,3,233,"Anterolateral visual area, layer 5",NA,NA,1,402,"Anterolateral visual area layer 5",169,11,"/997/8/567/688/695/315/669/402/233/",2948835441,8690
"40",2,633786300,FALSE,0.866435766220093,8320,5630,9960,0.140975421618441,0.0350315911673793,21.2264112880163,605.921985861205,0.1231683067125,127761449,918,504242647040,2870139584,60922763264,100545556.5,3.5159209904,"ENTl",114,"32B825",8,FALSE,734881840,1,494,3,918,"Entorhinal area, lateral part",NA,NA,1,909,"Entorhinal area lateral part",495,9,"/997/8/567/688/695/1089/822/909/918/",777102316,8690
"41",2,633785402,FALSE,0.999999582767487,11850,5310,6690,0.150073017473344,0.0301785368675816,44.2598449817256,1466.60009316987,0.13111675236167,127761449,386,526677938816,3546695588,156976196922.25,107034083.560547,4.3447020953,"MY-sen",189,"FFA5D2",5,FALSE,734881840,1,936,3,386,"Medulla, sensory related",NA,NA,1,354,"Medulla sensory related",937,6,"/997/8/343/1065/354/386/",846467907,8690
"42",1,633787104,FALSE,0.0201317053288221,7970,3920,3250,4.77198209951935e-07,3.36142365995329e-05,0.00269047752954066,80.0398254394531,4.16921579742432e-07,127761449,563807439,612270592,10125000,27241.0859375,340.344146728516,0.012403125,"IntG",NA,"FF909F",7,FALSE,734881840,1,706,3,563807439,"Intermediate geniculate nucleus",NA,NA,1,1014,"Intermediate geniculate nucleus",707,8,"/997/8/343/1129/549/856/1014/563807439/",2887461472,8690
