"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633476236,FALSE,0.0567126050591469,10190,1220,3290,4.3558271870722e-06,1.06728954589655e-07,7.13222579837463e-06,66.8255941023334,7.92396140766144e-07,119848249,669,1715686834560,6060717028,43226.40234375,646.853992462158,7.4243783593,"VIS",366,"08858C",6,FALSE,734881840,1,157,3,669,"Visual areas",NA,NA,1,315,"Visual areas",158,6,"/997/8/567/688/695/315/669/",3978948604,8690
"2",2,633475327,FALSE,0,0,0,0,0,0,0,0,0,119848249,520,30789638144,126495904,0,0,0.1549574824,"AUDv6a",630,"019399",8,FALSE,734881840,1,155,3,520,"Ventral auditory area, layer 6a",NA,NA,1,1018,"Ventral auditory area layer 6a",156,11,"/997/8/567/688/695/315/247/1018/520/",2440393689,8690
"3",1,633476234,FALSE,0.0589972250163555,9900,900,4280,1.10628394064673e-05,7.19661511539016e-06,0.00178676808718592,248.278945922852,2.01251125793457e-06,119848249,671,50894761984,228283200,407889.125,1642.86633300781,0.27964692,"RSPagl1",932,"1AA698",8,FALSE,734881840,1,299,3,671,"Retrosplenial area, lateral agranular part, layer 1",NA,NA,1,894,"Retrosplenial area lateral agranular part layer 1",300,11,"/997/8/567/688/695/315/254/894/671/",149448588,8690
"4",1,633476672,FALSE,0,0,0,0,0,0,0,0,0,119848249,2,7973303296,51414300,0,0,0.0629825175,"SSp-m6b",990,"188064",9,FALSE,734881840,1,78,3,2,"Primary somatosensory area, mouth, layer 6b",NA,NA,1,345,"Primary somatosensory area mouth layer 6b",79,11,"/997/8/567/688/695/315/453/322/345/2/",1425070870,8690
"5",3,633476703,FALSE,0,0,0,0,0,0,0,0,0,119848249,30,5046514944,45703800,0,0,0.055987155,"PVa",286,"FF5D50",6,FALSE,734881840,1,731,3,30,"Periventricular hypothalamic nucleus, anterior part",NA,NA,1,157,"Periventricular hypothalamic nucleus anterior part",732,9,"/997/8/343/1129/1097/157/30/",4028794868,8690
"6",2,633475712,FALSE,0.105447508394718,9130,2720,7860,6.40709262022256e-05,1.94996773643652e-05,0.00652013486251235,334.371398925781,1.16555484130859e-05,119848249,1037,101757476864,487943104,3181454.75,9514.7333984375,0.5977303024,"POST",270,"48C83C",7,FALSE,734881840,1,527,3,1037,"Postsubiculum",NA,NA,1,822,"Postsubiculum",528,8,"/997/8/567/688/695/1089/822/1037/",2028146433,8690
"7",2,633475765,FALSE,0,0,0,0,0,0,0,0,0,119848249,1106,74290610176,242915392,0,0,0.2975713552,"VISC2/3",1128,"11AD83",7,FALSE,734881840,1,116,3,1106,"Visceral area, layer 2/3",NA,NA,1,677,"Visceral area layer 2/3",117,11,"/997/8/567/688/695/315/677/1106/",1410936982,8690
"8",2,633475782,FALSE,0.390386939048767,10640,4500,7230,0.00205798372814111,0.00017639472152119,0.0868505998596524,492.365072552463,0.000374380868180092,119848249,1132,196574614016,1732574720,150475153.733669,305617.035249054,2.122404032,"P-sen",282,"FFAE6F",5,FALSE,734881840,1,884,3,1132,"Pons, sensory related",NA,NA,1,771,"Pons sensory related",885,6,"/997/8/343/1065/771/1132/",4249678601,8690
"9",3,633476810,FALSE,0.101594425737858,10640,7210,5850,0.000126777971921732,3.73063814986858e-05,0.00453758834971219,121.630352969827,2.30629846801758e-05,119848249,190,8940147200,504656992,2289925.6875,18826.9262695312,0.6182048152,"py",589,"CCCCCC",4,FALSE,734881840,1,1207,3,190,"pyramid",NA,NA,1,784,"pyramid",1208,9,"/997/1009/983/784/190/",3813563721,8690
"10",1,633476552,FALSE,0,0,0,0,0,0,0,0,0,119848249,194,120033026048,929028608,0,0,1.1380600448,"LHA",165,"F2483B",6,FALSE,734881840,1,794,3,194,"Lateral hypothalamic area",NA,NA,1,290,"Lateral hypothalamic area",795,8,"/997/8/343/1129/1097/290/194/",1636673296,8690
