"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,630575404,FALSE,0.355287551879883,5390,7060,2640,0.00313379925812695,0.000186549098412335,0.0325154174338954,174.299515305218,0.000185972504101562,187268452,665,13405295104,813803392,26461157,151814.2890625,0.9969091552,"lot",507,"CCCCCC",5,FALSE,734881840,1,1108,3,665,"lateral olfactory tract, body",NA,NA,1,21,"lateral olfactory tract body",1109,10,"/997/1009/967/840/21/665/",2791586724,8690
"2",3,630575374,FALSE,0.3178331553936,5920,1670,3220,0.00041881144440967,2.84530569879261e-05,0.00936261781361843,329.054899710475,2.48539892468452e-05,187268452,625,144094564352,713068224,6676185.25634766,20288.9708137512,0.8735085744,"SSp-ul5",1068,"188064",9,FALSE,734881840,1,83,3,625,"Primary somatosensory area, upper limb, layer 5",NA,NA,1,369,"Primary somatosensory area upper limb layer 5",84,11,"/997/8/567/688/695/315/453/322/369/625/",2356862430,8690
"3",1,630574182,FALSE,0.188395813107491,5780,4540,1160,0.000278557294186012,5.55521619389765e-05,0.014865692704916,267.598815917969,1.65307325927734e-05,187268452,1106,33710284800,242915392,3611105.5,13494.4755859375,0.2975713552,"VISC2/3",1128,"11AD83",7,FALSE,734881840,1,116,3,1106,"Visceral area, layer 2/3",NA,NA,1,677,"Visceral area layer 2/3",117,11,"/997/8/567/688/695/315/677/1106/",1410936982,8690
"4",3,630575589,FALSE,0.411429166793823,8560,5830,6770,0.00691073034082407,0.000419976019342348,0.076740159302393,182.725098024793,0.0004101110890625,187268452,924,2588876672,797151616,61173542,334784.5625,0.9765107296,"cpd",539,"CCCCCC",4,FALSE,734881840,1,1202,3,924,"cerebal peduncle",NA,NA,1,784,"cerebal peduncle",1203,9,"/997/1009/983/784/924/",993976011,8690
"5",3,630575743,FALSE,0.849663317203522,4550,4950,9230,0.261886944396079,0.00939652130601727,3.37013624247176,358.657862065786,0.0155414456476562,187268452,1101,213772659712,1350169280,4550254424,12686894.40625,1.653957368,"AId5",1127,"219866",8,FALSE,734881840,1,282,3,1101,"Agranular insular area, dorsal part, layer 5",NA,NA,1,104,"Agranular insular area dorsal part layer 5",283,11,"/997/8/567/688/695/315/95/104/1101/",581222647,8690
"6",1,630574197,FALSE,0.534862220287323,4280,3150,5670,0.0363939597592658,9.18819132493809e-05,0.0192081667482853,209.052749633789,0.002159766875,187268452,1089,2049159256448,19188488192,368575680,1763075,23.5058980352,"HPF",135,"7ED04B",5,FALSE,734881840,1,454,3,1089,"Hippocampal formation",NA,NA,1,695,"Hippocampal formation",455,5,"/997/8/567/688/695/1089/",702348177,8690
"7",1,630574408,FALSE,0,0,0,0,0,0,0,0,0,187268452,819,1937479552,27927900,0,0,0.0342116775,"ACAv6b",1092,"40A666",8,FALSE,734881840,1,237,3,819,"Anterior cingulate area, ventral part, 6b",NA,NA,1,48,"Anterior cingulate area ventral part 6b",238,11,"/997/8/567/688/695/315/31/48/819/",3556459679,8690
"8",1,630574924,FALSE,0.381827145814896,3850,3490,5450,0.00675991316591457,0.000131362415848572,0.0290111889758367,220.8484731986,0.00040116097918973,187268452,31,359833955072,2492937940,72323093.682373,327478.350358963,3.0538489765,"ACA",3,"40A666",6,FALSE,734881840,1,220,3,31,"Anterior cingulate area",NA,NA,1,315,"Anterior cingulate area",221,8,"/997/8/567/688/695/315/31/",758743580,8690
"9",3,630575682,FALSE,0.489266276359558,4500,2060,6680,0.188314350916948,0.00426304433470128,1.03182757609364,242.040076312259,0.0111753461257812,187268452,1021,241158848512,2139956992,2208066636,9122731.53125,2.6214473152,"MOs6a",1117,"1F9D5A",8,FALSE,734881840,1,28,3,1021,"Secondary motor area, layer 6a",NA,NA,1,993,"Secondary motor area layer 6a",29,11,"/997/8/567/688/695/315/500/993/1021/",3489757563,8690
"10",3,630574980,FALSE,0.576724112033844,4370,2920,6300,0.204884289078287,0.00457884483341484,1.42552212564914,311.327895465286,0.0121586742329281,187268452,48,319337796224,2167675192,3090068947.41675,9925448.35341072,2.6554021102,"ACAv",5,"40A666",7,FALSE,734881840,1,232,3,48,"Anterior cingulate area, ventral part",NA,NA,1,31,"Anterior cingulate area ventral part",233,9,"/997/8/567/688/695/315/31/48/",1783773415,8690
"11",3,630575218,FALSE,0.0768378973007202,8530,5340,4720,6.85295720197421e-05,1.8744313850587e-05,0.00307666392547574,164.138519553192,4.06682593994141e-06,187268452,374,17122375680,177112800,544916.5625,3319.85791015625,0.21696318,"SNc",329,"FFA6FF",5,FALSE,734881840,1,866,3,374,"Substantia nigra, compact part",NA,NA,1,348,"Substantia nigra compact part",867,8,"/997/8/343/313/348/374/",591190689,8690
"12",1,630574096,FALSE,0,0,0,0,0,0,0,0,0,187268452,607344842,1306833024,11298600,0,0,0.013840785,"IPA",NA,"FFA6FF",7,FALSE,734881840,1,873,3,607344842,"Interpeduncular nucleus, apical",NA,NA,1,100,"Interpeduncular nucleus apical",874,9,"/997/8/343/313/348/165/100/607344842/",3327886198,8690
"13",3,630575198,FALSE,0,0,0,0,0,0,0,0,0,187268452,347,6839936512,98460000,0,0,0.1206135,"SBPV",467,"FF5547",6,FALSE,734881840,1,751,3,347,"Subparaventricular zone",NA,NA,1,141,"Subparaventricular zone",752,8,"/997/8/343/1129/1097/141/347/",1671743599,8690
"14",3,630575319,FALSE,0.0402438342571259,13050,7090,4010,6.39201924314993e-06,2.35375343860182e-06,0.000330862745651361,140.568141176206,3.79328644561767e-07,187268452,553,60726024,131558400,43527.7734375,309.656036376953,0.16115904,"sctd",493,"CCCCCC",5,FALSE,734881840,1,1181,3,553,"dorsal spinocerebellar tract",NA,NA,1,1123,"dorsal spinocerebellar tract",1182,9,"/997/1009/960/752/1123/553/",3857282012,8690
"15",2,630573529,FALSE,0.269646614789963,7970,5830,8190,0.000726203861203143,0.000164264769409783,0.0436487756669521,265.722076416016,4.30959163085937e-05,187268452,423,37895151616,214168496,9348193,35180.33984375,0.2623564076,"CA2",52,"7ED04B",8,FALSE,734881840,1,462,3,423,"Field CA2",NA,NA,1,375,"Field CA2",463,9,"/997/8/567/688/695/1089/1080/375/423/",3178502974,8690
"16",1,630574253,FALSE,0.298254787921906,7310,2830,1210,0.00196523177525139,0.000174152079821826,0.0392125425253973,225.16264270582,0.000116624915726703,187268452,1011,90848523200,546671696,21436387.1268311,95204.0128381252,0.6696728276,"AUDd",833,"019399",7,FALSE,734881840,1,122,3,1011,"Dorsal auditory area",NA,NA,1,247,"Dorsal auditory area",123,8,"/997/8/567/688/695/315/247/1011/",2633724239,8690
"17",2,630573449,FALSE,0.116249769926071,5640,3750,6060,5.44822156885431e-05,1.23656736832345e-05,0.00261315261013806,211.323104858398,3.23319818725586e-06,187268452,310,4245622528,213441296,557754.6875,2639.34545898438,0.2614655876,"SF",321,"90CBED",6,FALSE,734881840,1,590,3,310,"Septofimbrial nucleus",NA,NA,1,275,"Septofimbrial nucleus",591,8,"/997/8/567/623/477/275/310/",3780909616,8690
"18",3,630575403,FALSE,0.458532452583313,9190,5950,8990,0.0232041014994073,0.00127041266846122,0.341905526252926,269.129499997082,0.00137702657567506,187268452,664,81516142592,884833216,302529366.362549,1124103.32708168,1.0839206896,"ENTm3",931,"32B825",9,FALSE,734881840,1,512,3,664,"Entorhinal area, medial part, dorsal zone, layer 3",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 3",513,11,"/997/8/567/688/695/1089/822/909/926/664/",1637749653,8690
"19",2,630573852,FALSE,0.286364793777466,4990,4550,10190,0.00156421717560124,0.000502562907058746,0.0957623794674873,190.548034667969,9.28270642578125e-05,187268452,897,10264886272,150781504,14439196,75777.1953125,0.1847073424,"VISC1",1102,"11AD83",7,FALSE,734881840,1,115,3,897,"Visceral area, layer 1",NA,NA,1,677,"Visceral area layer 1",116,11,"/997/8/567/688/695/315/677/897/",1291666049,8690
"20",3,630575023,FALSE,0.0415439791977406,6050,7140,5210,3.33879998427986e-05,5.77734694192959e-06,0.000941540693519775,162.971118574594,1.98138088188171e-06,187268452,117,95207704,279964800,263598.251953125,1617.45378112793,0.34295688,"och",580,"CCCCCC",4,FALSE,734881840,1,1116,3,117,"optic chiasm",NA,NA,1,848,"optic chiasm",1117,9,"/997/1009/967/848/117/",1585611786,8690
"21",1,630574767,FALSE,0.0348920598626137,4300,5280,5480,5.50478787780199e-05,3.14897897624178e-06,0.000636407698038965,202.099700927734,3.26676695556641e-06,187268452,258,64132857856,846861312,538949.0625,2666.74853515625,1.0374051072,"LSr",173,"90CBED",7,FALSE,734881840,1,588,3,258,"Lateral septal nucleus, rostral (rostroventral) part",NA,NA,1,242,"Lateral septal nucleus rostral (rostroventral) part",589,9,"/997/8/567/623/477/275/242/258/",2666394691,8690
"22",2,630573786,FALSE,0.478475570678711,3700,6370,6420,0.0799306630945167,0.000918847392313182,0.217781379818916,237.015823364258,0.00474341345625,187268452,803,314307727008,4214164736,917766592,3872174.25,5.1623518016,"PAL",241,"8599CC",4,FALSE,734881840,1,608,3,803,"Pallidum",NA,NA,1,623,"Pallidum",609,5,"/997/8/567/623/803/",1451914672,8690
