"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633277964,FALSE,0,0,0,0,0,0,0,0,0,113505468,312782624,2310462976,12833100,0,0,0.0157205475,"VISrl6b",NA,"009FAC",8,FALSE,734881840,1,359,3,312782624,"Rostrolateral area, layer 6b",NA,NA,1,417,"Rostrolateral area layer 6b",360,11,"/997/8/567/688/695/315/22/417/312782624/",3279221348,8690
"2",3,633279771,FALSE,0.0166028067469597,8850,3300,7970,3.04272769067914e-07,2.84834656269037e-07,5.71825454821723e-05,200.756980316894,5.6805552482605e-08,113505468,325,22205365248,162802800,9309.478515625,46.3718795776367,0.19943343,"SGN",323,"FF909F",7,FALSE,734881840,1,671,3,325,"Suprageniculate nucleus",NA,NA,1,138,"Suprageniculate nucleus",672,8,"/997/8/343/1129/549/856/138/325/",2630178778,8690
"3",1,633279265,FALSE,0,0,0,0,0,0,0,0,0,113505468,377,12819647488,48273300,0,0,0.0591347925,"VISpl6a",1037,"08858C",8,FALSE,734881840,1,197,3,377,"Posterolateral visual area, layer 6a",NA,NA,1,425,"Posterolateral visual area layer 6a",198,11,"/997/8/567/688/695/315/669/425/377/",818416878,8690
"4",3,633279752,FALSE,0.140286862850189,3840,3690,5870,0.000146830348987009,4.9502170779901e-05,0.0134961518247659,272.637575527205,2.74121773071289e-05,113505468,296,99337773056,452046592,6100889.4375,22377.2875976562,0.5537570752,"ACAv2/3",885,"40A666",8,FALSE,734881840,1,234,3,296,"Anterior cingulate area, ventral part, layer 2/3",NA,NA,1,48,"Anterior cingulate area ventral part layer 2/3",235,11,"/997/8/567/688/695/315/31/48/296/",4195964388,8690
"5",1,633279067,FALSE,0.035806555300951,8460,4630,5580,3.2051316864173e-06,1.64962748385733e-05,0.00481495633721352,291.881439208984,5.98375190734863e-07,113505468,681,2654611968,29610900,142575.1875,488.469543457031,0.0362733525,"mtg",509,"CCCCCC",5,FALSE,734881840,1,1280,3,681,"mammillotegmental tract",NA,NA,1,46,"mammillotegmental tract",1281,9,"/997/1009/991/824/46/681/",1041591581,8690
"6",1,633278950,FALSE,0.596370935440063,6620,3780,1630,0.000400839887304036,6.54816685710102e-05,0.0621029138565063,948.401550292969,7.48339436523437e-05,113505468,862,228571070464,932916608,57936840,61088.93359375,1.1428228448,"SSs6a",956,"188064",8,FALSE,734881840,1,105,3,862,"Supplemental somatosensory area, layer 6a",NA,NA,1,378,"Supplemental somatosensory area layer 6a",106,11,"/997/8/567/688/695/315/453/378/862/",1835367775,8690
"7",2,633278328,FALSE,0.357511013746262,7140,5580,7110,0.00463303647075717,0.0139642503629079,7.34770219010438,526.179494004312,0.0008649548140625,113505468,760,10101603328,50563800,371527744,706085.5625,0.061940655,"epsc",660,"CCCCCC",3,FALSE,734881840,1,1219,3,760,"cerebral nuclei related",NA,NA,1,1000,"cerebral nuclei related",1220,7,"/997/1009/1000/760/",3574075519,8690
"8",1,633279272,FALSE,0.11002591252327,6970,4860,5340,4.81849486000938e-05,5.32711965206545e-05,0.0325532034039497,611.08447265625,8.99578570556641e-06,113505468,366,27555457024,137851200,4487498,7343.49853515625,0.16886772,"SMT",328,"FF909F",7,FALSE,734881840,1,689,3,366,"Submedial nucleus of the thalamus",NA,NA,1,444,"Submedial nucleus of the thalamus",690,8,"/997/8/343/1129/549/856/444/366/",524654949,8690
"9",2,633278114,FALSE,0.257424175739288,7000,270,6570,0.000490793014819213,0.000199483663891442,0.0474761836230755,237.995346069336,9.162755e-05,113505468,442,69533097984,374958016,17801576,74798,0.4593235696,"RSPd1",1045,"1AA698",8,FALSE,734881840,1,326,3,442,"Retrosplenial area, dorsal part, layer 1",NA,NA,1,879,"Retrosplenial area dorsal part layer 1",327,11,"/997/8/567/688/695/315/254/879/442/",3307182297,8690
"10",3,633280314,FALSE,0.553645491600037,6160,5020,6390,0.00172429366078856,0.00192953438391208,1.64439380989723,852.223118493111,0.000321913309375,113505468,1077,25937006592,136191600,223952624,262786.375,0.16683471,"PR",275,"FF909F",7,FALSE,734881840,1,690,3,1077,"Perireunensis nucleus",NA,NA,1,444,"Perireunensis nucleus",691,8,"/997/8/343/1129/549/856/444/1077/",985229058,8690
