"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633628054,FALSE,0,0,0,0,0,0,0,0,0,114473794,549009203,5855001600,27975600,0,0,0.03427011,"RPF",NA,"FF90FF",6,FALSE,734881840,1,850,3,549009203,"Retroparafascicular nucleus",NA,NA,1,1100,"Retroparafascicular nucleus",851,9,"/997/8/343/313/323/1100/549009203/",2559458743,8690
"2",2,633628030,FALSE,0.317694902420044,9610,6960,5780,0.00308560113927671,0.000434672850962991,0.0486617081037381,111.950189656269,0.000398052027264404,114473794,933,47903622208,747551704,36377142.8125,324940.430419922,0.9157508374,"VIIIn",682,"CCCCCC",3,FALSE,734881840,1,1133,3,933,"vestibulocochlear nerve",NA,NA,1,967,"vestibulocochlear nerve",1134,8,"/997/1009/967/933/",3849290809,8690
"3",2,633627734,FALSE,0.0149450991302729,7630,6470,7500,2.52863606260259e-06,6.12159965385217e-07,3.47414752468467e-05,56.7522811889648,3.26201821136475e-07,114473794,780,98553479168,434996096,15112.40625,266.287200927734,0.5328702176,"PA",238,"97EC93",5,FALSE,734881840,1,569,3,780,"Posterior amygdalar nucleus",NA,NA,1,703,"Posterior amygdalar nucleus",570,8,"/997/8/567/688/703/780/",2472141022,8690
"4",1,633628124,FALSE,0.0459737032651901,9030,5550,4030,2.84502420594498e-05,1.72925069013672e-06,0.000173746030123415,100.474749620992,3.67016863708496e-06,114473794,1132,305218001920,1732574720,301027.979492188,2996.05603027344,2.122404032,"P-sen",282,"FFAE6F",5,FALSE,734881840,1,884,3,1132,"Pons, sensory related",NA,NA,1,771,"Pons sensory related",885,6,"/997/8/343/1065/771/1132/",4249678601,8690
"5",1,633628785,FALSE,0,0,0,0,0,0,0,0,0,114473794,197,2497709312,25048800,0,0,0.03068478,"RL",307,"FFA6FF",6,FALSE,734881840,1,879,3,197,"Rostral linear nucleus raphe",NA,NA,1,165,"Rostral linear nucleus raphe",880,8,"/997/8/343/313/348/165/197/",4030987523,8690
"6",3,633629097,FALSE,0,0,0,0,0,0,0,0,0,114473794,312782590,39662469120,133151400,0,0,0.163110465,"VISli5",NA,"08858C",8,FALSE,734881840,1,210,3,312782590,"Laterointermediate area, layer 5",NA,NA,1,312782574,"Laterointermediate area layer 5",211,11,"/997/8/567/688/695/315/669/312782574/312782590/",2197985977,8690
"7",3,633629691,FALSE,0,0,0,0,0,0,0,0,0,114473794,1104,39557109760,149716800,0,0,0.18340308,"AMv",420,"FF909F",8,FALSE,734881840,1,678,3,1104,"Anteromedial nucleus, ventral part",NA,NA,1,127,"Anteromedial nucleus ventral part",679,9,"/997/8/343/1129/549/856/239/127/1104/",4096603778,8690
"8",2,633627965,FALSE,0,0,0,0,0,0,0,0,0,114473794,1074,13184038912,53051400,0,0,0.064987965,"VISal1",1124,"08858C",8,FALSE,734881840,1,165,3,1074,"Anterolateral visual area, layer 1",NA,NA,1,402,"Anterolateral visual area layer 1",166,11,"/997/8/567/688/695/315/669/402/1074/",2830003304,8690
"9",1,633628901,FALSE,0.25159627199173,5640,7390,2980,0.00162306853766142,0.000357670077843255,0.0427524150366205,119.530309313032,0.000209380828125,114473794,21,28001762304,477879296,20430494,170923.125,0.5854021376,"lotg",568,"CCCCCC",4,FALSE,734881840,1,1107,3,21,"lateral olfactory tract, general",NA,NA,1,840,"lateral olfactory tract general",1108,9,"/997/1009/967/840/21/",2601931165,8690
"10",3,633629285,FALSE,0.152486354112625,7410,6600,4410,0.000134280133156279,0.000109485626303402,0.0224869500113041,205.387234567113,1.73225497436523e-05,114473794,557,15022215168,129157200,2904351.5,14140.8569335938,0.15821757,"TM",352,"FF4C3E",7,FALSE,734881840,1,773,3,557,"Tuberomammillary nucleus",NA,NA,1,331,"Tuberomammillary nucleus",774,8,"/997/8/343/1129/1097/467/331/557/",1759031183,8690
"11",3,633629747,FALSE,0.0975855141878128,6130,6980,3990,5.6762656818134e-05,1.64090718527306e-06,0.000315136420894997,192.05011942376,7.32255712890625e-06,114473794,278,767828719104,3642861528,1147998.34375,5977.59765625,4.4625053718,"sAMY",317,"80C0E2",5,FALSE,734881840,1,592,3,278,"Striatum-like amygdalar nuclei",NA,NA,1,477,"Striatum-like amygdalar nuclei",593,6,"/997/8/567/623/477/278/",746209354,8690
"12",2,633627693,FALSE,0,0,0,0,0,0,0,0,0,114473794,709,303074423808,1275487232,0,0,1.5624718592,"VP",371,"FF8084",7,FALSE,734881840,1,646,3,709,"Ventral posterior complex of the thalamus",NA,NA,1,637,"Ventral posterior complex of the thalamus",647,8,"/997/8/343/1129/549/864/637/709/",359843477,8690
"13",2,633627296,FALSE,0.0734983086585999,6170,2830,5860,0.000122462947294272,3.21578372677322e-05,0.00159090827219188,49.471866607666,1.57980964599609e-05,114473794,129,11143525376,401034592,638009.25,12896.4052734375,0.4912673752,"V3",723,"AAAAAA",2,FALSE,734881840,1,1299,3,129,"third ventricle",NA,NA,1,73,"third ventricle",1300,8,"/997/73/129/",562407244,8690
"14",1,633628806,FALSE,0,0,0,0,0,0,0,0,0,114473794,162,19441616896,91564200,0,0,0.112166145,"LDT",161,"FFC395",6,FALSE,734881840,1,929,3,162,"Laterodorsal tegmental nucleus",NA,NA,1,1117,"Laterodorsal tegmental nucleus",930,8,"/997/8/343/1065/771/1117/162/",1067465072,8690
"15",2,633627788,FALSE,0,0,0,0,0,0,0,0,0,114473794,854,143433302016,440530208,0,0,0.5396495048,"SSp-ul2/3",955,"188064",9,FALSE,734881840,1,81,3,854,"Primary somatosensory area, upper limb, layer 2/3",NA,NA,1,369,"Primary somatosensory area upper limb layer 2/3",82,11,"/997/8/567/688/695/315/453/322/369/854/",243505027,8690
