"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,634138250,FALSE,0.0712411552667618,2480,3800,5410,4.28356432577454e-05,1.4516254850605e-05,0.00366870849393308,252.731063842773,3.08171509399414e-06,114008220,969,42747293696,173301296,635791.9375,2515.68579101562,0.2122940876,"ORBvl1",1111,"248A5E",8,FALSE,734881840,1,273,3,969,"Orbital area, ventrolateral part, layer 1",NA,NA,1,746,"Orbital area ventrolateral part layer 1",274,11,"/997/8/567/688/695/315/714/746/969/",4095217692,8690
"2",1,634138886,FALSE,0,0,0,0,0,0,0,0,0,114008220,88,59981262848,319767296,0,0,0.3917149376,"AHN",10,"FF4C3E",6,FALSE,734881840,1,757,3,88,"Anterior hypothalamic nucleus",NA,NA,1,467,"Anterior hypothalamic nucleus",758,8,"/997/8/343/1129/1097/467/88/",2309913226,8690
"3",1,634138233,FALSE,0.186885192990303,8630,6320,5010,0.000363221081511792,8.1803875891672e-06,0.000847121254231908,103.555148823718,2.61311329589844e-05,114008220,987,250900622976,2607643816,2208990.5,21331.537109375,3.1943636746,"P-mot",264,"FFBA86",5,FALSE,734881840,1,906,3,987,"Pons, motor related",NA,NA,1,771,"Pons motor related",907,6,"/997/8/343/1065/771/987/",583149041,8690
"4",3,634139687,FALSE,0.138826414942741,5780,4980,4540,5.43314991917882e-05,2.62919535400268e-06,0.000792790005226401,301.533320458467,3.9087588840723e-06,114008220,809,234680005504,1213612208,962139.628723145,3190.82357883453,1.4866749548,"PALc",242,"B3C0DF",5,FALSE,734881840,1,620,3,809,"Pallidum, caudal region",NA,NA,1,803,"Pallidum caudal region",621,6,"/997/8/567/623/803/809/",1672245294,8690
"5",2,634137871,FALSE,0.231466308236122,8370,5990,5970,0.000346930694257302,0.000589104369282722,0.23967707157135,406.849914550781,2.49591572753906e-05,114008220,606826659,6648235008,34586100,8289495,20374.822265625,0.0423679725,"MMd",NA,"FF4C3E",8,FALSE,734881840,1,769,3,606826659,"Medial mammillary nucleus, dorsal part",NA,NA,1,491,"Medial mammillary nucleus dorsal part",770,9,"/997/8/343/1129/1097/467/331/491/606826659/",329278641,8690
"6",3,634139735,FALSE,2.99508556054207e-05,9530,3610,3450,4.58987273235431e-10,6.69083547509431e-10,1.83997980234698e-07,275.000006979105,3.30208186525851e-11,114008220,874,4940070016,40287600,7.41283702850342,0.0269557703286409,0.04935231,"PBG",250,"FF7AFF",5,FALSE,734881840,1,818,3,874,"Parabigeminal nucleus",NA,NA,1,339,"Parabigeminal nucleus",819,8,"/997/8/343/313/339/874/",1543308203,8690
"7",1,634138912,FALSE,0,0,0,0,0,0,0,0,0,114008220,41,30849613824,131492704,0,0,0.1610785624,"VISpm2/3",995,"08858C",8,FALSE,734881840,1,201,3,41,"posteromedial visual area, layer 2/3",NA,NA,1,533,"posteromedial visual area layer 2/3",202,11,"/997/8/567/688/695/315/669/533/41/",736869347,8690
"8",1,634138650,FALSE,0.0187926962971687,10400,6500,3160,1.6844867621668e-05,8.78810533322394e-06,0.000313568802084774,35.6810455322266,1.21186654052734e-06,114008220,413,2015901952,112570200,35298.50390625,989.27880859375,0.137898495,"vVIIIn",617,"CCCCCC",4,FALSE,734881840,1,1135,3,413,"vestibular nerve",NA,NA,1,933,"vestibular nerve",1136,9,"/997/1009/967/933/413/",3018519253,8690
"9",1,634138624,FALSE,0,0,0,0,0,0,0,0,0,114008220,451,42041692160,188746208,0,0,0.2312141048,"BLAv",763,"9DE79C",6,FALSE,734881840,1,565,3,451,"Basolateral amygdalar nucleus, ventral part",NA,NA,1,295,"Basolateral amygdalar nucleus ventral part",566,9,"/997/8/567/688/703/295/451/",1149064021,8690
"10",1,634138908,FALSE,0.288180649280548,3850,3720,5580,0.00269897909392896,0.000146246813643356,0.0509694286338449,348.516506883638,0.000194172048779297,114008220,48,275355375104,1083837596,55242583,158507.794921875,1.3277010551,"ACAv",5,"40A666",7,FALSE,734881840,1,232,3,48,"Anterior cingulate area, ventral part",NA,NA,1,31,"Anterior cingulate area ventral part",233,9,"/997/8/567/688/695/315/31/48/",1783773415,8690
