"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,632624198,FALSE,0,0,0,0,0,0,0,0,0,300209456,582,59289401344,285271200,0,0,0.34945722,"ORBm2/3",638,"248A5E",8,FALSE,734881840,1,267,3,582,"Orbital area, medial part, layer 2/3",NA,NA,1,731,"Orbital area medial part layer 2/3",268,11,"/997/8/567/688/695/315/714/731/582/",2925130542,8690
"2",3,632624317,FALSE,0,0,0,0,0,0,0,0,0,300209456,690,10887704064,116600400,0,0,0.14283549,"mtt",510,"CCCCCC",5,FALSE,734881840,1,1279,3,690,"mammillothalamic tract",NA,NA,1,46,"mammillothalamic tract",1280,9,"/997/1009/991/824/46/690/",1649345323,8690
"3",2,632622390,FALSE,0.00477071013301611,8040,3590,6340,8.12636311569269e-07,4.38937092894776e-07,0.000170643208548427,388.764617919922,1.50424225568771e-08,300209456,549009203,5938695680,27975600,4773.84619140625,12.2795286178589,0.03427011,"RPF",NA,"FF90FF",6,FALSE,734881840,1,850,3,549009203,"Retroparafascicular nucleus",NA,NA,1,1100,"Retroparafascicular nucleus",851,9,"/997/8/343/313/323/1100/549009203/",2559458743,8690
"4",2,632621824,FALSE,0.241523757576942,3460,5880,5710,0.00742670737494286,0.000347512075677514,0.0638110935688019,183.622680664062,0.000137473146289062,300209456,605,46261567488,322932608,20606684,112222.9765625,0.3955924448,"TTv",358,"62D09F",7,FALSE,734881840,1,405,3,605,"Taenia tecta, ventral part",NA,NA,1,589,"Taenia tecta ventral part",406,9,"/997/8/567/688/695/698/589/605/",4008781829,8690
"5",3,632623848,FALSE,0.161399021744728,10460,6910,6710,0.000375113813930526,3.22622787663575e-05,0.0125243985791366,388.205640086304,6.94359877319336e-06,300209456,105,14574157824,175692608,2200444.25,5668.24389648438,0.2152234448,"SOCm",437,"FFAE6F",7,FALSE,734881840,1,904,3,105,"Superior olivary complex, medial part",NA,NA,1,398,"Superior olivary complex medial part",905,9,"/997/8/343/1065/771/1132/398/105/",3450441622,8690
"6",3,632624683,FALSE,0,0,0,0,0,0,0,0,0,300209456,1026,9900504064,65919600,0,0,0.08075151,"SSp-ul6b",1118,"188064",9,FALSE,734881840,1,85,3,1026,"Primary somatosensory area, upper limb, layer 6b",NA,NA,1,369,"Primary somatosensory area upper limb layer 6b",86,11,"/997/8/567/688/695/315/453/322/369/1026/",997472564,8690
"7",1,632622685,FALSE,0,0,0,0,0,0,0,0,0,300209456,927,1298156800,11122200,0,0,0.013624695,"ACAd6b",964,"40A666",8,FALSE,734881840,1,231,3,927,"Anterior cingulate area, dorsal part, layer 6b",NA,NA,1,39,"Anterior cingulate area dorsal part layer 6b",232,11,"/997/8/567/688/695/315/31/39/927/",1998938750,8690
"8",1,632622994,FALSE,0,0,0,0,0,0,0,0,0,300209456,638,37358678016,197472608,0,0,0.2419039448,"GU6a",645,"009C75",7,FALSE,734881840,1,112,3,638,"Gustatory areas, layer 6a",NA,NA,1,1057,"Gustatory areas layer 6a",113,11,"/997/8/567/688/695/315/1057/638/",3653947637,8690
"9",2,632622412,FALSE,0.0517188832163811,8540,5830,5830,4.31042223126565e-05,2.1139388991287e-05,0.00806359201669693,381.448669433594,7.97886972045898e-07,300209456,607344838,8259579392,30811500,248451.359375,651.336303710938,0.0377440875,"IPC",NA,"FFA6FF",7,FALSE,734881840,1,872,3,607344838,"Interpeduncular nucleus, caudal",NA,NA,1,100,"Interpeduncular nucleus caudal",873,9,"/997/8/343/313/348/165/100/607344838/",3381879533,8690
"10",2,632622230,FALSE,0.0731596276164055,7520,1600,5730,0.000102286064020516,4.61060199086205e-06,0.0011817665072158,256.315002441406,1.8933810546875e-06,300209456,986,40374558720,335231104,396164.875,1545.6171875,0.4106581024,"ccs",547,"CCCCCC",4,FALSE,734881840,1,1199,3,986,"corpus callosum, splenium",NA,NA,1,776,"corpus callosum splenium",1200,9,"/997/1009/983/776/986/",2236557760,8690
