"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633449113,FALSE,0,0,0,0,0,0,0,0,0,120493315,893,12480715776,187232400,0,0,0.22935969,"SSs6b",960,"188064",8,FALSE,734881840,1,106,3,893,"Supplemental somatosensory area, layer 6b",NA,NA,1,378,"Supplemental somatosensory area layer 6b",107,11,"/997/8/567/688/695/315/453/378/893/",4100730085,8690
"2",3,633449317,FALSE,0.999998927116394,9720,4360,6450,0.239113207405033,0.0165720826949542,11.6611919811859,703.664843812086,0.0163063623679687,120493315,1052,51958872064,803237376,9366705248,13311316.21875,0.9839657856,"PPN",272,"FFA6FF",5,FALSE,734881840,1,867,3,1052,"Pedunculopontine nucleus",NA,NA,1,348,"Pedunculopontine nucleus",868,8,"/997/8/343/313/348/1052/",2704258246,8690
"3",1,633447254,FALSE,0.686063766479492,7810,4950,3890,0.182701502817808,0.0014867588179186,0.458466917276382,308.36669921875,0.0124593574,120493315,1097,602540640528,6840991232,3136368128,10170904,8.3802142592,"HY",136,"E64438",4,FALSE,734881840,1,715,3,1097,"Hypothalamus",NA,NA,1,1129,"Hypothalamus",716,5,"/997/8/343/1129/1097/",3938328193,8690
"4",1,633447779,FALSE,0.730090141296387,9270,4380,5490,0.019797644286924,0.0294455997645855,12.7602729797363,433.350769042969,0.00135010343125,120493315,591,2445505024,37429200,477606816,1102125.25,0.04585077,"CLI",73,"FFA6FF",6,FALSE,734881840,1,880,3,591,"Central linear nucleus raphe",NA,NA,1,165,"Central linear nucleus raphe",881,8,"/997/8/343/313/348/165/591/",3351344971,8690
"5",3,633448943,FALSE,0.0125991944223642,8040,2670,4950,1.97415848145897e-06,2.10080867689701e-06,0.000295077144377047,140.458837409645,1.3462804468153e-07,120493315,706,5069722112,52313400,15436.4886846542,109.900444637984,0.064083915,"OP",229,"FF90FF",6,FALSE,734881840,1,848,3,706,"Olivary pretectal nucleus",NA,NA,1,1100,"Olivary pretectal nucleus",849,9,"/997/8/343/313/323/1100/706/",4010106689,8690
"6",3,633449172,FALSE,0,0,0,0,0,0,0,0,0,120493315,942,253396402176,2513253568,0,0,3.0787356208,"EP",117,"A0EE9D",5,FALSE,734881840,1,558,3,942,"Endopiriform nucleus",NA,NA,1,703,"Endopiriform nucleus",559,8,"/997/8/567/688/703/942/",2263280236,8690
"7",3,633449351,FALSE,0,0,0,0,0,0,0,0,0,120493315,1085,2531904640,66227400,0,0,0.081128565,"MOs6b",1125,"1F9D5A",8,FALSE,734881840,1,29,3,1085,"Secondary motor area, layer 6b",NA,NA,1,993,"Secondary motor area layer 6b",30,11,"/997/8/567/688/695/315/500/993/1085/",1225271489,8690
"8",3,633449313,FALSE,0.154686763882637,10840,5240,8710,0.000240184868963593,1.11097106380667e-05,0.0041913424398776,377.26837146561,1.63794444946289e-05,120493315,1049,146475524096,1203539456,5044446,13370.9750976562,1.4743358336,"FL",413,"FFFC91",5,FALSE,734881840,1,1092,3,1049,"Flocculus",NA,NA,1,1073,"Flocculus",1093,8,"/997/8/512/528/1073/1049/",1738627181,8690
"9",3,633448546,FALSE,0.109023325145245,10500,4590,6630,0.000255683254427103,0.000591579706878154,0.139051842015577,235.051744336148,1.74363593017578e-05,120493315,350,1829866880,24060600,3345670.75,14233.7626953125,0.029474235,"SLC",326,"FFC395",6,FALSE,734881840,1,933,3,350,"Subceruleus nucleus",NA,NA,1,1117,"Subceruleus nucleus",934,8,"/997/8/343/1065/771/1117/350/",3054129819,8690
"10",1,633448035,FALSE,0,0,0,0,0,0,0,0,0,120493315,197,861412096,25048800,0,0,0.03068478,"RL",307,"FFA6FF",6,FALSE,734881840,1,879,3,197,"Rostral linear nucleus raphe",NA,NA,1,165,"Rostral linear nucleus raphe",880,8,"/997/8/343/313/348/165/197/",4030987523,8690
"11",2,633446294,FALSE,0.232846677303314,12080,7160,5700,0.000275585129627562,0.000152515234232095,0.0293932129500394,192.723127614316,1.87935707763672e-05,120493315,379,5464139072,100591200,2956698.5625,15341.6904296875,0.12322422,"MY-sat",188,"FFC6E2",5,FALSE,734881840,1,1010,3,379,"Medulla, behavioral state related",NA,NA,1,354,"Medulla behavioral state related",1011,6,"/997/8/343/1065/354/379/",492266850,8690
"12",3,633448239,FALSE,0.114792928099632,8750,6210,7210,0.000319259483364415,1.80496532478164e-05,0.00264166857454047,146.355641201033,2.17719501220703e-05,120493315,78,16637638144,984673792,2601181.8125,17773.0205078125,1.2062253952,"mcp",575,"CCCCCC",4,FALSE,734881840,1,1179,3,78,"middle cerebellar peduncle",NA,NA,1,752,"middle cerebellar peduncle",1180,8,"/997/1009/960/752/78/",733008278,8690
"13",3,633449420,FALSE,0,0,0,0,0,0,0,0,0,120493315,563807439,832304288,20250000,0,0,0.02480625,"IntG",NA,"FF909F",7,FALSE,734881840,1,706,3,563807439,"Intermediate geniculate nucleus",NA,NA,1,1014,"Intermediate geniculate nucleus",707,8,"/997/8/343/1129/549/856/1014/563807439/",2887461472,8690
"14",2,633446307,FALSE,0.239050626754761,7940,1490,9810,5.8043858544581e-05,9.4702985382801e-06,0.00189260913221774,199.846828964007,3.9583099609375e-06,120493315,402,41984078848,341200800,645759.75,3231.2734375,0.41797098,"VISal",757,"08858C",7,FALSE,734881840,1,164,3,402,"Anterolateral visual area",NA,NA,1,669,"Anterolateral visual area",165,8,"/997/8/567/688/695/315/669/402/",1250787960,8690
"15",2,633447052,FALSE,0.172044858336449,7330,6100,7410,0.000147772122417738,4.51645075198148e-06,0.000684318901731255,151.516963055786,1.00773428710937e-05,120493315,278,211071044864,1821430764,1246439.5,8226.40234375,2.2312526859,"sAMY",317,"80C0E2",5,FALSE,734881840,1,592,3,278,"Striatum-like amygdalar nuclei",NA,NA,1,477,"Striatum-like amygdalar nuclei",593,6,"/997/8/567/623/477/278/",746209354,8690
