"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633991436,FALSE,0.155452460050583,10440,6700,6000,5.31724675327655e-05,9.71920417214278e-06,0.0023599558044225,242.813690185547,2.85743870849609e-06,147353537,307,10511652864,239999392,566387.9375,2332.60302734375,0.2939992552,"MARN",179,"FFB3D9",6,FALSE,734881840,1,984,3,307,"Magnocellular reticular nucleus",NA,NA,1,370,"Magnocellular reticular nucleus",985,8,"/997/8/343/1065/354/370/307/",1658667243,8690
"2",1,633992985,FALSE,0,0,0,0,0,0,0,0,0,147353537,888,16657016832,149899504,0,0,0.1836268924,"PERI2/3",959,"0E9684",7,FALSE,734881840,1,369,3,888,"Perirhinal area, layer 2/3",NA,NA,1,922,"Perirhinal area layer 2/3",370,11,"/997/8/567/688/695/315/922/888/",1642584549,8690
"3",1,633993120,FALSE,0.0520516782999039,9860,1250,3620,3.96479885728863e-05,2.48930700763594e-06,0.000760194263420999,305.383911132812,2.13064584960937e-06,147353537,778,150390128640,698709632,531155.0625,1739.302734375,0.8559192992,"VISp5",1087,"08858C",8,FALSE,734881840,1,189,3,778,"Primary visual area, layer 5",NA,NA,1,385,"Primary visual area layer 5",190,11,"/997/8/567/688/695/315/669/385/778/",1453946728,8690
"4",1,633993128,FALSE,0.124352529644966,5650,2310,5270,0.000565875136989954,5.50239492440596e-05,0.0199026949703693,361.709716796875,3.04096009765625e-05,147353537,772,105898369024,451152000,8979141,24824.1640625,0.5526612,"ACAv5",1086,"40A666",8,FALSE,734881840,1,235,3,772,"Anterior cingulate area, ventral part, layer 5",NA,NA,1,48,"Anterior cingulate area ventral part layer 5",236,11,"/997/8/567/688/695/315/31/48/772/",4291796796,8690
"5",3,633994866,FALSE,0.0663342550396919,10700,2280,4290,6.56543660040893e-05,2.84063474779069e-06,0.0013667857287924,481.155041089116,3.52820426635742e-06,147353537,811,184215625728,1013916608,1385806.75,2880.16674804688,1.2420478448,"ICc",808,"FF7AFF",6,FALSE,734881840,1,813,3,811,"Inferior colliculus, central nucleus",NA,NA,1,4,"Inferior colliculus central nucleus",814,9,"/997/8/343/313/339/4/811/",3750101210,8690
"6",3,633995427,FALSE,0.230163127183914,7190,7330,5930,0.000378930967167669,0.000226489276107662,0.0651472085973159,287.639263619475,2.03633960144043e-05,147353537,10671,820979040,73395000,4781479.375,16623.1804199219,0.089908875,"ME",NA,"F2483B",5,FALSE,734881840,1,805,3,10671,"Median eminence",NA,NA,1,1097,"Median eminence",806,8,"/997/8/343/1129/1097/10671/",138849015,8690
"7",3,633994854,FALSE,0.574710488319397,6920,3060,6250,0.0299071506480634,0.00538515994787444,2.14630829434084,398.559804187061,0.00160718232363281,147353537,802,15612615422.1953,243629824,522904712,1311985.5703125,0.2984465344,"sm",524,"CCCCCC",5,FALSE,734881840,1,1285,3,802,"stria medullaris",NA,NA,1,1083,"stria medullaris",1286,9,"/997/1009/991/824/1083/802/",1930258468,8690
"8",1,633993545,FALSE,0.299491077661514,6690,7130,3610,0.00337306846770222,0.000162096679559909,0.0543105192482471,335.050170898438,0.000181265546875,147353537,403,139264933888,912861888,49578004,147971.875,1.1182558128,"MEA",191,"80C0E2",6,FALSE,734881840,1,600,3,403,"Medial amygdalar nucleus",NA,NA,1,278,"Medial amygdalar nucleus",601,8,"/997/8/567/623/477/278/403/",3783070713,8690
"9",1,633993911,FALSE,0,0,0,0,0,0,0,0,0,147353537,114,5651831808,151872304,0,0,0.1860435724,"SOCl",438,"FFAE6F",7,FALSE,734881840,1,905,3,114,"Superior olivary complex, lateral part",NA,NA,1,398,"Superior olivary complex lateral part",906,9,"/997/8/343/1065/771/1132/398/114/",98062534,8690
"10",1,633992899,FALSE,0.393079370260239,5330,6110,2990,0.000725736239368925,2.53353272320909e-05,0.00888145600754599,350.556198709616,3.90003872070312e-05,147353537,942,153248329728,1256626784,11160675.5,31837.05078125,1.5393678104,"EP",117,"A0EE9D",5,FALSE,734881840,1,558,3,942,"Endopiriform nucleus",NA,NA,1,703,"Endopiriform nucleus",559,8,"/997/8/567/688/703/942/",2263280236,8690
