"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,631723693,FALSE,0.455765277147293,9760,4470,5340,0.00423309840938953,0.0355563387274742,15.8320293426514,445.266021728516,0.00073560423125,272830456,757,3741333248,16888500,267379232,600493.25,0.0206884125,"VTN",377,"FF90FF",5,FALSE,734881840,1,859,3,757,"Ventral tegmental nucleus",NA,NA,1,323,"Ventral tegmental nucleus",860,8,"/997/8/343/313/323/757/",4044693766,8690
"2",1,631723742,FALSE,0.484368652105331,9620,5330,5620,0.00468045532169074,0.00245233625173569,0.728344678878784,297.000335693359,0.0008133434203125,272830456,679,32919339008,270743392,197194512,663953.8125,0.3316606552,"CS",84,"FFC395",6,FALSE,734881840,1,925,3,679,"Superior central nucleus raphe",NA,NA,1,1117,"Superior central nucleus raphe",926,8,"/997/8/343/1065/771/1117/679/",734395698,8690
"3",3,631725093,FALSE,0.101190567016602,9050,4210,5800,5.19438607926555e-05,0.00118143068637453,0.174943704780944,148.077840535695,9.02651440887451e-06,272830456,1060,358867712,6237000,1091123.88671875,7368.58319091797,0.007640325,"dtd",556,"CCCCCC",4,FALSE,734881840,1,1228,3,1060,"doral tegmental decussation",NA,NA,1,877,"doral tegmental decussation",1229,9,"/997/1009/1000/877/1060/",2067491806,8690
"4",1,631724032,FALSE,0.325949192047119,11730,7060,3870,0.00177607257861926,0.000982711027608085,0.0809769201218178,82.401558389871,0.000308635986572266,272830456,235,13021799008,256380296,20760886.75,251947.744140625,0.3140658626,"LRN",170,"FFB3D9",6,FALSE,734881840,1,981,3,235,"Lateral reticular nucleus",NA,NA,1,370,"Lateral reticular nucleus",982,8,"/997/8/343/1065/354/370/235/",1748300472,8690
"5",3,631724361,FALSE,0.550091087818146,11090,7190,5700,0.00893642849240326,0.0211449044745349,3.12295980491255,147.693256721664,0.0015529227,272830456,230,1500313024,59952600,187229560,1267692,0.073441935,"RPA",311,"FFC6E2",6,FALSE,734881840,1,1012,3,230,"Nucleus raphe pallidus",NA,NA,1,379,"Nucleus raphe pallidus",1013,8,"/997/8/343/1065/354/379/230/",2034543671,8690
"6",3,631724775,FALSE,0.265514642000198,5090,4750,9130,0.000426114554872593,0.00170708486915448,0.958880542811836,561.706427218683,7.40478106689453e-05,272830456,662,8423745280,35409600,33953576.46875,60447.1923828125,0.04337676,"GU6b",648,"009C75",7,FALSE,734881840,1,113,3,662,"Gustatory areas, layer 6b",NA,NA,1,1057,"Gustatory areas layer 6b",114,11,"/997/8/567/688/695/315/1057/662/",1086554447,8690
"7",2,631723124,FALSE,0.345388621091843,4420,2130,5750,0.0147360094494999,0.00768524967133999,6.05943250656128,788.449645996094,0.00256074153125,272830456,935,89451315200,272001728,1648176128,2090401.25,0.3332021168,"ACAd1",965,"40A666",8,FALSE,734881840,1,227,3,935,"Anterior cingulate area, dorsal part, layer 1",NA,NA,1,39,"Anterior cingulate area dorsal part layer 1",228,11,"/997/8/567/688/695/315/31/39/935/",3009154534,8690
"8",3,631724769,FALSE,0.999347925186157,5740,640,6310,0.0658680715104226,0.00447447027899778,4.12787986962866,922.540460041506,0.011446186084375,272830456,656,609292087040,2088252864,8620056960,9343825.375,2.5581097584,"MOs1",930,"1F9D5A",8,FALSE,734881840,1,25,3,656,"Secondary motor area, layer 1",NA,NA,1,993,"Secondary motor area layer 1",26,11,"/997/8/567/688/695/315/500/993/656/",4032915713,8690
"9",1,631723832,FALSE,0.153165310621262,3710,3390,5460,0.000126810655603302,0.000283602101262659,0.207242920994759,730.75244140625,2.20364484375e-05,272830456,556,20660736000,63430200,13145460,17988.9375,0.077701995,"ILA2/3",1059,"59B363",7,FALSE,734881840,1,248,3,556,"Infralimbic area, layer 2/3",NA,NA,1,44,"Infralimbic area layer 2/3",249,11,"/997/8/567/688/695/315/44/556/",2142889357,8690
"10",1,631724163,FALSE,0.901162981987,2990,3390,5690,0.00288684487888205,0.00107783578522467,1.50778994146562,1398.90506711217,0.000501659801519775,272830456,44,130266899328,379944896,572877092.5,409518.205322266,0.4654324976,"ILA",146,"59B363",6,FALSE,734881840,1,245,3,44,"Infralimbic area",NA,NA,1,315,"Infralimbic area",246,8,"/997/8/567/688/695/315/44/",1110609938,8690
