"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,630297383,FALSE,1,4900,4770,2420,0.0630150814924667,0.0174413715060106,17.6244964845365,1010.49945977372,0.03581085650625,180916954,104,394379616256,1676092516,29540286656,29233352.25,2.0532133321,"AId",12,"219866",7,FALSE,734881840,1,279,3,104,"Agranular insular area, dorsal part",NA,NA,1,95,"Agranular insular area dorsal part",280,9,"/997/8/567/688/695/315/95/104/",289370996,8690
"2",2,630292488,FALSE,0.652043521404266,11160,4890,6000,0.00213051350156844,0.00801507830500867,3.63386923138605,453.379130321811,0.00121075005351562,180916954,154,17645753344,123313504,448105148,988367.390625,0.1510590424,"PHY",443,"FFB3D9",6,FALSE,734881840,1,993,3,154,"Perihypoglossal nuclei",NA,NA,1,370,"Perihypoglossal nuclei",994,7,"/997/8/343/1065/354/370/154/",2963771227,8690
"3",3,630299495,FALSE,0.484460830688477,8800,5140,5510,0.000299454253481867,0.00809415284696731,5.46978057449164,675.769370545187,0.000170176933007812,180916954,607344854,3829529088,17163000,93877844,138919.9453125,0.021024675,"IPDM",NA,"FFA6FF",7,FALSE,734881840,1,876,3,607344854,"Interpeduncular nucleus, dorsomedial",NA,NA,1,100,"Interpeduncular nucleus dorsomedial",877,9,"/997/8/343/313/348/165/100/607344854/",1188587061,8690
"4",2,630293793,FALSE,0.529045701026917,5590,6820,6990,0.00813195430414376,0.0113298641517758,6.14415740966797,542.297546386719,0.00462131035625,180916954,596,50196611072,332969408,2045816448,3772498.25,0.4078875248,"NDB",215,"96A7D3",7,FALSE,734881840,1,618,3,596,"Diagonal band nucleus",NA,NA,1,904,"Diagonal band nucleus",619,9,"/997/8/567/623/803/826/904/596/",278981173,8690
"5",1,630296061,FALSE,0.333974927663803,7250,3220,5070,6.84762469437526e-05,0.000106195423935207,0.0540930331982562,509.372543503004,3.891438359375e-05,180916954,958,25877008384,299135712,16181158,31766.84375,0.3664412472,"EPI",119,"FF909F",6,FALSE,734881840,1,711,3,958,"Epithalamus",NA,NA,1,856,"Epithalamus",712,7,"/997/8/343/1129/549/856/958/",2649294941,8690
"6",2,630292470,FALSE,0.818081676959991,9530,3710,9850,0.0607307260896658,0.0438194125890732,32.1380500793457,733.420349121094,0.0345126796,180916954,139,151743774720,642948288,20663103488,28173616,0.7876116528,"ENTl5",1007,"32B825",9,FALSE,734881840,1,503,3,139,"Entorhinal area, lateral part, layer 5",NA,NA,1,918,"Entorhinal area lateral part layer 5",504,11,"/997/8/567/688/695/1089/822/909/918/139/",1686973835,8690
"7",3,630298621,FALSE,0,0,0,0,0,0,0,0,0,180916954,763,665682752,7797600,0,0,0.00955206,"OV",236,"FF5547",6,FALSE,734881840,1,745,3,763,"Vascular organ of the lamina terminalis",NA,NA,1,141,"Vascular organ of the lamina terminalis",746,8,"/997/8/343/1129/1097/141/763/",3273533441,8690
"8",2,630292761,FALSE,1,7770,510,7970,0.0369449782863143,0.279973417520523,512.894104003906,1831.93859863281,0.020995471,180916954,281,45162397696,61217100,31397888000,17139160,0.0749909475,"VISam1",1025,"08858C",8,FALSE,734881840,1,172,3,281,"Anteromedial visual area, layer 1",NA,NA,1,394,"Anteromedial visual area layer 1",173,11,"/997/8/567/688/695/315/669/394/281/",660054922,8690
"9",2,630294760,FALSE,0.771130084991455,8060,2710,6420,0.0102845504302204,0.073206290602684,81.9778366088867,1119.81958007812,0.00584460975,180916954,1061,23167076352,65173500,5342782464,4771110,0.0798375375,"PPT",273,"FF90FF",6,FALSE,734881840,1,849,3,1061,"Posterior pretectal nucleus",NA,NA,1,1100,"Posterior pretectal nucleus",850,9,"/997/8/343/313/323/1100/1061/",834486063,8690
"10",2,630293006,FALSE,0.999460697174072,6810,1550,7750,0.127416907776153,0.0348473123503361,28.5090328880691,818.112817466513,0.0724097865585937,180916954,369,486372165632,1696257928,48358673056,59110029.84375,2.0779159618,"SSp-ul",753,"188064",8,FALSE,734881840,1,79,3,369,"Primary somatosensory area, upper limb",NA,NA,1,322,"Primary somatosensory area upper limb",80,9,"/997/8/567/688/695/315/453/322/369/",3184285306,8690
"11",3,630298926,FALSE,0.275059014558792,12540,2720,6800,0.000241473373872375,0.000118159427928134,0.0611704254739743,517.69398808514,0.000137226964355469,180916954,944,220389695488,948058176,57993122,112022.01171875,1.1613712656,"FOTU",400,"FFFC91",5,FALSE,734881840,1,1050,3,944,"Folium-tuber vermis (VII)",NA,NA,1,645,"Folium-tuber vermis (VII)",1051,8,"/997/8/512/528/645/944/",1120315048,8690
"12",1,630296620,FALSE,0.61946165561676,3300,3560,4570,0.0309717107238986,0.133716553449631,92.2489700317383,689.884399414062,0.017600921275,180916954,608,32994846720,107451904,9912327168,14368099,0.1316285824,"ORBvl6a",924,"248A5E",8,FALSE,734881840,1,276,3,608,"Orbital area, ventrolateral part, layer 6a",NA,NA,1,746,"Orbital area ventrolateral part layer 6a",277,11,"/997/8/567/688/695/315/714/746/608/",3003346139,8690
"13",1,630296717,FALSE,0.269246309995651,2170,3990,4130,5.80631329979832e-05,0.000379501318093389,0.435931235551834,1148.69494628906,3.29967124511719e-05,180916954,538,2678916096,70977600,30941352,26936.091796875,0.08694756,"lotd",491,"CCCCCC",5,FALSE,734881840,1,1109,3,538,"dorsal limb",NA,NA,1,21,"dorsal limb",1110,10,"/997/1009/967/840/21/538/",2177072245,8690
