"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633449558,FALSE,0,0,0,0,0,0,0,0,0,120874405,1054,9561759744,92284200,0,0,0.113048145,"ILA6a",980,"59B363",7,FALSE,734881840,1,250,3,1054,"Infralimbic area, layer 6a",NA,NA,1,44,"Infralimbic area layer 6a",251,11,"/997/8/567/688/695/315/44/1054/",696971210,8690
"2",3,633450957,FALSE,0,0,0,0,0,0,0,0,0,120874405,182305709,28895870976,264727808,0,0,0.3242915648,"SSp-un6a",NA,"188064",9,FALSE,734881840,1,98,3,182305709,"Primary somatosensory area, unassigned, layer 6a",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 6a",99,11,"/997/8/567/688/695/315/453/322/182305689/182305709/",3257546540,8690
"3",3,633450299,FALSE,0.570834338665009,10350,4810,7760,0.00320261540195973,0.000151422044997608,0.0484091827781305,319.697061143871,0.000184651432519531,120874405,7,68131399680,995468416,48189812.5,150735.86328125,1.2194488096,"PSV",283,"FFAE6F",6,FALSE,734881840,1,889,3,7,"Principal sensory nucleus of the trigeminal",NA,NA,1,1132,"Principal sensory nucleus of the trigeminal",890,8,"/997/8/343/1065/771/1132/7/",977401861,8690
"4",1,633449889,FALSE,0,0,0,0,0,0,0,0,0,120874405,611,377999104,21505500,0,0,0.0263442375,"hbc",500,"CCCCCC",5,FALSE,734881840,1,1287,3,611,"habenular commissure",NA,NA,1,1083,"habenular commissure",1288,9,"/997/1009/991/824/1083/611/",4058360785,8690
"5",1,633449559,FALSE,0.276129126548767,10020,4370,4640,0.00205743599478734,0.000241114990785718,0.0361962951719761,150.120468139648,0.000118624454101562,120874405,1052,17774630912,401618688,14537109,96836.2890625,0.4919828928,"PPN",272,"FFA6FF",5,FALSE,734881840,1,867,3,1052,"Pedunculopontine nucleus",NA,NA,1,348,"Pedunculopontine nucleus",868,8,"/997/8/343/313/348/1052/",2704258246,8690
"6",3,633450583,FALSE,0,0,0,0,0,0,0,0,0,120874405,560581563,10465132544,158079600,0,0,0.19364751,"PIL",NA,"FF909F",7,FALSE,734881840,1,702,3,560581563,"Posterior intralaminar thalamic nucleus",NA,NA,1,51,"Posterior intralaminar thalamic nucleus",703,8,"/997/8/343/1129/549/856/51/560581563/",809074043,8690
"7",1,633449801,FALSE,0.0865322723984718,6520,4610,4080,3.2772288483247e-05,2.08415463021083e-06,0.000558045285288244,267.756195068359,1.8895337890625e-06,120874405,733,51933970432,740097024,413007.65625,1542.4765625,0.9066188544,"VPM",374,"FF8084",8,FALSE,734881840,1,649,3,733,"Ventral posteromedial nucleus of the thalamus",NA,NA,1,709,"Ventral posteromedial nucleus of the thalamus",650,9,"/997/8/343/1129/549/864/637/709/733/",535836268,8690
"8",2,633447443,FALSE,0.995300650596619,11410,3800,6200,0.257159107326413,0.0153810505157668,5.95520560893051,387.178080120467,0.0148268810311127,120874405,519,56793471744,786914804,4686239454.53125,12103576.3519287,0.9639706349,"CBN",64,"F0F080",3,FALSE,734881840,1,1096,3,519,"Cerebellar nuclei",NA,NA,1,512,"Cerebellar nuclei",1097,5,"/997/8/512/519/",1080202909,8690
"9",1,633449829,FALSE,0,0,0,0,0,0,0,0,0,120874405,693,23985309696,247254304,0,0,0.3028865224,"VMH",369,"FF4C3E",6,FALSE,734881840,1,787,3,693,"Ventromedial hypothalamic nucleus",NA,NA,1,467,"Ventromedial hypothalamic nucleus",788,8,"/997/8/343/1129/1097/467/693/",313760851,8690
"10",3,633450882,FALSE,0,0,0,0,0,0,0,0,0,120874405,849,3833990912,46942200,0,0,0.057504195,"VISC6b",1096,"11AD83",7,FALSE,734881840,1,120,3,849,"Visceral area, layer 6b",NA,NA,1,677,"Visceral area layer 6b",121,11,"/997/8/567/688/695/315/677/849/",2752264138,8690
"11",3,633450358,FALSE,0.167330548167229,8470,5700,5900,0.000519241054992612,7.64969640537331e-05,0.0116026672975688,151.674872867096,2.99375955566406e-05,120874405,100,36575774112,319474816,3706760,24438.853515625,0.3913566496,"IPN",153,"FFA6FF",6,FALSE,734881840,1,870,3,100,"Interpeduncular nucleus",NA,NA,1,165,"Interpeduncular nucleus",871,8,"/997/8/343/313/348/165/100/",814290991,8690
"12",2,633447776,FALSE,0.203465908765793,11220,6970,6800,0.000592019829514889,6.75327610224485e-05,0.0179484356194735,265.773742675781,3.41337612792969e-05,120874405,661,30613303296,412604096,7405598,27864.294921875,0.5054400176,"VII",365,"FFB3D9",6,FALSE,734881840,1,967,3,661,"Facial motor nucleus",NA,NA,1,370,"Facial motor nucleus",968,8,"/997/8/343/1065/354/370/661/",3767076544,8690
"13",3,633450353,FALSE,0.00359026831574738,8900,6310,3840,1.08709175137625e-06,9.54670999041021e-07,9.62333057829555e-05,100.802586314681,6.26778504371643e-08,120874405,93,431629184,53595000,5157.6240234375,51.1655921936035,0.065653875,"moV",577,"CCCCCC",4,FALSE,734881840,1,1126,3,93,"motor root of the trigeminal nerve",NA,NA,1,901,"motor root of the trigeminal nerve",1127,9,"/997/1009/967/901/93/",511291358,8690
"14",1,633449637,FALSE,0.914883315563202,10860,4070,3980,0.372319527632741,0.0039710345004754,1.05734124278572,266.263423966511,0.0214666219647579,120874405,960,110684344864.25,4412898712,4665939808.43359,17523773.0324554,5.4058009222,"cbf",685,"CCCCCC",2,FALSE,734881840,1,1171,3,960,"cerebellum related fiber tracts",NA,NA,1,1009,"cerebellum related fiber tracts",1172,2,"/997/1009/960/",4010653894,8690
"15",1,633449789,FALSE,0,0,0,0,0,0,0,0,0,120874405,755,18833100800,174364192,0,0,0.2135961352,"AUDv2/3",1084,"019399",8,FALSE,734881840,1,152,3,755,"Ventral auditory area, layer 2/3",NA,NA,1,1018,"Ventral auditory area layer 2/3",153,11,"/997/8/567/688/695/315/247/1018/755/",4223622095,8690
"16",3,633450949,FALSE,0.396330803632736,11050,6870,5580,0.000379761979841146,2.88669673127396e-05,0.00505433548121642,175.090629592594,2.18957273331076e-05,120874405,932,13322190080,619187424,3129580.96664619,17874.0631290674,0.7585045944,"cett",540,"CCCCCC",4,FALSE,734881840,1,1150,3,932,"cervicothalamic tract",NA,NA,1,792,"cervicothalamic tract",1151,8,"/997/1009/967/792/932/",2955091529,8690
"17",1,633450113,FALSE,0,0,0,0,0,0,0,0,0,120874405,260,5863446528,50175900,0,0,0.0614654775,"NLOT1",739,"95E4C8",7,FALSE,734881840,1,423,3,260,"Nucleus of the lateral olfactory tract, molecular layer",NA,NA,1,619,"Nucleus of the lateral olfactory tract molecular layer",424,11,"/997/8/567/688/695/698/619/260/",1899636519,8690
"18",2,633449364,FALSE,0.167330548167229,8470,5700,5900,0.000128871183322022,0.000422166136559099,0.0640101581811905,151.623153686523,7.43025484619141e-06,120874405,607344850,2039429760,14367600,919672.375,6065.51416015625,0.01760031,"IPI",NA,"FFA6FF",7,FALSE,734881840,1,875,3,607344850,"Interpeduncular nucleus, intermediate",NA,NA,1,100,"Interpeduncular nucleus intermediate",876,9,"/997/8/343/313/348/165/100/607344850/",1366249262,8690
"19",3,633450431,FALSE,0.942138314247131,10830,5000,4370,0.842368331692306,0.0242428081957516,7.73366765893654,319.008738446886,0.048567967,120874405,202,143674646528,1635426048,12647841536,39647320,2.0033969088,"MV",449,"FFB3D9",7,FALSE,734881840,1,1003,3,202,"Medial vestibular nucleus",NA,NA,1,701,"Medial vestibular nucleus",1004,8,"/997/8/343/1065/354/370/701/202/",2935119484,8690
"20",2,633446573,FALSE,0.215116113424301,4390,5250,9500,0.00164496435594271,2.17947969126926e-05,0.00319876993295155,146.767595301092,9.48428039728164e-05,120874405,95,409250236320,3552347720,11363143.078125,77422.6971206665,4.351625957,"AI",11,"219866",6,FALSE,734881840,1,278,3,95,"Agranular insular area",NA,NA,1,315,"Agranular insular area",279,8,"/997/8/567/688/695/315/95/",3198937984,8690
