"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,631247651,FALSE,0.418916702270508,7450,4800,5650,0.00716402334119545,0.0442575626075268,10.6196947097778,239.952087402344,0.0032357229625,272829745,609,5396398592,59682600,633811008,2641406.5,0.073111185,"SPA",783,"FF8084",6,FALSE,734881840,1,655,3,609,"Subparafascicular area",NA,NA,1,864,"Subparafascicular area",656,8,"/997/8/343/1129/549/864/609/",3168649413,8690
"2",1,631247232,FALSE,0.170795679092407,4850,3330,5430,0.000184077305694166,0.000267604540567845,0.0649055019021034,242.542617797852,8.31408744140625e-05,272829745,250,18133848064,253620896,16461392,67870.1015625,0.3106855976,"LSc",172,"90CBED",7,FALSE,734881840,1,587,3,250,"Lateral septal nucleus, caudal (caudodorsal) part",NA,NA,1,242,"Lateral septal nucleus caudal (caudodorsal) part",588,9,"/997/8/567/623/477/275/242/250/",3378904121,8690
"3",2,631246308,FALSE,0.49014151096344,5600,1880,6410,0.00754488746063372,0.00111588528108576,0.378485094578808,339.179215815574,0.00340774512353516,272829745,31,310526914848,2492937940,943539852,2781832.75390625,3.0538489765,"ACA",3,"40A666",6,FALSE,734881840,1,220,3,31,"Anterior cingulate area",NA,NA,1,315,"Anterior cingulate area",221,8,"/997/8/567/688/695/315/31/",758743580,8690
"4",2,631246752,FALSE,0.231212645769119,10150,3050,9530,0.0002418984907036,0.000201595103135332,0.05414929240942,268.604187011719,0.000109256553710937,272829745,664,25146501120,442416608,23956546,89189.0234375,0.5419603448,"ENTm3",931,"32B825",9,FALSE,734881840,1,512,3,664,"Entorhinal area, medial part, dorsal zone, layer 3",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 3",513,11,"/997/8/567/688/695/1089/822/909/926/664/",1637749653,8690
"5",1,631247231,FALSE,0.562900960445404,9510,5270,3980,0.00118061330426049,0.000582297180492707,0.0513022191071081,88.1031556149714,0.000533239130651855,272829745,933,5067133789,747551704,38351061.3125,435297.249511719,0.9157508374,"VIIIn",682,"CCCCCC",3,FALSE,734881840,1,1133,3,933,"vestibulocochlear nerve",NA,NA,1,967,"vestibulocochlear nerve",1134,8,"/997/1009/967/933/",3849290809,8690
"6",1,631247415,FALSE,0,0,0,0,0,0,0,0,0,272829745,182305705,19205900288,116090096,0,0,0.1422103676,"SSp-un5",NA,"188064",9,FALSE,734881840,1,97,3,182305705,"Primary somatosensory area, unassigned, layer 5",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 5",98,11,"/997/8/567/688/695/315/453/322/182305689/182305705/",1806412353,8690
"7",3,631248238,FALSE,0.19384890794754,6660,7200,5870,5.61225566288651e-05,8.06911424105603e-05,0.0155788316157936,193.067431571706,2.53484720176697e-05,272829745,223,3154366080,256442400,3995072.96875,20692.6302185059,0.31414194,"ARH",27,"FF5D50",6,FALSE,734881840,1,733,3,223,"Arcuate hypothalamic nucleus",NA,NA,1,157,"Arcuate hypothalamic nucleus",734,8,"/997/8/343/1129/1097/157/223/",218062747,8690
"8",3,631248143,FALSE,0.168209537863731,11170,6140,8290,1.98344716940139e-05,7.98911545934898e-06,0.00177656562090194,222.373256456442,8.95849335670471e-06,272829745,101,7738051584,915377408,1626228.03320312,7313.0558013916,1.1213373248,"VCO",861,"FFA5D2",7,FALSE,734881840,1,942,3,101,"Ventral cochlear nucleus",NA,NA,1,607,"Ventral cochlear nucleus",943,8,"/997/8/343/1065/354/386/607/101/",1142812669,8690
"9",1,631247760,FALSE,0.0284683052450418,5560,4750,5410,8.66940470742512e-07,8.52727025630884e-05,0.0262649990618229,308.011810302734,3.91564775085449e-07,272829745,428,137076784,3748500,98454.3515625,319.644714355469,0.0045919125,"mct",477,"CCCCCC",6,FALSE,734881840,1,1251,3,428,"medial corticohypothalamic tract",NA,NA,1,737,"medial corticohypothalamic tract",1252,10,"/997/1009/991/768/1099/737/428/",597319395,8690
"10",3,631248658,FALSE,0.443792790174484,8430,1660,5940,0.000366028956234433,0.000415100213413574,0.129456554011046,311.868194300506,0.000165321669433594,272829745,834,34641810432,325117792,42088629,134956.46484375,0.3982692952,"SCzo",811,"FF7AFF",6,FALSE,734881840,1,811,3,834,"Superior colliculus, zonal layer",NA,NA,1,302,"Superior colliculus zonal layer",812,9,"/997/8/343/313/339/302/834/",1177562266,8690
"11",3,631248646,FALSE,0.20801916718483,10140,2360,6670,0.000285179665581328,8.82533611107916e-05,0.0286267544483053,324.370132627219,0.000128805051074219,272829745,820,140984647680,1191421824,34106540,105146.98046875,1.4594917344,"ICd",809,"FF7AFF",6,FALSE,734881840,1,814,3,820,"Inferior colliculus, dorsal nucleus",NA,NA,1,4,"Inferior colliculus dorsal nucleus",815,9,"/997/8/343/313/339/4/820/",3008108572,8690
"12",2,631247001,FALSE,0.194530159235001,10530,3570,7010,7.3564511512121e-05,2.19678713619942e-05,0.00602790247648954,274.396301269531,3.32263544921875e-05,272829745,984,208097361920,1234691968,7442603,27123.5546875,1.5124976608,"CENT3",405,"FFFC91",6,FALSE,734881840,1,1029,3,984,"Lobule III",NA,NA,1,920,"Lobule III",1030,8,"/997/8/512/528/645/920/984/",393132658,8690
"13",2,631247004,FALSE,0.799060583114624,10300,4820,6370,0.131358321887908,0.0185732357767146,3.18389014362372,171.423557095818,0.0593296696849182,272829745,987,50739147920,2607643816,8302451443.84375,48432383.4162598,3.1943636746,"P-mot",264,"FFBA86",5,FALSE,734881840,1,906,3,987,"Pons, motor related",NA,NA,1,771,"Pons motor related",907,6,"/997/8/343/1065/771/987/",583149041,8690
"14",2,631246819,FALSE,0.777854382991791,6910,5470,7170,0.00549320255704739,0.0400556846004454,6.10296789402695,152.362091795557,0.002481075340625,272829745,760,1932137600,50563800,308589248,2025367.625,0.061940655,"epsc",660,"CCCCCC",3,FALSE,734881840,1,1219,3,760,"cerebral nuclei related",NA,NA,1,1000,"cerebral nuclei related",1220,7,"/997/1009/1000/760/",3574075519,8690
"15",3,631248775,FALSE,0,0,0,0,0,0,0,0,0,272829745,973,36837449728,270258864,0,0,0.3310671084,"VISl2/3",687,"08858C",8,FALSE,734881840,1,180,3,973,"Lateral visual area, layer 2/3",NA,NA,1,409,"Lateral visual area layer 2/3",181,11,"/997/8/567/688/695/315/669/409/973/",4196685917,8690
"16",2,631246710,FALSE,0.249578520655632,7670,2510,5740,0.000129204462451818,0.00221516564488411,0.560315847396851,252.945327758789,5.83568514648437e-05,272829745,611,615771392,21505500,12049872,47638.24609375,0.0263442375,"hbc",500,"CCCCCC",5,FALSE,734881840,1,1287,3,611,"habenular commissure",NA,NA,1,1083,"habenular commissure",1288,9,"/997/1009/991/824/1083/611/",4058360785,8690
"17",1,631247446,FALSE,0.11862550675869,9830,2070,2470,1.04580858666344e-05,3.52896859112661e-05,0.00931195542216301,263.871856689453,4.72352852172851e-06,272829745,902,10516876288,109265400,1017474.5,3855.94165039062,0.133850115,"VISpl5",961,"08858C",8,FALSE,734881840,1,196,3,902,"Posterolateral visual area, layer 5",NA,NA,1,425,"Posterolateral visual area layer 5",197,11,"/997/8/567/688/695/315/669/425/902/",3952092690,8690
"18",2,631246839,FALSE,0.635818898677826,7960,4900,6610,0.00365912359169931,0.00444598651418168,0.415724431362064,93.5055538373761,0.00165269006875,272829745,792,1073548492,303450032,126151592,1349134.75,0.3717262892,"drt",664,"CCCCCC",3,FALSE,734881840,1,1149,3,792,"dorsal roots",NA,NA,1,967,"dorsal roots",1150,7,"/997/1009/967/792/",3729235522,8690
"19",2,631246668,FALSE,0.201939329504967,5400,2710,10050,0.000198121269234462,0.000401481142034754,0.091351330280304,227.535797119141,8.9484010546875e-05,272829745,558,23101003776,181946704,16621074,73048.171875,0.2228847124,"SSp-n1",635,"188064",9,FALSE,734881840,1,45,3,558,"Primary somatosensory area, nose, layer 1",NA,NA,1,353,"Primary somatosensory area nose layer 1",46,11,"/997/8/567/688/695/315/453/322/353/558/",3903637663,8690
"20",2,631246597,FALSE,0.277882874011993,7900,4600,10460,0.000450257362333246,0.000774787797126919,0.161387160420418,208.298538208008,0.00020336450859375,272829745,427,19744991232,214267504,34580024,166011.84375,0.2624776924,"ECT2/3",1043,"0D9F91",7,FALSE,734881840,1,375,3,427,"Ectorhinal area/Layer 2/3",NA,NA,1,895,"Ectorhinal area/Layer 2/3",376,11,"/997/8/567/688/695/315/895/427/",993691642,8690
"21",1,631247226,FALSE,0.0364214554429054,6500,2010,3350,2.0142470263951e-06,6.71806192258373e-05,0.0130987297743559,194.977798461914,9.09760485839844e-07,272829745,182305713,304673376,11054700,144802.53125,742.66162109375,0.0135420075,"SSp-un6b",NA,"188064",9,FALSE,734881840,1,99,3,182305713,"Primary somatosensory area, unassigned, layer 6b",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 6b",100,11,"/997/8/567/688/695/315/453/322/182305689/182305713/",1529046678,8690
"22",2,631247084,FALSE,0,0,0,0,0,0,0,0,0,272829745,1086,12071936000,68735696,0,0,0.0842012276,"SSp-tr4",984,"188064",9,FALSE,734881840,1,89,3,1086,"Primary somatosensory area, trunk, layer 4",NA,NA,1,361,"Primary somatosensory area trunk layer 4",90,11,"/997/8/567/688/695/315/453/322/361/1086/",1741439834,8690
"23",1,631247136,FALSE,0.233589693903923,8910,5410,2710,0.000113821604312176,7.02238976373337e-05,0.0222058854997158,316.215515136719,5.14089864257812e-05,272829745,484682470,67934547968,597610240,13270465,41966.51953125,0.732072544,"ProS",NA,"58BA48",7,FALSE,734881840,1,544,3,484682470,"Prosubiculum",NA,NA,1,822,"Prosubiculum",545,8,"/997/8/567/688/695/1089/822/484682470/",2109060151,8690
