"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633593699,FALSE,0.184344172477722,5740,2800,5840,0.00110516444852606,0.000266296410700306,0.132793977856636,498.669799804688,5.22373161132812e-05,127085717,581,30581733376,160132496,21264630,42642.70703125,0.1961623076,"TRS",355,"96A7D3",6,FALSE,734881840,1,619,3,581,"Triangular nucleus of septum",NA,NA,1,826,"Triangular nucleus of septum",620,8,"/997/8/567/623/803/826/581/",609929054,8690
"2",3,633595796,FALSE,0.000617850746493787,8980,4140,5830,1.44114682630258e-08,0.000154462688499027,0.0128204038408067,83.0000045019773,6.81180456280708e-10,127085717,1051,72107.75390625,3600,46.1534538269043,0.556065678596497,4.41e-06,"tspd",555,"CCCCCC",4,FALSE,734881840,1,1227,3,1051,"direct tectospinal pathway",NA,NA,1,877,"direct tectospinal pathway",1228,9,"/997/1009/1000/877/1051/",1709212737,8690
"3",2,633593448,FALSE,0,0,0,0,0,0,0,0,0,127085717,209,20959864832,129404704,0,0,0.1585207624,"LAV",450,"FFB3D9",7,FALSE,734881840,1,1002,3,209,"Lateral vestibular nucleus",NA,NA,1,701,"Lateral vestibular nucleus",1003,8,"/997/8/343/1065/354/370/701/209/",2027918559,8690
"4",2,633594172,FALSE,0.384484112262726,7980,3810,6300,0.00245589465243113,0.00338725722394884,2.27189421653748,670.717956542969,0.000116081679492187,127085717,549009203,8106824704,27975600,63557604,94760.5546875,0.03427011,"RPF",NA,"FF90FF",6,FALSE,734881840,1,850,3,549009203,"Retroparafascicular nucleus",NA,NA,1,1100,"Retroparafascicular nucleus",851,9,"/997/8/343/313/323/1100/549009203/",2559458743,8690
"5",3,633595794,FALSE,0.391589283943176,11560,6610,6480,0.0143605272129659,0.000234651118833632,0.153619173200251,654.670533700578,0.000678772648339844,127085717,1048,378965852160,2361378560,362753022,554100.12109375,2.892688736,"GRN",130,"FFB3D9",6,FALSE,734881840,1,975,3,1048,"Gigantocellular reticular nucleus",NA,NA,1,370,"Gigantocellular reticular nucleus",976,8,"/997/8/343/1065/354/370/1048/",3365807362,8690
"6",3,633595589,FALSE,0.360350400209427,7880,4920,6880,0.00668377120636333,0.00118991291650724,0.901169020214992,757.340312650947,0.000315918838867187,127085717,804,68497963008,216732608,195312712,257892.9296875,0.2654974448,"FF",807,"F2483B",7,FALSE,734881840,1,804,3,804,"Fields of Forel",NA,NA,1,797,"Fields of Forel",805,9,"/997/8/343/1129/1097/290/797/804/",89343914,8690
"7",2,633593880,FALSE,0.56911039352417,5410,5950,6930,0.0615841996349152,0.00155703063696849,1.13952172084713,731.855683370339,0.00291087295488281,127085717,835,479243063296,1526124640,1739052176,2376222.8203125,1.869502684,"PALv",245,"A2B1D8",5,FALSE,734881840,1,612,3,835,"Pallidum, ventral region",NA,NA,1,803,"Pallidum ventral region",613,6,"/997/8/567/623/803/835/",1000152768,8690
"8",1,633594689,FALSE,0.299194008111954,1820,5290,4120,0.00755718853879176,4.63289179606363e-05,0.0198333486914635,428.098663330078,0.0003572022671875,127085717,507,1993142173696,6293988864,124830872,291593.6875,7.7101363584,"MOB",204,"9AD2BD",6,FALSE,734881840,1,380,3,507,"Main olfactory bulb",NA,NA,1,698,"Main olfactory bulb",381,8,"/997/8/567/688/695/698/507/",2457606556,8690
"9",3,633595721,FALSE,0.0017654481343925,10210,1740,8190,2.21819404416853e-07,1.41949893320265e-08,5.77566985604766e-06,406.880887399941,1.04846390634775e-08,127085717,965,190983839744,602951424,3482.44836425781,8.55888903141022,0.7386154944,"RSPagl2/3",969,"1AA698",8,FALSE,734881840,1,300,3,965,"Retrosplenial area, lateral agranular part, layer 2/3",NA,NA,1,894,"Retrosplenial area lateral agranular part layer 2/3",301,11,"/997/8/567/688/695/315/254/894/965/",2863914633,8690
"10",1,633594366,FALSE,0.325643956661224,11690,3850,5470,0.000375458782952191,2.11924816539977e-05,0.0327456183731556,1545.15258789062,1.77466431884766e-05,127085717,968,302542127104,683594112,22384712,14487.0556640625,0.8374027872,"NOD",403,"FFFC91",5,FALSE,734881840,1,1062,3,968,"Nodulus (X)",NA,NA,1,645,"Nodulus (X)",1063,8,"/997/8/512/528/645/968/",626869262,8690
