"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631023004,FALSE,0.139009088277817,3690,3840,7610,0.000223433687221081,3.40936160287972e-06,0.000799145701912509,234.397460579573,2.93836078491211e-06,158738894,783,67867908096,703551616,562240.25,2398.66186523438,0.8618507296,"AId6a",946,"219866",8,FALSE,734881840,1,283,3,783,"Agranular insular area, dorsal part, layer 6a",NA,NA,1,104,"Agranular insular area dorsal part layer 6a",284,11,"/997/8/567/688/695/315/95/104/783/",3764465407,8690
"2",3,631022700,FALSE,0.0266954507678747,5620,3820,6110,0.000111299735528963,2.79902041163324e-06,0.000419253899691112,149.785938662189,1.46369503326416e-06,158738894,310,8539535872,426882592,178972.19140625,1194.85308837891,0.5229311752,"SF",321,"90CBED",6,FALSE,734881840,1,590,3,310,"Septofimbrial nucleus",NA,NA,1,275,"Septofimbrial nucleus",591,8,"/997/8/567/623/477/275/310/",3780909616,8690
"3",2,631019659,FALSE,0,0,0,0,0,0,0,0,0,158738894,231,149520864,19378800,0,0,0.02373903,"AT",28,"FF90FF",5,FALSE,734881840,1,860,3,231,"Anterior tegmental nucleus",NA,NA,1,323,"Anterior tegmental nucleus",861,8,"/997/8/343/313/323/231/",569339657,8690
"4",1,631022205,FALSE,0.0146549567580223,7450,4770,5320,2.37326396747603e-05,2.76195753599531e-06,0.000362368858364662,131.200010732272,3.12106283569336e-07,158738894,406,3561553152,92246400,33427.22265625,254.780639648438,0.11300184,"SPF",333,"FF8084",6,FALSE,734881840,1,652,3,406,"Subparafascicular nucleus",NA,NA,1,864,"Subparafascicular nucleus",653,8,"/997/8/343/1129/549/864/406/",411188720,8690
"5",3,631022623,FALSE,0,0,0,0,0,0,0,0,0,158738894,206,1890757632,105238800,0,0,0.12891753,"RM",308,"FFC6E2",6,FALSE,734881840,1,1011,3,206,"Nucleus raphe magnus",NA,NA,1,379,"Nucleus raphe magnus",1012,8,"/997/8/343/1065/354/379/206/",2906210024,8690
"6",3,631023100,FALSE,0.350357741117477,11740,5080,7960,0.00952629106913407,0.000246127791210001,0.0374692427655519,152.234912527949,0.000125279587207031,158738894,153,4756135168,415512000,15568920,102269.05078125,0.5090022,"V4r",726,"AAAAAA",3,FALSE,734881840,1,1302,3,153,"lateral recess",NA,NA,1,145,"lateral recess",1303,9,"/997/73/145/153/",4006455201,8690
"7",2,631020661,FALSE,0.0675381943583488,5670,4790,10420,0.000508656747395051,3.62157188646961e-05,0.00564364995807409,155.834259033203,6.68930928955078e-06,158738894,897,14082792448,150781504,850958,5460.66064453125,0.1847073424,"VISC1",1102,"11AD83",7,FALSE,734881840,1,115,3,897,"Visceral area, layer 1",NA,NA,1,677,"Visceral area layer 1",116,11,"/997/8/567/688/695/315/677/897/",1291666049,8690
"8",3,631023283,FALSE,0,0,0,0,0,0,0,0,0,158738894,563807439,498917280,20250000,0,0,0.02480625,"IntG",NA,"FF909F",7,FALSE,734881840,1,706,3,563807439,"Intermediate geniculate nucleus",NA,NA,1,1014,"Intermediate geniculate nucleus",707,8,"/997/8/343/1129/549/856/1014/563807439/",2887461472,8690
"9",3,631022782,FALSE,0.0722992420196533,8210,1760,6310,0.000498459377253781,5.86963430417282e-06,0.00130632738509108,222.55686085288,6.55520438842773e-06,158738894,430,83836223488,911673024,1190943.4375,5351.18725585938,1.1167994544,"RSPv2/3",619,"1AA698",8,FALSE,734881840,1,335,3,430,"Retrosplenial area, ventral part, layer 2/3",NA,NA,1,886,"Retrosplenial area ventral part layer 2/3",336,11,"/997/8/567/688/695/315/254/886/430/",919443786,8690
"10",3,631022489,FALSE,0,0,0,0,0,0,0,0,0,158738894,6,8269419520,1887553792,0,0,2.3122533952,"int",566,"CCCCCC",4,FALSE,734881840,1,1201,3,6,"internal capsule",NA,NA,1,784,"internal capsule",1202,9,"/997/1009/983/784/6/",2936038281,8690
