"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631112950,FALSE,0.0356350466609001,7770,6400,7580,6.40203506689868e-06,1.05708388256557e-06,0.00034925801056787,330.397630999926,1.12657703704834e-06,100147785,780,212276887552,869992192,303851.7421875,919.654724121094,1.0657404352,"PA",238,"97EC93",5,FALSE,734881840,1,569,3,780,"Posterior amygdalar nucleus",NA,NA,1,703,"Posterior amygdalar nucleus",570,8,"/997/8/567/688/703/780/",2472141022,8690
"2",2,631110101,FALSE,0.516874253749847,3160,1960,5970,0.00993628555951838,0.00524874683469534,2.61157631874084,497.561889648438,0.001748505128125,100147785,211,79199977472,271941312,710195520,1427351.125,0.3331281072,"ACAd2/3",1016,"40A666",8,FALSE,734881840,1,228,3,211,"Anterior cingulate area, dorsal part, layer 2/3",NA,NA,1,39,"Anterior cingulate area dorsal part layer 2/3",229,11,"/997/8/567/688/695/315/31/39/211/",2563141206,8690
"3",1,631110341,FALSE,0.103212788701057,6000,1770,5690,0.000127725994436859,8.52565281093121e-05,0.0218002982437611,255.702392578125,2.24761612304687e-05,100147785,588,58673815552,215208000,4691598.5,18347.88671875,0.2636298,"ACAv1",1063,"40A666",8,FALSE,734881840,1,233,3,588,"Anterior cingulate area, ventral part, layer 1",NA,NA,1,48,"Anterior cingulate area ventral part layer 1",234,11,"/997/8/567/688/695/315/31/48/588/",4171389733,8690
"4",1,631110135,FALSE,0,0,0,0,0,0,0,0,0,100147785,312782598,1608374272,7261200,0,0,0.00889497,"VISli6b",NA,"08858C",8,FALSE,734881840,1,212,3,312782598,"Laterointermediate area, layer 6b",NA,NA,1,312782574,"Laterointermediate area layer 6b",213,11,"/997/8/567/688/695/315/669/312782574/312782598/",3903698312,8690
"5",2,631110199,FALSE,0.0627882927656174,6720,1310,6450,1.81733764665421e-05,0.000187080324394628,0.0617430843412876,330.03515625,3.19800007324219e-06,100147785,330,2255018240,13954500,861593.875,2610.6123046875,0.0170942625,"RSPd6b",1031,"1AA698",8,FALSE,734881840,1,331,3,330,"Retrosplenial area, dorsal part, layer 6b",NA,NA,1,879,"Retrosplenial area dorsal part layer 6b",332,11,"/997/8/567/688/695/315/254/879/330/",3241479382,8690
"6",2,631110336,FALSE,0,0,0,0,0,0,0,0,0,100147785,564,40365629440,186825600,0,0,0.22886136,"MS",211,"96A7D3",7,FALSE,734881840,1,617,3,564,"Medial septal nucleus",NA,NA,1,904,"Medial septal nucleus",618,9,"/997/8/567/623/803/826/904/564/",239662904,8690
"7",2,631110824,FALSE,0.236134424805641,2790,3310,6610,0.000792148625055996,0.00040789510239847,0.231794163584709,568.269104003906,0.000139395745507812,100147785,1125,72179499008,278974784,64664728,113792.4453125,0.3417441104,"ORBvl5",1130,"248A5E",8,FALSE,734881840,1,275,3,1125,"Orbital area, ventrolateral part, layer 5",NA,NA,1,746,"Orbital area ventrolateral part layer 5",276,11,"/997/8/567/688/695/315/714/746/1125/",4084585477,8690
"8",3,631113263,FALSE,0.125431343913078,12130,5100,8820,0.000149393531692346,4.88303185048454e-06,0.00129729534039761,265.674150839069,2.62890347412109e-05,100147785,1025,1419424890880,4394899968,5701483.25,21460.4365234375,5.3837524608,"PRM",410,"FFFC91",5,FALSE,734881840,1,1080,3,1025,"Paramedian lobule",NA,NA,1,1073,"Paramedian lobule",1081,8,"/997/8/512/528/1073/1025/",2367515256,8690
"9",3,631113002,FALSE,0.204287514090538,4650,4550,8790,0.000122545828190654,0.000405114257124808,0.159423709779122,393.527768957305,2.15645985351562e-05,100147785,831,9174960640,43453800,6927566,17603.75390625,0.053230905,"AId6b",952,"219866",8,FALSE,734881840,1,284,3,831,"Agranular insular area, dorsal part, layer 6b",NA,NA,1,104,"Agranular insular area dorsal part layer 6b",285,11,"/997/8/567/688/695/315/95/104/831/",2036891461,8690
"10",1,631111335,FALSE,0,0,0,0,0,0,0,0,0,100147785,800,105017982976,324194400,0,0,0.39713814,"AIv5",948,"219866",8,FALSE,734881840,1,294,3,800,"Agranular insular area, ventral part, layer 5",NA,NA,1,119,"Agranular insular area ventral part layer 5",295,11,"/997/8/567/688/695/315/95/119/800/",4051862023,8690
"11",1,631111543,FALSE,0,0,0,0,0,0,0,0,0,100147785,470,22654750720,87570000,0,0,0.10727325,"STN",341,"F2483B",6,FALSE,734881840,1,800,3,470,"Subthalamic nucleus",NA,NA,1,290,"Subthalamic nucleus",801,8,"/997/8/343/1129/1097/290/470/",3450179653,8690
"12",3,631112612,FALSE,0.347522377967834,9700,1600,7290,0.00622911164405094,0.00119321920292129,0.522615348787476,437.987712155475,0.00109614740720215,100147785,442,187075641344,749916032,391917628.625,894814.209960938,0.9186471392,"RSPd1",1045,"1AA698",8,FALSE,734881840,1,326,3,442,"Retrosplenial area, dorsal part, layer 1",NA,NA,1,879,"Retrosplenial area dorsal part layer 1",327,11,"/997/8/567/688/695/315/254/879/442/",3307182297,8690
"13",1,631111495,FALSE,0,0,0,0,0,0,0,0,0,100147785,564,44983685120,186825600,0,0,0.22886136,"MS",211,"96A7D3",7,FALSE,734881840,1,617,3,564,"Medial septal nucleus",NA,NA,1,904,"Medial septal nucleus",618,9,"/997/8/567/623/803/826/904/564/",239662904,8690
"14",1,631111655,FALSE,0,0,0,0,0,0,0,0,0,100147785,355,1817045888,9283500,0,0,0.0113722875,"AIp6b",1034,"219866",8,FALSE,734881840,1,290,3,355,"Agranular insular area, posterior part, layer 6b",NA,NA,1,111,"Agranular insular area posterior part layer 6b",291,11,"/997/8/567/688/695/315/95/111/355/",3556322142,8690
"15",3,631113445,FALSE,0.0414966344833374,6970,5170,8350,1.711339761344e-06,7.7758355071789e-06,0.00245644253001721,315.907213797069,3.01147378540039e-07,100147785,484682528,6777750528,31615200,77660.921875,245.834594726562,0.03872862,"stc",NA,"CCCCCC",5,FALSE,734881840,1,1260,3,484682528,"commissural branch of stria terminalis",NA,NA,1,301,"commissural branch of stria terminalis",1261,9,"/997/1009/991/768/301/484682528/",2072512978,8690
"16",1,631111003,FALSE,0,0,0,0,0,0,0,0,0,100147785,526157196,11114914816,50499900,0,0,0.0618623775,"FRP6a",NA,"268F45",7,FALSE,734881840,1,10,3,526157196,"Frontal pole, layer 6a",NA,NA,1,184,"Frontal pole layer 6a",11,11,"/997/8/567/688/695/315/184/526157196/",1215326494,8690
"17",3,631113128,FALSE,0.593579113483429,7690,4550,7220,0.0243408714528284,0.00564703855934429,2.51669952385249,445.667139936214,0.0042833046920166,100147785,932,48233690880,619187424,1558308695.15625,3496575.25878906,0.7585045944,"cett",540,"CCCCCC",4,FALSE,734881840,1,1150,3,932,"cervicothalamic tract",NA,NA,1,792,"cervicothalamic tract",1151,8,"/997/1009/967/792/932/",2955091529,8690
"18",2,631110047,FALSE,0.154504790902138,8290,4910,9980,0.000148899500440997,3.32677918777335e-05,0.0174229573458433,523.718505859375,2.620209921875e-05,100147785,139,154871611392,642948288,11202061,21389.46875,0.7876116528,"ENTl5",1007,"32B825",9,FALSE,734881840,1,503,3,139,"Entorhinal area, lateral part, layer 5",NA,NA,1,918,"Entorhinal area lateral part layer 5",504,11,"/997/8/567/688/695/1089/822/909/918/139/",1686973835,8690
"19",2,631110571,FALSE,0.631998419761658,7150,2670,9180,0.0391391814020833,0.0600575320422649,29.6024990081787,492.90234375,0.00688738855,100147785,893,22420045824,93616200,2771273472,5622358,0.114679845,"SSs6b",960,"188064",8,FALSE,734881840,1,106,3,893,"Supplemental somatosensory area, layer 6b",NA,NA,1,378,"Supplemental somatosensory area layer 6b",107,11,"/997/8/567/688/695/315/453/378/893/",4100730085,8690
"20",2,631110289,FALSE,0.345460742712021,7040,5170,7640,0.00131907506600649,0.00216381903737783,1.08789336681366,502.765441894531,0.000232119890625,100147785,470,24271765504,87570000,95266824,189485.625,0.10727325,"STN",341,"F2483B",6,FALSE,734881840,1,800,3,470,"Subthalamic nucleus",NA,NA,1,290,"Subthalamic nucleus",801,8,"/997/8/343/1129/1097/290/470/",3450179653,8690
"21",2,631110950,FALSE,0,0,0,0,0,0,0,0,0,100147785,607344842,3047207424,11298600,0,0,0.013840785,"IPA",NA,"FFA6FF",7,FALSE,734881840,1,873,3,607344842,"Interpeduncular nucleus, apical",NA,NA,1,100,"Interpeduncular nucleus apical",874,9,"/997/8/343/313/348/165/100/607344842/",3327886198,8690
"22",1,631111287,FALSE,0.0368227586150169,10470,7130,4230,8.76967929513375e-06,9.85130100161768e-06,0.00161220075096935,163.653579711914,1.54321543273926e-06,100147785,866,4519497216,127878304,206165.5,1259.76770019531,0.1566509224,"sctv",532,"CCCCCC",5,FALSE,734881840,1,1178,3,866,"ventral spinocerebellar tract",NA,NA,1,326,"ventral spinocerebellar tract",1179,9,"/997/1009/960/752/326/866/",744035824,8690
