"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633660832,FALSE,0.0558613277971745,9030,3620,10730,0.00193385527358983,2.68974272330524e-05,0.00408218335360289,151.768539428711,7.79030375976562e-06,126843200,97,36777779200,236432704,965161.625,6359.431640625,0.2896300624,"TEa1",1002,"15B0B3",7,FALSE,734881840,1,361,3,97,"Temporal association areas, layer 1",NA,NA,1,541,"Temporal association areas layer 1",362,11,"/997/8/567/688/695/315/541/97/",456768453,8690
"2",3,633664066,FALSE,0.247780963778496,9520,4650,3360,0.0581170518133261,0.00015048972150418,0.0258872984235774,172.020375643118,0.000234117564758301,126843200,948,61617077632,1269963008,32875911.375,191116.379394531,1.5557046848,"cVIIIn",542,"CCCCCC",4,FALSE,734881840,1,1136,3,948,"cochlear nerve",NA,NA,1,933,"cochlear nerve",1137,9,"/997/1009/967/933/948/",962095195,8690
"3",1,633663313,FALSE,0,0,0,0,0,0,0,0,0,126843200,155,75824660480,457417792,0,0,0.5603367952,"LD",160,"FF909F",7,FALSE,734881840,1,682,3,155,"Lateral dorsal nucleus of thalamus",NA,NA,1,239,"Lateral dorsal nucleus of thalamus",683,8,"/997/8/343/1129/549/856/239/155/",3458000123,8690
"4",3,633663948,FALSE,0.00676693115383387,10520,2830,4990,8.43295559445107e-06,6.56459308544438e-09,2.05209184934951e-06,312.600007744517,3.39711490154266e-08,126843200,795,650551237120,4224412672,8668.8828125,27.7315502166748,5.1749055232,"PAG",240,"FF90FF",5,FALSE,734881840,1,838,3,795,"Periaqueductal gray",NA,NA,1,323,"Periaqueductal gray",839,8,"/997/8/343/313/323/795/",3260726339,8690
"5",2,633661685,FALSE,0,0,0,0,0,0,0,0,0,126843200,496345672,5611384320,43132500,0,0,0.0528373125,"LGd-ip",NA,"FF8084",8,FALSE,734881840,1,665,3,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",NA,NA,1,170,"Dorsal part of the lateral geniculate complex ipsilateral zone",666,9,"/997/8/343/1129/549/864/1008/170/496345672/",1161910872,8690
"6",3,633663552,FALSE,0.0812883824110031,12910,7480,5330,0.00119137230484169,6.46341028223728e-05,0.00338922090241689,52.437037947771,4.7993002746582e-06,126843200,198,1372443072,60615000,205437.625,3917.79614257812,0.074253375,"pyd",590,"CCCCCC",4,FALSE,734881840,1,1208,3,198,"pyramidal decussation",NA,NA,1,784,"pyramidal decussation",1209,9,"/997/1009/983/784/198/",3272625759,8690
"7",2,633661791,FALSE,0,0,0,0,0,0,0,0,0,126843200,720,14539779584,186636592,0,0,0.2286298252,"DCN",89,"FFA5D2",6,FALSE,734881840,1,943,3,720,"Dorsal column nuclei",NA,NA,1,386,"Dorsal column nuclei",944,7,"/997/8/343/1065/354/386/720/",3104895435,8690
"8",1,633663150,FALSE,0.0757688581943512,12120,7250,5670,0.00157542097469418,5.1502815161453e-05,0.00432371041154693,83.9509529332096,6.34639422607422e-06,126843200,379,5167440960,100591200,434927.21875,5180.72998046875,0.12322422,"MY-sat",188,"FFC6E2",5,FALSE,734881840,1,1010,3,379,"Medulla, behavioral state related",NA,NA,1,354,"Medulla behavioral state related",1011,6,"/997/8/343/1065/354/379/",492266850,8690
"9",2,633661175,FALSE,0.000108114669274073,4520,4930,9640,2.9589171688172e-08,2.33632141410922e-10,4.92296301501938e-08,210.714294433594,1.19196425192058e-10,126843200,328,73129459712,416480384,20.5031757354736,0.0973032042384148,0.5101884704,"AId2/3",889,"219866",8,FALSE,734881840,1,281,3,328,"Agranular insular area, dorsal part, layer 2/3",NA,NA,1,104,"Agranular insular area dorsal part layer 2/3",282,11,"/997/8/567/688/695/315/95/104/328/",700697199,8690
"10",2,633662395,FALSE,0,0,0,0,0,0,0,0,0,126843200,563807435,8617333760,125820896,0,0,0.1541305976,"PoT",NA,"FF8084",7,FALSE,734881840,1,651,3,563807435,"Posterior triangular thalamic nucleus",NA,NA,1,637,"Posterior triangular thalamic nucleus",652,8,"/997/8/343/1129/549/864/637/563807435/",2408746103,8690
"11",1,633663105,FALSE,0.335880130529404,4780,3350,1400,0.0622436261273145,1.36511212556916e-05,0.0026694651004276,195.549145775452,0.000250740973879057,126843200,453,3183264283392,14994117000,40026272.0432281,204686.509289026,18.367793325,"SS",339,"188064",6,FALSE,734881840,1,30,3,453,"Somatosensory areas",NA,NA,1,315,"Somatosensory areas",31,6,"/997/8/567/688/695/315/453/",3016301862,8690
"12",1,633663412,FALSE,0,0,0,0,0,0,0,0,0,126843200,7,47771136000,497734208,0,0,0.6097244048,"PSV",283,"FFAE6F",6,FALSE,734881840,1,889,3,7,"Principal sensory nucleus of the trigeminal",NA,NA,1,1132,"Principal sensory nucleus of the trigeminal",890,8,"/997/8/343/1065/771/1132/7/",977401861,8690
"13",3,633663419,FALSE,0.0167287886142731,7450,5790,7610,0.000117904570202431,2.0541191744811e-07,6.44832616245779e-06,31.3921716060448,4.74964403533935e-07,126843200,6,56202833920,1887553792,12171.5625,387.726043701172,2.3122533952,"int",566,"CCCCCC",4,FALSE,734881840,1,1201,3,6,"internal capsule",NA,NA,1,784,"internal capsule",1202,9,"/997/1009/983/784/6/",2936038281,8690
"14",2,633661076,FALSE,0.0350600741803646,5840,4090,6400,7.52983086472754e-05,1.32399804897432e-06,0.000386093655833974,291.611968994141,3.03330194854736e-07,126843200,255,45843410944,187021792,72207.9296875,247.616485595703,0.2291016952,"AV",31,"FF909F",7,FALSE,734881840,1,675,3,255,"Anteroventral nucleus of thalamus",NA,NA,1,239,"Anteroventral nucleus of thalamus",676,8,"/997/8/343/1129/549/856/239/255/",2379451227,8690
"15",2,633661567,FALSE,0.00219318689778447,6150,3160,6040,3.16436192119391e-06,7.22570092648311e-08,1.69282920978731e-05,234.278900146484,1.2747252035141e-08,126843200,483,15554592768,144012608,2437.88745117188,10.4059200286865,0.1764154448,"MH",201,"FF909F",7,FALSE,734881840,1,712,3,483,"Medial habenula",NA,NA,1,958,"Medial habenula",713,8,"/997/8/343/1129/549/856/958/483/",176609275,8690
"16",2,633663249,FALSE,0,0,0,0,0,0,0,0,0,126843200,312782608,30243115008,124375504,0,0,0.1523599924,"VISrl2/3",NA,"009FAC",8,FALSE,734881840,1,355,3,312782608,"Rostrolateral area, layer 2/3",NA,NA,1,417,"Rostrolateral area layer 2/3",356,11,"/997/8/567/688/695/315/22/417/312782608/",1695598268,8690
"17",1,633662628,FALSE,0,0,0,0,0,0,0,0,0,126843200,1125,54912094208,278974784,0,0,0.3417441104,"ORBvl5",1130,"248A5E",8,FALSE,734881840,1,275,3,1125,"Orbital area, ventrolateral part, layer 5",NA,NA,1,746,"Orbital area ventrolateral part layer 5",276,11,"/997/8/567/688/695/315/714/746/1125/",4084585477,8690
"18",2,633662109,FALSE,0,0,0,0,0,0,0,0,0,126843200,964,6803786752,42002100,0,0,0.0514525725,"ee",544,"CCCCCC",4,FALSE,734881840,1,1194,3,964,"corpus callosum, extreme capsule",NA,NA,1,776,"corpus callosum extreme capsule",1195,9,"/997/1009/983/776/964/",3643110747,8690
"19",3,633664239,FALSE,0,0,0,0,0,0,0,0,0,126843200,929,3996078080,48164400,0,0,0.05900139,"SSp-n6b",1106,"188064",9,FALSE,734881840,1,50,3,929,"Primary somatosensory area, nose, layer 6b",NA,NA,1,353,"Primary somatosensory area nose layer 6b",51,11,"/997/8/567/688/695/315/453/322/353/929/",1588026147,8690
"20",1,633662967,FALSE,0,0,0,0,0,0,0,0,0,126843200,675,14766295040,75567600,0,0,0.09257031,"AIv6a",1074,"219866",8,FALSE,734881840,1,295,3,675,"Agranular insular area, ventral part, layer 6a",NA,NA,1,119,"Agranular insular area ventral part layer 6a",296,11,"/997/8/567/688/695/315/95/119/675/",1561328289,8690
