"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633771814,FALSE,1,6090,5200,4510,1.04578238801162,0.0184207978964573,24.96263456377,1355.13318717703,0.253122525082844,127255962,856,2946067528160,11217246608,280012027887.193,206630632.720689,13.7411270948,"DORpm",106,"FF909F",5,FALSE,734881840,1,666,3,856,"Thalamus, polymodal association cortex related",NA,NA,1,549,"Thalamus polymodal association cortex related",667,6,"/997/8/343/1129/549/856/",171097726,8690
"2",2,633769078,FALSE,0.897742092609406,6370,4120,5750,0.024975606432286,0.0439869202673435,46.1775436401367,1049.8017578125,0.0060451281625,127255962,599,35139857472,112187864,5180559872,4934798.5,0.1374301334,"CM",74,"FF909F",7,FALSE,734881840,1,698,3,599,"Central medial nucleus of the thalamus",NA,NA,1,51,"Central medial nucleus of the thalamus",699,8,"/997/8/343/1129/549/856/51/599/",769425900,8690
"3",2,633768143,FALSE,0,0,0,0,0,0,0,0,0,127255962,252,73663799296,154379696,0,0,0.1891151276,"AUDd5",738,"019399",8,FALSE,734881840,1,126,3,252,"Dorsal auditory area, layer 5",NA,NA,1,1011,"Dorsal auditory area layer 5",127,11,"/997/8/567/688/695/315/247/1011/252/",2928916084,8690
"4",1,633770470,FALSE,0.49110147356987,2910,3260,4940,0.00967498655888351,0.0177905615419149,8.28897762298584,465.919982910156,0.002341746290625,127255962,608,24783257600,107451904,890666432,1911629.625,0.1316285824,"ORBvl6a",924,"248A5E",8,FALSE,734881840,1,276,3,608,"Orbital area, ventrolateral part, layer 6a",NA,NA,1,746,"Orbital area ventrolateral part layer 6a",277,11,"/997/8/567/688/695/315/714/746/608/",3003346139,8690
"5",3,633771862,FALSE,0.463856041431427,8420,5630,3880,0.00330001333532826,0.000817952616431753,0.140360520827195,171.59981887399,0.00079873950625,127255962,924,24473834496,797151616,111888616,652032.25,0.9765107296,"cpd",539,"CCCCCC",4,FALSE,734881840,1,1202,3,924,"cerebal peduncle",NA,NA,1,784,"cerebal peduncle",1203,9,"/997/1009/983/784/924/",993976011,8690
"6",1,633769874,FALSE,0.326159656047821,8180,2920,5220,0.000702779064018393,0.000148344159128547,0.081253751996726,547.738127837686,0.000170101555829334,127255962,1100,204046240512,936055816,76058047.1283569,138858.412921906,1.1466683746,"PRT",278,"FF90FF",5,FALSE,734881840,1,843,3,1100,"Pretectal region",NA,NA,1,323,"Pretectal region",844,8,"/997/8/343/313/323/1100/",3274676419,8690
"7",3,633771348,FALSE,0.341921657323837,11360,5180,6600,0.000115039018446129,1.38984906355614e-05,0.011547124423996,830.81859223266,2.78441931762695e-05,127255962,202,420877631488,1635426048,18884468.0625,22729.9536132812,2.0033969088,"MV",449,"FFB3D9",7,FALSE,734881840,1,1003,3,202,"Medial vestibular nucleus",NA,NA,1,701,"Medial vestibular nucleus",1004,8,"/997/8/343/1065/354/370/701/202/",2935119484,8690
"8",2,633769429,FALSE,0.626056909561157,3890,3900,5980,0.0161114081032964,0.0140159921720624,8.60425472259521,613.888366699219,0.00389962610625,127255962,814,62976778240,227124000,1954232704,3183368.25,0.2782269,"DP",384,"A4DAA4",6,FALSE,734881840,1,410,3,814,"Dorsal peduncular area",NA,NA,1,698,"Dorsal peduncular area",411,8,"/997/8/567/688/695/698/814/",327990420,8690
"9",2,633770918,FALSE,0.166390791535378,7420,1220,7440,5.15245324959593e-05,0.000574777601286769,0.277149796485901,482.186126708984,1.24710646484375e-05,127255962,312782570,3644883456,17712000,4908877,10180.4609375,0.0216972,"VISa6b",NA,"009FAC",8,FALSE,734881840,1,352,3,312782570,"Anterior area, layer 6b",NA,NA,1,312782546,"Anterior area layer 6b",353,11,"/997/8/567/688/695/315/22/312782546/312782570/",2576925337,8690
"10",3,633771619,FALSE,0.419641464948654,2870,4940,6000,0.0102968137686203,0.00312502302110561,1.46278937763993,468.089152547236,0.0024922541546875,127255962,597,160935837696,651033024,952324192,2034493.1875,0.7975154544,"TTd",357,"62D09F",7,FALSE,734881840,1,399,3,597,"Taenia tecta, dorsal part",NA,NA,1,589,"Taenia tecta dorsal part",400,9,"/997/8/567/688/695/698/589/597/",2019823208,8690
