"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633623687,FALSE,0.335220634937286,11090,4870,2180,0.00246737928209448,6.1654480339028e-05,0.0767553998439442,1244.92817751246,0.0003894329359375,125831616,1041,1290921902080,5156226048,395768192,317904.4375,6.3163769088,"PFL",412,"FFFC91",5,FALSE,734881840,1,1088,3,1041,"Paraflocculus",NA,NA,1,1073,"Paraflocculus",1089,8,"/997/8/512/528/1073/1041/",775625608,8690
"2",2,633622459,FALSE,0,0,0,0,0,0,0,0,0,125831616,576073704,27797690368,96414304,0,0,0.1181075224,"PeF",NA,"F2483B",6,FALSE,734881840,1,798,3,576073704,"Perifornical nucleus",NA,NA,1,290,"Perifornical nucleus",799,8,"/997/8/343/1129/1097/290/576073704/",702937889,8690
"3",2,633619978,FALSE,0,0,0,0,0,0,0,0,0,125831616,38,20666429440,84937504,0,0,0.1040484424,"PVH",287,"FF5D50",6,FALSE,734881840,1,720,3,38,"Paraventricular hypothalamic nucleus",NA,NA,1,157,"Paraventricular hypothalamic nucleus",721,8,"/997/8/343/1129/1097/157/38/",3443963014,8690
"4",1,633621822,FALSE,0,0,0,0,0,0,0,0,0,125831616,798,1325666944,48627900,0,0,0.0595691775,"VIIn",665,"CCCCCC",3,FALSE,734881840,1,1130,3,798,"facial nerve",NA,NA,1,967,"facial nerve",1131,8,"/997/1009/967/798/",2302244085,8690
"5",1,633622176,FALSE,0,0,0,0,0,0,0,0,0,125831616,440,60042469376,216396000,0,0,0.2650851,"ORBl6a",620,"248A5E",8,FALSE,734881840,1,262,3,440,"Orbital area, lateral part, layer 6a",NA,NA,1,723,"Orbital area lateral part layer 6a",263,11,"/997/8/567/688/695/315/714/723/440/",4001987457,8690
"6",3,633623544,FALSE,0,0,0,0,0,0,0,0,0,125831616,946,183704592384,636402624,0,0,0.7795932144,"PH",259,"FF4C3E",6,FALSE,734881840,1,792,3,946,"Posterior hypothalamic nucleus",NA,NA,1,467,"Posterior hypothalamic nucleus",793,8,"/997/8/343/1129/1097/467/946/",303854195,8690
"7",3,633623370,FALSE,0.0314512476325035,3630,4180,5710,1.02527283900052e-05,2.90808505769769e-06,0.0013959194646977,480.013286063522,1.6182149810791e-06,125831616,814,157274038272,454248000,634093.625,1320.99182128906,0.5564538,"DP",384,"A4DAA4",6,FALSE,734881840,1,410,3,814,"Dorsal peduncular area",NA,NA,1,698,"Dorsal peduncular area",411,8,"/997/8/567/688/695/698/814/",327990420,8690
"8",1,633622301,FALSE,0,0,0,0,0,0,0,0,0,125831616,251,112011780096,212493600,0,0,0.26030466,"AUDp2/3",1021,"019399",8,FALSE,734881840,1,138,3,251,"Primary auditory area, layer 2/3",NA,NA,1,1002,"Primary auditory area layer 2/3",139,11,"/997/8/567/688/695/315/247/1002/251/",1321647110,8690
"9",2,633620214,FALSE,0.0250379536300898,7650,2440,6340,2.60352967872526e-06,4.40278387187459e-08,2.46983084132298e-05,560.970266358179,4.10921909713745e-07,125831616,375,3574478536704,7618962608,188175.48828125,335.44645690918,9.3332291948,"CA",46,"7ED04B",7,FALSE,734881840,1,456,3,375,"Ammon's horn",NA,NA,1,1080,"Ammon's horn",457,8,"/997/8/567/688/695/1089/1080/375/",1703331408,8690
"10",1,633621358,FALSE,0.726078927516937,9210,6920,4850,0.0101898234580272,6.12199709443291e-05,0.0428759699507311,700.359201243671,0.00160828653087165,125831616,1065,3354971607296,21445403252,919492465.414062,1312886.96397686,26.2706189837,"HB",132,"FF9B88",3,FALSE,734881840,1,882,3,1065,"Hindbrain",NA,NA,1,343,"Hindbrain",883,3,"/997/8/343/1065/",1911489865,8690
