"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633051580,FALSE,0.0609302036464214,5810,2180,1480,0.000115822750715241,1.58936236402951e-05,0.00415274361148477,261.283630371094,3.54244578857422e-06,112424813,558,46943358976,181946704,755578,2891.79248046875,0.2228847124,"SSp-n1",635,"188064",9,FALSE,734881840,1,45,3,558,"Primary somatosensory area, nose, layer 1",NA,NA,1,353,"Primary somatosensory area nose layer 1",46,11,"/997/8/567/688/695/315/453/322/353/558/",3903637663,8690
"2",1,633051209,FALSE,0.104160912334919,7800,470,4250,0.000439422217876159,0.000117807547212578,0.0740338414907455,628.430419921875,1.34397549316406e-05,112424813,1066,24292057088,93128400,6894653.5,10971.228515625,0.11408229,"VISam2/3",1123,"08858C",8,FALSE,734881840,1,173,3,1066,"Anteromedial visual area, layer 2/3",NA,NA,1,394,"Anteromedial visual area layer 2/3",174,11,"/997/8/567/688/695/315/669/394/1066/",1625313305,8690
"3",3,633052361,FALSE,0.0224915463477373,9100,5910,8380,7.35146126723818e-06,4.84036261045293e-07,0.000100610375669545,207.857104449724,2.24844884490967e-07,112424813,589508447,81606402048,379200608,38151.515625,183.546844482422,0.4645207448,"HATA",NA,"33B932",7,FALSE,734881840,1,553,3,589508447,"Hippocampo-amygdalar transition area",NA,NA,1,822,"Hippocampo-amygdalar transition area",554,8,"/997/8/567/688/695/1089/822/589508447/",1243801218,8690
"4",2,633051104,FALSE,0.476012259721756,7810,3230,7120,0.0284706628236976,0.00768719054758549,3.75717949867249,488.758483886719,0.0008707769328125,112424813,1029,10960642048,92470496,347428256,710838.3125,0.1132763576,"POL",269,"FF909F",7,FALSE,734881840,1,670,3,1029,"Posterior limiting nucleus of the thalamus",NA,NA,1,138,"Posterior limiting nucleus of the thalamus",671,8,"/997/8/343/1129/549/856/138/1029/",3921343755,8690
"5",1,633051287,FALSE,0.239711061120033,8720,3860,5450,0.00533400850312237,2.60803905218877e-05,0.00586691283102481,224.954945597961,0.000163140970503807,112424813,967,282137828720,5106376852,29958667.8730469,133176.302452087,6.2553116437,"cm",686,"CCCCCC",2,FALSE,734881840,1,1102,3,967,"cranial nerves",NA,NA,1,1009,"cranial nerves",1103,2,"/997/1009/967/",1191830544,8690
"6",3,633052413,FALSE,0.0421379692852497,12940,7400,5590,5.83796545260078e-05,2.40466543208802e-05,0.00726402789377629,302.080605345118,1.78554524078369e-06,112424813,198,2698056320,60615000,440309.05078125,1457.58795166016,0.074253375,"pyd",590,"CCCCCC",4,FALSE,734881840,1,1208,3,198,"pyramidal decussation",NA,NA,1,784,"pyramidal decussation",1209,9,"/997/1009/983/784/198/",3272625759,8690
"7",2,633050923,FALSE,0,0,0,0,0,0,0,0,0,112424813,974,177977688064,547686016,0,0,0.6709153696,"SSp-m5",970,"188064",9,FALSE,734881840,1,76,3,974,"Primary somatosensory area, mouth, layer 5",NA,NA,1,345,"Primary somatosensory area mouth layer 5",77,11,"/997/8/567/688/695/315/453/322/345/974/",3102678536,8690
"8",3,633052876,FALSE,0,0,0,0,0,0,0,0,0,112424813,460,939354112,8535600,0,0,0.01045611,"MEV",198,"FF7AFF",5,FALSE,734881840,1,819,3,460,"Midbrain trigeminal nucleus",NA,NA,1,339,"Midbrain trigeminal nucleus",820,8,"/997/8/343/313/339/460/",881115082,8690
"9",3,633052662,FALSE,0.157815143465996,8970,3980,10050,0.000563297144728926,0.000289953176940145,0.142892845633455,492.813519553031,1.72284770111084e-05,112424813,335,10274881024,48504600,6930960.3203125,14064.0628662109,0.059418135,"PERI6a",890,"0E9684",7,FALSE,734881840,1,371,3,335,"Perirhinal area, layer 6a",NA,NA,1,922,"Perirhinal area layer 6a",372,11,"/997/8/567/688/695/315/922/335/",1984229208,8690
"10",2,633050875,FALSE,0.596524655818939,7710,5240,7950,0.141436906475522,0.00885982345789671,2.00626087188721,226.444793701172,0.00432585628125,112424813,924,16368593920,398575808,799647040,3531311.25,0.4882553648,"cpd",539,"CCCCCC",4,FALSE,734881840,1,1202,3,924,"cerebal peduncle",NA,NA,1,784,"cerebal peduncle",1203,9,"/997/1009/983/784/924/",993976011,8690
