"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633271344,FALSE,0,0,0,0,0,0,0,0,0,113936696,332,101743312,2796300,0,0,0.0034254675,"ASO",465,"FF5D50",6,FALSE,734881840,1,718,3,332,"Accessory supraoptic group",NA,NA,1,157,"Accessory supraoptic group",719,7,"/997/8/343/1129/1097/157/332/",1856950247,8690
"2",1,633271080,FALSE,0,0,0,0,0,0,0,0,0,113936696,744,82301728,30121200,0,0,0.03689847,"cbc",658,"CCCCCC",3,FALSE,734881840,1,1172,3,744,"cerebellar commissure",NA,NA,1,960,"cerebellar commissure",1173,8,"/997/1009/960/744/",137458081,8690
"3",1,633270839,FALSE,0.732769191265106,8960,6280,5390,0.0116173318290249,0.000108350803927054,0.00556182941598533,51.3316857319283,0.00284751126497056,113936696,1065,318490151352,21453454036,119320451.731914,2324498.99181271,26.2804811941,"HB",132,"FF9B88",3,FALSE,734881840,1,882,3,1065,"Hindbrain",NA,NA,1,343,"Hindbrain",883,3,"/997/8/343/1065/",1911489865,8690
"4",1,633271272,FALSE,0.0204831957817078,7820,1910,5050,4.03350217680343e-06,1.8803476677931e-06,0.000100384342658799,53.3860511779785,9.88647225952148e-07,113936696,443,6699677696,429207296,43085.69140625,807.058959960938,0.5257789376,"dhc",479,"CCCCCC",6,FALSE,734881840,1,1254,3,443,"dorsal hippocampal commissure",NA,NA,1,618,"dorsal hippocampal commissure",1255,10,"/997/1009/991/768/1099/618/443/",1923336249,8690
"5",3,633271778,FALSE,0.164404332637787,5170,6760,5810,0.000116211017960247,0.000142596189528171,0.00933936729297902,65.4952094013278,2.84843531738281e-05,113936696,272,3221217152,163065600,1522929.53125,23252.533203125,0.19975536,"AVPV",33,"FF5547",6,FALSE,734881840,1,738,3,272,"Anteroventral periventricular nucleus",NA,NA,1,141,"Anteroventral periventricular nucleus",739,8,"/997/8/343/1129/1097/141/272/",1695582307,8690
"6",1,633271463,FALSE,0.0903835892677307,7030,4800,5500,6.25417051110968e-06,3.06620786432177e-05,0.00230773794464767,75.2635803222656,1.53295276794434e-06,113936696,189,1291067776,40812300,94184.09375,1251.39001464844,0.0499950675,"RH",306,"FF909F",7,FALSE,734881840,1,697,3,189,"Rhomboid nucleus",NA,NA,1,51,"Rhomboid nucleus",698,8,"/997/8/343/1129/549/856/51/189/",2507270646,8690
"7",1,633271514,FALSE,0.370634853839874,4480,5210,1770,0.000402051545776641,0.000103046980066459,0.00574320333182032,55.7338344909893,9.85464065713882e-05,113936696,119,40009911528,780673496,4483566.62329102,80446.0461807251,0.9563250326,"AIv",14,"219866",7,FALSE,734881840,1,291,3,119,"Agranular insular area, ventral part",NA,NA,1,95,"Agranular insular area ventral part",292,9,"/997/8/567/688/695/315/95/119/",4204343095,8690
"8",2,633270264,FALSE,0.0171246007084846,5450,6950,6830,2.83477772781223e-06,1.70348232586548e-06,9.48283632169478e-05,55.6673583984375,6.94829211425781e-07,113936696,596,8626026496,332969408,31574.943359375,567.20751953125,0.4078875248,"NDB",215,"96A7D3",7,FALSE,734881840,1,618,3,596,"Diagonal band nucleus",NA,NA,1,904,"Diagonal band nucleus",619,9,"/997/8/567/623/803/826/904/596/",278981173,8690
"9",1,633271417,FALSE,0.287500470876694,9360,4650,5410,0.000171118285259789,0.00176682078745216,0.065660797059536,37.1632461547852,4.19426123046875e-05,113936696,231,288999904,19378800,1272427.5,34238.8671875,0.02373903,"AT",28,"FF90FF",5,FALSE,734881840,1,860,3,231,"Anterior tegmental nucleus",NA,NA,1,323,"Anterior tegmental nucleus",861,8,"/997/8/343/313/323/231/",569339657,8690
"10",1,633271226,FALSE,0.0378978699445724,9300,410,4260,1.55559172416852e-05,6.59520505562009e-06,0.00034893190376539,52.9069074915341,3.81289354858398e-06,113936696,533,26130513536,471943804,164676.25,3112.56616210938,0.5781311599,"VISpm",915,"08858C",7,FALSE,734881840,1,199,3,533,"posteromedial visual area",NA,NA,1,669,"posteromedial visual area",200,8,"/997/8/567/688/695/315/669/533/",558797901,8690
"11",2,633270150,FALSE,0,0,0,0,0,0,0,0,0,113936696,397,117204312,16812000,0,0,0.0205947,"vtd",615,"CCCCCC",4,FALSE,734881840,1,1231,3,397,"ventral tegmental decussation",NA,NA,1,863,"ventral tegmental decussation",1232,9,"/997/1009/1000/863/397/",2482574838,8690
"12",2,633270699,FALSE,0.0583652853965759,4590,4640,5800,4.23732821568482e-05,1.00115839813952e-05,0.00049942807527259,49.8850212097168,1.03860679931641e-05,113936696,258,23782809600,846861312,422946.3125,8478.4228515625,1.0374051072,"LSr",173,"90CBED",7,FALSE,734881840,1,588,3,258,"Lateral septal nucleus, rostral (rostroventral) part",NA,NA,1,242,"Lateral septal nucleus rostral (rostroventral) part",589,9,"/997/8/567/623/477/275/242/258/",2666394691,8690
