"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631316464,FALSE,0.999592304229736,7110,830,8030,0.18654545279013,0.0727711299261156,56.5400206841777,776.956751139946,0.0342356587125,100141473,312782554,94138765312,384046208,21713980544,27947476.5,0.4704566048,"VISa2/3",NA,"009FAC",8,FALSE,734881840,1,348,3,312782554,"Anterior area, layer 2/3",NA,NA,1,312782546,"Anterior area layer 2/3",349,11,"/997/8/567/688/695/315/22/312782546/312782554/",2789647405,8690
"2",2,631313369,FALSE,0.0471873395144939,10120,5110,5850,1.58685343189246e-05,5.43688365723938e-05,0.010705609805882,196.907104492188,2.91226463623047e-06,100141473,238,1039546240,43726500,468118.84375,2377.35888671875,0.0535649625,"RPO",312,"FFC395",6,FALSE,734881840,1,932,3,238,"Nucleus raphe pontis",NA,NA,1,1117,"Nucleus raphe pontis",933,8,"/997/8/343/1065/771/1117/238/",663725501,8690
"3",3,631316476,FALSE,0.947152614593506,7920,3410,6650,1.38542468204058,0.00627701822915659,2.78295757000298,443.356617490167,0.2542593554375,100141473,313,4614152599520,33066441728,92022504320,207558657.5,40.5063911168,"MB",180,"FF64FF",3,FALSE,734881840,1,806,3,313,"Midbrain",NA,NA,1,343,"Midbrain",807,5,"/997/8/343/313/",789921203,8690
"4",3,631316594,FALSE,0.117727383971214,3370,3460,7050,6.23437248823937e-05,0.000237295208586998,0.0497556955750166,209.67846705078,1.1441600189209e-05,100141473,488,2808404480,39360600,1958414.03125,9340.08178710938,0.048216735,"ORBl6b",626,"248A5E",8,FALSE,734881840,1,263,3,488,"Orbital area, lateral part, layer 6b",NA,NA,1,723,"Orbital area lateral part layer 6b",264,11,"/997/8/567/688/695/315/714/723/488/",2004888123,8690
"5",2,631315328,FALSE,0.661477982997894,8120,4710,7600,0.175587814741998,0.00384532753378153,1.49090552330017,387.71875,0.0322246638,100141473,1097,719714255712,6840990208,10199270400,26305848,8.3802130048,"HY",136,"E64438",4,FALSE,734881840,1,715,3,1097,"Hypothalamus",NA,NA,1,1129,"Hypothalamus",716,5,"/997/8/343/1129/1097/",3938328193,8690
"6",1,631315955,FALSE,0.298777997493744,11550,6600,3620,0.00159997287943204,0.000534610415343195,0.0818672850728035,153.134475708008,0.000293634203515625,100141473,445,30953076736,448366496,36706548,239701.390625,0.5492489576,"SPVO",338,"FFA5D2",6,FALSE,734881840,1,956,3,445,"Spinal nucleus of the trigeminal, oral part",NA,NA,1,386,"Spinal nucleus of the trigeminal oral part",957,9,"/997/8/343/1065/354/386/445/",2940691791,8690
"7",2,631314286,FALSE,0.559996902942657,8780,1490,9150,0.0669867235015928,0.0181960411547037,6.50239639207519,357.352257933001,0.0122937041335937,100141473,409,105510981248,551530784,3586271780,10035676.84375,0.6756252104,"VISl",758,"08858C",7,FALSE,734881840,1,178,3,409,"Lateral visual area",NA,NA,1,669,"Lateral visual area",179,8,"/997/8/567/688/695/315/669/409/",1805245805,8690
"8",2,631315255,FALSE,0.550707221031189,7960,4180,7710,0.0303247008454211,0.00709888982824544,2.07620473503267,292.468933208649,0.00556532519648437,100141473,1008,72923037696,639976492,1328722223,4543122.609375,0.7839712027,"GENd",125,"FF8084",6,FALSE,734881840,1,657,3,1008,"Geniculate group, dorsal thalamus",NA,NA,1,864,"Geniculate group dorsal thalamus",658,7,"/997/8/343/1129/549/864/1008/",4155059555,8690
"9",2,631314632,FALSE,0.338879942893982,8270,4180,5800,0.00263932209379571,0.00951256137341261,2.80586552619934,294.964263916016,0.0004843802359375,100141473,587,6096371712,41567400,116632536,395412.4375,0.050920065,"ND",214,"FF90FF",6,FALSE,734881840,1,841,3,587,"Nucleus of Darkschewitsch",NA,NA,1,795,"Nucleus of Darkschewitsch",842,9,"/997/8/343/313/323/795/587/",4174754247,8690
"10",2,631316243,FALSE,0,0,0,0,0,0,0,0,0,100141473,576073704,13001732096,96414304,0,0,0.1181075224,"PeF",NA,"F2483B",6,FALSE,734881840,1,798,3,576073704,"Perifornical nucleus",NA,NA,1,290,"Perifornical nucleus",799,8,"/997/8/343/1129/1097/290/576073704/",702937889,8690
"11",2,631314685,FALSE,0.032076720148325,7570,2670,5780,4.78679635198613e-06,3.33467360178474e-05,0.00640639662742615,192.114654541016,8.7849434967041e-07,100141473,611,739228800,21505500,137772.765625,717.138244628906,0.0263442375,"hbc",500,"CCCCCC",5,FALSE,734881840,1,1287,3,611,"habenular commissure",NA,NA,1,1083,"habenular commissure",1288,9,"/997/1009/991/824/1083/611/",4058360785,8690
"12",1,631315744,FALSE,0.000922961393371224,12730,6010,5480,1.5467674158219e-08,1.82193868880631e-08,3.3289479688392e-06,182.714599609375,2.83869698047638e-09,100141473,773,21426378752,127188896,423.405212402344,2.31730365753174,0.1558063976,"XII",379,"FFB3D9",6,FALSE,734881840,1,1007,3,773,"Hypoglossal nucleus",NA,NA,1,370,"Hypoglossal nucleus",1008,8,"/997/8/343/1065/354/370/773/",2567805299,8690
"13",3,631316496,FALSE,0.14672178030014,4140,3970,5970,5.22573796798598e-05,0.000235130128674759,0.0516207870820869,219.541355133994,9.59050885009765e-06,100141473,333,3804592000,33296400,1718786.375,7828.98681640625,0.04078809,"SH",324,"90CBED",6,FALSE,734881840,1,591,3,333,"Septohippocampal nucleus",NA,NA,1,275,"Septohippocampal nucleus",592,8,"/997/8/567/623/477/275/333/",2151592702,8690
