"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,629867959,FALSE,1,7230,4630,6540,0.0851452608014139,0.160086050629616,159.631546020508,997.160888671875,0.018995965975,174360333,741,28193599488,96866096,15462885376,15506911,0.1186609676,"VPMpc",375,"FF8084",8,FALSE,734881840,1,650,3,741,"Ventral posteromedial nucleus of the thalamus, parvicellular part",NA,NA,1,709,"Ventral posteromedial nucleus of the thalamus parvicellular part",651,9,"/997/8/343/1129/549/864/637/709/741/",2993275992,8690
"2",2,629868319,FALSE,0.290061503648758,7950,3860,6330,0.000192350057855395,0.00125221163034439,0.212147817015648,169.418502807617,4.29134295898437e-05,174360333,549009203,1347015552,27975600,5934962.5,35031.37109375,0.03427011,"RPF",NA,"FF90FF",6,FALSE,734881840,1,850,3,549009203,"Retroparafascicular nucleus",NA,NA,1,1100,"Retroparafascicular nucleus",851,9,"/997/8/343/313/323/1100/549009203/",2559458743,8690
"3",3,629869328,FALSE,0.0646667405962944,7510,1490,3210,9.5936270525041e-06,6.80747525868165e-05,0.00852985577822194,125.30131148613,2.14034476318359e-06,174360333,312782624,1373321280,25666200,218928.984375,1747.22021484375,0.031441095,"VISrl6b",NA,"009FAC",8,FALSE,734881840,1,359,3,312782624,"Rostrolateral area, layer 6b",NA,NA,1,417,"Rostrolateral area layer 6b",360,11,"/997/8/567/688/695/315/22/417/312782624/",3279221348,8690
"4",2,629867702,FALSE,0.0344441570341587,10740,4900,6410,1.02219992796041e-05,8.76265548868105e-05,0.0129385450854897,147.655517578125,2.28053503723144e-06,174360333,358,1471851776,21245400,274884.5625,1861.66125488281,0.026025615,"SLD",327,"FFC395",6,FALSE,734881840,1,934,3,358,"Sublaterodorsal nucleus",NA,NA,1,1117,"Sublaterodorsal nucleus",935,8,"/997/8/343/1065/771/1117/358/",4160997876,8690
"5",3,629869956,FALSE,0.205097779631615,6330,5200,6410,5.9157111569039e-05,7.91081909144911e-05,0.0204363778676512,258.33453693488,1.31979920898437e-05,174360333,1077,17704308736,136191600,2783263,10773.87109375,0.16683471,"PR",275,"FF909F",7,FALSE,734881840,1,690,3,1077,"Perireunensis nucleus",NA,NA,1,444,"Perireunensis nucleus",691,8,"/997/8/343/1129/549/856/444/1077/",985229058,8690
"6",3,629870039,FALSE,0.595499932765961,6130,5660,8150,0.0392722173431559,0.00196339451606594,0.856077756399865,436.019225578357,0.00876165857490692,174360333,278,354815627840,3642861528,3118572723.76562,7152374.34686279,4.4625053718,"sAMY",317,"80C0E2",5,FALSE,734881840,1,592,3,278,"Striatum-like amygdalar nuclei",NA,NA,1,477,"Striatum-like amygdalar nuclei",593,6,"/997/8/567/623/477/278/",746209354,8690
"7",1,629868860,FALSE,0.0904085636138916,10480,4030,4770,8.46533045794056e-06,0.000361247337423265,0.0635236650705338,175.845352172852,1.88862102050781e-06,174360333,460,162820016,4267800,271106.3125,1541.7314453125,0.005228055,"MEV",198,"FF7AFF",5,FALSE,734881840,1,819,3,460,"Midbrain trigeminal nucleus",NA,NA,1,339,"Midbrain trigeminal nucleus",820,8,"/997/8/343/313/339/460/",881115082,8690
"8",3,629869737,FALSE,0.40788322687149,10380,2070,6200,0.000302839577180951,4.62926342093764e-05,0.00949334937228748,205.07256790249,6.75637169921875e-05,174360333,820,125400363008,1191421824,11310583.625,55154.0546875,1.4594917344,"ICd",809,"FF7AFF",6,FALSE,734881840,1,814,3,820,"Inferior colliculus, dorsal nucleus",NA,NA,1,4,"Inferior colliculus dorsal nucleus",815,9,"/997/8/343/313/339/4/820/",3008108572,8690
"9",1,629868891,FALSE,0.175841987133026,8590,1400,1760,0.000390597704116991,0.000128980703871295,0.0159619656429887,123.754679296189,8.71426151905835e-05,174360333,409,48803674496,551530784,8803515.42525864,71136.8287270069,0.6756252104,"VISl",758,"08858C",7,FALSE,734881840,1,178,3,409,"Lateral visual area",NA,NA,1,669,"Lateral visual area",179,8,"/997/8/567/688/695/315/669/409/",1805245805,8690
"10",2,629868007,FALSE,0,0,0,0,0,0,0,0,0,174360333,816,14018130944,105716704,0,0,0.1295029624,"AUDp4",950,"019399",8,FALSE,734881840,1,139,3,816,"Primary auditory area, layer 4",NA,NA,1,1002,"Primary auditory area layer 4",140,11,"/997/8/567/688/695/315/247/1002/816/",1680716233,8690
"11",2,629868349,FALSE,0.17752131819725,7520,600,8180,0.000138701156846506,3.90051625078614e-05,0.00411211604191055,105.424917562689,3.0944323046875e-05,174360333,312782546,69307852032,647623808,2663104.25,25260.671875,0.7933391648,"VISa",NA,"009FAC",7,FALSE,734881840,1,346,3,312782546,"Anterior area",NA,NA,1,22,"Anterior area",347,8,"/997/8/567/688/695/315/22/312782546/",3402453642,8690
"12",1,629868911,FALSE,0,0,0,0,0,0,0,0,0,174360333,374,7249867264,88556400,0,0,0.10848159,"SNc",329,"FFA6FF",5,FALSE,734881840,1,866,3,374,"Substantia nigra, compact part",NA,NA,1,348,"Substantia nigra compact part",867,8,"/997/8/343/313/348/374/",591190689,8690
"13",1,629868447,FALSE,0.22663240134716,10560,4040,2300,0.00237683468111589,0.000168947037309408,0.024705745279789,146.233673095703,0.00053027344453125,174360333,1056,306207981568,2562201088,63301088,432876.28125,3.1386963328,"ANcr1",414,"FFFC91",6,FALSE,734881840,1,1072,3,1056,"Crus 1",NA,NA,1,1017,"Crus 1",1073,8,"/997/8/512/528/1073/1017/1056/",1964034289,8690
"14",3,629869679,FALSE,0.224466189742088,10440,3810,4040,0.00258545338380908,7.5601506134741e-05,0.0101420942778494,134.152013582555,0.000576816419921875,174360333,728,115072212992,6228322304,63168232,470870.546875,7.6296948224,"arb",656,"CCCCCC",3,FALSE,734881840,1,1188,3,728,"arbor vitae",NA,NA,1,960,"arbor vitae",1189,8,"/997/1009/960/728/",756994283,8690
"15",3,629869871,FALSE,0.988840579986572,3900,3690,9000,0.204995016521703,0.0341183035172498,18.6713944041635,547.254478661973,0.045734528525,174360333,974,198421665408,1094260416,20431367808,37334309,1.3404690096,"SSp-m5",970,"188064",9,FALSE,734881840,1,76,3,974,"Primary somatosensory area, mouth, layer 5",NA,NA,1,345,"Primary somatosensory area mouth layer 5",77,11,"/997/8/567/688/695/315/453/322/345/974/",3102678536,8690
"16",1,629868504,FALSE,0,0,0,0,0,0,0,0,0,174360333,980,4192099328,59494500,0,0,0.0728807625,"PMd",263,"FF4C3E",6,FALSE,734881840,1,780,3,980,"Dorsal premammillary nucleus",NA,NA,1,467,"Dorsal premammillary nucleus",781,8,"/997/8/343/1129/1097/467/980/",282623527,8690
"17",2,629867550,FALSE,0.077177993953228,7760,2890,5740,9.7838470199268e-06,7.54803113522939e-05,0.00975331943482161,129.216735839844,2.18278296813965e-06,174360333,158,398596800,23607000,230246.609375,1781.86364746094,0.028918575,"pc",585,"CCCCCC",4,FALSE,734881840,1,1121,3,158,"posterior commissure",NA,NA,1,832,"posterior commissure",1122,9,"/997/1009/967/832/158/",4129046125,8690
"18",1,629868370,FALSE,0.261174559593201,4960,1890,2670,9.72544633500012e-05,0.000118743482744321,0.0390046611428261,328.478332519531,2.16975373535156e-05,174360333,182305697,18776561664,149164192,5818098.5,17712.275390625,0.1827261352,"SSp-un2/3",NA,"188064",9,FALSE,734881840,1,95,3,182305697,"Primary somatosensory area, unassigned, layer 2/3",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 2/3",96,11,"/997/8/567/688/695/315/453/322/182305689/182305697/",909836824,8690
"19",3,629869234,FALSE,0.999736666679382,5470,2450,7070,0.052761428192181,0.0782270774921928,127.706931606147,1632.51569277776,0.01177111075,174360333,98,25706247168,122835600,15686957568,9609070,0.15047361,"SEZ",719,"AAAAAA",3,FALSE,734881840,1,1295,3,98,"subependymal zone",NA,NA,1,81,"subependymal zone",1296,9,"/997/73/81/98/",1826888016,8690
"20",3,629869262,FALSE,0.76345431804657,11360,6240,4350,0.0614648919601476,0.00447815172512443,0.637208524061118,142.292750039284,0.013712859475,174360333,136,44627150848,2499730176,1592849376,11194171,3.0621694656,"IRN",865,"FFB3D9",6,FALSE,734881840,1,978,3,136,"Intermediate reticular nucleus",NA,NA,1,370,"Intermediate reticular nucleus",979,8,"/997/8/343/1065/354/370/136/",484077622,8690
"21",1,629868932,FALSE,0.183851674199104,6300,4840,1260,0.000829262845731747,0.000445958197815344,0.0993122532963753,222.694091796875,0.00018500910859375,174360333,344,35696812032,338659200,33633008,151027.84375,0.41485752,"AIp5",891,"219866",8,FALSE,734881840,1,288,3,344,"Agranular insular area, posterior part, layer 5",NA,NA,1,111,"Agranular insular area posterior part layer 5",289,11,"/997/8/567/688/695/315/95/111/344/",3116139673,8690
"22",3,629869535,FALSE,0.595499932765961,6130,5660,8150,0.03796304888452,0.00583307587621066,2.60326426035979,446.29357059743,0.00846958219553223,174360333,536,149501050880,1185299968,3085649044.5,6913944.64941406,1.4519924608,"CEA",66,"80C0E2",6,FALSE,734881840,1,595,3,536,"Central amygdalar nucleus",NA,NA,1,278,"Central amygdalar nucleus",596,8,"/997/8/567/623/477/278/536/",3284898075,8690
"23",1,629868798,FALSE,0.141372174024582,5050,1930,2810,2.17742440533257e-05,1.68455717357574e-05,0.00511611206457019,303.706634521484,4.85784875488281e-06,174360333,577,38268325888,235408496,1204376.25,3965.5908203125,0.2883754076,"SSp-ul4",1062,"188064",9,FALSE,734881840,1,82,3,577,"Primary somatosensory area, upper limb, layer 4",NA,NA,1,369,"Primary somatosensory area upper limb layer 4",83,11,"/997/8/567/688/695/315/453/322/369/577/",4219333960,8690
"24",2,629868099,FALSE,0.08609489351511,5050,1850,9000,9.42261011985834e-06,1.15045986603945e-05,0.00211203540675342,183.581848144531,2.10219076843262e-06,174360333,182305697,18115653632,149164192,315040.0625,1716.07409667969,0.1827261352,"SSp-un2/3",NA,"188064",9,FALSE,734881840,1,95,3,182305697,"Primary somatosensory area, unassigned, layer 2/3",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 2/3",96,11,"/997/8/567/688/695/315/453/322/182305689/182305697/",909836824,8690
"25",3,629869986,FALSE,0,0,0,0,0,0,0,0,0,174360333,1109,13249847296,87003000,0,0,0.106578675,"PS",279,"FF5547",6,FALSE,734881840,1,747,3,1109,"Parastrial nucleus",NA,NA,1,141,"Parastrial nucleus",748,8,"/997/8/343/1129/1097/141/1109/",747009513,8690
"26",2,629867473,FALSE,0,0,0,0,0,0,0,0,0,174360333,42,9371196416,148631392,0,0,0.1820734552,"SCdw",429,"FF90FF",6,FALSE,734881840,1,832,3,42,"Superior colliculus, motor related, deep white layer",NA,NA,1,294,"Superior colliculus motor related deep white layer",833,9,"/997/8/343/313/323/294/42/",3170401061,8690
"27",3,629869757,FALSE,1,3970,3660,8580,0.475890361303476,0.0334792494977969,16.6144564290208,496.261316434651,0.1061714654,174360333,844,337082482688,2588785152,43011258112,86670584,3.1712618112,"MOp6a",1095,"1F9D5A",8,FALSE,734881840,1,22,3,844,"Primary motor area, Layer 6a",NA,NA,1,985,"Primary motor area Layer 6a",23,11,"/997/8/567/688/695/315/500/985/844/",3473508879,8690
