"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,628559755,FALSE,0.0566284731030464,6150,6930,5640,7.35735986401877e-06,5.01081085531041e-05,0.0152419516816735,304.181335449219,1.81687089233398e-06,157063074,286,3967453696,29599200,451149.5625,1483.15991210938,0.03625902,"SCH",318,"FF5547",6,FALSE,734881840,1,752,3,286,"Suprachiasmatic nucleus",NA,NA,1,141,"Suprachiasmatic nucleus",753,8,"/997/8/343/1129/1097/141/286/",3746645074,8690
"2",3,628564283,FALSE,0.64079338312149,6280,2140,6730,0.0243434772659211,0.000127872707786569,0.0379260752360736,296.592415164739,0.006011525340625,157063074,1089,7443743548160,38376974336,1455488016,4907367.625,47.0117935616,"HPF",135,"7ED04B",5,FALSE,734881840,1,454,3,1089,"Hippocampal formation",NA,NA,1,695,"Hippocampal formation",455,5,"/997/8/567/688/695/1089/",702348177,8690
"3",2,628556394,FALSE,0.410346329212189,2490,4470,7740,0.0078379510802182,0.0141306156292558,6.22208833694458,440.326751708984,0.001935550990625,157063074,704,23962331136,111816896,695734592,1580041.625,0.1369756976,"AIv1",936,"219866",8,FALSE,734881840,1,292,3,704,"Agranular insular area, ventral part, layer 1",NA,NA,1,119,"Agranular insular area ventral part layer 1",293,11,"/997/8/567/688/695/315/95/119/704/",4142876190,8690
"4",3,628563021,FALSE,0.504011273384094,10610,6910,6730,0.00841781470091814,0.00205637260983165,0.88878862220505,432.211855942689,0.00207874601621094,157063074,661,109142388736,825208192,733435652,1696935.5234375,1.0108800352,"VII",365,"FFB3D9",6,FALSE,734881840,1,967,3,661,"Facial motor nucleus",NA,NA,1,370,"Facial motor nucleus",968,8,"/997/8/343/1065/354/370/661/",3767076544,8690
"5",2,628555396,FALSE,0.623454749584198,5550,5910,6760,0.0321389693490332,0.0257108248770237,9.64077949523926,374.969696044922,0.00793659125,157063074,226,40028856320,251989200,2429372416,6478850,0.30868677,"LPO",169,"F2483B",6,FALSE,734881840,1,795,3,226,"Lateral preoptic area",NA,NA,1,290,"Lateral preoptic area",796,8,"/997/8/343/1129/1097/290/226/",3138944663,8690
"6",2,628556434,FALSE,0.766665101051331,7680,4480,7000,0.00677831157376896,0.0307264626026154,30.4754047393799,991.829284667969,0.001673877209375,157063074,725,9789360128,44470800,1355265664,1366430.375,0.05447673,"VPLpc",373,"FF8084",8,FALSE,734881840,1,648,3,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",NA,NA,1,709,"Ventral posterolateral nucleus of the thalamus parvicellular part",649,9,"/997/8/343/1129/549/864/637/709/725/",2868220330,8690
"7",1,628557459,FALSE,0.620235741138458,11600,6190,5590,0.0186468686976672,0.0031837304122746,1.20209455490112,377.57421875,0.00460477040625,157063074,1048,96047505408,1180689280,1419300096,3758996.25,1.446344368,"GRN",130,"FFB3D9",6,FALSE,734881840,1,975,3,1048,"Gigantocellular reticular nucleus",NA,NA,1,370,"Gigantocellular reticular nucleus",976,8,"/997/8/343/1065/354/370/1048/",3365807362,8690
"8",1,628559780,FALSE,0.143847540020943,7090,850,5100,5.69668274469361e-05,3.37252531608101e-05,0.0097705963999033,289.711578369141,1.40677325195312e-05,157063074,274,49384755200,340512288,3327008,11483.86328125,0.4171275528,"RSPd6a",1024,"1AA698",8,FALSE,734881840,1,330,3,274,"Retrosplenial area, dorsal part, layer 6a",NA,NA,1,879,"Retrosplenial area dorsal part layer 6a",331,11,"/997/8/567/688/695/315/254/879/274/",1480351084,8690
"9",2,628556117,FALSE,0.797902286052704,8340,3850,5760,0.0413021435235078,0.200302198529243,229.58447265625,1146.1904296875,0.0101994008375,157063074,587,21401210880,41567400,9543229440,8326041.5,0.050920065,"ND",214,"FF90FF",6,FALSE,734881840,1,841,3,587,"Nucleus of Darkschewitsch",NA,NA,1,795,"Nucleus of Darkschewitsch",842,9,"/997/8/343/313/323/795/587/",4174754247,8690
"10",2,628556503,FALSE,0.699982464313507,7480,5610,6160,0.00608477348941255,0.0818615034222603,66.8590698242188,816.733947753906,0.001502610725,157063074,753,3638068224,14984100,1001823040,1226621,0.0183555225,"pm",518,"CCCCCC",5,FALSE,734881840,1,1278,3,753,"principal mammillary tract",NA,NA,1,46,"principal mammillary tract",1279,9,"/997/1009/991/824/46/753/",856199296,8690
