"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631995151,FALSE,0.0490891896188259,9030,6060,8090,1.43345711534512e-05,1.96164819499245e-06,0.000451812869869173,230.323089599609,2.5066366607666e-06,287447332,229,1090110992,1043119744,471294.9375,2046.23400878906,1.2778216864,"sV",594,"CCCCCC",4,FALSE,734881840,1,1127,3,229,"sensory root of the trigeminal nerve",NA,NA,1,901,"sensory root of the trigeminal nerve",1128,9,"/997/1009/967/901/229/",1119694834,8690
"2",2,631995360,FALSE,0.337886214256287,6820,4890,5840,0.000563793564542936,0.000583821616601199,0.415021866559982,710.871032714844,9.85886220703125e-05,287447332,366,29398448128,137851200,57211264,80480.5078125,0.16886772,"SMT",328,"FF909F",7,FALSE,734881840,1,689,3,366,"Submedial nucleus of the thalamus",NA,NA,1,444,"Submedial nucleus of the thalamus",690,8,"/997/8/343/1129/549/856/444/366/",524654949,8690
"3",3,631997977,FALSE,0.538934171199799,4500,4950,1710,0.00341994804669483,0.00118037121768724,0.383558040782435,324.946961629545,0.000598034434375,287447332,996,69136279552,413591392,158636304,488191.375,0.5066494552,"AId1",1114,"219866",8,FALSE,734881840,1,280,3,996,"Agranular insular area, dorsal part, layer 1",NA,NA,1,104,"Agranular insular area dorsal part layer 1",281,11,"/997/8/567/688/695/315/95/104/996/",633930990,8690
"4",2,631995969,FALSE,0.803394019603729,6600,990,8000,0.151421918707003,0.113358348608017,53.7469139099121,474.1328125,0.0264786249,287447332,670,35930976256,190680304,10248477696,21615204,0.2335833724,"SSp-tr2/3",649,"188064",9,FALSE,734881840,1,88,3,670,"Primary somatosensory area, trunk, layer 2/3",NA,NA,1,361,"Primary somatosensory area trunk layer 2/3",89,11,"/997/8/567/688/695/315/453/322/361/670/",1192883470,8690
"5",2,631996173,FALSE,0,0,0,0,0,0,0,0,0,287447332,951,172240191488,561608128,0,0,0.6879699568,"PYR",401,"FFFC91",5,FALSE,734881840,1,1054,3,951,"Pyramus (VIII)",NA,NA,1,645,"Pyramus (VIII)",1055,8,"/997/8/512/528/645/951/",1195853048,8690
"6",3,631997296,FALSE,0.26219442486763,8850,5600,9400,0.000154901953551129,2.34284554270817e-05,0.00895977101216342,382.43114404403,2.70871665039062e-05,287447332,28,141360906240,943808384,8456307,22111.97265625,1.1561652704,"ENTl6a",993,"32B825",9,FALSE,734881840,1,505,3,28,"Entorhinal area, lateral part, layer 6a",NA,NA,1,918,"Entorhinal area lateral part layer 6a",506,11,"/997/8/567/688/695/1089/822/909/918/28/",3113499141,8690
"7",3,631998050,FALSE,0.630754888057709,9440,3450,8670,0.023895393207283,8.88820460449965e-05,0.0292257437019435,328.814929475723,0.0041785044,287447332,1089,6977155262720,38376974336,1121595616,3411024,47.0117935616,"HPF",135,"7ED04B",5,FALSE,734881840,1,454,3,1089,"Hippocampal formation",NA,NA,1,695,"Hippocampal formation",455,5,"/997/8/567/688/695/1089/",702348177,8690
"8",2,631995065,FALSE,0,0,0,0,0,0,0,0,0,287447332,606826663,365424576,7274700,0,0,0.0089115075,"Pa4",NA,"FF90FF",5,FALSE,734881840,1,858,3,606826663,"Paratrochlear nucleus",NA,NA,1,323,"Paratrochlear nucleus",859,8,"/997/8/343/313/323/606826663/",2726323560,8690
"9",3,631997793,FALSE,0.743797600269318,6420,3380,7860,0.0178131470017014,0.00045404305814635,0.145933755512771,321.409507081888,0.0031149231351326,287447332,768,204893932566.432,5600337568,817278293.4375,2542794.39602661,6.8604135208,"mfbc",661,"CCCCCC",3,FALSE,734881840,1,1239,3,768,"cerebrum related",NA,NA,1,991,"cerebrum related",1240,7,"/997/1009/991/768/",1315990495,8690
"10",2,631995955,FALSE,0,0,0,0,0,0,0,0,0,287447332,651,52912291840,381972608,0,0,0.4679164448,"NTS",222,"FFA5D2",6,FALSE,734881840,1,948,3,651,"Nucleus of the solitary tract",NA,NA,1,386,"Nucleus of the solitary tract",949,8,"/997/8/343/1065/354/386/651/",1090041084,8690
