"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631296084,FALSE,0.320724904537201,10620,7160,4320,0.00460845495190189,0.00146821527212505,0.102931414776974,70.1064869240832,0.000459994553320312,158375425,866,1839688576,255756608,26325389.5,375505.7578125,0.3133018448,"sctv",532,"CCCCCC",5,FALSE,734881840,1,1178,3,866,"ventral spinocerebellar tract",NA,NA,1,326,"ventral spinocerebellar tract",1179,9,"/997/1009/960/752/326/866/",744035824,8690
"2",1,631294990,FALSE,0,0,0,0,0,0,0,0,0,158375425,727,65306124288,410187584,0,0,0.5024797904,"ENTm5",939,"32B825",9,FALSE,734881840,1,514,3,727,"Entorhinal area, medial part, dorsal zone, layer 5",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 5",515,11,"/997/8/567/688/695/1089/822/909/926/727/",2298328736,8690
"3",1,631295081,FALSE,0,0,0,0,0,0,0,0,0,158375425,600,29463470080,147310208,0,0,0.1804550048,"AUDd2/3",923,"019399",8,FALSE,734881840,1,124,3,600,"Dorsal auditory area, layer 2/3",NA,NA,1,1011,"Dorsal auditory area layer 2/3",125,11,"/997/8/567/688/695/315/247/1011/600/",2148227545,8690
"4",1,631294930,FALSE,0.0414622277021408,7610,2600,5360,0.000116482158728324,2.56937452334637e-05,0.00142113182224316,55.3104192997237,1.16267076782227e-05,158375425,824,20633440096,369396904,524961.6953125,9491.18994140625,0.4525112074,"mfsbshy",668,"CCCCCC",3,FALSE,734881840,1,1261,3,824,"hypothalamus related",NA,NA,1,991,"hypothalamus related",1262,7,"/997/1009/991/824/",2437385590,8690
"5",2,631294403,FALSE,0.927563488483429,5630,2100,8500,0.172553125850859,0.121112488210201,185.506713867188,1531.689453125,0.017223451,158375425,182305705,60222922752,116090096,21535492096,14059960,0.1422103676,"SSp-un5",NA,"188064",9,FALSE,734881840,1,97,3,182305705,"Primary somatosensory area, unassigned, layer 5",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 5",98,11,"/997/8/567/688/695/315/453/322/182305689/182305705/",1806412353,8690
"6",1,631294736,FALSE,0,0,0,0,0,0,0,0,0,158375425,1070,144987979776,543617088,0,0,0.6659309328,"SSp-bfd5",982,"188064",9,FALSE,734881840,1,55,3,1070,"Primary somatosensory area, barrel field, layer 5",NA,NA,1,329,"Primary somatosensory area barrel field layer 5",56,11,"/997/8/567/688/695/315/453/322/329/1070/",3120758187,8690
"7",3,631296240,FALSE,0.0694637671113014,12030,6230,5680,0.00198565071576938,6.85170245691144e-05,0.00361556524422751,52.7688595201681,0.000198198425195312,158375425,1048,95340802048,2361378560,8537718.25,161794.6328125,2.892688736,"GRN",130,"FFB3D9",6,FALSE,734881840,1,975,3,1048,"Gigantocellular reticular nucleus",NA,NA,1,370,"Gigantocellular reticular nucleus",976,8,"/997/8/343/1065/354/370/1048/",3365807362,8690
"8",2,631294422,FALSE,0.0795425772666931,13160,4310,6910,0.000144900638368368,1.19721134979045e-05,0.00206570071168244,172.542678833008,1.44633082275391e-05,158375425,957,238851112960,986190272,2037173.875,11806.7822265625,1.2080830832,"UVU",402,"FFFC91",5,FALSE,734881840,1,1058,3,957,"Uvula (IX)",NA,NA,1,645,"Uvula (IX)",1059,8,"/997/8/512/528/645/957/",3218909973,8690
"9",1,631294737,FALSE,0.0316975377500057,10660,7020,5030,6.49982070814596e-05,0.000124574347864836,0.00580679951235652,46.6131248474121,6.48781892089844e-06,158375425,1069,1010944640,42514200,246871.4375,5296.1787109375,0.052079895,"PPY",274,"FFB3D9",6,FALSE,734881840,1,998,3,1069,"Parapyramidal nucleus",NA,NA,1,370,"Parapyramidal nucleus",999,8,"/997/8/343/1065/354/370/1069/",4065444564,8690
"10",3,631295754,FALSE,0.991439521312714,6940,2510,7650,0.196400211626823,0.00105062268753065,0.950366204114864,904.574225737093,0.0196037562615234,158375425,375,3859149877376,15231982448,14475961340.25,16003066.3359375,18.6591784988,"CA",46,"7ED04B",7,FALSE,734881840,1,456,3,375,"Ammon's horn",NA,NA,1,1080,"Ammon's horn",457,8,"/997/8/567/688/695/1089/1080/375/",1703331408,8690
