"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,632641729,FALSE,0,0,0,0,0,0,0,0,0,113095845,1062,3020885760,65949300,0,0,0.0807878925,"SSp-bfd6b",981,"188064",9,FALSE,734881840,1,57,3,1062,"Primary somatosensory area, barrel field, layer 6b",NA,NA,1,329,"Primary somatosensory area barrel field layer 6b",58,11,"/997/8/567/688/695/315/453/322/329/1062/",455984295,8690
"2",1,632642099,FALSE,0.167004808783531,7580,6240,5600,5.82820281765989e-05,0.000299661765734895,0.0748543673910552,249.796190072768,2.37058781982422e-05,113095845,557,2417209824,64578600,4833990.25,19351.7373046875,0.079108785,"TM",352,"FF4C3E",7,FALSE,734881840,1,773,3,557,"Tuberomammillary nucleus",NA,NA,1,331,"Tuberomammillary nucleus",774,8,"/997/8/343/1129/1097/467/331/557/",1759031183,8690
"3",2,632640958,FALSE,0.999999940395355,5570,4220,10020,1.07911875436088,0.00645862634504491,3.51401617639077,544.081045822807,0.438925318020919,113095845,315,6674770070508.94,55477180892,194947711075.045,358306382.057893,67.9595465927,"Isocortex",746,"70FF71",5,FALSE,734881840,1,5,3,315,"Isocortex",NA,NA,1,695,"Isocortex",6,5,"/997/8/567/688/695/315/",2323732626,8690
"4",3,632642523,FALSE,0.162889406085014,5460,2400,6900,0.000177182779813079,0.000478941602447194,0.119344888615353,249.184635466098,7.20680718994141e-05,113095845,98,5714595584,122835600,14659801,58831.0791015625,0.15047361,"SEZ",719,"AAAAAA",3,FALSE,734881840,1,1295,3,98,"subependymal zone",NA,NA,1,81,"subependymal zone",1296,9,"/997/73/81/98/",1826888016,8690
"5",2,632641527,FALSE,0.66686874628067,7420,1550,7290,0.00651653541131241,0.000112761634227354,0.0365218482911587,323.885406494141,0.002650563125,113095845,1089,2136574593280,19188486144,700798976,2163725,23.5058955264,"HPF",135,"7ED04B",5,FALSE,734881840,1,454,3,1089,"Hippocampal formation",NA,NA,1,695,"Hippocampal formation",455,5,"/997/8/567/688/695/1089/",702348177,8690
"6",1,632642038,FALSE,0,0,0,0,0,0,0,0,0,113095845,638,23460290560,197472608,0,0,0.2419039448,"GU6a",645,"009C75",7,FALSE,734881840,1,112,3,638,"Gustatory areas, layer 6a",NA,NA,1,1057,"Gustatory areas layer 6a",113,11,"/997/8/567/688/695/315/1057/638/",3653947637,8690
"7",3,632642537,FALSE,0.311471939086914,7070,5640,5760,0.000891680858954004,0.00160443496304714,0.395653652149975,246.599993930916,0.000362686037109375,113095845,118,6693540864,184532400,73010918,296070.234375,0.22605219,"PVi",297,"FF5D50",6,FALSE,734881840,1,732,3,118,"Periventricular hypothalamic nucleus, intermediate part",NA,NA,1,157,"Periventricular hypothalamic nucleus intermediate part",733,9,"/997/8/343/1129/1097/157/118/",3086088557,8690
"8",3,632642946,FALSE,0.76947945356369,5810,2210,8900,0.0029056723848808,0.00188940963815386,0.971359894728194,514.107621297681,0.001181865453125,113095845,702,89314566144,510629408,496004928,964788.125,0.6255210248,"SSp-n5",653,"188064",9,FALSE,734881840,1,48,3,702,"Primary somatosensory area, nose, layer 5",NA,NA,1,353,"Primary somatosensory area nose layer 5",49,11,"/997/8/567/688/695/315/453/322/353/702/",4022406278,8690
"9",3,632642620,FALSE,0,0,0,0,0,0,0,0,0,113095845,312782620,14369738240,136285200,0,0,0.16694937,"VISrl6a",NA,"009FAC",8,FALSE,734881840,1,358,3,312782620,"Rostrolateral area, layer 6a",NA,NA,1,417,"Rostrolateral area layer 6a",359,11,"/997/8/567/688/695/315/22/417/312782620/",1518183390,8690
"10",2,632641644,FALSE,0.66686874628067,7420,1550,7290,0.00532903726448118,0.000165801290515323,0.0558117299093748,336.618187566018,0.00216755511532469,113095845,1080,1354008733952,10672008292,595623244.383713,1769432.74720383,13.0732101577,"HIP",134,"7ED04B",6,FALSE,734881840,1,455,3,1080,"Hippocampal region",NA,NA,1,1089,"Hippocampal region",456,6,"/997/8/567/688/695/1089/1080/",190910866,8690
