"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,630181824,FALSE,0.249976992607117,7080,1340,6570,6.5423993576356e-05,7.68455283832736e-05,0.016749968752265,217.969345092773,3.14322678222656e-05,175372863,986,31779323904,333903552,5592874,25658.994140625,0.4090318512,"ccs",547,"CCCCCC",4,FALSE,734881840,1,1199,3,986,"corpus callosum, splenium",NA,NA,1,776,"corpus callosum splenium",1200,9,"/997/1009/983/776/986/",2236557760,8690
"2",2,630181211,FALSE,0.0839018076658249,5770,6350,5780,1.07791122752239e-05,6.36275944998488e-05,0.0379357300698757,596.215026855469,5.17871082763672e-06,175372863,133,11243315200,66441600,2520510.5,4227.51904296875,0.08139096,"PVpo",299,"FF5547",6,FALSE,734881840,1,750,3,133,"Periventricular hypothalamic nucleus, preoptic part",NA,NA,1,141,"Periventricular hypothalamic nucleus preoptic part",751,8,"/997/8/343/1129/1097/141/133/",2330540908,8690
"3",1,630182330,FALSE,0.66882312297821,5500,5710,3530,0.0169267693503201,0.00245200128481264,1.65357993625059,674.379718515092,0.00813228784274731,175372863,768,293536210240,2707422040,4476938764.30664,6638602.32061005,3.316591999,"mfbc",661,"CCCCCC",3,FALSE,734881840,1,1239,3,768,"cerebrum related",NA,NA,1,991,"cerebrum related",1240,7,"/997/1009/991/768/",1315990495,8690
"4",1,630182415,FALSE,0.638996362686157,8300,4010,3880,0.0117724751024809,0.00214799199863296,1.41035214503049,656.590967716859,0.00565596152304993,175372863,637,451892977664,2149501232,3031553673.29688,4617111.4473877,2.6331390092,"VENT",362,"FF8084",6,FALSE,734881840,1,643,3,637,"Ventral group of the dorsal thalamus",NA,NA,1,864,"Ventral group of the dorsal thalamus",644,7,"/997/8/343/1129/549/864/637/",3720800461,8690
"5",1,630182066,FALSE,0,0,0,0,0,0,0,0,0,175372863,1114,15996056576,46849464,0,0,0.0573905934,"VISal4",1129,"08858C",8,FALSE,734881840,1,167,3,1114,"Anterolateral visual area, layer 4",NA,NA,1,402,"Anterolateral visual area layer 4",168,11,"/997/8/567/688/695/315/669/402/1114/",3636762855,8690
"6",2,630181960,FALSE,0.508436560630798,4180,5190,5810,0.02323145373936,0.0107588702812791,6.22757005691528,578.831237792969,0.011161306975,175372863,258,187348828160,846861312,5273888256,9111271,1.0374051072,"LSr",173,"90CBED",7,FALSE,734881840,1,588,3,258,"Lateral septal nucleus, rostral (rostroventral) part",NA,NA,1,242,"Lateral septal nucleus rostral (rostroventral) part",589,9,"/997/8/567/623/477/275/242/258/",2666394691,8690
"7",2,630181739,FALSE,0.247209042310715,9990,1760,8170,7.67366688334443e-05,2.9541287859911e-05,0.0161887797367499,548.005212688065,3.68673233581543e-05,175372863,894,264898871552,1018769876,16492641.125,30095.7741699219,1.2479930981,"RSPagl",394,"1AA698",7,FALSE,734881840,1,298,3,894,"Retrosplenial area, lateral agranular part",NA,NA,1,254,"Retrosplenial area lateral agranular part",299,9,"/997/8/567/688/695/315/254/894/",3156484255,8690
"8",2,630181991,FALSE,0.230566367506981,10300,5540,6890,0.000103149217624367,0.00646199239417911,5.1327486038208,794.298156738281,4.955695390625e-05,175372863,549009219,1655603456,6260400,32133060,40454.65625,0.00766899,"Acs5",NA,"FFBA86",6,FALSE,734881840,1,921,3,549009219,"Accessory trigeminal nucleus",NA,NA,1,987,"Accessory trigeminal nucleus",922,8,"/997/8/343/1065/771/987/549009219/",1603998582,8690
"9",2,630181939,FALSE,0.0135783171281219,7850,3080,5720,4.07460901709177e-07,4.8867517762119e-05,0.00866041053086519,177.222229003906,1.95760293579102e-07,175372863,599626923,347356448,3270154.25,28320.87890625,159.804321289062,0.00400593895625,"SCO",NA,"FF7AFF",5,FALSE,734881840,1,820,3,599626923,"Subcommissural organ",NA,NA,1,339,"Subcommissural organ",821,8,"/997/8/343/313/339/599626923/",2789650011,8690
"10",1,630182697,FALSE,0.511097133159637,8120,6180,4890,0.000927193818635743,0.0104345278814435,5.88102674484253,563.612121582031,0.00044546049296875,175372863,210,5402391552,34849800,204952608,363641.21875,0.042691005,"LM",167,"FF4C3E",7,FALSE,734881840,1,763,3,210,"Lateral mammillary nucleus",NA,NA,1,331,"Lateral mammillary nucleus",764,8,"/997/8/343/1129/1097/467/331/210/",3256479391,8690
