"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633827479,FALSE,0.067063681781292,13020,5540,5310,4.52887135083692e-06,7.81772827637837e-05,0.0218251222287848,279.174735386115,8.0260550994873e-07,146593590,917,1017383936,8380800,182911.984375,655.188171386719,0.01026648,"Xn",680,"CCCCCC",3,FALSE,734881840,1,1144,3,917,"vagus nerve",NA,NA,1,967,"vagus nerve",1145,8,"/997/1009/967/917/",2090451855,8690
"2",2,633825650,FALSE,0.601966261863708,7480,4760,6250,0.0157101793796096,0.023463100194931,28.2210521697998,1202.78442382812,0.002784154275,146593590,741,26470103040,96866096,2733663232,2272779,0.1186609676,"VPMpc",375,"FF8084",8,FALSE,734881840,1,650,3,741,"Ventral posteromedial nucleus of the thalamus, parvicellular part",NA,NA,1,709,"Ventral posteromedial nucleus of the thalamus parvicellular part",651,9,"/997/8/343/1129/549/864/637/709/741/",2993275992,8690
"3",1,633826098,FALSE,0.691925227642059,7240,5970,4870,0.141447707906292,0.00299125164747238,1.98693120479584,664.247436523438,0.02506732935,146593590,1097,1254976300096,6840991232,13592579072,20463126,8.3802142592,"HY",136,"E64438",4,FALSE,734881840,1,715,3,1097,"Hypothalamus",NA,NA,1,1129,"Hypothalamus",716,5,"/997/8/343/1129/1097/",3938328193,8690
"4",2,633825891,FALSE,0.527225494384766,8490,4390,8080,0.00876955786833987,0.0461091808974743,36.7042694091797,796.029541015625,0.001554138971875,146593590,1044,5714715136,27514800,1009910656,1268684.875,0.03370563,"PP",271,"FF8084",6,FALSE,734881840,1,656,3,1044,"Peripeduncular nucleus",NA,NA,1,864,"Peripeduncular nucleus",657,8,"/997/8/343/1129/549/864/1044/",4073956777,8690
"5",2,633825421,FALSE,0.260685414075851,6430,1830,6820,0.000950563673913623,2.99846742564114e-05,0.0168192368000746,560.927795410156,0.00016845866953125,146593590,382,1291794907136,4586252288,77137264,137517.28125,5.6181590528,"CA1",47,"7ED04B",8,FALSE,734881840,1,457,3,382,"Field CA1",NA,NA,1,375,"Field CA1",458,9,"/997/8/567/688/695/1089/1080/375/382/",612190852,8690
"6",1,633826162,FALSE,0,0,0,0,0,0,0,0,0,146593590,1010,23774539776,81598496,0,0,0.0999581576,"VISC4",1116,"11AD83",7,FALSE,734881840,1,117,3,1010,"Visceral area, layer 4",NA,NA,1,677,"Visceral area layer 4",118,11,"/997/8/567/688/695/315/677/1010/",1016575502,8690
"7",3,633827715,FALSE,0.249180555343628,8470,5460,5930,0.000238444820130724,0.000477078252388287,0.298129366857522,624.906638198379,4.22571346435547e-05,146593590,607344834,20451915776,72306000,21556542,34495.6201171875,0.08857485,"IPR",NA,"FFA6FF",7,FALSE,734881840,1,871,3,607344834,"Interpeduncular nucleus, rostral",NA,NA,1,100,"Interpeduncular nucleus rostral",872,9,"/997/8/343/313/348/165/100/607344834/",3342923784,8690
"8",1,633825990,FALSE,0.542587995529175,10060,5240,5380,0.0179113719042656,0.00245132273994386,1.03363132476807,421.662689208984,0.00317424909375,146593590,1093,129434484736,1057071616,1092622336,2591223.75,1.2949127296,"PRNc",277,"FFBA86",6,FALSE,734881840,1,913,3,1093,"Pontine reticular nucleus, caudal part",NA,NA,1,987,"Pontine reticular nucleus caudal part",914,8,"/997/8/343/1065/771/987/1093/",3254684830,8690
"9",2,633825552,FALSE,0.24157227575779,11630,5250,8070,0.000509999674238475,0.000100632252039077,0.0265711162016758,264.041752651604,9.03820216796875e-05,146593590,607,112094072832,733176896,19481328.5,73781.2421875,0.8981416976,"CN",75,"FFA5D2",6,FALSE,734881840,1,938,3,607,"Cochlear nuclei",NA,NA,1,386,"Cochlear nuclei",939,7,"/997/8/343/1065/354/386/607/",199055653,8690
"10",3,633827397,FALSE,0.99988055229187,7860,370,7760,0.109568617676138,0.0923810614363056,144.992328280086,1569.50273168332,0.0194177245171875,146593590,805,68818323456,171584992,24878507488,15851203.6875,0.2101916152,"VISpm1",383,"08858C",8,FALSE,734881840,1,200,3,805,"posteromedial visual area, layer 1",NA,NA,1,533,"posteromedial visual area layer 1",201,11,"/997/8/567/688/695/315/669/533/805/",403944131,8690
"11",2,633825427,FALSE,0.289767622947693,12880,6020,6140,0.000511410179363619,8.07406845893256e-05,0.0161329134390894,199.811452195964,9.06319910644531e-05,146593590,395,136956764160,916332320,14783110,73985.298828125,1.122507092,"MDRN",190,"FFB3D9",6,FALSE,734881840,1,985,3,395,"Medullary reticular nucleus",NA,NA,1,370,"Medullary reticular nucleus",986,8,"/997/8/343/1065/354/370/395/",90062647,8690
"12",3,633827526,FALSE,0.165802612900734,7400,5360,1590,8.16514006620476e-05,0.00014061728321694,0.0683684893136296,486.202604328179,1.44702419189453e-05,146593590,964,15578976768,84004200,5743240.25,11812.4423828125,0.102905145,"ee",544,"CCCCCC",4,FALSE,734881840,1,1194,3,964,"corpus callosum, extreme capsule",NA,NA,1,776,"corpus callosum extreme capsule",1195,9,"/997/1009/983/776/964/",3643110747,8690
"13",1,633826001,FALSE,0.2024265229702,9000,5540,5530,0.000133596046187977,0.00134519557468593,0.703177571296692,522.732604980469,2.36758597167969e-05,146593590,607344850,4167074816,14367600,10102974,19327.232421875,0.01760031,"IPI",NA,"FFA6FF",7,FALSE,734881840,1,875,3,607344850,"Interpeduncular nucleus, intermediate",NA,NA,1,100,"Interpeduncular nucleus intermediate",876,9,"/997/8/343/313/348/165/100/607344850/",1366249262,8690
"14",1,633826251,FALSE,0.654473781585693,7710,5010,1310,0.0963801391351499,0.00271872211679131,1.38077441531844,507.876258037015,0.0170804654685547,146593590,909,1070711193600,5128599584,7081439092,13943237.1171875,6.2825344904,"ENT",113,"32B825",7,FALSE,734881840,1,493,3,909,"Entorhinal area",NA,NA,1,822,"Entorhinal area",494,8,"/997/8/567/688/695/1089/822/909/",2103154195,8690
"15",1,633826574,FALSE,0.401664584875107,7370,5020,5490,0.00578643652392345,0.0090748160611654,5.51015111158809,607.191492857705,0.00102547091257324,146593590,406,16888820224,92246400,508291603.5,837119.112304688,0.11300184,"SPF",333,"FF8084",6,FALSE,734881840,1,652,3,406,"Subparafascicular nucleus",NA,NA,1,864,"Subparafascicular nucleus",653,8,"/997/8/343/1129/549/864/406/",411188720,8690
"16",3,633827076,FALSE,0.656970918178558,5430,4880,2170,0.0359589653623734,0.0132652462122294,7.93162414991729,597.925136331433,0.0063726393390625,146593590,314,83008200704,392164192,3110498976,5202154.5625,0.4804011352,"AIp6a",1029,"219866",8,FALSE,734881840,1,289,3,314,"Agranular insular area, posterior part, layer 6a",NA,NA,1,111,"Agranular insular area posterior part layer 6a",290,11,"/997/8/567/688/695/315/95/111/314/",1257274084,8690
"17",2,633825470,FALSE,1,7060,5180,7480,0.0931256998051463,0.153847441077232,605.627136230469,3936.54345703125,0.0165037145,146593590,470,81740513280,87570000,53034766336,13472420,0.10727325,"STN",341,"F2483B",6,FALSE,734881840,1,800,3,470,"Subthalamic nucleus",NA,NA,1,290,"Subthalamic nucleus",801,8,"/997/8/343/1129/1097/290/470/",3450179653,8690
"18",1,633826748,FALSE,0.390594005584717,3510,6170,4790,0.00663183082447813,0.000437730748672038,0.252156972885132,576.054992675781,0.001175291490625,146593590,159,499609370624,2191807744,552679616,959421.625,2.6849644864,"AON",19,"54BF94",6,FALSE,734881840,1,390,3,159,"Anterior olfactory nucleus",NA,NA,1,698,"Anterior olfactory nucleus",391,8,"/997/8/567/688/695/698/159/",747766383,8690
"19",3,633827250,FALSE,0.651947975158691,7290,3720,6090,0.0323922873391563,0.0310630524267935,20.8469501963041,671.117245976848,0.005740553503125,146593590,595,18120050176,150859808,3144966904,4686166.125,0.1848032648,"fr",498,"CCCCCC",5,FALSE,734881840,1,1286,3,595,"fasciculus retroflexus",NA,NA,1,1083,"fasciculus retroflexus",1287,9,"/997/1009/991/824/1083/595/",3233680072,8690
"20",2,633825730,FALSE,0.717598259449005,8380,2070,6040,0.068212877095468,0.034137561917305,37.5038795471191,1098.6103515625,0.01208866995,146593590,851,82766577664,289074592,10841418752,9868302,0.3541163752,"SCop",813,"FF7AFF",6,FALSE,734881840,1,809,3,851,"Superior colliculus, optic layer",NA,NA,1,302,"Superior colliculus optic layer",810,9,"/997/8/343/313/339/302/851/",1400323525,8690
"21",1,633826067,FALSE,0,0,0,0,0,0,0,0,0,146593590,563807435,19911196672,125820896,0,0,0.1541305976,"PoT",NA,"FF8084",7,FALSE,734881840,1,651,3,563807435,"Posterior triangular thalamic nucleus",NA,NA,1,637,"Posterior triangular thalamic nucleus",652,8,"/997/8/343/1129/549/864/637/563807435/",2408746103,8690
"22",3,633827414,FALSE,0.394274204969406,3830,3490,6190,0.0189832470383147,0.0090759780927523,5.87720214223788,647.555787616011,0.0033642065515625,146593590,827,82921156608,302588992,1778376672,2746291.0625,0.3706715152,"ILA5",1093,"59B363",7,FALSE,734881840,1,249,3,827,"Infralimbic area, layer 5",NA,NA,1,44,"Infralimbic area layer 5",250,11,"/997/8/567/688/695/315/44/827/",3309663108,8690
"23",3,633827506,FALSE,0.624124526977539,5940,6620,6910,0.0033188819904808,0.000681632049189684,0.436693808861749,640.659149435367,0.000588171481607056,146593590,157,82495868800,704397608,307606074.390625,480139.984985352,0.8628870698,"PVZ",302,"FF5D50",5,FALSE,734881840,1,716,3,157,"Periventricular zone",NA,NA,1,1097,"Periventricular zone",717,6,"/997/8/343/1129/1097/157/",1581950529,8690
"24",2,633825434,FALSE,0.998174488544464,8590,1120,9260,0.306964701995892,0.0805183274230437,84.5879112198386,1050.54232902049,0.05440021190625,146593590,409,207742224384,551530784,46652836992,44408336.25,0.6756252104,"VISl",758,"08858C",7,FALSE,734881840,1,178,3,409,"Lateral visual area",NA,NA,1,669,"Lateral visual area",179,8,"/997/8/567/688/695/315/669/409/",1805245805,8690
