"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,630133961,FALSE,0.470969974994659,7260,6490,6780,0.00456412438576136,0.00520073343068361,2.08008861541748,399.960632324219,0.001500010203125,175373569,614,41830039552,235447200,489751040,1224498.125,0.28842282,"TU",359,"F2483B",6,FALSE,734881840,1,801,3,614,"Tuberal nucleus",NA,NA,1,290,"Tuberal nucleus",802,8,"/997/8/343/1129/1097/290/614/",1119024411,8690
"2",3,630138070,FALSE,0,0,0,0,0,0,0,0,0,175373569,279,4286971392,29622740,0,0,0.0362878565,"RSPagl6b",883,"1AA698",8,FALSE,734881840,1,303,3,279,"Retrosplenial area, lateral agranular part, layer 6b",NA,NA,1,894,"Retrosplenial area lateral agranular part layer 6b",304,11,"/997/8/567/688/695/315/254/894/279/",3673775698,8690
"3",1,630135944,FALSE,0.0612434633076191,8400,5060,5030,1.53634389630421e-05,1.43674594167915e-05,0.000942976330378052,65.6327819012996,5.04923031272888e-06,175373569,792,8619045968,286885840,270526.556640625,4121.82066345215,0.351435154,"drt",664,"CCCCCC",3,FALSE,734881840,1,1149,3,792,"dorsal roots",NA,NA,1,967,"dorsal roots",1150,7,"/997/1009/967/792/",3729235522,8690
"4",1,630136856,FALSE,0,0,0,0,0,0,0,0,0,175373569,501,13676632064,41149252,0,0,0.0504078337,"VISpm4",628,"08858C",8,FALSE,734881840,1,202,3,501,"posteromedial visual area, layer 4",NA,NA,1,533,"posteromedial visual area layer 4",203,11,"/997/8/567/688/695/315/669/533/501/",1752778316,8690
"5",1,630137338,FALSE,5.85407942708116e-05,7770,2890,5630,1.96381447714617e-10,2.47796383412435e-09,1.50742792470737e-07,60.8333320617676,6.45412242040038e-11,175373569,158,1351772416,21262100,3.20510840415955,0.0526867136359215,0.0260460725,"pc",585,"CCCCCC",4,FALSE,734881840,1,1121,3,158,"posterior commissure",NA,NA,1,832,"posterior commissure",1122,9,"/997/1009/967/832/158/",4129046125,8690
"6",3,630138274,FALSE,0,0,0,0,0,0,0,0,0,175373569,598,6750342400,38918538,0,0,0.04767520905,"AUDv6b",640,"019399",8,FALSE,734881840,1,156,3,598,"Ventral auditory area, layer 6b",NA,NA,1,1018,"Ventral auditory area layer 6b",157,11,"/997/8/567/688/695/315/247/1018/598/",142352995,8690
"7",2,630134103,FALSE,0.141312286257744,11040,1810,6550,2.8685363378645e-05,1.43039796967059e-05,0.00445964513346553,311.776519775391,9.4275120727539e-06,175373569,820,171368349696,538027072,2399409.75,7695.92822265625,0.6590831632,"ICd",809,"FF7AFF",6,FALSE,734881840,1,814,3,820,"Inferior colliculus, dorsal nucleus",NA,NA,1,4,"Inferior colliculus dorsal nucleus",815,9,"/997/8/343/313/339/4/820/",3008108572,8690
"8",2,630134354,FALSE,1,8050,5770,6730,0.038136073852521,0.0016847234798966,1.79325273255639,1064.41962372748,0.0125335102751297,175373569,983,383086594464,6073066044,10890542278.3984,10231436.9592896,7.4395059039,"lfbs",688,"CCCCCC",2,FALSE,734881840,1,1190,3,983,"lateral forebrain bundle system",NA,NA,1,1009,"lateral forebrain bundle system",1191,2,"/997/1009/983/",1446894155,8690
"9",2,630134955,FALSE,0.655139029026031,5830,3790,6340,0.0154260760599462,0.0194735049966648,9.84797976025179,505.711722770936,0.00506981614179687,175373569,1083,21572548480,212525964,2092951392,4138625.421875,0.2603443059,"mfbse",559,"CCCCCC",4,FALSE,734881840,1,1284,3,1083,"epithalamus related",NA,NA,1,824,"epithalamus related",1285,8,"/997/1009/991/824/1083/",2734318942,8690
"10",1,630136697,FALSE,0,0,0,0,0,0,0,0,0,175373569,598,3442714624,19410142,0,0,0.02377742395,"AUDv6b",640,"019399",8,FALSE,734881840,1,156,3,598,"Ventral auditory area, layer 6b",NA,NA,1,1018,"Ventral auditory area layer 6b",157,11,"/997/8/567/688/695/315/247/1018/598/",142352995,8690
