"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,632976096,FALSE,0.0628188252449036,12290,3900,6610,2.31474393326127e-05,6.35359037914895e-06,0.000757259665988386,119.186103820801,7.67566517333984e-06,112827872,957,191240306688,986190272,746802.125,6265.84912109375,1.2080830832,"UVU",402,"FFFC91",5,FALSE,734881840,1,1058,3,957,"Uvula (IX)",NA,NA,1,645,"Uvula (IX)",1059,8,"/997/8/512/528/645/957/",3218909973,8690
"2",2,632976189,FALSE,0.0216558035463095,6240,430,7070,1.52023435562507e-06,4.44700299340184e-06,0.000176980684045702,39.7977447509766,5.04108023834228e-07,112827872,1006,9485124608,92538000,16377.4384765625,411.516754150391,0.11335905,"SSp-tr1",974,"188064",9,FALSE,734881840,1,87,3,1006,"Primary somatosensory area, trunk, layer 1",NA,NA,1,361,"Primary somatosensory area trunk layer 1",88,11,"/997/8/567/688/695/315/453/322/361/1006/",396802005,8690
"3",3,632978264,FALSE,0,0,0,0,0,0,0,0,0,112827872,252,54785376256,308759392,0,0,0.3782302552,"AUDd5",738,"019399",8,FALSE,734881840,1,126,3,252,"Dorsal auditory area, layer 5",NA,NA,1,1011,"Dorsal auditory area layer 5",127,11,"/997/8/567/688/695/315/247/1011/252/",2928916084,8690
"4",2,632975230,FALSE,0.0160029903054237,4570,5020,9650,7.32867215365515e-07,4.76329773846373e-07,3.88883454434108e-05,81.6416397094727,2.4301795463562e-07,112827872,328,41784991744,416480384,16196.232421875,198.38200378418,0.5101884704,"AId2/3",889,"219866",8,FALSE,734881840,1,281,3,328,"Agranular insular area, dorsal part, layer 2/3",NA,NA,1,104,"Agranular insular area dorsal part layer 2/3",282,11,"/997/8/567/688/695/315/95/104/328/",700697199,8690
"5",2,632976312,FALSE,0.149704605340958,9070,2990,8070,0.000115609408680679,7.58638998377137e-05,0.00992788188159466,130.864379882812,3.83359515136719e-05,112827872,1084,56729280512,412510496,4095355.5,31294.654296875,0.5053253576,"PRE",276,"59B947",7,FALSE,734881840,1,531,3,1084,"Presubiculum",NA,NA,1,822,"Presubiculum",532,8,"/997/8/567/688/695/1089/822/1084/",1788290302,8690
"6",3,632978300,FALSE,0,0,0,0,0,0,0,0,0,112827872,280,1580131776,14009400,0,0,0.017161515,"B",34,"FFBA86",6,FALSE,734881840,1,907,3,280,"Barrington's nucleus",NA,NA,1,987,"Barrington's nucleus",908,8,"/997/8/343/1065/771/987/280/",3614612098,8690
"7",3,632978248,FALSE,0.0301870107650757,4790,3660,4920,1.24661906705402e-06,1.228221540616e-07,2.01815692614529e-05,164.315382804075,4.13377498042583e-07,112827872,242,292922308608,2747476800,55448.3933334351,337.451018810272,3.36565908,"LS",171,"90CBED",6,FALSE,734881840,1,586,3,242,"Lateral septal nucleus",NA,NA,1,275,"Lateral septal nucleus",587,8,"/997/8/567/623/477/275/242/",3913089740,8690
"8",2,632975478,FALSE,0.0793742462992668,6130,6120,5720,9.98179062752173e-05,7.67180504001964e-05,0.00587117977375291,76.5293140678909,3.30995068552971e-05,112827872,157,18740967296,352198804,2067822.49438477,27020.0055961609,0.4314435349,"PVZ",302,"FF5D50",5,FALSE,734881840,1,716,3,157,"Periventricular zone",NA,NA,1,1097,"Periventricular zone",717,6,"/997/8/343/1129/1097/157/",1581950529,8690
"9",1,632977871,FALSE,0.364318996667862,9410,3850,5100,0.0032944697810857,0.000385311373975128,0.0640670880675316,166.273544311523,0.0010924425203125,112827872,128,160708640768,2314465280,148281056,891789.8125,2.835219968,"MRN",864,"FF90FF",5,FALSE,734881840,1,826,3,128,"Midbrain reticular nucleus",NA,NA,1,323,"Midbrain reticular nucleus",827,8,"/997/8/343/313/323/128/",2371196921,8690
"10",3,632979133,FALSE,0.274509608745575,10210,4220,2120,0.00158237795983492,4.17598005049125e-05,0.00590309384005056,141.358286406472,0.000524714773968673,112827872,909,948825651200,10257199168,60549209.2247925,428338.590994835,12.5650689808,"ENT",113,"32B825",7,FALSE,734881840,1,493,3,909,"Entorhinal area",NA,NA,1,822,"Entorhinal area",494,8,"/997/8/567/688/695/1089/822/909/",2103154195,8690
