"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,634065099,FALSE,0,0,0,0,0,0,0,0,0,114427219,1046,13482293248,62379000,0,0,0.076414275,"VISam6a",696,"08858C",8,FALSE,734881840,1,176,3,1046,"Anteromedial visual area, layer 6a",NA,NA,1,394,"Anteromedial visual area layer 6a",177,11,"/997/8/567/688/695/315/669/394/1046/",2864452889,8690
"2",1,634065182,FALSE,0,0,0,0,0,0,0,0,0,114427219,945,104159444992,423906304,0,0,0.5192852224,"SSp-ul6a",1108,"188064",9,FALSE,734881840,1,84,3,945,"Primary somatosensory area, upper limb, layer 6a",NA,NA,1,369,"Primary somatosensory area upper limb layer 6a",85,11,"/997/8/567/688/695/315/453/322/369/945/",2726127758,8690
"3",3,634065997,FALSE,0.0240357182919979,7650,680,8620,5.14049954130543e-06,4.67509889994269e-06,0.00122372975316596,261.754837567384,8.80044590759277e-07,114427219,312782604,37552404480,153666000,188045.65625,718.403747558594,0.18824085,"VISrl1",NA,"009FAC",8,FALSE,734881840,1,354,3,312782604,"Rostrolateral area, layer 1",NA,NA,1,417,"Rostrolateral area layer 1",355,11,"/997/8/567/688/695/315/22/417/312782604/",3916570650,8690
"4",3,634066360,FALSE,0.429576992988586,6230,5270,6390,0.000214567109261414,1.85128657312545e-05,0.00869179639851195,469.500320733053,3.67335163330078e-05,114427219,797,317380980736,1619767808,14078692,29986.5439453125,1.9842155648,"ZI",382,"F2483B",6,FALSE,734881840,1,802,3,797,"Zona incerta",NA,NA,1,290,"Zona incerta",803,8,"/997/8/343/1129/1097/290/797/",3420252476,8690
"5",1,634065509,FALSE,0,0,0,0,0,0,0,0,0,114427219,451,47700680704,188746208,0,0,0.2312141048,"BLAv",763,"9DE79C",6,FALSE,734881840,1,565,3,451,"Basolateral amygdalar nucleus, ventral part",NA,NA,1,295,"Basolateral amygdalar nucleus ventral part",566,9,"/997/8/567/688/703/295/451/",1149064021,8690
"6",2,634064525,FALSE,1,5810,4010,7220,1.79870690680614,0.0102824962783433,19.9075763449719,1936.06453200481,0.307935497508888,114427219,623,6352558786943.97,24446973724,486679995814.051,251375916.333786,29.9475428119,"CNU",77,"98D6F9",3,FALSE,734881840,1,570,3,623,"Cerebral nuclei",NA,NA,1,567,"Cerebral nuclei",571,3,"/997/8/567/623/",3504435073,8690
"7",3,634065959,FALSE,0,0,0,0,0,0,0,0,0,114427219,201,403504218112,1364435968,0,0,1.6714340608,"SSp-bfd2/3",1015,"188064",9,FALSE,734881840,1,53,3,201,"Primary somatosensory area, barrel field, layer 2/3",NA,NA,1,329,"Primary somatosensory area barrel field layer 2/3",54,11,"/997/8/567/688/695/315/453/322/329/201/",1738869888,8690
"8",3,634066504,FALSE,0,0,0,0,0,0,0,0,0,114427219,182305697,86626041856,298328384,0,0,0.3654522704,"SSp-un2/3",NA,"188064",9,FALSE,734881840,1,95,3,182305697,"Primary somatosensory area, unassigned, layer 2/3",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 2/3",96,11,"/997/8/567/688/695/315/453/322/182305689/182305697/",909836824,8690
"9",1,634065481,FALSE,0.430504381656647,11640,2170,5520,0.00030414633197123,1.75432080595783e-06,0.000721187330782413,411.092041015625,5.20693236328125e-05,114427219,512,5964890763776,24229074944,17473702,42505.5703125,29.6806168064,"CB",63,"F0F080",2,FALSE,734881840,1,1014,3,512,"Cerebellum",NA,NA,1,8,"Cerebellum",1015,2,"/997/8/512/",4069546324,8690
"10",2,634064790,FALSE,0,0,0,0,0,0,0,0,0,114427219,973,36775215104,135714592,0,0,0.1662503752,"VISl2/3",687,"08858C",8,FALSE,734881840,1,180,3,973,"Lateral visual area, layer 2/3",NA,NA,1,409,"Lateral visual area layer 2/3",181,11,"/997/8/567/688/695/315/669/409/973/",4196685917,8690
"11",2,634064873,FALSE,0.0196291524916887,9040,3730,8150,2.36244484477888e-06,2.65402650256874e-06,0.000150340638356283,56.6462478637695,4.04446453094482e-07,114427219,1079,20996866048,124399800,18702.345703125,330.160369873047,0.152389755,"MGv",417,"FF8084",8,FALSE,734881840,1,660,3,1079,"Medial geniculate complex, ventral part",NA,NA,1,475,"Medial geniculate complex ventral part",661,9,"/997/8/343/1129/549/864/1008/475/1079/",442093671,8690
"12",2,634064154,FALSE,1,5770,4170,7100,0.0561447561572505,0.0130055192857981,43.4077262878418,3337.63891601562,0.0096118847125,114427219,351,160532181183.969,603315904,26188572672,7846436.5,0.7390619824,"BST",43,"B3C0DF",6,FALSE,734881840,1,621,3,351,"Bed nuclei of the stria terminalis",NA,NA,1,809,"Bed nuclei of the stria terminalis",622,8,"/997/8/567/623/803/809/351/",972962091,8690
"13",2,634064391,FALSE,0,0,0,0,0,0,0,0,0,114427219,545,182394.90625,900,0,0,1.1025e-06,"RSPd4",1058,"1AA698",8,FALSE,734881840,1,328,3,545,"Retrosplenial area, dorsal part, layer 4",NA,NA,1,879,"Retrosplenial area dorsal part layer 4",329,11,"/997/8/567/688/695/315/254/879/545/",3044371542,8690
"14",3,634066740,FALSE,0.542365431785583,8770,2600,8350,0.0106116377912081,0.00124075339032891,0.727583742123984,586.404798725641,0.00181669395400391,114427219,484682470,329517334528,1195254016,869647389.75,1483015.47265625,1.4641861696,"ProS",NA,"58BA48",7,FALSE,734881840,1,544,3,484682470,"Prosubiculum",NA,NA,1,822,"Prosubiculum",545,8,"/997/8/567/688/695/1089/822/484682470/",2109060151,8690
"15",3,634066343,FALSE,1,7800,1190,6520,1.37132745067653,0.0342229388835107,95.3415734130003,2785.8967266817,0.234768877116,114427219,768,1179880778176,5599988464,533911711252.411,191648062.951837,6.8599858684,"mfbc",661,"CCCCCC",3,FALSE,734881840,1,1239,3,768,"cerebrum related",NA,NA,1,991,"cerebrum related",1240,7,"/997/1009/991/768/",1315990495,8690
"16",3,634066061,FALSE,0,0,0,0,0,0,0,0,0,114427219,334,168222670848,645989376,0,0,0.7913369856,"BMAp",41,"84EA81",6,FALSE,734881840,1,568,3,334,"Basomedial amygdalar nucleus, posterior part",NA,NA,1,319,"Basomedial amygdalar nucleus posterior part",569,9,"/997/8/567/688/703/319/334/",3419250657,8690
"17",3,634066080,FALSE,0,0,0,0,0,0,0,0,0,114427219,355,3672734720,18567000,0,0,0.022744575,"AIp6b",1034,"219866",8,FALSE,734881840,1,290,3,355,"Agranular insular area, posterior part, layer 6b",NA,NA,1,111,"Agranular insular area posterior part layer 6b",291,11,"/997/8/567/688/695/315/95/111/355/",3556322142,8690
"18",1,634065129,FALSE,7.05821803421713e-05,6550,710,3180,4.54542315870549e-10,6.86463552668215e-10,3.65541836799821e-08,53.25,7.78168547898531e-11,114427219,1006,17443973120,92538000,3.38265109062195,0.0635239630937576,0.11335905,"SSp-tr1",974,"188064",9,FALSE,734881840,1,87,3,1006,"Primary somatosensory area, trunk, layer 1",NA,NA,1,361,"Primary somatosensory area trunk layer 1",88,11,"/997/8/567/688/695/315/453/322/361/1006/",396802005,8690
