"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631221773,FALSE,0.229316800832748,7170,770,8170,0.000297205714853238,0.000279307772871107,0.045108038932085,161.499420166016,6.57010901367187e-05,277710753,312782554,19490054144,192023104,8661786,53633.54296875,0.2352283024,"VISa2/3",NA,"009FAC",8,FALSE,734881840,1,348,3,312782554,"Anterior area, layer 2/3",NA,NA,1,312782546,"Anterior area layer 2/3",349,11,"/997/8/567/688/695/315/22/312782546/312782554/",2789647405,8690
"2",2,631220559,FALSE,1,6240,5580,8950,0.175582129312224,0.00508326766159028,2.07789307539466,408.771131824406,0.038814655061515,277710753,983,61047313703.625,6233280404,12952090188.4648,31685432.7032776,7.6357684949,"lfbs",688,"CCCCCC",2,FALSE,734881840,1,1190,3,983,"lateral forebrain bundle system",NA,NA,1,1009,"lateral forebrain bundle system",1191,2,"/997/1009/983/",1446894155,8690
"3",3,631222807,FALSE,0.104113176465034,6780,6760,4930,0.000220451570211037,8.04486334913419e-05,0.0103602650216657,128.781118734362,4.87336136600494e-05,277710753,693,21714557952,494508608,5123240.234375,39782.5417633057,0.6057730448,"VMH",369,"FF4C3E",6,FALSE,734881840,1,787,3,693,"Ventromedial hypothalamic nucleus",NA,NA,1,467,"Ventromedial hypothalamic nucleus",788,8,"/997/8/343/1129/1097/467/693/",313760851,8690
"4",2,631219908,FALSE,0.422112911939621,4920,2370,5880,0.00147797951758175,0.00118003401439637,0.239282488822937,202.775909423828,0.0003267261046875,277710753,296,25704427520,226023296,54083416,266715.1875,0.2768785376,"ACAv2/3",885,"40A666",8,FALSE,734881840,1,234,3,296,"Anterior cingulate area, ventral part, layer 2/3",NA,NA,1,48,"Anterior cingulate area ventral part layer 2/3",235,11,"/997/8/567/688/695/315/31/48/296/",4195964388,8690
"5",3,631222439,FALSE,0.116962186992168,10690,4760,6530,5.36061001701497e-05,0.000227666240765648,0.0526541745507263,231.277919702319,1.18503078613281e-05,277710753,358,2658308736,42490800,2237318,9673.720703125,0.05205123,"SLD",327,"FFC395",6,FALSE,734881840,1,934,3,358,"Sublaterodorsal nucleus",NA,NA,1,1117,"Sublaterodorsal nucleus",935,8,"/997/8/343/1065/771/1117/358/",4160997876,8690
"6",2,631219740,FALSE,0.0164801869541407,9580,3900,5900,7.43178097770602e-07,1.99888540919346e-06,0.000311660201987252,155.9169921875,1.64288937759399e-07,277710753,62,32963494,67094100,20910.560546875,134.113418579102,0.0821902725,"mlf",573,"CCCCCC",4,FALSE,734881840,1,1120,3,62,"medial longitudinal fascicle",NA,NA,1,832,"medial longitudinal fascicle",1121,9,"/997/1009/967/832/62/",2996842461,8690
"7",2,631221821,FALSE,0.0994628742337227,7670,1640,8630,1.59195610254271e-05,4.21591394115239e-05,0.00818398129194975,194.121170043945,3.51922073364258e-06,277710753,312782620,7005937152,68142600,557677.75,2872.83325195312,0.083474685,"VISrl6a",NA,"009FAC",8,FALSE,734881840,1,358,3,312782620,"Rostrolateral area, layer 6a",NA,NA,1,417,"Rostrolateral area layer 6a",359,11,"/997/8/567/688/695/315/22/417/312782620/",1518183390,8690
"8",2,631220555,FALSE,0.666592001914978,5730,1390,8930,0.0477002391260766,0.0227859262377024,4.71998929977417,207.144943237305,0.010544742425,277710753,981,36533452534.4824,377774976,1783093888,8607953,0.4627743456,"SSp-bfd1",971,"188064",9,FALSE,734881840,1,52,3,981,"Primary somatosensory area, barrel field, layer 1",NA,NA,1,329,"Primary somatosensory area barrel field layer 1",53,11,"/997/8/567/688/695/315/453/322/329/981/",3178183090,8690
"9",3,631222605,FALSE,0.586511969566345,11080,2540,6780,0.0378571251008616,0.000148166790601138,0.0411853051522519,277.965831514309,0.00836879731534424,277710753,528,4996659870208,46107979056,1898971187.375,6831671.27783203,56.4822743436,"CBX",65,"F0F080",3,FALSE,734881840,1,1015,3,528,"Cerebellar cortex",NA,NA,1,512,"Cerebellar cortex",1016,5,"/997/8/512/528/",1183639712,8690
"10",3,631223362,FALSE,0.0918144062161446,8310,4500,7710,2.65421571322707e-05,8.70400618059417e-05,0.0126825642472415,145.709504153589,5.86748023681641e-06,277710753,1044,801328288,55029600,697916.4375,4789.77978515625,0.06741126,"PP",271,"FF8084",6,FALSE,734881840,1,656,3,1044,"Peripeduncular nucleus",NA,NA,1,864,"Peripeduncular nucleus",657,8,"/997/8/343/1129/549/864/1044/",4073956777,8690
