"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633523407,FALSE,0.553369581699371,4710,6380,4930,0.00515958284927361,0.000505493976232505,0.233056990679346,461.048007765279,0.0009450223453125,116900714,835,293195663360,1526124640,355674016,771446.8125,1.869502684,"PALv",245,"A2B1D8",5,FALSE,734881840,1,612,3,835,"Pallidum, ventral region",NA,NA,1,803,"Pallidum ventral region",613,6,"/997/8/567/623/803/835/",1000152768,8690
"2",3,633524628,FALSE,0.504813313484192,8710,5590,6410,0.00522837323463881,0.00126251298679881,0.619401446370461,490.609960330783,0.000957621900976562,116900714,932,65355629280,619187424,383525586,781732.1640625,0.7585045944,"cett",540,"CCCCCC",4,FALSE,734881840,1,1150,3,932,"cervicothalamic tract",NA,NA,1,792,"cervicothalamic tract",1151,8,"/997/1009/967/792/932/",2955091529,8690
"3",2,633523037,FALSE,0.0427761673927307,8450,1890,9600,1.99806475551466e-05,6.3741288613528e-05,0.0282365269958973,442.986480712891,3.65962888183594e-06,116900714,1114,10352933888,46868400,1323400.875,2987.4521484375,0.05741379,"VISal4",1129,"08858C",8,FALSE,734881840,1,167,3,1114,"Anterolateral visual area, layer 4",NA,NA,1,402,"Anterolateral visual area layer 4",168,11,"/997/8/567/688/695/315/669/402/1114/",3636762855,8690
"4",3,633524627,FALSE,0.614052951335907,9020,6810,6650,0.0197737384569573,0.00340400094204536,1.6343516955259,480.12668719882,0.00362173168608398,116900714,931,131216228352,868541376,1419502070.5,2956515.66210938,1.0639631856,"PG",823,"FFBA86",6,FALSE,734881840,1,912,3,931,"Pontine gray",NA,NA,1,987,"Pontine gray",913,8,"/997/8/343/1065/771/987/931/",3482158520,8690
"5",3,633524064,FALSE,0,0,0,0,0,0,0,0,0,116900714,143,3227042944,19692000,0,0,0.0241227,"AMBv",17,"FFB3D9",7,FALSE,734881840,1,972,3,143,"Nucleus ambiguus, ventral division",NA,NA,1,135,"Nucleus ambiguus ventral division",973,9,"/997/8/343/1065/354/370/135/143/",1830643471,8690
"6",3,633524791,FALSE,0.272008270025253,7930,1510,2060,4.42108871010697e-05,7.05197078206945e-05,0.038053756635601,539.618750723664,8.09760739135742e-06,116900714,1114,20905624576,93736800,3567037.375,6610.29174804688,0.11482758,"VISal4",1129,"08858C",8,FALSE,734881840,1,167,3,1114,"Anterolateral visual area, layer 4",NA,NA,1,402,"Anterolateral visual area layer 4",168,11,"/997/8/567/688/695/315/669/402/1114/",3636762855,8690
"7",2,633522453,FALSE,0.649941027164459,9770,1930,6480,0.369339946034705,0.00576191801835755,3.36399436886684,583.832390212619,0.0676478142159201,116900714,323,1706537556672,9584083860,32240804135.7876,55222705.4823837,11.7405027285,"MBmot",181,"FF90FF",4,FALSE,734881840,1,821,3,323,"Midbrain, motor related",NA,NA,1,313,"Midbrain motor related",822,6,"/997/8/343/313/323/",780661248,8690
"8",3,633524491,FALSE,0.368181109428406,8200,5520,6320,0.00102810941436809,0.000398490368116048,0.182424669932453,457.789408549336,0.000188307155517578,116900714,749,65477859328,385756192,70371446,153720.126953125,0.4725513352,"VTA",376,"FF90FF",5,FALSE,734881840,1,823,3,749,"Ventral tegmental area",NA,NA,1,323,"Ventral tegmental area",824,8,"/997/8/343/313/323/749/",393100752,8690
"9",2,633522694,FALSE,0.531380772590637,8040,5810,6460,0.000287805512385611,0.00301261548884213,1.35023176670074,448.192535400391,5.27140755859375e-05,116900714,673,1299454208,14283900,19286576,43031.8984375,0.0174977775,"mp",508,"CCCCCC",5,FALSE,734881840,1,1281,3,673,"mammillary peduncle",NA,NA,1,46,"mammillary peduncle",1282,9,"/997/1009/991/824/46/673/",4130265730,8690
"10",3,633524822,FALSE,0,0,0,0,0,0,0,0,0,116900714,526157196,14587277312,100999800,0,0,0.123724755,"FRP6a",NA,"268F45",7,FALSE,734881840,1,10,3,526157196,"Frontal pole, layer 6a",NA,NA,1,184,"Frontal pole layer 6a",11,11,"/997/8/567/688/695/315/184/526157196/",1215326494,8690
