"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633784041,FALSE,0.079148069024086,6410,6230,2380,8.9117238440864e-06,4.08015421271557e-06,0.00129191542509943,316.634002685547,2.18783160705566e-06,146795148,966,60715024384,437724896,565503.5625,1785.98498535156,0.5362129976,"EPv",120,"A0EE9D",6,FALSE,734881840,1,560,3,966,"Endopiriform nucleus, ventral part",NA,NA,1,942,"Endopiriform nucleus ventral part",561,9,"/997/8/567/688/703/942/966/",870822862,8690
"2",3,633785433,FALSE,0.102717846632004,7650,3960,8120,4.42517599801823e-05,0.000144019418207396,0.0401983865991101,279.117823828605,1.08638239746094e-05,146795148,27,3267877632,61578000,2475336.25,8868.427734375,0.07543305,"IGL",144,"FF909F",7,FALSE,734881840,1,705,3,27,"Intergeniculate leaflet of the lateral geniculate complex",NA,NA,1,1014,"Intergeniculate leaflet of the lateral geniculate complex",706,8,"/997/8/343/1129/549/856/1014/27/",1900856090,8690
"3",2,633783786,FALSE,0.336949288845062,6290,4620,5700,0.000201325848354983,0.00206725322641432,1.10305392742157,533.584350585938,4.942557265625e-05,146795148,1120,2898985216,19517400,21528744,40347.40625,0.023908815,"IAM",139,"FF909F",7,FALSE,734881840,1,680,3,1120,"Interanteromedial nucleus of the thalamus",NA,NA,1,239,"Interanteromedial nucleus of the thalamus",681,8,"/997/8/343/1129/549/856/239/1120/",3666899134,8690
"4",2,633783301,FALSE,0.452382534742355,8310,4580,8160,0.000340599407321778,0.000108919775811955,0.0351947546005249,323.125457763672,8.36172845703125e-05,146795148,466,34165585920,626690688,22056224,68259.0078125,0.7676960928,"alv",482,"CCCCCC",5,FALSE,734881840,1,1245,3,466,"alveus",NA,NA,1,1099,"alveus",1246,9,"/997/1009/991/768/1099/466/",3047472302,8690
"5",1,633784938,FALSE,0.213158249855042,12000,6490,5680,6.53313052984418e-05,0.000729395018424839,0.193798750638962,265.697937011719,1.60388604003906e-05,146795148,222,1084693376,17950420,3478769,13092.947265625,0.0219892645,"RO",310,"FFC6E2",6,FALSE,734881840,1,1013,3,222,"Nucleus raphe obscurus",NA,NA,1,379,"Nucleus raphe obscurus",1014,8,"/997/8/343/1065/354/379/222/",2676196695,8690
"6",3,633787412,FALSE,0.225052818655968,7250,3580,9830,0.000347627485905392,4.2573638570814e-05,0.0138964434531357,326.409579252225,8.53426805465698e-05,146795148,1018,243847184128,1636399816,22740137.5097656,69667.4943237305,2.0045897746,"AUDv",834,"019399",7,FALSE,734881840,1,150,3,1018,"Ventral auditory area",NA,NA,1,247,"Ventral auditory area",151,8,"/997/8/567/688/695/315/247/1018/",3132221761,8690
"7",3,633786600,FALSE,0,0,0,0,0,0,0,0,0,146795148,755,47440136192,348728384,0,0,0.4271922704,"AUDv2/3",1084,"019399",8,FALSE,734881840,1,152,3,755,"Ventral auditory area, layer 2/3",NA,NA,1,1018,"Ventral auditory area layer 2/3",153,11,"/997/8/567/688/695/315/247/1018/755/",4223622095,8690
"8",3,633785829,FALSE,0,0,0,0,0,0,0,0,0,146795148,211,88890601472,543882624,0,0,0.6662562144,"ACAd2/3",1016,"40A666",8,FALSE,734881840,1,228,3,211,"Anterior cingulate area, dorsal part, layer 2/3",NA,NA,1,39,"Anterior cingulate area dorsal part layer 2/3",229,11,"/997/8/567/688/695/315/31/39/211/",2563141206,8690
"9",3,633786902,FALSE,0.11618609726429,5410,5740,6270,5.68573500863386e-06,0.000108527104636634,0.0493073324428063,454.331962581099,1.3958501159668e-06,146795148,914,2037892416,10499400,517697.40625,1139.46948242188,0.012861765,"PD",255,"FF5547",6,FALSE,734881840,1,746,3,914,"Posterodorsal preoptic nucleus",NA,NA,1,141,"Posterodorsal preoptic nucleus",747,8,"/997/8/343/1129/1097/141/914/",2759126254,8690
"10",2,633783579,FALSE,0,0,0,0,0,0,0,0,0,146795148,869,2729654784,16487100,0,0,0.0201966975,"VISpl4",957,"08858C",8,FALSE,734881840,1,195,3,869,"Posterolateral visual area, layer 4",NA,NA,1,425,"Posterolateral visual area layer 4",196,11,"/997/8/567/688/695/315/669/425/869/",2627147396,8690
"11",1,633783941,FALSE,0.0348864570260048,6410,4580,5310,1.77855563265454e-06,3.24265602102969e-06,0.000998585717752576,307.953033447266,4.36636087036133e-07,146795148,1096,16173750272,109921504,109766.046875,356.437622070312,0.1346538424,"AMd",419,"FF909F",8,FALSE,734881840,1,677,3,1096,"Anteromedial nucleus, dorsal part",NA,NA,1,127,"Anteromedial nucleus dorsal part",678,9,"/997/8/343/1129/549/856/239/127/1096/",2125395068,8690
