"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,634379946,FALSE,0.199763536453247,2580,3590,3930,0.000233646653778854,4.97355867992155e-05,0.0345422886312008,694.5185546875,3.30893770019531e-05,485903475,630,128956874752,543106816,18760152,27011.736328125,0.6653058496,"ORBl5",644,"248A5E",8,FALSE,734881840,1,261,3,630,"Orbital area, lateral part, layer 5",NA,NA,1,723,"Orbital area lateral part layer 5",262,11,"/997/8/567/688/695/315/714/723/630/",293178623,8690
"2",2,634379467,FALSE,0.216151684522629,2150,4220,6620,0.000120393877926874,0.000140408694278449,0.0518140643835068,369.023193359375,1.70503551025391e-05,485903475,196,6411511296,99129600,5136307.5,13918.6572265625,0.12143376,"AOBgr",731,"95E4C8",7,FALSE,734881840,1,388,3,196,"Accessory olfactory bulb, granular layer",NA,NA,1,151,"Accessory olfactory bulb granular layer",389,11,"/997/8/567/688/695/698/151/196/",2164797365,8690
"3",1,634380120,FALSE,0.127943560481071,5890,6120,5530,5.2739979086085e-05,0.000123852005344816,0.0605842471122742,489.166442871094,7.469112109375e-06,485903475,347,8584826880,49230000,2982562.5,6097.234375,0.06030675,"SBPV",467,"FF5547",6,FALSE,734881840,1,751,3,347,"Subparaventricular zone",NA,NA,1,141,"Subparaventricular zone",752,8,"/997/8/343/1129/1097/141/347/",1671743599,8690
"4",3,634380546,FALSE,0,0,0,0,0,0,0,0,0,485903475,255,88561811456,374043584,0,0,0.4582033904,"AV",31,"FF909F",7,FALSE,734881840,1,675,3,255,"Anteroventral nucleus of thalamus",NA,NA,1,239,"Anteroventral nucleus of thalamus",676,8,"/997/8/343/1129/549/856/239/255/",2379451227,8690
"5",1,634379858,FALSE,0,0,0,0,0,0,0,0,0,485903475,765,1006362112,25673400,0,0,0.031449915,"x",378,"FFB3D9",6,FALSE,734881840,1,1006,3,765,"Nucleus x",NA,NA,1,370,"Nucleus x",1007,8,"/997/8/343/1065/354/370/765/",1096772000,8690
"6",3,634380632,FALSE,0.632758557796478,5080,2640,7840,0.37646089709245,0.0128289443977639,8.589019069864,669.503179962422,0.0533149366743164,485903475,369,1000654341376,3392515856,29138383382,43522397.2851562,4.1558319236,"SSp-ul",753,"188064",8,FALSE,734881840,1,79,3,369,"Primary somatosensory area, upper limb",NA,NA,1,322,"Primary somatosensory area upper limb",80,9,"/997/8/567/688/695/315/453/322/369/",3184285306,8690
"7",2,634379108,FALSE,1,5040,4790,8980,1.78087238630193,0.0175883024930954,33.5218811035156,1905.9189453125,0.2522097228,485903475,672,2971233918976,11705819136,392401059840,205885488,14.3396284416,"CP",83,"98D6F9",6,FALSE,734881840,1,573,3,672,"Caudoputamen",NA,NA,1,485,"Caudoputamen",574,8,"/997/8/567/623/477/485/672/",2140591882,8690
"8",1,634380012,FALSE,0.30232235789299,6530,5360,2720,0.00895664469868702,0.00174718947837894,1.07508054197467,615.319949712689,0.00126845297509766,485903475,536,138315427840,592649984,637146466,1035471.81640625,0.7259962304,"CEA",66,"80C0E2",6,FALSE,734881840,1,595,3,536,"Central amygdalar nucleus",NA,NA,1,278,"Central amygdalar nucleus",596,8,"/997/8/567/623/477/278/536/",3284898075,8690
"9",3,634380448,FALSE,0.051679827272892,7670,6990,5870,4.92811814618405e-05,5.08229548685889e-05,0.0135183991148256,265.99002654961,6.97927218780517e-06,485903475,126,7798120960,112102200,1515442.28125,5697.36505126953,0.137325195,"PVp",298,"FF5547",6,FALSE,734881840,1,749,3,126,"Periventricular hypothalamic nucleus, posterior part",NA,NA,1,141,"Periventricular hypothalamic nucleus posterior part",750,8,"/997/8/343/1129/1097/141/126/",4039829223,8690
"10",2,634378916,FALSE,0.221941590309143,11190,7170,5710,0.000340441368865883,0.000391268851175144,0.0319189286386151,81.5779956486421,4.82137989963531e-05,485903475,379,3280439552,100591200,3210763.33447266,39358.2032623291,0.12322422,"MY-sat",188,"FFC6E2",5,FALSE,734881840,1,1010,3,379,"Medulla, behavioral state related",NA,NA,1,354,"Medulla behavioral state related",1011,6,"/997/8/343/1065/354/379/",492266850,8690
"11",1,634379790,FALSE,0.40378800034523,7480,4240,5670,0.00103184625775019,3.96800081058865e-05,0.0169284022614148,426.622953711129,0.000146131559252147,485903475,864,351570059008,3006326724,50892308.1131134,119291.068777263,3.6827502369,"DORsm",107,"FF8084",5,FALSE,734881840,1,642,3,864,"Thalamus, sensory-motor cortex related",NA,NA,1,549,"Thalamus sensory-motor cortex related",643,6,"/997/8/343/1129/549/864/",3240123133,8690
"12",1,634380134,FALSE,0.133061856031418,6990,1200,4790,5.3298200786868e-05,0.000441561511252075,0.166033938527107,376.015411376953,7.54816827392578e-06,485903475,330,1545608704,13954500,2316920.5,6161.77001953125,0.0170942625,"RSPd6b",1031,"1AA698",8,FALSE,734881840,1,331,3,330,"Retrosplenial area, dorsal part, layer 6b",NA,NA,1,879,"Retrosplenial area dorsal part layer 6b",332,11,"/997/8/567/688/695/315/254/879/330/",3241479382,8690
"13",2,634378921,FALSE,0.128978237509727,11550,5450,8220,6.02670888759259e-05,1.9517174453742e-06,0.000620462380223843,317.905843232796,8.53511228332519e-06,485903475,386,266725886848,3569901276,2214989.44287109,6967.43859863281,4.3731290631,"MY-sen",189,"FFA5D2",5,FALSE,734881840,1,936,3,386,"Medulla, sensory related",NA,NA,1,354,"Medulla sensory related",937,6,"/997/8/343/1065/354/386/",846467907,8690
"14",3,634380783,FALSE,0.68075555562973,8780,670,6300,0.729137680254895,0.0776633771880788,73.1867381068036,942.358428858508,0.103261532737891,485903475,610,359411253248,1085390976,79436225104,84295128.765625,1.3296039456,"RSPd5",1066,"1AA698",8,FALSE,734881840,1,329,3,610,"Retrosplenial area, dorsal part, layer 5",NA,NA,1,879,"Retrosplenial area dorsal part layer 5",330,11,"/997/8/567/688/695/315/254/879/610/",3262274752,8690
"15",3,634380811,FALSE,0,0,0,0,0,0,0,0,0,485903475,642,2488582848,139010400,0,0,0.17028774,"NTB",221,"FFA5D2",6,FALSE,734881840,1,947,3,642,"Nucleus of the trapezoid body",NA,NA,1,386,"Nucleus of the trapezoid body",948,8,"/997/8/343/1065/354/386/642/",3384679656,8690
"16",3,634380937,FALSE,0.600931942462921,4850,2670,6300,0.0517562310169736,0.107124128671508,132.992440247924,1241.47978515411,0.00732979228515625,485903475,819,19695000064,55855800,7428399144,5983503.90625,0.068423355,"ACAv6b",1092,"40A666",8,FALSE,734881840,1,237,3,819,"Anterior cingulate area, ventral part, 6b",NA,NA,1,48,"Anterior cingulate area ventral part 6b",238,11,"/997/8/567/688/695/315/31/48/819/",3556459679,8690
