"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633199560,FALSE,0,0,0,0,0,0,0,0,0,112745787,121,2152669184,17208000,0,0,0.0210798,"VISl6b",1005,"08858C",8,FALSE,734881840,1,184,3,121,"Lateral visual area, layer 6b",NA,NA,1,409,"Lateral visual area layer 6b",185,11,"/997/8/567/688/695/315/669/409/121/",1208923682,8690
"2",3,633199725,FALSE,0,0,0,0,0,0,0,0,0,112745787,132,1635852352,19231200,0,0,0.02355822,"PL6b",1006,"2FA850",7,FALSE,734881840,1,244,3,132,"Prelimbic area, layer 6b",NA,NA,1,972,"Prelimbic area layer 6b",245,11,"/997/8/567/688/695/315/972/132/",1608489679,8690
"3",3,633199718,FALSE,0.266303688287735,7620,7040,6080,0.000592500709882164,0.000352727226110415,0.0640056729484346,181.459406052196,4.84383351074219e-05,112745787,126,6735265792,112102200,7175176.75,39541.498046875,0.137325195,"PVp",298,"FF5547",6,FALSE,734881840,1,749,3,126,"Periventricular hypothalamic nucleus, posterior part",NA,NA,1,141,"Periventricular hypothalamic nucleus posterior part",750,8,"/997/8/343/1129/1097/141/126/",4039829223,8690
"4",3,633199814,FALSE,0,0,0,0,0,0,0,0,0,112745787,249,13288515072,71445600,0,0,0.08752086,"AUDpo6a",455,"019399",8,FALSE,734881840,1,148,3,249,"Posterior auditory area, layer 6a",NA,NA,1,1027,"Posterior auditory area layer 6a",149,11,"/997/8/567/688/695/315/247/1027/249/",2585833835,8690
"5",1,633199260,FALSE,0.00999169889837503,6610,3090,4940,8.70021194809623e-07,3.57479677859374e-07,0.000250085606239736,699.579895019531,7.11262914657593e-08,112745787,575,19015065600,162421200,40619.203125,58.0622787475586,0.19896597,"CL",71,"FF909F",7,FALSE,734881840,1,700,3,575,"Central lateral nucleus of the thalamus",NA,NA,1,51,"Central lateral nucleus of the thalamus",701,8,"/997/8/343/1129/549/856/51/575/",1181786423,8690
"6",3,633199812,FALSE,0,0,0,0,0,0,0,0,0,112745787,246,9927570432,123998400,0,0,0.15189804,"RR",313,"FF90FF",5,FALSE,734881840,1,825,3,246,"Midbrain reticular nucleus, retrorubral area",NA,NA,1,323,"Midbrain reticular nucleus retrorubral area",826,8,"/997/8/343/313/323/246/",2206996677,8690
"7",1,633199249,FALSE,0.357945322990417,4010,4190,5670,0.00584304878816301,0.000601350741866995,0.160311251559721,266.585272784412,0.000477683065234375,112745787,589,70907140096,648449120,103953690,389945.359375,0.794350172,"TT",356,"62D09F",6,FALSE,734881840,1,398,3,589,"Taenia tecta",NA,NA,1,698,"Taenia tecta",399,8,"/997/8/567/688/695/698/589/",2827574122,8690
"8",3,633200410,FALSE,1,6470,2830,4720,0.697110819913608,0.0121904346820305,13.0277064136979,1068.68268060216,0.0569904591484802,112745787,1099,281909170080,3816338384,49718136042.0781,46522823.7946777,4.6750145204,"fxs",561,"CCCCCC",4,FALSE,734881840,1,1244,3,1099,"fornix system",NA,NA,1,768,"fornix system",1245,8,"/997/1009/991/768/1099/",2860735463,8690
"9",3,633200286,FALSE,0.459954738616943,9920,7100,5810,0.0149478519355639,0.000785510437672675,0.0474397484379325,60.3935303246737,0.00122202226784668,112745787,948,34974098960,1269963008,60246725.625,997569.198242188,1.5557046848,"cVIIIn",542,"CCCCCC",4,FALSE,734881840,1,1136,3,948,"cochlear nerve",NA,NA,1,933,"cochlear nerve",1137,9,"/997/1009/967/933/948/",962095195,8690
"10",3,633200397,FALSE,0,0,0,0,0,0,0,0,0,112745787,1085,4427638528,66227400,0,0,0.081128565,"MOs6b",1125,"1F9D5A",8,FALSE,734881840,1,29,3,1085,"Secondary motor area, layer 6b",NA,NA,1,993,"Secondary motor area layer 6b",30,11,"/997/8/567/688/695/315/500/993/1085/",1225271489,8690
