"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,633769277,FALSE,0.0319482013583183,9050,1730,1620,5.89520736973863e-06,2.01406314136904e-06,0.0005909828173525,293.42814791337,1.09267923316956e-06,127650431,312782574,80186137408,442877400,261732.93359375,891.983047485352,0.542524815,"VISli",NA,"08858C",7,FALSE,734881840,1,206,3,312782574,"Laterointermediate area",NA,NA,1,669,"Laterointermediate area",207,8,"/997/8/567/688/695/315/669/312782574/",2157470672,8690
"2",3,633768535,FALSE,1,10970,3910,4250,0.910249794989099,0.0222487641893052,26.1098659404072,1173.54230186672,0.1687151928,127650431,728,470991519744,6190307328,161628094464,137726688,7.5831264768,"arb",656,"CCCCCC",3,FALSE,734881840,1,1188,3,728,"arbor vitae",NA,NA,1,960,"arbor vitae",1189,8,"/997/1009/960/728/",756994283,8690
"3",1,633766311,FALSE,0.287701517343521,7840,6620,5140,0.000173829657359943,0.000299698964226991,0.117599099874496,392.390747070312,3.22194020996094e-05,127650431,1004,12663833600,87759904,10320486,26301.552734375,0.1075058824,"PMv",266,"FF4C3E",6,FALSE,734881840,1,781,3,1004,"Ventral premammillary nucleus",NA,NA,1,467,"Ventral premammillary nucleus",782,8,"/997/8/343/1129/1097/467/1004/",959948768,8690
"4",1,633766635,FALSE,0.444702386856079,5750,2650,4060,0.00461647542998781,5.96580102865119e-05,0.0276507139205933,463.487030029297,0.000855665715625,127650431,672,2008879464448,11708446720,323746912,698502.625,14.342847232,"CP",83,"98D6F9",6,FALSE,734881840,1,573,3,672,"Caudoputamen",NA,NA,1,485,"Caudoputamen",574,8,"/997/8/567/623/477/485/672/",2140591882,8690
"5",3,633767744,FALSE,0.466338545084,7520,4710,5470,0.0020388380603994,0.00167209452267231,0.958459784469739,573.209092831634,0.000377899515431786,127650431,406,13953525504,184492800,176828929.324219,308489.400352478,0.22600368,"SPF",333,"FF8084",6,FALSE,734881840,1,652,3,406,"Subparafascicular nucleus",NA,NA,1,864,"Subparafascicular nucleus",653,8,"/997/8/343/1129/549/864/406/",411188720,8690
"6",1,633764886,FALSE,0.0280190501362085,6970,470,3870,4.47052696848636e-06,6.2716644606553e-06,0.00253579416312277,404.325531005859,8.28614105224609e-07,127650431,312782550,15702137856,107853296,273493.75,676.419677734375,0.1321202876,"VISa1",NA,"009FAC",8,FALSE,734881840,1,347,3,312782550,"Anterior area, layer 1",NA,NA,1,312782546,"Anterior area layer 1",348,11,"/997/8/567/688/695/315/22/312782546/312782550/",10340068,8690
"7",1,633766381,FALSE,0.0595961362123489,3980,5450,3690,1.25342257785653e-05,2.31591798183217e-06,0.000860660104081035,371.628082275391,2.32322416381836e-06,127650431,952,124996829184,818901888,704796.1875,1896.50952148438,1.0031548128,"EPd",118,"A0EE9D",6,FALSE,734881840,1,559,3,952,"Endopiriform nucleus, dorsal part",NA,NA,1,942,"Endopiriform nucleus dorsal part",560,9,"/997/8/567/688/703/942/952/",1669532679,8690
"8",2,633765506,FALSE,0.215452522039413,10900,5300,6170,5.36631819965173e-05,0.000594867684412748,0.273396164178848,459.591583251953,9.94649396972656e-06,127650431,653,1139902848,13649400,3731693.75,8119.5869140625,0.016720515,"VI",364,"FFB3D9",6,FALSE,734881840,1,965,3,653,"Abducens nucleus",NA,NA,1,370,"Abducens nucleus",966,8,"/997/8/343/1065/354/370/653/",3487199484,8690
"9",3,633767986,FALSE,0.00130183820147067,4670,4750,5560,2.20870059971075e-08,8.94392156209734e-09,2.34458518498293e-06,262.142860791495,4.09383610486984e-09,127650431,564,42426275840,373651200,876.057067871094,3.34190702438354,0.45772272,"MS",211,"96A7D3",7,FALSE,734881840,1,617,3,564,"Medial septal nucleus",NA,NA,1,904,"Medial septal nucleus",618,9,"/997/8/567/623/803/826/904/564/",239662904,8690
"10",3,633769272,FALSE,0.474486738443375,7540,7330,5830,0.00100259514044413,0.00206688652794809,0.799846883302677,386.981516637359,0.000185831442480469,127650431,10671,2070954112,73395000,58704762,151699.13671875,0.089908875,"ME",NA,"F2483B",5,FALSE,734881840,1,805,3,10671,"Median eminence",NA,NA,1,1097,"Median eminence",806,8,"/997/8/343/1129/1097/10671/",138849015,8690
