"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631670366,FALSE,0.0398150496184826,8280,1480,1640,4.88638563046252e-06,6.01473971561218e-06,0.00261872536587159,435.384653316632,7.81771388244629e-07,268389532,1074,31673468928,106102800,277854.09375,638.180725097656,0.12997593,"VISal1",1124,"08858C",8,FALSE,734881840,1,165,3,1074,"Anterolateral visual area, layer 1",NA,NA,1,402,"Anterolateral visual area layer 1",166,11,"/997/8/567/688/695/315/669/402/1074/",2830003304,8690
"2",1,631666579,FALSE,0.0344617590308189,3410,3360,4620,3.5571075156903e-06,0.000107204774394631,0.0410879552364349,383.266082763672,5.69100576782227e-07,268389532,680,1008701312,4333500,178054.65625,464.571899414062,0.0053085375,"ORBvl6b",933,"248A5E",8,FALSE,734881840,1,277,3,680,"Orbital area, ventrolateral part, layer 6b",NA,NA,1,746,"Orbital area ventrolateral part layer 6b",278,11,"/997/8/567/688/695/315/714/746/680/",705314145,8690
"3",3,631670765,FALSE,0.0799783244729042,8320,5460,5410,1.28575646750862e-05,4.92043868510644e-05,0.0210998140273383,428.819773554029,2.05707796020508e-06,268389532,607344858,11958020096,34128000,720094.453125,1679.24731445312,0.0418068,"IPDL",NA,"FFA6FF",7,FALSE,734881840,1,877,3,607344858,"Interpeduncular nucleus, dorsolateral",NA,NA,1,100,"Interpeduncular nucleus dorsolateral",878,9,"/997/8/343/313/348/165/100/607344858/",2095963207,8690
"4",1,631667327,FALSE,0.222233071923256,3850,3950,4060,0.00151056252428255,1.6849823921392e-05,0.0137235419729527,814.462040492285,0.000241674450390625,268389532,485,5051770732544,11708446720,160681360,197285.265625,14.342847232,"STRd",343,"98D6F9",5,FALSE,734881840,1,572,3,485,"Striatum dorsal region",NA,NA,1,477,"Striatum dorsal region",573,6,"/997/8/567/623/477/485/",598493306,8690
"5",1,631666374,FALSE,0.888746380805969,7600,4820,4650,0.133059518413967,0.160364270210266,281.344818115234,1754.41088867188,0.0212881529,268389532,804,81019543552,108366304,30488299520,17378084,0.1327487224,"FF",807,"F2483B",7,FALSE,734881840,1,804,3,804,"Fields of Forel",NA,NA,1,797,"Fields of Forel",805,9,"/997/8/343/1129/1097/290/797/804/",89343914,8690
"6",3,631670337,FALSE,0.743720889091492,10910,2710,9120,0.329440944386183,0.00839634571605734,12.3703557493767,1473.30233505266,0.0527071590158203,268389532,1056,2169806716928,5124402176,63390677920,43026252.2578125,6.2773926656,"ANcr1",414,"FFFC91",6,FALSE,734881840,1,1072,3,1056,"Crus 1",NA,NA,1,1017,"Crus 1",1073,8,"/997/8/512/528/1073/1017/1056/",1964034289,8690
"7",3,631669750,FALSE,0.420197993516922,11200,6650,7450,0.00419246485781357,0.000663531958505448,0.350898731746958,528.834711348838,0.000670751209570312,268389532,661,177874960384,825208192,289564508,547552.0078125,1.0108800352,"VII",365,"FFB3D9",6,FALSE,734881840,1,967,3,661,"Facial motor nucleus",NA,NA,1,370,"Facial motor nucleus",968,8,"/997/8/343/1065/354/370/661/",3767076544,8690
"8",2,631664613,FALSE,0,0,0,0,0,0,0,0,0,268389532,580,6998358016,39566700,0,0,0.0484692075,"NB",213,"FF7AFF",5,FALSE,734881840,1,816,3,580,"Nucleus of the brachium of the inferior colliculus",NA,NA,1,339,"Nucleus of the brachium of the inferior colliculus",817,8,"/997/8/343/313/339/580/",3573918372,8690
"9",3,631668897,FALSE,0,0,0,0,0,0,0,0,0,268389532,30,9673422336,45703800,0,0,0.055987155,"PVa",286,"FF5D50",6,FALSE,734881840,1,731,3,30,"Periventricular hypothalamic nucleus, anterior part",NA,NA,1,157,"Periventricular hypothalamic nucleus anterior part",732,9,"/997/8/343/1129/1097/157/30/",4028794868,8690
"10",3,631669506,FALSE,0.0111509468406439,9880,1530,7400,3.79619624744619e-07,5.66493347636359e-08,2.96350371158246e-05,523.131246632888,6.07352312088013e-08,268389532,434,310761259008,875204992,25936.732421875,49.5797805786133,1.0721261152,"RSPd2/3",761,"1AA698",8,FALSE,734881840,1,327,3,434,"Retrosplenial area, dorsal part, layer 2/3",NA,NA,1,879,"Retrosplenial area dorsal part layer 2/3",328,11,"/997/8/567/688/695/315/254/879/434/",1081955810,8690
