"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,630972547,FALSE,0,0,0,0,0,0,0,0,0,266585624,312782598,2208586752,7261200,0,0,0.00889497,"VISli6b",NA,"08858C",8,FALSE,734881840,1,212,3,312782598,"Laterointermediate area, layer 6b",NA,NA,1,312782574,"Laterointermediate area layer 6b",213,11,"/997/8/567/688/695/315/669/312782574/312782598/",3903698312,8690
"2",3,630978477,FALSE,0.0257525444030762,6230,2630,9750,2.18197020037713e-06,3.75333426430347e-07,0.000377851853135683,1006.70983858083,2.26818163299561e-07,266585624,654,322869673984,493315200,186400.0625,185.157684326172,0.60431112,"SSp-n4",647,"188064",9,FALSE,734881840,1,47,3,654,"Primary somatosensory area, nose, layer 4",NA,NA,1,353,"Primary somatosensory area nose layer 4",48,11,"/997/8/567/688/695/315/453/322/353/654/",2563128336,8690
"3",2,630972657,FALSE,0,0,0,0,0,0,0,0,0,266585624,303,154682605568,346324512,0,0,0.4242475272,"BLAa",37,"9DE79C",6,FALSE,734881840,1,563,3,303,"Basolateral amygdalar nucleus, anterior part",NA,NA,1,295,"Basolateral amygdalar nucleus anterior part",564,9,"/997/8/567/688/703/295/303/",2570788319,8690
"4",3,630977771,FALSE,0.995722472667694,6990,3410,7050,0.462618865410666,0.0146148189580305,26.3563119545087,1803.39640403322,0.048089731629716,266585624,138,838958469120,2686104008,70795795177.1041,39256923.77936,3.2904774098,"LAT",158,"FF909F",6,FALSE,734881840,1,667,3,138,"Lateral group of the dorsal thalamus",NA,NA,1,856,"Lateral group of the dorsal thalamus",668,7,"/997/8/343/1129/549/856/138/",1237671945,8690
"5",2,630973929,FALSE,0.786944031715393,7900,1010,7790,0.149548224993948,0.0268895726142429,31.3814809358107,1167.05019399187,0.0155456998046875,266585624,533,225127554048,471943804,14810295488,12690367.1875,0.5781311599,"VISpm",915,"08858C",7,FALSE,734881840,1,199,3,533,"posteromedial visual area",NA,NA,1,669,"posteromedial visual area",200,8,"/997/8/567/688/695/315/669/533/",558797901,8690
"6",2,630974707,FALSE,0.165786758065224,10070,2410,9280,2.28804789977288e-05,0.00011776432802435,0.0744903907179832,632.537780761719,2.37845054931641e-06,266585624,869,6352635904,16487100,1228130.5,1941.59228515625,0.0201966975,"VISpl4",957,"08858C",8,FALSE,734881840,1,195,3,869,"Posterolateral visual area, layer 4",NA,NA,1,425,"Posterolateral visual area layer 4",196,11,"/997/8/567/688/695/315/669/425/869/",2627147396,8690
"7",1,630975873,FALSE,0,0,0,0,0,0,0,0,0,266585624,1111,87331078144,158852704,0,0,0.1945945624,"SSp-tr5",987,"188064",9,FALSE,734881840,1,90,3,1111,"Primary somatosensory area, trunk, layer 5",NA,NA,1,361,"Primary somatosensory area trunk layer 5",91,11,"/997/8/567/688/695/315/453/322/361/1111/",281768908,8690
"8",3,630977906,FALSE,0.774917602539062,5500,670,6590,0.18031305869192,0.0127925900662616,17.4226677312186,1361.93434175368,0.01874373755625,266585624,320,605988782080,1196083840,20838971323,15301010.25,1.465202704,"MOp1",888,"1F9D5A",8,FALSE,734881840,1,19,3,320,"Primary motor area, Layer 1",NA,NA,1,985,"Primary motor area Layer 1",20,11,"/997/8/567/688/695/315/500/985/320/",571569106,8690
"9",3,630979272,FALSE,0.169516310095787,8040,5170,10640,0.000173992500483434,1.67546468215841e-05,0.00367778551501309,219.508387981966,1.80867086914062e-05,266585624,1121,255151955968,881227776,3240966.75,14764.66015625,1.0795040256,"ENTl1",988,"32B825",9,FALSE,734881840,1,495,3,1121,"Entorhinal area, lateral part, layer 1",NA,NA,1,918,"Entorhinal area lateral part layer 1",496,11,"/997/8/567/688/695/1089/822/909/918/1121/",1675684242,8690
"10",1,630977467,FALSE,0,0,0,0,0,0,0,0,0,266585624,148,39093125120,65983500,0,0,0.0808297875,"GU4",1008,"009C75",7,FALSE,734881840,1,110,3,148,"Gustatory areas, layer 4",NA,NA,1,1057,"Gustatory areas layer 4",111,11,"/997/8/567/688/695/315/1057/148/",4260247682,8690
