"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631265286,FALSE,0.496921002864838,9220,6440,6290,0.00876435119201296,0.00350861065089703,0.448687821626663,127.881904602051,0.001333894078125,272875132,574,25528578048,310348800,139249728,1088893.125,0.38017728,"TRN",354,"FFBA86",6,FALSE,734881840,1,918,3,574,"Tegmental reticular nucleus",NA,NA,1,987,"Tegmental reticular nucleus",919,8,"/997/8/343/1065/771/987/574/",2119502237,8690
"2",3,631267154,FALSE,0,0,0,0,0,0,0,0,0,272875132,725,14425236992,88941600,0,0,0.10895346,"VPLpc",373,"FF8084",8,FALSE,734881840,1,648,3,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",NA,NA,1,709,"Ventral posterolateral nucleus of the thalamus parvicellular part",649,9,"/997/8/343/1129/549/864/637/709/725/",2868220330,8690
"3",3,631267358,FALSE,0.266598403453827,7980,4380,10120,0.00450580446371028,0.00117403685265507,0.407025224897859,346.688627343661,0.000685762786047363,272875132,988,101294690304,476821792,194078497.125,559806.355957031,0.5841066952,"ECT5",1113,"0D9F91",7,FALSE,734881840,1,376,3,988,"Ectorhinal area/Layer 5",NA,NA,1,895,"Ectorhinal area/Layer 5",377,11,"/997/8/567/688/695/315/895/988/",2195901717,8690
"4",2,631265258,FALSE,0.00478418823331594,7970,2390,6010,2.62196834179995e-07,1.65319966072275e-06,5.55491460545454e-05,33.6009902954102,3.99051563262939e-08,272875132,531,4094226432,19704600,1094.57373046875,32.5756378173828,0.024138135,"MPT",207,"FF90FF",6,FALSE,734881840,1,845,3,531,"Medial pretectal area",NA,NA,1,1100,"Medial pretectal area",846,9,"/997/8/343/313/323/1100/531/",3076683016,8690
"5",2,631265444,FALSE,0.264820992946625,7580,4100,9770,0.00119089990656082,0.0036631531547755,1.07349932193756,293.053375244141,0.00018124950703125,272875132,786,6306743808,40391100,43359820,147958.78125,0.0494790975,"TEa6b",1088,"15B0B3",7,FALSE,734881840,1,366,3,786,"Temporal association areas, layer 6b",NA,NA,1,541,"Temporal association areas layer 6b",367,11,"/997/8/567/688/695/315/541/786/",3588912826,8690
"6",2,631265031,FALSE,0,0,0,0,0,0,0,0,0,272875132,201,201412706304,682217984,0,0,0.8357170304,"SSp-bfd2/3",1015,"188064",9,FALSE,734881840,1,53,3,201,"Primary somatosensory area, barrel field, layer 2/3",NA,NA,1,329,"Primary somatosensory area barrel field layer 2/3",54,11,"/997/8/567/688/695/315/453/322/329/201/",1738869888,8690
"7",2,631265469,FALSE,0.636759996414185,8420,5100,10330,0.1151291804781,0.00171774551360572,0.599872183358294,349.220637519875,0.0175221335492662,272875132,822,1504196890624,8327067296,4995176039.82297,14303782.4891969,10.2006574376,"RHP",385,"32B825",6,FALSE,734881840,1,492,3,822,"Retrohippocampal region",NA,NA,1,1089,"Retrohippocampal region",493,6,"/997/8/567/688/695/1089/822/",3032553410,8690
"8",2,631265375,FALSE,0.439057946205139,3460,3640,6710,0.000667475577898705,0.019136480987072,4.02452659606934,210.306518554688,0.0001015867234375,272875132,680,443000256,4333500,17440286,82927.9375,0.0053085375,"ORBvl6b",933,"248A5E",8,FALSE,734881840,1,277,3,680,"Orbital area, ventrolateral part, layer 6b",NA,NA,1,746,"Orbital area ventrolateral part layer 6b",278,11,"/997/8/567/688/695/315/714/746/680/",705314145,8690
"9",1,631265738,FALSE,0.545282244682312,6070,2210,5230,0.0262407168528346,0.00238235061988235,0.501594185829163,210.5458984375,0.003993716825,272875132,484682516,82625445888,1368470656,686416896,3260177,1.6763765536,"ccb",NA,"CCCCCC",4,FALSE,734881840,1,1198,3,484682516,"corpus callosum, body",NA,NA,1,776,"corpus callosum body",1199,9,"/997/1009/983/776/484682516/",1909459776,8690
"10",2,631265252,FALSE,0.18192745745182,5380,5890,6500,0.0003223566657365,0.000160207229782827,0.0753797739744186,470.51416015625,4.90612069335937e-05,272875132,523,49708462080,249988496,18844076,40049.96484375,0.3062359076,"MPO",206,"FF5547",6,FALSE,734881840,1,744,3,523,"Medial preoptic area",NA,NA,1,141,"Medial preoptic area",745,8,"/997/8/343/1129/1097/141/523/",1992330649,8690
