"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631470384,FALSE,0.0694465711712837,10760,4590,6640,9.09437329985692e-06,0.000228973745834082,0.0557042434811592,243.277862548828,3.37441293334961e-06,272697944,350,166700048,12030300,670138.75,2754.62280273438,0.0147371175,"SLC",326,"FFC395",6,FALSE,734881840,1,933,3,350,"Subceruleus nucleus",NA,NA,1,1117,"Subceruleus nucleus",934,8,"/997/8/343/1065/771/1117/350/",3054129819,8690
"2",2,631470826,FALSE,0.138983458280563,4410,5530,9400,0.000110058764950339,6.40453708911082e-06,0.0012215186143294,190.727081298828,4.08366478515625e-05,272697944,961,453043716096,5205066240,6358085.5,33336.0390625,6.376206144,"PIR",261,"6ACBBA",6,FALSE,734881840,1,416,3,961,"Piriform area",NA,NA,1,698,"Piriform area",417,8,"/997/8/567/688/695/698/961/",3867654445,8690
"3",2,631470794,FALSE,0.195039391517639,5650,2230,8560,0.000183250960846794,0.000478123896755278,0.201880723237991,422.235168457031,6.79941752929687e-05,272697944,182305705,19034335232,116090096,23436352,55505.44921875,0.1422103676,"SSp-un5",NA,"188064",9,FALSE,734881840,1,97,3,182305705,"Primary somatosensory area, unassigned, layer 5",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 5",98,11,"/997/8/567/688/695/315/453/322/182305689/182305705/",1806412353,8690
"4",1,631472862,FALSE,0,0,0,0,0,0,0,0,0,272697944,93,921152.75,26797500,0,0,0.0328269375,"moV",577,"CCCCCC",4,FALSE,734881840,1,1126,3,93,"motor root of the trigeminal nerve",NA,NA,1,901,"motor root of the trigeminal nerve",1127,9,"/997/1009/967/901/93/",511291358,8690
"5",3,631473395,FALSE,0.100238405168056,7690,310,7480,3.16433400526937e-06,7.82832652167067e-06,0.00132285622603815,168.983271504602,1.17410724639893e-06,272697944,281,13326827008,122434200,161962.84375,958.454895019531,0.149981895,"VISam1",1025,"08858C",8,FALSE,734881840,1,172,3,281,"Anteromedial visual area, layer 1",NA,NA,1,394,"Anteromedial visual area layer 1",173,11,"/997/8/567/688/695/315/669/394/281/",660054922,8690
"6",2,631470203,FALSE,0,0,0,0,0,0,0,0,0,272697944,113,37116841984,290957408,0,0,0.3564228248,"SSp-ll2/3",1004,"188064",9,FALSE,734881840,1,67,3,113,"Primary somatosensory area, lower limb, layer 2/3",NA,NA,1,337,"Primary somatosensory area lower limb layer 2/3",68,11,"/997/8/567/688/695/315/453/322/337/113/",2802480882,8690
"7",1,631472258,FALSE,0.0313340127468109,5260,6980,4730,2.82579112734034e-06,2.57054421126668e-06,0.00031319577828981,121.840255737305,1.04849293212891e-06,272697944,596,3376578048,332969408,104284.609375,855.91259765625,0.4078875248,"NDB",215,"96A7D3",7,FALSE,734881840,1,618,3,596,"Diagonal band nucleus",NA,NA,1,904,"Diagonal band nucleus",619,9,"/997/8/567/623/803/826/904/596/",278981173,8690
"8",3,631473961,FALSE,0.830296874046326,4310,4170,8570,0.0585838692400072,0.0449293934478244,13.5242406481004,301.01097767558,0.021737195025,272697944,638,43590400000,394945216,5341334144,17744649,0.4838078896,"GU6a",645,"009C75",7,FALSE,734881840,1,112,3,638,"Gustatory areas, layer 6a",NA,NA,1,1057,"Gustatory areas layer 6a",113,11,"/997/8/567/688/695/315/1057/638/",3653947637,8690
"9",3,631474240,FALSE,0,0,0,0,0,0,0,0,0,272697944,157,12764114328,704397608,0,0,0.8628870698,"PVZ",302,"FF5D50",5,FALSE,734881840,1,716,3,157,"Periventricular zone",NA,NA,1,1097,"Periventricular zone",717,6,"/997/8/343/1129/1097/157/",1581950529,8690
"10",2,631470623,FALSE,0.00357037433423102,12580,5150,6560,3.41890285058939e-08,6.90808548142741e-08,8.57293434819439e-06,124.100006103516,1.2685634970665e-08,272697944,711,391869728,149905792,1285.13256835938,10.3556203842163,0.1836345952,"CU",88,"FFA5D2",7,FALSE,734881840,1,944,3,711,"Cuneate nucleus",NA,NA,1,720,"Cuneate nucleus",945,8,"/997/8/343/1065/354/386/720/711/",1566278280,8690
"11",3,631473992,FALSE,0.277298927307129,9480,5150,5290,0.000322762420369153,0.000180544583447073,0.0105943943038137,58.6802112893046,0.000119759069677734,272697944,679,1007510720,541486784,5736724.5,97762.505859375,0.6633213104,"CS",84,"FFC395",6,FALSE,734881840,1,925,3,679,"Superior central nucleus raphe",NA,NA,1,1117,"Superior central nucleus raphe",926,8,"/997/8/343/1065/771/1117/679/",734395698,8690
"12",3,631473698,FALSE,0.457288354635239,6610,5490,8320,0.00636723318222593,0.00162709100312777,0.594642383861517,365.463506785074,0.00236252386957703,272697944,536,100722106368,1185299968,704829598.5625,1928590.91394043,1.4519924608,"CEA",66,"80C0E2",6,FALSE,734881840,1,595,3,536,"Central amygdalar nucleus",NA,NA,1,278,"Central amygdalar nucleus",596,8,"/997/8/567/623/477/278/536/",3284898075,8690
"13",2,631470231,FALSE,0.3879614174366,4060,4050,9300,0.00227113593747127,0.0104255061596632,3.80037832260132,364.526977539062,0.000842691434375,272697944,148,9894935552,65983500,250762256,687911.375,0.0808297875,"GU4",1008,"009C75",7,FALSE,734881840,1,110,3,148,"Gustatory areas, layer 4",NA,NA,1,1057,"Gustatory areas layer 4",111,11,"/997/8/567/688/695/315/1057/148/",4260247682,8690
"14",1,631472133,FALSE,0.547168910503387,7030,4750,5080,0.0108944397944176,0.00789572950452566,1.60354316234589,203.089935302734,0.0040423168625,272697944,685,10728162304,417928512,670166400,3299850.5,0.5119624272,"VM",368,"FF8084",7,FALSE,734881840,1,645,3,685,"Ventral medial nucleus of the thalamus",NA,NA,1,637,"Ventral medial nucleus of the thalamus",646,8,"/997/8/343/1129/549/864/637/685/",1314288168,8690
"15",3,631473243,FALSE,0.498074650764465,11610,5200,5690,0.000150087756713125,0.000206982984842291,0.0340945250204376,164.721390245752,5.56891663330078e-05,272697944,169,2647411328,219634208,7488324,45460.5439453125,0.2690519048,"PRP",445,"FFB3D9",7,FALSE,734881840,1,996,3,169,"Nucleus prepositus",NA,NA,1,154,"Nucleus prepositus",997,8,"/997/8/343/1065/354/370/154/169/",2889042614,8690
"16",3,631472990,FALSE,0.61549311876297,8790,2990,7630,0.0164750691824337,0.0027212950324951,0.713139150210803,262.058741038799,0.0061129760890625,272697944,10,85964087296,1833753600,1307721484,4990184.5625,2.24634816,"SCig",425,"FF90FF",6,FALSE,734881840,1,834,3,10,"Superior colliculus, motor related, intermediate gray layer",NA,NA,1,294,"Superior colliculus motor related intermediate gray layer",835,9,"/997/8/343/313/323/294/10/",4208210812,8690
"17",3,631473583,FALSE,0.028331097215414,6980,4660,1030,6.43707589420826e-07,4.54979348752347e-07,0.000165769621177601,364.345374426723,2.38843859100342e-07,272697944,427,23787529216,428535008,71038.0859375,194.974578857422,0.5249553848,"ECT2/3",1043,"0D9F91",7,FALSE,734881840,1,375,3,427,"Ectorhinal area/Layer 2/3",NA,NA,1,895,"Ectorhinal area/Layer 2/3",376,11,"/997/8/567/688/695/315/895/427/",993691642,8690
"18",1,631472920,FALSE,0.237248241901398,3670,4230,2120,0.000201474722960193,0.000691029476001859,0.191074624657631,276.507171630859,7.47559934570312e-05,272697944,36,7488321536,88310704,16873934,61025.30078125,0.1081806124,"GU1",994,"009C75",7,FALSE,734881840,1,108,3,36,"Gustatory areas, layer 1",NA,NA,1,1057,"Gustatory areas layer 1",109,11,"/997/8/567/688/695/315/1057/36/",2374290445,8690
"19",3,631473172,FALSE,0.137822762131691,6600,4900,10630,0.00010403449421089,8.29607456039412e-05,0.0246398752478871,297.006434410789,3.86013781494141e-05,272697944,120,37732218880,379834208,9359067.5,31511.3291015625,0.4652969048,"AIp1",863,"219866",8,FALSE,734881840,1,286,3,120,"Agranular insular area, posterior part, layer 1",NA,NA,1,111,"Agranular insular area posterior part layer 1",287,11,"/997/8/567/688/695/315/95/111/120/",3201384576,8690
"20",2,631470233,FALSE,0,0,0,0,0,0,0,0,0,272697944,606826647,1116576640,95696096,0,0,0.1172277176,"MMl",NA,"FF4C3E",8,FALSE,734881840,1,766,3,606826647,"Medial mammillary nucleus, lateral part",NA,NA,1,491,"Medial mammillary nucleus lateral part",767,9,"/997/8/343/1129/1097/467/331/491/606826647/",3428103955,8690
"21",3,631474072,FALSE,0.999398708343506,5700,4420,7670,0.169949141393847,0.00610754738492882,4.53927332992304,743.223595960025,0.0630586145765625,272697944,803,307814293504,8428329216,38258490026,51476420.0625,10.3247032896,"PAL",241,"8599CC",4,FALSE,734881840,1,608,3,803,"Pallidum",NA,NA,1,623,"Pallidum",609,5,"/997/8/567/623/803/",1451914672,8690
"22",2,631470271,FALSE,0,0,0,0,0,0,0,0,0,272697944,207,259841664,23752800,0,0,0.02909718,"AP",25,"FFA5D2",6,FALSE,734881840,1,937,3,207,"Area postrema",NA,NA,1,386,"Area postrema",938,8,"/997/8/343/1065/354/386/207/",265254740,8690
"23",3,631473406,FALSE,0,0,0,0,0,0,0,0,0,272697944,312782558,19419951104,139320000,0,0,0.170667,"VISa4",NA,"009FAC",8,FALSE,734881840,1,349,3,312782558,"Anterior area, layer 4",NA,NA,1,312782546,"Anterior area layer 4",350,11,"/997/8/567/688/695/315/22/312782546/312782558/",1895248491,8690
"24",3,631473739,FALSE,0,0,0,0,0,0,0,0,0,272697944,573,22606615552,161175600,0,0,0.19744011,"VISl4",637,"08858C",8,FALSE,734881840,1,181,3,573,"Lateral visual area, layer 4",NA,NA,1,409,"Lateral visual area layer 4",182,11,"/997/8/567/688/695/315/669/409/573/",1575254223,8690
"25",2,631470343,FALSE,0,0,0,0,0,0,0,0,0,272697944,304,16572244992,189279904,0,0,0.2318678824,"PL2/3",886,"2FA850",7,FALSE,734881840,1,241,3,304,"Prelimbic area, layer 2/3",NA,NA,1,972,"Prelimbic area layer 2/3",242,11,"/997/8/567/688/695/315/972/304/",612898740,8690
"26",3,631473766,FALSE,0.0716844573616982,8920,4720,5920,8.47168785465923e-06,3.42782598350373e-05,0.00311191310444118,90.7838705761943,3.14336921539307e-06,272697944,591,175720480,74858400,232952.8359375,2566.01568603516,0.09170154,"CLI",73,"FFA6FF",6,FALSE,734881840,1,880,3,591,"Central linear nucleus raphe",NA,NA,1,165,"Central linear nucleus raphe",881,8,"/997/8/343/313/348/165/591/",3351344971,8690
"27",2,631470447,FALSE,0,0,0,0,0,0,0,0,0,272697944,449,38470136,29116800,0,0,0.03566808,"vhc",480,"CCCCCC",6,FALSE,734881840,1,1255,3,449,"ventral hippocampal commissure",NA,NA,1,618,"ventral hippocampal commissure",1256,10,"/997/1009/991/768/1099/618/449/",1085412540,8690
"28",2,631470455,FALSE,0.424191176891327,7730,5790,7580,2.48351105545217e-05,2.66889173872187e-06,0.000716801907401532,268.576599121094,9.21491954345703e-06,272697944,463,278664675328,2818541824,2020336.125,7522.38330078125,3.4527137344,"CA3",57,"7ED04B",8,FALSE,734881840,1,467,3,463,"Field CA3",NA,NA,1,375,"Field CA3",468,9,"/997/8/567/688/695/1089/1080/375/463/",3396545448,8690
"29",1,631471269,FALSE,0.116713300347328,7370,4710,3990,1.32533113010379e-05,1.56901055402683e-06,0.000104989833574139,66.9146764530584,4.91756205615997e-06,272697944,290,30281075940,2558514576,268618.01953125,4014.33637237549,3.1341803556,"LZ",177,"F2483B",5,FALSE,734881840,1,793,3,290,"Hypothalamic lateral zone",NA,NA,1,1097,"Hypothalamic lateral zone",794,6,"/997/8/343/1129/1097/290/",3347032583,8690
