"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633283669,FALSE,0.254329144954681,7120,7320,9130,0.000325300154776524,0.000142529926961288,0.0380642488598824,267.061431884766,9.3624510546875e-05,112952510,788,62911643648,536225408,20411018,76428.171875,0.6568761248,"PAA",239,"59DAAB",6,FALSE,734881840,1,444,3,788,"Piriform-amygdalar area",NA,NA,1,698,"Piriform-amygdalar area",445,8,"/997/8/567/688/695/698/788/",1121206289,8690
"2",2,633283532,FALSE,0.914475440979004,7100,3540,6280,0.0134870039797664,0.0420088842511177,19.6909923553467,468.734008789062,0.00388168935,112952510,595,6257415680,75429904,1485289600,3168726,0.0924016324,"fr",498,"CCCCCC",5,FALSE,734881840,1,1286,3,595,"fasciculus retroflexus",NA,NA,1,1083,"fasciculus retroflexus",1287,9,"/997/1009/991/824/1083/595/",3233680072,8690
"3",2,633283366,FALSE,0.583624124526978,9600,4230,6240,0.0218577607046871,0.013326003216207,2.32157611846924,174.213989257812,0.006290873575,112952510,326,12074426048,385367392,894659776,5135407,0.4720750552,"scp",606,"CCCCCC",4,FALSE,734881840,1,1174,3,326,"superior cerebelar peduncles",NA,NA,1,752,"superior cerebelar peduncles",1175,8,"/997/1009/960/752/326/",1423960324,8690
"4",1,633284311,FALSE,0.516794145107269,6600,2560,1190,0.0127094145854573,0.00309175555594265,1.17182910442352,379.017364501953,0.00365789165,112952510,806,150743793664,965805312,1131758720,2986034,1.1831115072,"SSs2/3",949,"188064",8,FALSE,734881840,1,102,3,806,"Supplemental somatosensory area, layer 2/3",NA,NA,1,378,"Supplemental somatosensory area layer 2/3",103,11,"/997/8/567/688/695/315/453/378/806/",4288179668,8690
"5",1,633284385,FALSE,0.628120958805084,9620,6170,5570,0.0199745244195405,0.0156664829701185,2.36255788803101,150.803329467773,0.005748860075,112952510,697,11990363136,299553312,707712064,4692947,0.3669528072,"ml",511,"CCCCCC",5,FALSE,734881840,1,1159,3,697,"medial lemniscus",NA,NA,1,932,"medial lemniscus",1160,9,"/997/1009/967/792/932/697/",3519337805,8690
"6",1,633284579,FALSE,0.332489043474197,7720,1660,2750,0.00288093240980542,0.00147803710923009,0.469334747268199,317.539217613201,0.000829160032130813,112952510,417,69031277056,457948808,214931288.064453,676865.332351685,0.5609872898,"VISrl",759,"009FAC",7,FALSE,734881840,1,353,3,417,"Rostrolateral visual area",NA,NA,1,22,"Rostrolateral visual area",354,8,"/997/8/567/688/695/315/22/417/",1848950861,8690
"7",2,633284741,FALSE,0.272874921560287,9310,2670,9560,0.00165413078670381,0.00479095755144954,1.69087529182434,352.930541992188,0.0004760747359375,112952510,312782648,10743411712,81117904,137160256,388632.4375,0.0993694324,"VISpor6a",NA,"08858C",8,FALSE,734881840,1,218,3,312782648,"Postrhinal area, layer 6a",NA,NA,1,312782628,"Postrhinal area layer 6a",219,11,"/997/8/567/688/695/315/669/312782628/312782648/",1870039016,8690
"8",3,633286564,FALSE,0.654355823993683,1620,6490,5530,0.00155405459708944,9.77503674228533e-05,0.0142318195862744,145.593515006544,0.000447271846875,112952510,1016,280467218432,3735227648,53159086,365119.875,4.5756538688,"onl",692,"CCCCCC",4,FALSE,734881840,1,1106,3,1016,"olfactory nerve layer of main olfactory bulb",NA,NA,1,840,"olfactory nerve layer of main olfactory bulb",1107,9,"/997/1009/967/840/1016/",3450858286,8690
"9",2,633283602,FALSE,1,6420,4850,6830,0.491497957972588,0.276305109262466,354.281494140625,1282.21118164062,0.1414578354,112952510,685,222608113664,417928512,148064337920,115475784,0.5119624272,"VM",368,"FF8084",7,FALSE,734881840,1,645,3,685,"Ventral medial nucleus of the thalamus",NA,NA,1,637,"Ventral medial nucleus of the thalamus",646,8,"/997/8/343/1129/549/864/637/685/",1314288168,8690
"10",2,633283811,FALSE,0.583465218544006,8970,1560,7820,0.00179221946718571,0.000685317500028759,0.149349331855774,217.927200317383,0.00051581798515625,112952510,971,29216276480,614424576,91763896,421075.90625,0.7526701056,"fp",545,"CCCCCC",4,FALSE,734881840,1,1196,3,971,"corpus callosum, posterior forceps",NA,NA,1,776,"corpus callosum posterior forceps",1197,9,"/997/1009/983/776/971/",2598038340,8690
