"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,634000479,FALSE,0.429660886526108,6190,6540,7320,0.00814182310265131,0.00135075622195326,0.347684301614748,257.399740948059,0.00302098199375,147635309,403,166393266176,1825723776,634775496,2466107.75,2.2365116256,"MEA",191,"80C0E2",6,FALSE,734881840,1,600,3,403,"Medial amygdalar nucleus",NA,NA,1,278,"Medial amygdalar nucleus",601,8,"/997/8/567/623/477/278/403/",3783070713,8690
"2",1,633999740,FALSE,0.115857243537903,8300,5450,5220,5.56020993872932e-05,0.00117905694060028,0.102479584515095,86.9165725708008,2.063087578125e-05,147635309,673,95891720,14283900,1463808.125,16841.53125,0.0174977775,"mp",508,"CCCCCC",5,FALSE,734881840,1,1281,3,673,"mammillary peduncle",NA,NA,1,46,"mammillary peduncle",1282,9,"/997/1009/991/824/46/673/",4130265730,8690
"3",2,633998520,FALSE,0.588162481784821,7170,4420,5890,0.023323900875577,0.0889930054545403,29.2365264892578,328.526123046875,0.008654214625,147635309,59,11541790720,79384496,2320926976,7064665,0.0972460076,"IMD",148,"FF909F",7,FALSE,734881840,1,684,3,59,"Intermediodorsal nucleus of the thalamus",NA,NA,1,444,"Intermediodorsal nucleus of the thalamus",685,8,"/997/8/343/1129/549/856/444/59/",80523806,8690
"4",3,634001313,FALSE,0.625138759613037,9740,5840,7130,0.0262465075396567,0.006259949614627,0.742650146240197,118.635163533093,0.00973863294208717,147635309,948,21491042768,1269963008,943138213.61084,7949904.44252014,1.5557046848,"cVIIIn",542,"CCCCCC",4,FALSE,734881840,1,1136,3,948,"cochlear nerve",NA,NA,1,933,"cochlear nerve",1137,9,"/997/1009/967/933/948/",962095195,8690
"5",3,634001440,FALSE,0.426018565893173,8170,4110,3160,0.00127023907494479,0.000816579363918534,0.138469820009801,169.573009223896,0.000471315739089966,147635309,1014,30019932608,471169808,65242798.5078125,384747.542114258,0.5771830148,"GENv",126,"FF909F",6,FALSE,734881840,1,704,3,1014,"Geniculate group, ventral thalamus",NA,NA,1,856,"Geniculate group ventral thalamus",705,7,"/997/8/343/1129/549/856/1014/",401556039,8690
"6",1,633999593,FALSE,0.133794501423836,5190,5200,5580,8.08491972725355e-05,7.15927671990357e-05,0.0100313369184732,140.116622924805,2.99986828613281e-05,147635309,900,2607810816,342055808,3431277,24488.720703125,0.4190183648,"aco",536,"CCCCCC",4,FALSE,734881840,1,1111,3,900,"anterior commissure, olfactory limb",NA,NA,1,840,"anterior commissure olfactory limb",1112,9,"/997/1009/967/840/900/",1365430169,8690
"7",2,634000021,FALSE,0,0,0,0,0,0,0,0,0,147635309,312782608,25457485824,124375504,0,0,0.1523599924,"VISrl2/3",NA,"009FAC",8,FALSE,734881840,1,355,3,312782608,"Rostrolateral area, layer 2/3",NA,NA,1,417,"Rostrolateral area layer 2/3",356,11,"/997/8/567/688/695/315/22/417/312782608/",1695598268,8690
"8",3,634001173,FALSE,0.317864388227463,9350,3800,7830,0.00110907823239395,0.00833837016538588,1.32712780111002,159.159137191963,0.000411517829296875,147635309,874,1983753728,40287600,53466794,335932.921875,0.04935231,"PBG",250,"FF7AFF",5,FALSE,734881840,1,818,3,874,"Parabigeminal nucleus",NA,NA,1,339,"Parabigeminal nucleus",819,8,"/997/8/343/313/339/874/",1543308203,8690
"9",1,633999956,FALSE,0.338379383087158,4140,3980,5480,0.000310994623562267,0.00565816974267364,2.22474312782288,393.191284179688,0.00011539297109375,147635309,333,2248560896,16648200,37037968,94198.34375,0.020394045,"SH",324,"90CBED",6,FALSE,734881840,1,591,3,333,"Septohippocampal nucleus",NA,NA,1,275,"Septohippocampal nucleus",592,8,"/997/8/567/623/477/275/333/",2151592702,8690
"10",3,634001087,FALSE,0.575034439563751,7270,6650,5830,0.0506030452867048,0.0452861153146469,13.662156898191,301.685335632492,0.01877600221875,147635309,830,37735148544,338455808,4624036352,15327348.75,0.4146083648,"DMH",103,"FF5547",6,FALSE,734881840,1,739,3,830,"Dorsomedial nucleus of the hypothalamus",NA,NA,1,141,"Dorsomedial nucleus of the hypothalamus",740,8,"/997/8/343/1129/1097/141/830/",761673421,8690
