"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633459423,FALSE,0,0,0,0,0,0,0,0,0,120438416,919,66842648576,314517600,0,0,0.38528406,"ACAd6a",963,"40A666",8,FALSE,734881840,1,230,3,919,"Anterior cingulate area, dorsal part, layer 6a",NA,NA,1,39,"Anterior cingulate area dorsal part layer 6a",231,11,"/997/8/567/688/695/315/31/39/919/",3995874244,8690
"2",3,633463012,FALSE,0,0,0,0,0,0,0,0,0,120438416,976,353516716032,1202093952,0,0,1.4725650912,"CENT2",404,"FFFC91",6,FALSE,734881840,1,1025,3,976,"Lobule II",NA,NA,1,920,"Lobule II",1026,8,"/997/8/512/528/645/920/976/",3597550065,8690
"3",2,633457093,FALSE,0.342224925756454,12100,5900,5710,9.52300482169823e-05,0.000120077864266932,0.0169368330389261,141.048767089844,9.86923223876953e-06,120438416,62,2308849920,67094100,1136361.625,8056.51611328125,0.0821902725,"mlf",573,"CCCCCC",4,FALSE,734881840,1,1120,3,62,"medial longitudinal fascicle",NA,NA,1,832,"medial longitudinal fascicle",1121,9,"/997/1009/967/832/62/",2996842461,8690
"4",2,633457102,FALSE,0,0,0,0,0,0,0,0,0,120438416,72,11503263744,44788500,0,0,0.0548659125,"ADP",8,"FF5547",6,FALSE,734881840,1,735,3,72,"Anterodorsal preoptic nucleus",NA,NA,1,141,"Anterodorsal preoptic nucleus",736,8,"/997/8/343/1129/1097/141/72/",1069999127,8690
"5",2,633458714,FALSE,0,0,0,0,0,0,0,0,0,120438416,772,141955268608,451152000,0,0,0.5526612,"ACAv5",1086,"40A666",8,FALSE,734881840,1,235,3,772,"Anterior cingulate area, ventral part, layer 5",NA,NA,1,48,"Anterior cingulate area ventral part layer 5",236,11,"/997/8/567/688/695/315/31/48/772/",4291796796,8690
"6",1,633460404,FALSE,0,0,0,0,0,0,0,0,0,120438416,1070,178602803200,543617088,0,0,0.6659309328,"SSp-bfd5",982,"188064",9,FALSE,734881840,1,55,3,1070,"Primary somatosensory area, barrel field, layer 5",NA,NA,1,329,"Primary somatosensory area barrel field layer 5",56,11,"/997/8/567/688/695/315/453/322/329/1070/",3120758187,8690
"7",2,633457903,FALSE,0.228201478719711,4600,1600,8580,0.000130810027383397,6.52412723111676e-06,0.00169559384367399,259.895888539217,1.35565881103516e-05,120438416,369,450735011328,1696257928,2876164.5,11066.6025390625,2.0779159618,"SSp-ul",753,"188064",8,FALSE,734881840,1,79,3,369,"Primary somatosensory area, upper limb",NA,NA,1,322,"Primary somatosensory area upper limb",80,9,"/997/8/567/688/695/315/453/322/369/",3184285306,8690
"8",2,633458807,FALSE,0.197264432907104,9140,3520,8270,0.000970971818479295,9.86478959024216e-06,0.00282966629400415,286.845073391443,0.000100627339304063,120438416,822,1657630447616,8327067296,23562821.6553955,82144.7667788267,10.2006574376,"RHP",385,"32B825",6,FALSE,734881840,1,492,3,822,"Retrohippocampal region",NA,NA,1,1089,"Retrohippocampal region",493,6,"/997/8/567/688/695/1089/822/",3032553410,8690
"9",3,633462858,FALSE,0.0106651475653052,8420,2080,4480,1.59328690707382e-06,1.29915727930419e-07,3.51949751478744e-05,270.906192102656,1.65121396064758e-07,120438416,842,258661392384,1037541632,36516.251953125,134.792976379395,1.2709884992,"SCsg",812,"FF7AFF",6,FALSE,734881840,1,810,3,842,"Superior colliculus, superficial gray layer",NA,NA,1,302,"Superior colliculus superficial gray layer",811,9,"/997/8/343/313/339/302/842/",2271559886,8690
"10",2,633457497,FALSE,0.439355343580246,10430,4150,6330,0.000223150560821242,0.000206179538508877,0.0982780903577805,476.662689208984,2.31263634765625e-05,120438416,162,15494374400,91564200,8998755,18878.6640625,0.112166145,"LDT",161,"FFC395",6,FALSE,734881840,1,929,3,162,"Laterodorsal tegmental nucleus",NA,NA,1,1117,"Laterodorsal tegmental nucleus",930,8,"/997/8/343/1065/771/1117/162/",1067465072,8690
"11",1,633459593,FALSE,0,0,0,0,0,0,0,0,0,120438416,298,23220191232,163924192,0,0,0.2008071352,"MA",178,"A2B1D8",6,FALSE,734881840,1,614,3,298,"Magnocellular nucleus",NA,NA,1,835,"Magnocellular nucleus",615,8,"/997/8/567/623/803/835/298/",1799914489,8690
"12",3,633463254,FALSE,0.0835496857762337,8480,5640,5410,3.7329099379633e-05,0.000109902244921951,0.0275742925923606,250.898356188656,3.86862716064453e-06,120438416,607344850,7258690560,28735200,792352.8125,3158.06298828125,0.03520062,"IPI",NA,"FFA6FF",7,FALSE,734881840,1,875,3,607344850,"Interpeduncular nucleus, intermediate",NA,NA,1,100,"Interpeduncular nucleus intermediate",876,9,"/997/8/343/313/348/165/100/607344850/",1366249262,8690
"13",2,633459459,FALSE,0,0,0,0,0,0,0,0,0,120438416,266,54341267456,273256192,0,0,0.3347388352,"LSv",174,"90CBED",7,FALSE,734881840,1,589,3,266,"Lateral septal nucleus, ventral part",NA,NA,1,242,"Lateral septal nucleus ventral part",590,9,"/997/8/567/623/477/275/242/266/",1660459064,8690
"14",3,633462782,FALSE,0.617769360542297,11810,5010,7390,0.000447427046788974,0.000737194567748136,0.337525181705579,457.850880177531,4.63694129882812e-05,120438416,765,7302490112,51346800,17330838,37852.58203125,0.06289983,"x",378,"FFB3D9",6,FALSE,734881840,1,1006,3,765,"Nucleus x",NA,NA,1,370,"Nucleus x",1007,8,"/997/8/343/1065/354/370/765/",1096772000,8690
"15",1,633460995,FALSE,0.137453839182854,2310,3800,5580,0.000370243565171684,1.17891187294223e-05,0.0033299182655876,282.456928462097,3.83704492227457e-05,120438416,714,652008029568,2656925968,8847346.31115723,31322.8156920373,3.2547343108,"ORB",230,"248A5E",6,FALSE,734881840,1,252,3,714,"Orbital area",NA,NA,1,315,"Orbital area",253,8,"/997/8/567/688/695/315/714/",4148313092,8690
