"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,630003228,FALSE,0.598546802997589,7050,3160,7220,0.0337725958862697,0.00236689071630946,1.63946065972493,692.664282481631,0.00563326202575688,174781014,239,601668493312,1942878568,3185272978.8587,4598581.24551582,2.3800262458,"ATN",29,"FF909F",6,FALSE,734881840,1,674,3,239,"Anterior group of the dorsal thalamus",NA,NA,1,856,"Anterior group of the dorsal thalamus",675,7,"/997/8/343/1129/549/856/239/",3414692864,8690
"2",1,630002098,FALSE,0.0132518354803324,9850,1960,1810,2.46533211680548e-06,3.84938130082446e-06,0.000225569950998761,58.5990104675293,4.11216888427734e-07,174781014,750,14896125952,87205504,19670.94140625,335.687255859375,0.1068267424,"VISpl1",942,"08858C",8,FALSE,734881840,1,193,3,750,"Posterolateral visual area, layer 1",NA,NA,1,425,"Posterolateral visual area layer 1",194,11,"/997/8/567/688/695/315/669/425/750/",3976061451,8690
"3",3,630003320,FALSE,0.261066555976868,6320,5580,9020,0.00189204635125205,0.000371944349444431,0.229264372716419,616.394288712462,0.000315592941015625,174781014,303,198643802112,692649024,158799744,257626.890625,0.8484950544,"BLAa",37,"9DE79C",6,FALSE,734881840,1,563,3,303,"Basolateral amygdalar nucleus, anterior part",NA,NA,1,295,"Basolateral amygdalar nucleus anterior part",564,9,"/997/8/567/688/703/295/303/",2570788319,8690
"4",3,630003018,FALSE,0,0,0,0,0,0,0,0,0,174781014,115,1557043456,6532200,0,0,0.008001945,"IV",155,"FF90FF",5,FALSE,734881840,1,857,3,115,"Trochlear nucleus",NA,NA,1,323,"Trochlear nucleus",858,8,"/997/8/343/313/323/115/",4115476116,8690
"5",3,630003147,FALSE,0.0226611066609621,8580,4550,5620,1.90175107180392e-05,5.16887666135079e-05,0.00551527168966178,106.701553374277,3.17211686401367e-06,174781014,197,4580366336,50097600,276301.875,2589.48315429688,0.06136956,"RL",307,"FFA6FF",6,FALSE,734881840,1,879,3,197,"Rostral linear nucleus raphe",NA,NA,1,165,"Rostral linear nucleus raphe",880,8,"/997/8/343/313/348/165/197/",4030987523,8690
"6",1,630001262,FALSE,0.33586385846138,8460,5740,5630,0.000102194424876885,0.000451620639069006,0.144668027758598,320.330871582031,1.7046008984375e-05,174781014,607344838,7749892096,30811500,4457439,13915.109375,0.0377440875,"IPC",NA,"FFA6FF",7,FALSE,734881840,1,872,3,607344838,"Interpeduncular nucleus, caudal",NA,NA,1,100,"Interpeduncular nucleus caudal",873,9,"/997/8/343/313/348/165/100/607344838/",3381879533,8690
"7",3,630003546,FALSE,0.580083250999451,7680,480,7410,0.0858541186390507,0.0163887938011492,7.40623056661679,451.908215850362,0.0143204492752899,174781014,394,155410874752,713302200,5282880556.875,11690162.6737061,0.873795195,"VISam",756,"08858C",7,FALSE,734881840,1,171,3,394,"Anteromedial visual area",NA,NA,1,669,"Anteromedial visual area",172,8,"/997/8/567/688/695/315/669/394/",1045871632,8690
"8",3,630004033,FALSE,0.453222781419754,4800,6580,2720,0.0155024966493055,0.000425510980130522,0.0558503196869047,131.254708561864,0.00258581324257812,174781014,840,344559777536,4960783744,277061358,2110867.953125,6.0769600864,"In",670,"CCCCCC",3,FALSE,734881840,1,1105,3,840,"olfactory nerve",NA,NA,1,967,"olfactory nerve",1106,8,"/997/1009/967/840/",1727601264,8690
"9",1,630002763,FALSE,0.197118490934372,6610,2810,4390,9.09285882134174e-05,1.27451281514881e-05,0.00507050571039972,397.838738860205,1.51668697533131e-05,174781014,239,296704644608,971439284,4925688.43682861,12381.1181659698,1.1900131229,"ATN",29,"FF909F",6,FALSE,734881840,1,674,3,239,"Anterior group of the dorsal thalamus",NA,NA,1,856,"Anterior group of the dorsal thalamus",675,7,"/997/8/343/1129/549/856/239/",3414692864,8690
"10",2,630001191,FALSE,0.00292685511521995,4960,4130,6620,6.42336592495435e-08,1.03278470220403e-08,3.80554752155149e-06,368.474426269531,1.07141611099243e-08,174781014,258,180264206336,846861312,3222.77099609375,8.74625396728516,1.0374051072,"LSr",173,"90CBED",7,FALSE,734881840,1,588,3,258,"Lateral septal nucleus, rostral (rostroventral) part",NA,NA,1,242,"Lateral septal nucleus rostral (rostroventral) part",589,9,"/997/8/567/623/477/275/242/258/",2666394691,8690
