"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633234207,FALSE,0,0,0,0,0,0,0,0,0,125801739,249,13623515136,35722800,0,0,0.04376043,"AUDpo6a",455,"019399",8,FALSE,734881840,1,148,3,249,"Posterior auditory area, layer 6a",NA,NA,1,1027,"Posterior auditory area layer 6a",149,11,"/997/8/567/688/695/315/247/1027/249/",2585833835,8690
"2",1,633234378,FALSE,0,0,0,0,0,0,0,0,0,125801739,4,717463519232,2000504736,0,0,2.4506183016,"IC",141,"FF7AFF",5,FALSE,734881840,1,812,3,4,"Inferior colliculus",NA,NA,1,339,"Inferior colliculus",813,8,"/997/8/343/313/339/4/",3456805092,8690
"3",1,633233544,FALSE,0,0,0,0,0,0,0,0,0,125801739,549009223,6942178816,31818600,0,0,0.038977785,"PC5",NA,"FFBA86",6,FALSE,734881840,1,922,3,549009223,"Parvicellular motor 5 nucleus",NA,NA,1,987,"Parvicellular motor 5 nucleus",923,8,"/997/8/343/1065/771/987/549009223/",2234903594,8690
"4",2,633233456,FALSE,0,0,0,0,0,0,0,0,0,125801739,1096,43800944640,109921504,0,0,0.1346538424,"AMd",419,"FF909F",8,FALSE,734881840,1,677,3,1096,"Anteromedial nucleus, dorsal part",NA,NA,1,127,"Anteromedial nucleus dorsal part",678,9,"/997/8/343/1129/549/856/239/127/1096/",2125395068,8690
"5",3,633234552,FALSE,0.264580100774765,7610,2870,10720,0.00152274966190571,4.07933004383743e-05,0.014791943771218,362.607183342862,0.000260594066874313,125801739,247,1835512370816,5214823224,77137371.90625,212729.850509644,6.3881584494,"AUD",30,"019399",6,FALSE,734881840,1,121,3,247,"Auditory areas",NA,NA,1,315,"Auditory areas",122,6,"/997/8/567/688/695/315/247/",3638065128,8690
"6",1,633233819,FALSE,0,0,0,0,0,0,0,0,0,125801739,847,131450191872,321251392,0,0,0.3935329552,"AUDp5",954,"019399",8,FALSE,734881840,1,140,3,847,"Primary auditory area, layer 5",NA,NA,1,1002,"Primary auditory area layer 5",141,11,"/997/8/567/688/695/315/247/1002/847/",321552735,8690
"7",1,633233738,FALSE,0,0,0,0,0,0,0,0,0,125801739,952,276308295680,818901888,0,0,1.0031548128,"EPd",118,"A0EE9D",6,FALSE,734881840,1,559,3,952,"Endopiriform nucleus, dorsal part",NA,NA,1,942,"Endopiriform nucleus dorsal part",560,9,"/997/8/567/688/703/942/952/",1669532679,8690
"8",2,633233264,FALSE,0.143931940197945,4710,4170,10090,8.97104290971195e-05,2.24950636038557e-05,0.01197399944067,532.294555664062,1.53524943359375e-05,125801739,873,126417559552,557128832,6671060.5,12532.6484375,0.6824828192,"SSs1",1099,"188064",8,FALSE,734881840,1,101,3,873,"Supplemental somatosensory area, layer 1",NA,NA,1,378,"Supplemental somatosensory area layer 1",102,11,"/997/8/567/688/695/315/453/378/873/",697782769,8690
"9",3,633234926,FALSE,0.152410924434662,4810,6870,6330,0.00015983499572763,1.64202283323316e-05,0.0102033634419648,621.389863493817,2.73531839195251e-05,125801739,826,319249133568,1359855008,13875094.875,22329.1297302246,1.6658223848,"PALm",244,"96A7D3",5,FALSE,734881840,1,615,3,826,"Pallidum, medial region",NA,NA,1,803,"Pallidum medial region",616,6,"/997/8/567/623/803/826/",13293402,8690
"10",2,633233214,FALSE,0.233508765697479,4400,6820,6180,0.000751148959006358,2.49008680839324e-05,0.0115866791456938,465.312286376953,0.000128547040234375,125801739,803,1047247417792,4214164736,48828176,104936.359375,5.1623518016,"PAL",241,"8599CC",4,FALSE,734881840,1,608,3,803,"Pallidum",NA,NA,1,623,"Pallidum",609,5,"/997/8/567/623/803/",1451914672,8690
