"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631673728,FALSE,0,0,0,0,0,0,0,0,0,272916915,164,5158716,194400,0,0,0.00023814,"c",727,"AAAAAA",2,FALSE,734881840,1,1303,3,164,"central canal, spinal cord/medulla",NA,NA,1,73,"central canal spinal cord/medulla",1304,8,"/997/73/164/",3758121442,8690
"2",2,631674359,FALSE,0.721973538398743,7250,3850,9760,0.137129447002944,0.00814326669154013,1.75240381615284,215.196662780721,0.0139260687900024,272916915,541,143666732032,1396026908,2446402881.03125,11368219.4204102,1.7101329623,"TEa",350,"15B0B3",6,FALSE,734881840,1,360,3,541,"Temporal association areas",NA,NA,1,315,"Temporal association areas",361,6,"/997/8/567/688/695/315/541/",2291994334,8690
"3",1,631675830,FALSE,0.000280911946902052,12610,5480,5490,3.48822929212924e-09,3.68910546555412e-09,6.10102972586901e-07,165.379653930664,3.54244271665811e-10,272916915,839,7009021440,78387296,47.8243217468262,0.289178997278214,0.0960244376,"DMX",104,"FFB3D9",6,FALSE,734881840,1,973,3,839,"Dorsal motor nucleus of the vagus nerve",NA,NA,1,370,"Dorsal motor nucleus of the vagus nerve",974,8,"/997/8/343/1065/354/370/839/",1434245940,8690
"4",3,631677172,FALSE,0.43742173910141,5690,1440,6330,0.0489040964336758,0.00189453187588875,0.401681414726301,212.021460202599,0.00496641549960937,272916915,1021,246429581312,2139956992,859580952,4054216.734375,2.6214473152,"MOs6a",1117,"1F9D5A",8,FALSE,734881840,1,28,3,1021,"Secondary motor area, layer 6a",NA,NA,1,993,"Secondary motor area layer 6a",29,11,"/997/8/567/688/695/315/500/993/1021/",3489757563,8690
"5",3,631677222,FALSE,0.0468007735908031,7120,2960,9750,6.1414951791418e-06,2.58844742885309e-07,7.58720070607182e-05,293.117821188805,6.2369451789856e-07,272916915,1090,349266558976,1966964352,149237.533203125,509.138381958008,2.4095313312,"SSs5",1126,"188064",8,FALSE,734881840,1,104,3,1090,"Supplemental somatosensory area, layer 5",NA,NA,1,378,"Supplemental somatosensory area layer 5",105,11,"/997/8/567/688/695/315/453/378/1090/",788174312,8690
"6",3,631677194,FALSE,0.239360317587852,10840,5650,9100,0.00540826236480121,0.000372528189885949,0.0752795054190562,202.077339280293,0.000549231659375,272916915,1049,115713957888,1203539456,90601855,448352.375,1.4743358336,"FL",413,"FFFC91",5,FALSE,734881840,1,1092,3,1049,"Flocculus",NA,NA,1,1073,"Flocculus",1093,8,"/997/8/512/528/1073/1049/",1738627181,8690
"7",1,631676358,FALSE,0.39238029718399,2770,4670,3720,0.00106940414135269,0.000113562291980388,0.063431598684446,558.562156313298,0.000108602462580276,272916915,119,90242311240,780673496,49519367.9018555,88655.0714941025,0.9563250326,"AIv",14,"219866",7,FALSE,734881840,1,291,3,119,"Agranular insular area, ventral part",NA,NA,1,95,"Agranular insular area ventral part",292,9,"/997/8/567/688/695/315/95/119/",4204343095,8690
"8",3,631676553,FALSE,0.0137677686288953,11240,5070,5710,8.45738440754665e-06,3.19225672923246e-06,0.000434977541175673,136.260200250328,8.58882753610611e-07,272916915,169,13569240576,219634208,95535.9477539062,701.128778457642,0.2690519048,"PRP",445,"FFB3D9",7,FALSE,734881840,1,996,3,169,"Nucleus prepositus",NA,NA,1,154,"Nucleus prepositus",997,8,"/997/8/343/1065/354/370/154/169/",2889042614,8690
"9",3,631676767,FALSE,1,8190,1060,7030,0.0544375725345459,0.179791578871381,108.920971215257,605.817980458235,0.0055283631375,272916915,469,6039069216,25101006,2734025952,4512949.5,0.03074873235,"VISpm6b",624,"08858C",8,FALSE,734881840,1,205,3,469,"posteromedial visual area, layer 6b",NA,NA,1,533,"posteromedial visual area layer 6b",206,11,"/997/8/567/688/695/315/669/533/469/",1015740806,8690
"10",2,631675155,FALSE,0.426329970359802,4350,4780,9690,0.00249900773230726,0.00100181566085666,0.142861947417259,142.60302734375,0.000253784685546875,272916915,996,13560303616,206795696,29543236,207171.171875,0.2533247276,"AId1",1114,"219866",8,FALSE,734881840,1,280,3,996,"Agranular insular area, dorsal part, layer 1",NA,NA,1,104,"Agranular insular area dorsal part layer 1",281,11,"/997/8/567/688/695/315/95/104/996/",633930990,8690
