"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633172440,FALSE,0,0,0,0,0,0,0,0,0,112460257,998,34234093568,192810592,0,0,0.2361929752,"FS",124,"80CDF8",6,FALSE,734881840,1,576,3,998,"Fundus of striatum",NA,NA,1,493,"Fundus of striatum",577,8,"/997/8/567/623/477/493/998/",663741194,8690
"2",1,633171956,FALSE,0,0,0,0,0,0,0,0,0,112460257,312782546,122886739968,647623808,0,0,0.7933391648,"VISa",NA,"009FAC",7,FALSE,734881840,1,346,3,312782546,"Anterior area",NA,NA,1,22,"Anterior area",347,8,"/997/8/567/688/695/315/22/312782546/",3402453642,8690
"3",1,633173179,FALSE,0,0,0,0,0,0,0,0,0,112460257,372,1086205824,24060600,0,0,0.029474235,"ICB",470,"FFB3D9",6,FALSE,734881840,1,976,3,372,"Infracerebellar nucleus",NA,NA,1,370,"Infracerebellar nucleus",977,8,"/997/8/343/1065/354/370/372/",7302009,8690
"4",2,633172520,FALSE,0.0578914247453213,8240,2410,7170,0.000206537286459367,2.65486778531201e-06,0.000572319920957577,215.573793965908,3.04425292816162e-06,112460257,1100,193868257280,936055816,535723.390625,2485.10443115234,1.1466683746,"PRT",278,"FF90FF",5,FALSE,734881840,1,843,3,1100,"Pretectal region",NA,NA,1,323,"Pretectal region",844,8,"/997/8/343/313/323/1100/",3274676419,8690
"5",3,633174189,FALSE,0,0,0,0,0,0,0,0,0,112460257,1077,27089267712,136191600,0,0,0.16683471,"PR",275,"FF909F",7,FALSE,734881840,1,690,3,1077,"Perireunensis nucleus",NA,NA,1,444,"Perireunensis nucleus",691,8,"/997/8/343/1129/549/856/444/1077/",985229058,8690
"6",3,633174024,FALSE,0.194577723741531,9160,830,5220,0.00134378090592044,4.72844909818203e-06,0.00122149969811379,258.329882113657,1.98066365051269e-05,112460257,879,533304655192.758,3419447376,4176853.9375,16168.6828613281,4.1888230356,"RSPd",392,"1AA698",7,FALSE,734881840,1,325,3,879,"Retrosplenial area, dorsal part",NA,NA,1,254,"Retrosplenial area dorsal part",326,9,"/997/8/567/688/695/315/254/879/",1698653345,8690
"7",2,633172120,FALSE,0,0,0,0,0,0,0,0,0,112460257,573,17000879104,80587800,0,0,0.098720055,"VISl4",637,"08858C",8,FALSE,734881840,1,181,3,573,"Lateral visual area, layer 4",NA,NA,1,409,"Lateral visual area layer 4",182,11,"/997/8/567/688/695/315/669/409/573/",1575254223,8690
"8",3,633173846,FALSE,0.16887578368187,7170,6590,7020,0.000273129563776253,6.97897049482707e-06,0.00178702474548965,256.058504161068,4.02578870162964e-06,112460257,614,55830718464,470894400,841499.9453125,3286.3581237793,0.57684564,"TU",359,"F2483B",6,FALSE,734881840,1,801,3,614,"Tuberal nucleus",NA,NA,1,290,"Tuberal nucleus",802,8,"/997/8/343/1129/1097/290/614/",1119024411,8690
"9",2,633172542,FALSE,0.430116653442383,9830,5890,7580,0.00307252388055136,2.13377916699832e-05,0.00696730845417196,326.524345252333,4.52874150743484e-05,112460257,1132,147296203264,1732574720,12071382.4941406,36969.3184280396,2.122404032,"P-sen",282,"FFAE6F",5,FALSE,734881840,1,884,3,1132,"Pons, sensory related",NA,NA,1,771,"Pons sensory related",885,6,"/997/8/343/1065/771/1132/",4249678601,8690
"10",3,633173448,FALSE,0.167901068925858,9300,2300,7570,0.00189025327196296,1.24029557971965e-05,0.00248635265119589,200.464525702646,2.78613569335937e-05,112460257,10,425250521088,1833753600,4559358.125,22743.96484375,2.24634816,"SCig",425,"FF90FF",6,FALSE,734881840,1,834,3,10,"Superior colliculus, motor related, intermediate gray layer",NA,NA,1,294,"Superior colliculus motor related intermediate gray layer",835,9,"/997/8/343/313/323/294/10/",4208210812,8690
