"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,632586945,FALSE,1,13160,7080,5700,0.162773929422645,0.004087143111974,3.201993227005,783.430603027344,0.0697659648,112791318,354,1579285906528,13934380032,44617789440,56951808,17.0696155392,"MY",185,"FF9BCD",4,FALSE,734881840,1,935,3,354,"Medulla",NA,NA,1,1065,"Medulla",936,5,"/997/8/343/1065/354/",1659540268,8690
"2",2,632587372,FALSE,0.479795694351196,3480,5320,5860,0.0125338749000368,0.000209295016247779,0.102141968905926,488.028656005859,0.0053721003,112791318,698,4033870996480,20953141248,2140195072,4385388,25.6675980288,"OLF",228,"9AD2BD",5,FALSE,734881840,1,379,3,698,"Olfactory areas",NA,NA,1,695,"Olfactory areas",380,5,"/997/8/567/688/695/698/",1234982955,8690
"3",2,632588311,FALSE,0.468391835689545,8870,2320,9300,0.001534168555293,0.00242405361947375,1.02339866236119,422.184828808927,0.000657554620727539,112791318,312782574,44556911616,221438700,226620069.375,536779.282226562,0.2712624075,"VISli",NA,"08858C",7,FALSE,734881840,1,206,3,312782574,"Laterointermediate area",NA,NA,1,669,"Laterointermediate area",207,8,"/997/8/567/688/695/315/669/312782574/",2157470672,8690
"4",1,632589366,FALSE,0.9627605676651,13140,5480,5320,0.0993690631863722,0.00973907381737058,5.37670609788827,552.075710556623,0.0425902267584196,112791318,386,505870243584,3569901276,19194309959.5283,34767532.0476894,4.3731290631,"MY-sen",189,"FFA5D2",5,FALSE,734881840,1,936,3,386,"Medulla, sensory related",NA,NA,1,354,"Medulla sensory related",937,6,"/997/8/343/1065/354/386/",846467907,8690
"5",3,632589857,FALSE,0.418172389268875,10800,4980,6000,0.000851156487620497,0.0190607441376248,11.6142997951869,609.330869315901,0.000364811206347656,112791318,318,3463234432,15624000,181461820,297805.06640625,0.0191394,"SG",322,"FFBA86",6,FALSE,734881840,1,915,3,318,"Supragenual nucleus",NA,NA,1,987,"Supragenual nucleus",916,8,"/997/8/343/1065/771/987/318/",4273181680,8690
"6",3,632589725,FALSE,0,0,0,0,0,0,0,0,0,112791318,133,18738143232,132883200,0,0,0.16278192,"PVpo",299,"FF5547",6,FALSE,734881840,1,750,3,133,"Periventricular hypothalamic nucleus, preoptic part",NA,NA,1,141,"Periventricular hypothalamic nucleus preoptic part",751,8,"/997/8/343/1129/1097/141/133/",2330540908,8690
"7",3,632590078,FALSE,0.375285029411316,8380,2010,9080,0.00170208227302842,0.029739296582397,11.9908857927591,403.200047436784,0.000729523532226562,112791318,649,3189123072,20025000,240117488,595529.4140625,0.024530625,"VISal6b",1071,"08858C",8,FALSE,734881840,1,170,3,649,"Anterolateral visual area, layer 6b",NA,NA,1,402,"Anterolateral visual area layer 6b",171,11,"/997/8/567/688/695/315/669/402/649/",2101231160,8690
"8",2,632587310,FALSE,0.555796802043915,5650,4760,9360,0.00038665485401196,0.00764108635485172,3.18533968925476,416.870025634766,0.00016572278515625,112791318,662,3238116352,17704800,56395804,135283.90625,0.02168838,"GU6b",648,"009C75",7,FALSE,734881840,1,113,3,662,"Gustatory areas, layer 6b",NA,NA,1,1057,"Gustatory areas layer 6b",114,11,"/997/8/567/688/695/315/1057/662/",1086554447,8690
"9",3,632590189,FALSE,0.362104803323746,7330,3080,10360,0.00114393555897599,0.0018930000187695,1.31493108222519,694.628140088412,0.000490298220507812,112791318,816,61484605440,211433408,278020360,400243.4453125,0.2590059248,"AUDp4",950,"019399",8,FALSE,734881840,1,139,3,816,"Primary auditory area, layer 4",NA,NA,1,1002,"Primary auditory area layer 4",140,11,"/997/8/567/688/695/315/247/1002/816/",1680716233,8690
"10",1,632589050,FALSE,0.220300629734993,540,3300,5590,8.43998433444927e-05,3.98573592974572e-06,0.000997969415038824,250.385223388672,3.61743217773437e-05,112791318,507,1441783087104,7408934912,7393890.5,29530.05859375,9.0759452672,"MOB",204,"9AD2BD",6,FALSE,734881840,1,380,3,507,"Main olfactory bulb",NA,NA,1,698,"Main olfactory bulb",381,8,"/997/8/567/688/695/698/507/",2457606556,8690
"11",2,632587077,FALSE,1,6220,2590,8220,2.41982446182952,0.0418456569314003,73.8346176147461,1764.451171875,1.0371525024,112791318,477,6152986593792,20232806400,1493881585664,846655104,24.78518784,"STR",342,"98D6F9",4,FALSE,734881840,1,571,3,477,"Striatum",NA,NA,1,623,"Striatum",572,5,"/997/8/567/623/477/",3310200382,8690
"12",3,632590141,FALSE,0,0,0,0,0,0,0,0,0,112791318,737,24869010176,250153192,0,0,0.3064376602,"fxpo",516,"CCCCCC",5,FALSE,734881840,1,1250,3,737,"postcommissural fornix",NA,NA,1,1099,"postcommissural fornix",1251,9,"/997/1009/991/768/1099/737/",267891942,8690
"13",2,632588349,FALSE,0.112100601196289,8110,1670,7180,7.76200421596169e-06,4.54429300589254e-06,0.00137642992194742,302.891967773438,3.32684548950195e-06,112791318,484682470,146452103168,597627008,822591.6875,2715.79223632812,0.7320930848,"ProS",NA,"58BA48",7,FALSE,734881840,1,544,3,484682470,"Prosubiculum",NA,NA,1,822,"Prosubiculum",545,8,"/997/8/567/688/695/1089/822/484682470/",2109060151,8690
"14",3,632590076,FALSE,0.173829972743988,7630,7180,8450,8.11517144440789e-05,1.26311172510039e-05,0.00322605373059266,255.405255646427,3.47821526054382e-05,112791318,647,364849274880,2247908352,7251873.125,28393.593963623,2.7536877312,"COAp",80,"61E7B7",7,FALSE,734881840,1,431,3,647,"Cortical amygdalar area, posterior part",NA,NA,1,631,"Cortical amygdalar area posterior part",432,9,"/997/8/567/688/695/698/631/647/",713144098,8690
"15",1,632588958,FALSE,0,0,0,0,0,0,0,0,0,112791318,496345672,8377566208,43132500,0,0,0.0528373125,"LGd-ip",NA,"FF8084",8,FALSE,734881840,1,665,3,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",NA,NA,1,170,"Dorsal part of the lateral geniculate complex ipsilateral zone",666,9,"/997/8/343/1129/549/864/1008/170/496345672/",1161910872,8690
"16",3,632589960,FALSE,0.980138778686523,8090,5550,7740,0.00329646238368621,0.00020460503329753,0.331013658217051,1617.8177676387,0.0014128852171875,112791318,463,1465515442176,5637083648,1865951680,1153375.6875,6.9054274688,"CA3",57,"7ED04B",8,FALSE,734881840,1,467,3,463,"Field CA3",NA,NA,1,375,"Field CA3",468,9,"/997/8/567/688/695/1089/1080/375/463/",3396545448,8690
"17",2,632586730,FALSE,0.127179563045502,5620,6250,7180,9.30570655637768e-06,1.29208201542497e-05,0.00466062827035785,360.706848144531,3.98848635253906e-06,112791318,226,42159239168,251989200,1174428,3255.9072265625,0.30868677,"LPO",169,"F2483B",6,FALSE,734881840,1,795,3,226,"Lateral preoptic area",NA,NA,1,290,"Lateral preoptic area",796,8,"/997/8/343/1129/1097/290/226/",3138944663,8690
"18",1,632588893,FALSE,0.715484917163849,4560,3620,3350,0.251592941015428,0.0036007752458111,2.12761852805973,590.877903455614,0.107834370829958,112791318,623,5222104903808,24446973724,52013834250.1719,88028057.8203735,29.9475428119,"CNU",77,"98D6F9",3,FALSE,734881840,1,570,3,623,"Cerebral nuclei",NA,NA,1,567,"Cerebral nuclei",571,3,"/997/8/567/623/",3504435073,8690
"19",2,632587052,FALSE,0.111219242215157,7180,6520,9220,1.81958652739624e-05,3.37300625687931e-05,0.0155659858137369,461.486999511719,7.79886619873047e-06,112791318,451,36711772160,188746208,2938020.75,6366.42138671875,0.2312141048,"BLAv",763,"9DE79C",6,FALSE,734881840,1,565,3,451,"Basolateral amygdalar nucleus, ventral part",NA,NA,1,295,"Basolateral amygdalar nucleus ventral part",566,9,"/997/8/567/688/703/295/451/",1149064021,8690
"20",2,632587640,FALSE,0,0,0,0,0,0,0,0,0,112791318,914,1383591680,5249700,0,0,0.0064308825,"PD",255,"FF5547",6,FALSE,734881840,1,746,3,914,"Posterodorsal preoptic nucleus",NA,NA,1,141,"Posterodorsal preoptic nucleus",747,8,"/997/8/343/1129/1097/141/914/",2759126254,8690
"21",1,632588732,FALSE,0.372768968343735,5460,1370,4870,0.0024383705503559,0.000419158313889056,0.240432426333427,573.607666015625,0.0010451014765625,112791318,767,508776349696,2035374336,489369984,853144.0625,2.4933335616,"MOs5",944,"1F9D5A",8,FALSE,734881840,1,27,3,767,"Secondary motor area, layer 5",NA,NA,1,993,"Secondary motor area layer 5",28,11,"/997/8/567/688/695/315/500/993/767/",4144803096,8690
"22",2,632586513,FALSE,0.779384613037109,7180,1390,7980,0.199530694575215,0.0631458930102516,44.2938985963451,701.453356422627,0.085520153403125,112791318,22,319056526080,1105572616,48970121344,69812370.125,1.3543264546,"PTLp",285,"009FAC",6,FALSE,734881840,1,339,3,22,"Posterior parietal association areas",NA,NA,1,315,"Posterior parietal association areas",340,6,"/997/8/567/688/695/315/22/",4041380584,8690
"23",1,632589426,FALSE,0.382311195135117,8110,1460,3130,0.0013763352816436,0.00650642486289144,2.32177376747131,356.843231201172,0.000589906253125,112791318,305,11125969920,74012400,171840048,481556.125,0.09066519,"VISp6b",462,"08858C",8,FALSE,734881840,1,191,3,305,"Primary visual area, layer 6b",NA,NA,1,385,"Primary visual area layer 6b",192,11,"/997/8/567/688/695/315/669/385/305/",430767143,8690
"24",2,632588276,FALSE,0.10728581994772,9060,5150,5800,5.96762366927219e-06,0.000184798933332786,0.0662981793284416,358.758453369141,2.55776231689453e-06,112791318,607344842,2214446080,11298600,749076.625,2087.96923828125,0.013840785,"IPA",NA,"FFA6FF",7,FALSE,734881840,1,873,3,607344842,"Interpeduncular nucleus, apical",NA,NA,1,100,"Interpeduncular nucleus apical",874,9,"/997/8/343/313/348/165/100/607344842/",3327886198,8690
"25",2,632587221,FALSE,0.39631524682045,7580,4120,5810,0.000987124750856364,0.00578691344708204,3.08535265922546,533.160339355469,0.00042308808828125,112791318,609,9965662208,59682600,184141872,345378.03125,0.073111185,"SPA",783,"FF8084",6,FALSE,734881840,1,655,3,609,"Subparafascicular area",NA,NA,1,864,"Subparafascicular area",656,8,"/997/8/343/1129/549/864/609/",3168649413,8690
"26",2,632587019,FALSE,0.401196897029877,7400,4530,10330,0.0038621908316599,0.00630666967481375,2.83613324165344,449.703796386719,0.001655360109375,112791318,427,35662782464,214267504,607691200,1351314.375,0.2624776924,"ECT2/3",1043,"0D9F91",7,FALSE,734881840,1,375,3,427,"Ectorhinal area/Layer 2/3",NA,NA,1,895,"Ectorhinal area/Layer 2/3",376,11,"/997/8/567/688/695/315/895/427/",993691642,8690
"27",2,632588149,FALSE,0.00112545653246343,2300,3820,6570,5.43379799447311e-09,1.52362975569531e-08,6.3992456489359e-06,420.000030517578,2.328961160779e-09,112791318,204,19357698048,124780496,798.501037597656,1.90119278430939,0.1528561076,"AOBmi",732,"9DF0D2",7,FALSE,734881840,1,389,3,204,"Accessory olfactory bulb, mitral layer",NA,NA,1,151,"Accessory olfactory bulb mitral layer",390,11,"/997/8/567/688/695/698/151/204/",4294648998,8690
"28",1,632588428,FALSE,0.0285158101469278,3840,4430,3030,1.06288668578378e-06,5.47443448795093e-07,0.000271820434136316,496.527008056641,4.55560146331787e-07,112791318,1101,168541995008,679313728,184651.359375,371.885833740234,0.8321593168,"AId5",1127,"219866",8,FALSE,734881840,1,282,3,1101,"Agranular insular area, dorsal part, layer 5",NA,NA,1,104,"Agranular insular area dorsal part layer 5",283,11,"/997/8/567/688/695/315/95/104/1101/",581222647,8690
"29",1,632588559,FALSE,0.423480868339539,7070,3570,1060,0.00279105090861343,0.0101588405668736,6.79593515396118,668.967651367188,0.001196262571875,112791318,990,26778001408,96127200,653274240,976540.875,0.11775582,"AUDv4",972,"019399",8,FALSE,734881840,1,153,3,990,"Ventral auditory area, layer 4",NA,NA,1,1018,"Ventral auditory area layer 4",154,11,"/997/8/567/688/695/315/247/1018/990/",4034617125,8690
"30",2,632586823,FALSE,0.159027591347694,10600,4340,6530,4.31532736689753e-05,0.00215549417771399,0.882763028144836,409.540863037109,1.84957737548828e-05,112791318,280,1162774528,7004700,6183490,15098.5908203125,0.0085807575,"B",34,"FFBA86",6,FALSE,734881840,1,907,3,280,"Barrington's nucleus",NA,NA,1,987,"Barrington's nucleus",908,8,"/997/8/343/1065/771/987/280/",3614612098,8690
"31",2,632587053,FALSE,0,0,0,0,0,0,0,0,0,112791318,452,3423737856,18117000,0,0,0.022193325,"MEPO",197,"FF5547",6,FALSE,734881840,1,743,3,452,"Median preoptic nucleus",NA,NA,1,141,"Median preoptic nucleus",744,8,"/997/8/343/1129/1097/141/452/",1579277564,8690
"32",2,632587197,FALSE,0.489214986562729,7220,3520,6260,0.00190737319064251,0.00884738191962242,4.47065687179565,505.308441162109,0.0008175125546875,112791318,595,7244880384,75429904,337221216,667357.1875,0.0924016324,"fr",498,"CCCCCC",5,FALSE,734881840,1,1286,3,595,"fasciculus retroflexus",NA,NA,1,1083,"fasciculus retroflexus",1287,9,"/997/1009/991/824/1083/595/",3233680072,8690
"33",2,632586521,FALSE,0.810672104358673,3310,2440,6330,0.164348818474502,0.0230662920899006,16.7329596385781,725.429105526001,0.0704409724903931,112791318,31,641508012800,2492937940,41714229931.5,57502834.6860352,3.0538489765,"ACA",3,"40A666",6,FALSE,734881840,1,220,3,31,"Anterior cingulate area",NA,NA,1,315,"Anterior cingulate area",221,8,"/997/8/567/688/695/315/31/",758743580,8690
"34",3,632589839,FALSE,0.635343194007874,7080,730,7290,0.0163677244605838,0.0411052702411714,29.9219618719495,727.934926504372,0.00701531315625,112791318,312782558,40476512256,139320000,4168727728,5726786.25,0.170667,"VISa4",NA,"009FAC",8,FALSE,734881840,1,349,3,312782558,"Anterior area, layer 4",NA,NA,1,312782546,"Anterior area layer 4",350,11,"/997/8/567/688/695/315/22/312782546/312782558/",1895248491,8690
"35",3,632590372,FALSE,1,5940,790,8000,0.275602562903455,0.364403119737657,865.486402893512,2375.07956440274,0.118125050925,112791318,1030,282722158592,264620712,229025628160,96428613,0.3241603722,"SSp-ll1",977,"188064",9,FALSE,734881840,1,66,3,1030,"Primary somatosensory area, lower limb, layer 1",NA,NA,1,337,"Primary somatosensory area lower limb layer 1",67,11,"/997/8/567/688/695/315/453/322/337/1030/",1906118639,8690
"36",1,632588677,FALSE,0.398761779069901,8040,2460,1680,0.00179651948242529,0.00195663399063051,1.12805497646332,576.528381347656,0.000769999934375,112791318,847,90077339648,321251392,362389248,628571.375,0.3935329552,"AUDp5",954,"019399",8,FALSE,734881840,1,140,3,847,"Primary auditory area, layer 5",NA,NA,1,1002,"Primary auditory area layer 5",141,11,"/997/8/567/688/695/315/247/1002/847/",321552735,8690
