"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,633127620,FALSE,0.867246091365814,5280,4560,9910,0.274102377391191,0.0851080149508485,67.0666642719186,788.018194416247,0.0829618565125,112514915,1057,241425335808,795741324,53367716224,67723964.5,0.9747831219,"GU",131,"009C75",6,FALSE,734881840,1,107,3,1057,"Gustatory areas",NA,NA,1,315,"Gustatory areas",108,6,"/997/8/567/688/695/315/1057/",722362724,8690
"2",1,633129966,FALSE,0,0,0,0,0,0,0,0,0,112514915,296,56509689856,226023296,0,0,0.2768785376,"ACAv2/3",885,"40A666",8,FALSE,734881840,1,234,3,296,"Anterior cingulate area, ventral part, layer 2/3",NA,NA,1,48,"Anterior cingulate area ventral part layer 2/3",235,11,"/997/8/567/688/695/315/31/48/296/",4195964388,8690
"3",3,633133310,FALSE,0.655152976512909,3760,4180,7690,0.273384060461885,0.027510351766011,16.1356240140416,586.529178226547,0.0827444453882812,112514915,723,630158204928,2455311608,39617984944,67546486.03125,3.0077567198,"ORBl",231,"248A5E",7,FALSE,734881840,1,258,3,723,"Orbital area, lateral part",NA,NA,1,714,"Orbital area lateral part",259,9,"/997/8/567/688/695/315/714/723/",1366834321,8690
"4",3,633135493,FALSE,1,7830,3840,7570,0.0971364296832447,0.0953737674463866,120.846622583263,1267.08450152392,0.02940003154375,112514915,563807435,75745371136,251641792,30410060664,24000025.75,0.3082611952,"PoT",NA,"FF8084",7,FALSE,734881840,1,651,3,563807435,"Posterior triangular thalamic nucleus",NA,NA,1,637,"Posterior triangular thalamic nucleus",652,8,"/997/8/343/1129/549/864/637/563807435/",2408746103,8690
"5",3,633132379,FALSE,0.580675184726715,6190,1850,7190,0.00922448208983828,0.0508265302197067,20.5787383144223,404.881825012785,0.0027919500984375,112514915,510,6842800128,44841600,922783552,2279142.9375,0.05493096,"SSp-ll6b",629,"188064",9,FALSE,734881840,1,71,3,510,"Primary somatosensory area, lower limb, layer 6b",NA,NA,1,337,"Primary somatosensory area lower limb layer 6b",72,11,"/997/8/567/688/695/315/453/322/337/510/",238754776,8690
"6",2,633127627,FALSE,0.277567923069,8560,4250,5740,7.47970891404679e-05,0.00592609355226159,1.57706713676453,266.12255859375,2.26386412109375e-05,112514915,1060,186448080,3118500,4918084,18480.5234375,0.0038201625,"dtd",556,"CCCCCC",4,FALSE,734881840,1,1228,3,1060,"doral tegmental decussation",NA,NA,1,877,"doral tegmental decussation",1229,9,"/997/1009/1000/877/1060/",2067491806,8690
"7",2,633127785,FALSE,1,6910,4250,8190,0.167962483896192,0.0637166276574135,188.374633789062,2956.44384765625,0.0508367699,112514915,262,227546349568,651312000,122690658304,41499404,0.7978572,"RT",315,"FF909F",6,FALSE,734881840,1,703,3,262,"Reticular nucleus of the thalamus",NA,NA,1,856,"Reticular nucleus of the thalamus",704,8,"/997/8/343/1129/549/856/262/",2529312902,8690
"8",1,633126533,FALSE,0.382739990949631,9660,3230,1220,0.000932368648308576,0.00136888085398823,0.696816742420197,509.041198730469,0.000282197603515625,112514915,312782636,33475104768,168287392,117265472,230365.390625,0.2061520552,"VISpor2/3",NA,"08858C",8,FALSE,734881840,1,215,3,312782636,"Postrhinal area, layer 2/3",NA,NA,1,312782628,"Postrhinal area layer 2/3",216,11,"/997/8/567/688/695/315/669/312782628/312782636/",2862569473,8690
"9",1,633130547,FALSE,0.30532568693161,8440,1640,2770,0.0011616681143368,0.000595613848417997,0.31903749704361,535.644836425781,0.00035159907890625,112514915,33,105268289536,481888800,153740592,287019.65625,0.59031378,"VISp6a",428,"08858C",8,FALSE,734881840,1,190,3,33,"Primary visual area, layer 6a",NA,NA,1,385,"Primary visual area layer 6a",191,11,"/997/8/567/688/695/315/669/385/33/",2158341533,8690
"10",1,633129602,FALSE,0.265277177095413,7130,6550,2570,0.000951517468583017,0.00124556990340352,0.737653493881226,592.2216796875,0.00028799332734375,112514915,451,38906978304,188746208,139229296,235096.59375,0.2312141048,"BLAv",763,"9DE79C",6,FALSE,734881840,1,565,3,451,"Basolateral amygdalar nucleus, ventral part",NA,NA,1,295,"Basolateral amygdalar nucleus ventral part",566,9,"/997/8/567/688/703/295/451/",1149064021,8690
