"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",3,631740519,FALSE,0,0,0,0,0,0,0,0,0,273025872,643,25811886080,132251400,0,0,0.162007965,"AUDpo2/3",1070,"019399",8,FALSE,734881840,1,145,3,643,"Posterior auditory area, layer 2/3",NA,NA,1,1027,"Posterior auditory area layer 2/3",146,11,"/997/8/567/688/695/315/247/1027/643/",3738950829,8690
"2",2,631739002,FALSE,0.290650367736816,6450,1840,8020,0.00193163309401407,0.00217488594353199,0.768097996711731,353.1669921875,0.00035264859765625,273025872,182305709,18267006976,132363904,101668448,287876.40625,0.1621457824,"SSp-un6a",NA,"188064",9,FALSE,734881840,1,98,3,182305709,"Primary somatosensory area, unassigned, layer 6a",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 6a",99,11,"/997/8/567/688/695/315/453/322/182305689/182305709/",3257546540,8690
"3",3,631740957,FALSE,0.100987300276756,8460,5650,5420,8.50501955168294e-05,0.000227111174676877,0.0645033062597203,284.016435349307,1.55271890258789e-05,273025872,607344846,7683645440,55810800,3599981.125,12675.2563476562,0.06836823,"IPL",NA,"FFA6FF",7,FALSE,734881840,1,874,3,607344846,"Interpeduncular nucleus, lateral",NA,NA,1,100,"Interpeduncular nucleus lateral",875,9,"/997/8/343/313/348/165/100/607344846/",2418971137,8690
"4",1,631738753,FALSE,0.275044083595276,7110,3100,3230,0.000157622270212508,0.000124535814393312,0.0596765615046024,479.191955566406,2.87763099121094e-05,273025872,496345668,29766703104,188627392,11256634,23490.865234375,0.2310685552,"LGd-co",NA,"FF8084",8,FALSE,734881840,1,664,3,496345668,"Dorsal part of the lateral geniculate complex, core",NA,NA,1,170,"Dorsal part of the lateral geniculate complex core",665,9,"/997/8/343/1129/549/864/1008/170/496345668/",2339811100,8690
"5",3,631740175,FALSE,0.446027517318726,6720,3480,6910,0.0033548075811835,0.000546519927402742,0.262375504624009,480.084058180479,0.000612470449267578,273025872,155,185286606848,914835584,240030448,499975.876953125,1.1206735904,"LD",160,"FF909F",7,FALSE,734881840,1,682,3,155,"Lateral dorsal nucleus of thalamus",NA,NA,1,239,"Lateral dorsal nucleus of thalamus",683,8,"/997/8/343/1129/549/856/239/155/",3458000123,8690
"6",2,631738825,FALSE,0.0945707485079765,6270,2640,9330,5.87941235481405e-06,3.43193869412062e-06,0.00160874635912478,468.757293701172,1.07337492218018e-06,273025872,702,55731982336,255314704,410736.59375,876.224426269531,0.3127605124,"SSp-n5",653,"188064",9,FALSE,734881840,1,48,3,702,"Primary somatosensory area, nose, layer 5",NA,NA,1,353,"Primary somatosensory area nose layer 5",49,11,"/997/8/567/688/695/315/453/322/353/702/",4022406278,8690
"7",3,631740262,FALSE,0.205722391605377,9220,3920,7570,0.000461288470825656,0.000777936709937394,0.242749667843905,312.042952521729,8.42151301174998e-05,273025872,271,11648517120,88371000,21452030.8970337,68747.0449938774,0.108254475,"SAG",316,"FF7AFF",5,FALSE,734881840,1,817,3,271,"Nucleus sagulum",NA,NA,1,339,"Nucleus sagulum",818,8,"/997/8/343/313/339/271/",1209044118,8690
"8",3,631740632,FALSE,0.654443085193634,4400,5110,2530,0.0589265452864453,0.0135443107989855,4.36482873855933,322.262889809518,0.010757924796582,273025872,800,87167049728,648388800,2830106068,8781979.42578125,0.79427628,"AIv5",948,"219866",8,FALSE,734881840,1,294,3,800,"Agranular insular area, ventral part, layer 5",NA,NA,1,119,"Agranular insular area ventral part layer 5",295,11,"/997/8/567/688/695/315/95/119/800/",4051862023,8690
"9",2,631739017,FALSE,0,0,0,0,0,0,0,0,0,273025872,957,205888749568,986190272,0,0,1.2080830832,"UVU",402,"FFFC91",5,FALSE,734881840,1,1058,3,957,"Uvula (IX)",NA,NA,1,645,"Uvula (IX)",1059,8,"/997/8/512/528/645/957/",3218909973,8690
"10",3,631740360,FALSE,0.0072371494024992,7680,840,7850,1.95766480649652e-07,5.41570571547686e-07,0.000185903603951806,343.267551300906,3.57401077270508e-08,273025872,401,11466078208,53872200,10015.0361328125,29.1755981445312,0.065993445,"VISam4",1040,"08858C",8,FALSE,734881840,1,174,3,401,"Anteromedial visual area, layer 4",NA,NA,1,394,"Anteromedial visual area layer 4",175,11,"/997/8/567/688/695/315/669/394/401/",1463637765,8690
"11",2,631738888,FALSE,0.5429567694664,3660,4690,7900,0.0587353896903606,0.0270007476210594,8.57829570770264,317.705871582031,0.010723026475,273025872,800,45327400960,324194400,2781035520,8753491,0.39713814,"AIv5",948,"219866",8,FALSE,734881840,1,294,3,800,"Agranular insular area, ventral part, layer 5",NA,NA,1,119,"Agranular insular area ventral part layer 5",295,11,"/997/8/567/688/695/315/95/119/800/",4051862023,8690
"12",1,631739837,FALSE,0.117516383528709,7700,6190,2800,9.34959543167127e-06,4.31398757427814e-06,0.00166020391043276,384.842102050781,1.70690889892578e-06,273025872,334,67146272768,322994688,536237.0625,1393.39501953125,0.3956684928,"BMAp",41,"84EA81",6,FALSE,734881840,1,568,3,334,"Basomedial amygdalar nucleus, posterior part",NA,NA,1,319,"Basomedial amygdalar nucleus posterior part",569,9,"/997/8/567/688/703/319/334/",3419250657,8690
"13",1,631739596,FALSE,0.255865216255188,7180,4900,5420,0.00154800457505785,0.000180874589876309,0.0903871313703593,499.722661055765,0.000282611456726074,273025872,709,206835539968,1275487232,115287632,230703.229980469,1.5624718592,"VP",371,"FF8084",7,FALSE,734881840,1,646,3,709,"Ventral posterior complex of the thalamus",NA,NA,1,637,"Ventral posterior complex of the thalamus",647,8,"/997/8/343/1129/549/864/637/709/",359843477,8690
"14",1,631739612,FALSE,0.18518628180027,5150,6740,4910,0.00024784139572964,0.00125456275418401,0.388205975294113,309.435272216797,4.52471646484375e-05,273025872,689,2852503552,29441700,11429444,36936.4609375,0.0360660825,"VLPO",793,"FF5547",6,FALSE,734881840,1,755,3,689,"Ventrolateral preoptic nucleus",NA,NA,1,141,"Ventrolateral preoptic nucleus",756,8,"/997/8/343/1129/1097/141/689/",2706711435,8690
"15",3,631740639,FALSE,0.453450798988342,6040,1910,6230,0.00138015946722005,0.000628916273228665,0.199447771124418,317.129289882282,0.000251968814453125,273025872,810,44965492736,327052800,65229952,205688.828125,0.40063968,"ACAv6a",1091,"40A666",8,FALSE,734881840,1,236,3,810,"Anterior cingulate area, ventral part, 6a",NA,NA,1,48,"Anterior cingulate area ventral part 6a",237,11,"/997/8/567/688/695/315/31/48/810/",1257379109,8690
"16",1,631740061,FALSE,0.352853059768677,8140,5140,5620,0.000426572072159014,0.0016276523238048,0.654228091239929,401.945861816406,7.78771307617187e-05,273025872,12,5359162368,39058200,25552972,63573.16796875,0.047846295,"IF",142,"FFA6FF",6,FALSE,734881840,1,869,3,12,"Interfascicular nucleus raphe",NA,NA,1,165,"Interfascicular nucleus raphe",870,8,"/997/8/343/313/348/165/12/",1057138099,8690
"17",3,631740719,FALSE,0.428088814020157,3080,3130,6510,0.00784657843805615,0.00695900286241868,1.89989269123927,273.012201431821,0.00143251060004883,273025872,910,8749473280,168040800,319259487.75,1169396.40820312,0.20584998,"ORBm6a",962,"248A5E",8,FALSE,734881840,1,269,3,910,"Orbital area, medial part, layer 6a",NA,NA,1,731,"Orbital area medial part layer 6a",270,11,"/997/8/567/688/695/315/714/731/910/",1929100654,8690
"18",1,631739812,FALSE,0,0,0,0,0,0,0,0,0,273025872,368,791065472,5916600,0,0,0.007247835,"PERI6b",894,"0E9684",7,FALSE,734881840,1,372,3,368,"Perirhinal area, layer 6b",NA,NA,1,922,"Perirhinal area layer 6b",373,11,"/997/8/567/688/695/315/922/368/",4014849762,8690
"19",3,631740901,FALSE,0.390851259231567,3560,4280,6770,0.00148124153494302,0.000395651093923947,0.121812745202269,307.879207394998,0.000270422862243652,273025872,1125,32036615168,557949568,67965368.5625,220753.356933594,0.6834882208,"ORBvl5",1130,"248A5E",8,FALSE,734881840,1,275,3,1125,"Orbital area, ventrolateral part, layer 5",NA,NA,1,746,"Orbital area ventrolateral part layer 5",276,11,"/997/8/567/688/695/315/714/746/1125/",4084585477,8690
"20",1,631739944,FALSE,0.296332836151123,6220,4750,5580,0.00126332768873977,0.00461324350908399,2.45079159736633,531.251281738281,0.000230639420703125,273025872,189,9483692032,40812300,100022440,188277.078125,0.0499950675,"RH",306,"FF909F",7,FALSE,734881840,1,697,3,189,"Rhomboid nucleus",NA,NA,1,51,"Rhomboid nucleus",698,8,"/997/8/343/1129/549/856/51/189/",2507270646,8690
"21",3,631740272,FALSE,0.226420357823372,7230,1000,7280,0.000510035141060914,0.000237749492274676,0.115670430261266,486.522301917813,9.3114566015625e-05,273025872,312782562,84614164480,319714208,36981480,76011.890625,0.3916499048,"VISa5",NA,"009FAC",8,FALSE,734881840,1,350,3,312782562,"Anterior area, layer 5",NA,NA,1,312782546,"Anterior area layer 5",351,11,"/997/8/567/688/695/315/22/312782546/312782562/",133169917,8690
"22",1,631739937,FALSE,0,0,0,0,0,0,0,0,0,273025872,201,130693529600,682217984,0,0,0.8357170304,"SSp-bfd2/3",1015,"188064",9,FALSE,734881840,1,53,3,201,"Primary somatosensory area, barrel field, layer 2/3",NA,NA,1,329,"Primary somatosensory area barrel field layer 2/3",54,11,"/997/8/567/688/695/315/453/322/329/201/",1738869888,8690
"23",3,631740119,FALSE,0.325942009687424,4960,5390,5850,0.00152372223341585,0.00253507449640044,0.998482702032888,393.867203291515,0.000278178351000977,273025872,72,16136149504,89577000,89441085,227084.368164062,0.109731825,"ADP",8,"FF5547",6,FALSE,734881840,1,735,3,72,"Anterodorsal preoptic nucleus",NA,NA,1,141,"Anterodorsal preoptic nucleus",736,8,"/997/8/343/1129/1097/141/72/",1069999127,8690
"24",2,631738902,FALSE,0.0249435994774103,9920,1960,7160,4.62167804885448e-06,1.15623356577998e-06,0.000528674747329205,457.238708496094,8.43756657409668e-07,273025872,820,92688293888,595710912,314937.3125,688.780944824219,0.7297458672,"ICd",809,"FF7AFF",6,FALSE,734881840,1,814,3,820,"Inferior colliculus, dorsal nucleus",NA,NA,1,4,"Inferior colliculus dorsal nucleus",815,9,"/997/8/343/313/339/4/820/",3008108572,8690
"25",3,631740109,FALSE,0.43359512090683,8020,5620,6210,0.00392915621529296,0.0131857206127729,4.73416756737282,359.037454713462,0.000717326408203125,273025872,54,5963177472,44409600,210242488,585572.578125,0.05440176,"mfb",572,"CCCCCC",4,FALSE,734881840,1,1262,3,54,"medial forebrain bundle",NA,NA,1,824,"medial forebrain bundle",1263,8,"/997/1009/991/824/54/",4274696721,8690
"26",1,631739308,FALSE,0,0,0,0,0,0,0,0,0,273025872,1102,81344512000,743256000,0,0,0.9104886,"SSp-m6a",986,"188064",9,FALSE,734881840,1,77,3,1102,"Primary somatosensory area, mouth, layer 6a",NA,NA,1,345,"Primary somatosensory area mouth layer 6a",78,11,"/997/8/567/688/695/315/453/322/345/1102/",3455683244,8690
"27",2,631738738,FALSE,0.160120025277138,7320,2520,10100,8.19421341304319e-05,8.29002528917044e-05,0.0344313830137253,415.335052490234,1.49597657958984e-05,273025872,600,31333142528,147310208,5072094,12212.0537109375,0.1804550048,"AUDd2/3",923,"019399",8,FALSE,734881840,1,124,3,600,"Dorsal auditory area, layer 2/3",NA,NA,1,1011,"Dorsal auditory area layer 2/3",125,11,"/997/8/567/688/695/315/247/1011/600/",2148227545,8690
"28",1,631739422,FALSE,0.23447097837925,7370,3210,5260,0.000429058048820287,0.000213761370183607,0.0796227173638165,372.484127021762,7.83309830932617e-05,273025872,958,27429025792,299135712,23817998.25,63943.6596679688,0.3664412472,"EPI",119,"FF909F",6,FALSE,734881840,1,711,3,958,"Epithalamus",NA,NA,1,856,"Epithalamus",712,7,"/997/8/343/1129/549/856/958/",2649294941,8690
"29",2,631738355,FALSE,0.578948199748993,6020,1230,6140,0.041547547821724,0.00439425150867751,1.42928125777251,325.261595734803,0.0075851281078125,273025872,39,171471710784,1409100344,2014000712,6191941.3125,1.7261479214,"ACAd",4,"40A666",7,FALSE,734881840,1,226,3,39,"Anterior cingulate area, dorsal part",NA,NA,1,31,"Anterior cingulate area dorsal part",227,9,"/997/8/567/688/695/315/31/39/",1697985147,8690
"30",3,631740555,FALSE,0.958819925785065,4000,5060,9330,2.11084894629674,0.00157998642491985,0.657585610568115,416.197000301108,0.385367139899652,273025872,688,30876669792454.5,199106407096,130929508278.247,314585420.326246,243.9053486926,"CTX",85,"B0FFB8",3,FALSE,734881840,1,3,3,688,"Cerebral cortex",NA,NA,1,567,"Cerebral cortex",4,3,"/997/8/567/688/",3591311804,8690
"31",2,631738559,FALSE,0.322427034378052,6150,6630,8490,0.00716786705772775,0.00309331831522286,1.14903879165649,371.458282470703,0.00130860165625,273025872,327,66043990016,345339904,396808928,1068246.25,0.4230413824,"BMAa",40,"84EA81",6,FALSE,734881840,1,567,3,327,"Basomedial amygdalar nucleus, anterior part",NA,NA,1,319,"Basomedial amygdalar nucleus anterior part",568,9,"/997/8/567/688/703/319/327/",2574993876,8690
"32",3,631740723,FALSE,0.269680768251419,8670,2520,3870,0.000910783856134847,0.000751177294078143,0.252388333266924,335.990365066424,0.000166277255566406,273025872,916,3697149312,180698400,45606168,135736.53515625,0.22135554,"bsc",538,"CCCCCC",4,FALSE,734881840,1,1114,3,916,"brachium of the superior colliculus",NA,NA,1,848,"brachium of the superior colliculus",1115,9,"/997/1009/967/848/916/",2637319906,8690
"33",3,631740841,FALSE,0.276967734098434,9070,3780,9940,0.00161239663795236,0.00449858003474562,1.37734869928562,306.174101304725,0.00029436719375,273025872,1045,6767100416,53416800,73573560,240299.75,0.06543558,"ECT6b",1120,"0D9F91",7,FALSE,734881840,1,378,3,1045,"Ectorhinal area/Layer 6b",NA,NA,1,895,"Ectorhinal area/Layer 6b",379,11,"/997/8/567/688/695/315/895/1045/",936163868,8690
"34",3,631740650,FALSE,0.532876253128052,7340,5410,6360,0.0208401582334091,0.00434422027890101,1.94759524931633,448.318714125848,0.00380468350781555,273025872,824,36822832973.5625,714941667,1392416994.1875,3105864.0880127,0.875803542075,"mfsbshy",668,"CCCCCC",3,FALSE,734881840,1,1261,3,824,"hypothalamus related",NA,NA,1,991,"hypothalamus related",1262,7,"/997/1009/991/824/",2437385590,8690
"35",3,631740246,FALSE,0.133349224925041,8450,2630,9640,9.03910349378329e-05,0.000188552070670727,0.0792297706226835,420.201010473358,1.65022393798828e-05,273025872,249,13952404992,71445600,5660618.5,13471.2158203125,0.08752086,"AUDpo6a",455,"019399",8,FALSE,734881840,1,148,3,249,"Posterior auditory area, layer 6a",NA,NA,1,1027,"Posterior auditory area layer 6a",149,11,"/997/8/567/688/695/315/247/1027/249/",2585833835,8690
"36",1,631739958,FALSE,0.352853059768677,8140,5140,5620,0.00125041639519886,0.000564577365096009,0.2168692026769,384.126633628007,0.00022828227038548,273025872,165,49359314272,330075000,71583102.0735779,186352.873784065,0.404341875,"RAmb",303,"FFA6FF",5,FALSE,734881840,1,868,3,165,"Midbrain raphe nuclei",NA,NA,1,348,"Midbrain raphe nuclei",869,7,"/997/8/343/313/348/165/",364635241,8690
"37",1,631739487,FALSE,0.0335063934326172,10440,3970,5380,2.98532057460601e-06,9.53100698097842e-06,0.00562750361859798,590.441711425781,5.4501505355835e-07,273025872,880,9043338240,46680300,262693.5625,444.910247802734,0.0571833675,"DTN",109,"FFBA86",6,FALSE,734881840,1,908,3,880,"Dorsal tegmental nucleus",NA,NA,1,987,"Dorsal tegmental nucleus",909,8,"/997/8/343/1065/771/987/880/",978427151,8690
"38",2,631738750,FALSE,0.113241292536259,8680,1740,9180,2.50782262344782e-05,2.64067366515519e-05,0.0137647064402699,521.257385253906,4.57840639648437e-06,273025872,613,33161988096,141534896,1948186.25,3737.474609375,0.1733802476,"VISl5",642,"08858C",8,FALSE,734881840,1,182,3,613,"Lateral visual area, layer 5",NA,NA,1,409,"Lateral visual area layer 5",183,11,"/997/8/567/688/695/315/669/409/613/",719538265,8690
"39",3,631740633,FALSE,0.131303563714027,5580,4420,6450,0.000152958227074021,9.35671736149592e-05,0.0287601814226491,307.374694687273,2.79248188720703e-05,273025872,802,8267642368,243630000,7006843,22795.7705078125,0.29844675,"sm",524,"CCCCCC",5,FALSE,734881840,1,1285,3,802,"stria medullaris",NA,NA,1,1083,"stria medullaris",1286,9,"/997/1009/991/824/1083/802/",1930258468,8690
"40",2,631739965,FALSE,0,0,0,0,0,0,0,0,0,273025872,589508451,567916800,46185300,0,0,0.0565769925,"Pa5",NA,"FFA5D2",6,FALSE,734881840,1,962,3,589508451,"Paratrigeminal nucleus",NA,NA,1,386,"Paratrigeminal nucleus",963,8,"/997/8/343/1065/354/386/589508451/",2968278306,8690
"41",2,631738558,FALSE,0.119972452521324,9780,4320,6740,9.55173889342854e-05,3.69393201253843e-05,0.009209212847054,249.306503295898,1.74381322021484e-05,273025872,326,3398867912,385367392,3548930.5,14235.2099609375,0.4720750552,"scp",606,"CCCCCC",4,FALSE,734881840,1,1174,3,326,"superior cerebelar peduncles",NA,NA,1,752,"superior cerebelar peduncles",1175,8,"/997/1009/960/752/326/",1423960324,8690
"42",3,631740435,FALSE,0.168412938714027,10060,3840,7880,0.000174891210305311,5.65292639995953e-07,0.000383519058270191,678.443395747974,3.19290139766693e-05,273025872,528,8577072952320,46107979056,17683288.7062988,26064.5012054443,56.4822743436,"CBX",65,"F0F080",3,FALSE,734881840,1,1015,3,528,"Cerebellar cortex",NA,NA,1,512,"Cerebellar cortex",1016,5,"/997/8/512/528/",1183639712,8690
