"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,631754414,FALSE,0.104292079806328,7310,4470,6210,6.88428915736235e-06,1.16689969093314e-06,0.000381045131815225,326.544890512837,1.29773811457157e-06,100141223,444,145889525760,907857000,345934.490234375,1059.37805271149,1.112124825,"MED",196,"FF909F",6,FALSE,734881840,1,683,3,444,"Medial group of the dorsal thalamus",NA,NA,1,856,"Medial group of the dorsal thalamus",684,7,"/997/8/343/1129/549/856/444/",2351110645,8690
"2",3,631756446,FALSE,0.061330284923315,5690,7210,3490,2.10120462567288e-05,4.68115383362313e-06,0.000896887888532173,191.595474194874,3.96092213287353e-06,100141223,639,107531313152,690728384,619505.921875,3233.40582275391,0.8461422704,"COAa",79,"61E7B7",7,FALSE,734881840,1,427,3,639,"Cortical amygdalar area, anterior part",NA,NA,1,631,"Cortical amygdalar area anterior part",428,9,"/997/8/567/688/695/698/631/639/",3687551647,8690
"3",2,631754392,FALSE,0.00365341221913695,7820,5150,9060,1.05248478476546e-07,7.56226867792975e-08,1.57892864081077e-05,208.790344238281,1.9840096616745e-08,100141223,423,36655357952,214168496,3381.56787109375,16.1959972381592,0.2623564076,"CA2",52,"7ED04B",8,FALSE,734881840,1,462,3,423,"Field CA2",NA,NA,1,375,"Field CA2",463,9,"/997/8/567/688/695/1089/1080/375/423/",3178502974,8690
"4",2,631754853,FALSE,0.0176974888890982,4660,2400,6640,1.49481194439402e-06,2.06817712751217e-05,0.0052223252132535,252.508605957031,2.81782823181152e-07,100141223,927,875387648,11122200,58083.74609375,230.026794433594,0.013624695,"ACAd6b",964,"40A666",8,FALSE,734881840,1,231,3,927,"Anterior cingulate area, dorsal part, layer 6b",NA,NA,1,39,"Anterior cingulate area dorsal part layer 6b",232,11,"/997/8/567/688/695/315/31/39/927/",1998938750,8690
"5",2,631754876,FALSE,1,4350,3800,9360,0.819257727334244,0.295289576053619,692.796936035156,2346.16137695312,0.1544359852,100141223,950,413130457088,426937504,295781007360,126070192,0.5229984424,"SSp-m4",967,"188064",9,FALSE,734881840,1,75,3,950,"Primary somatosensory area, mouth, layer 4",NA,NA,1,345,"Primary somatosensory area mouth layer 4",76,11,"/997/8/567/688/695/315/453/322/345/950/",3488099998,8690
"6",3,631756252,FALSE,0,0,0,0,0,0,0,0,0,100141223,333,3801433088,33296400,0,0,0.04078809,"SH",324,"90CBED",6,FALSE,734881840,1,591,3,333,"Septohippocampal nucleus",NA,NA,1,275,"Septohippocampal nucleus",592,8,"/997/8/567/623/477/275/333/",2151592702,8690
"7",3,631756654,FALSE,0.0335654877126217,5150,1920,8920,8.33891707675535e-06,4.30137144243791e-06,0.000836425765223198,194.45560013044,1.57194595947266e-06,100141223,182305697,49871110144,298328384,249529.546875,1283.22119140625,0.3654522704,"SSp-un2/3",NA,"188064",9,FALSE,734881840,1,95,3,182305697,"Primary somatosensory area, unassigned, layer 2/3",NA,NA,1,182305689,"Primary somatosensory area unassigned layer 2/3",96,11,"/997/8/567/688/695/315/453/322/182305689/182305697/",909836824,8690
"8",3,631756178,FALSE,0,0,0,0,0,0,0,0,0,100141223,312782616,33759428608,219864608,0,0,0.2693341448,"VISrl5",NA,"009FAC",8,FALSE,734881840,1,357,3,312782616,"Rostrolateral area, layer 5",NA,NA,1,417,"Rostrolateral area layer 5",358,11,"/997/8/567/688/695/315/22/417/312782616/",3995067395,8690
"9",3,631756161,FALSE,0,0,0,0,0,0,0,0,0,100141223,211,69034254336,543882624,0,0,0.6662562144,"ACAd2/3",1016,"40A666",8,FALSE,734881840,1,228,3,211,"Anterior cingulate area, dorsal part, layer 2/3",NA,NA,1,39,"Anterior cingulate area dorsal part layer 2/3",229,11,"/997/8/567/688/695/315/31/39/211/",2563141206,8690
"10",2,631753911,FALSE,0,0,0,0,0,0,0,0,0,100141223,56,365517635584,1980614656,0,0,2.4262529536,"ACB",6,"80CDF8",6,FALSE,734881840,1,575,3,56,"Nucleus accumbens",NA,NA,1,493,"Nucleus accumbens",576,8,"/997/8/567/623/477/493/56/",2053079136,8690
"11",3,631756489,FALSE,0.564291179180145,7530,4670,6850,0.0327766411341213,0.00841885586212548,2.81056103235843,333.841210538181,0.00617863304331055,100141223,697,58422850261.25,599105408,1683822314,5043782.07617188,0.7339041248,"ml",511,"CCCCCC",5,FALSE,734881840,1,1159,3,697,"medial lemniscus",NA,NA,1,932,"medial lemniscus",1160,9,"/997/1009/967/792/932/697/",3519337805,8690
"12",2,631754145,FALSE,0,0,0,0,0,0,0,0,0,100141223,263,7582272000,41650200,0,0,0.051021495,"AVP",32,"FF5547",6,FALSE,734881840,1,737,3,263,"Anteroventral preoptic nucleus",NA,NA,1,141,"Anteroventral preoptic nucleus",738,8,"/997/8/343/1129/1097/141/263/",3572986309,8690
"13",3,631756046,FALSE,0,0,0,0,0,0,0,0,0,100141223,41,41411889152,262985408,0,0,0.3221571248,"VISpm2/3",995,"08858C",8,FALSE,734881840,1,201,3,41,"posteromedial visual area, layer 2/3",NA,NA,1,533,"posteromedial visual area layer 2/3",202,11,"/997/8/567/688/695/315/669/533/41/",736869347,8690
"14",3,631756273,FALSE,0,0,0,0,0,0,0,0,0,100141223,358,7981288192,42490800,0,0,0.05205123,"SLD",327,"FFC395",6,FALSE,734881840,1,934,3,358,"Sublaterodorsal nucleus",NA,NA,1,1117,"Sublaterodorsal nucleus",935,8,"/997/8/343/1065/771/1117/358/",4160997876,8690
"15",3,631756160,FALSE,0.0333350747823715,7950,6370,4750,1.08348891017632e-05,2.39213702305815e-05,0.00451950506620554,188.931696748196,2.04245467224121e-06,100141223,210,9619962880,69699600,315007.6953125,1667.30993652344,0.08538201,"LM",167,"FF4C3E",7,FALSE,734881840,1,763,3,210,"Lateral mammillary nucleus",NA,NA,1,331,"Lateral mammillary nucleus",764,8,"/997/8/343/1129/1097/467/331/210/",3256479391,8690
"16",1,631755307,FALSE,0.111479252576828,13020,4700,3970,6.08551511793661e-05,8.30362841952592e-06,0.00163614726625383,197.0400390625,1.14716345214844e-05,100141223,1033,310434562048,1127772032,1845201.125,9364.599609375,1.3815207392,"COPY",411,"FFFC91",5,FALSE,734881840,1,1084,3,1033,"Copula pyramidis",NA,NA,1,1073,"Copula pyramidis",1085,8,"/997/8/512/528/1073/1033/",2916242466,8690
"17",3,631756175,FALSE,0.171083435416222,9170,6370,7680,0.000413239187575565,3.04809996190919e-05,0.00604979585162564,198.477606614854,7.78985646728515e-05,100141223,229,21623691840,2086239488,12621323,63590.6650390625,2.5556433728,"sV",594,"CCCCCC",4,FALSE,734881840,1,1127,3,229,"sensory root of the trigeminal nerve",NA,NA,1,901,"sensory root of the trigeminal nerve",1128,9,"/997/1009/967/901/229/",1119694834,8690
