"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",2,629935160,FALSE,0.389424175024033,7200,1140,6920,0.00246205772407967,0.00870410073548555,7.91423034667969,909.253051757812,0.0019779738125,175018829,906,78603329536,185507104,1468145920,1614672.5,0.2272462024,"RSPagl6a",820,"1AA698",8,FALSE,734881840,1,302,3,906,"Retrosplenial area, lateral agranular part, layer 6a",NA,NA,1,894,"Retrosplenial area lateral agranular part layer 6a",303,11,"/997/8/567/688/695/315/254/894/906/",1139806184,8690
"2",2,629934502,FALSE,0.999988317489624,6920,4780,8420,0.0549315033381377,0.0381714254617691,69.280387878418,1814.98034667969,0.0441310023,175018829,6,211257704448,943776896,65385226240,36025308,1.1561266976,"int",566,"CCCCCC",4,FALSE,734881840,1,1201,3,6,"internal capsule",NA,NA,1,784,"internal capsule",1202,9,"/997/1009/983/784/6/",2936038281,8690
"3",1,629935460,FALSE,0.509903907775879,6040,3810,4310,0.00211160592489851,0.00212622876279056,2.18715929985046,1028.65661621094,0.001696427009375,175018829,262,202434969600,651312000,1424523136,1384838.375,0.7978572,"RT",315,"FF909F",6,FALSE,734881840,1,703,3,262,"Reticular nucleus of the thalamus",NA,NA,1,856,"Reticular nucleus of the thalamus",704,8,"/997/8/343/1129/549/856/262/",2529312902,8690
"4",3,629937144,FALSE,0.337308585643768,11380,4460,7950,0.00100740080231425,0.00159002861229038,0.282181462869905,177.469424568048,0.00080932806171875,175018829,153,59153053696,415512000,117249784,660675.96875,0.5090022,"V4r",726,"AAAAAA",3,FALSE,734881840,1,1302,3,153,"lateral recess",NA,NA,1,145,"lateral recess",1303,9,"/997/73/145/153/",4006455201,8690
"5",3,629937348,FALSE,0.575875043869019,5780,4460,6620,0.00125551021998747,0.00549966117279424,7.05045109166106,1281.97917474231,0.00100865479804687,175018829,1104,78784831488,149716800,1055570976,823391.671875,0.18340308,"AMv",420,"FF909F",8,FALSE,734881840,1,678,3,1104,"Anteromedial nucleus, ventral part",NA,NA,1,127,"Anteromedial nucleus ventral part",679,9,"/997/8/343/1129/549/856/239/127/1104/",4096603778,8690
"6",3,629937346,FALSE,0.516482770442963,4660,3530,8880,0.00172229242067961,0.00075984443785183,0.773290107311613,1017.69529233878,0.001383659396875,175018829,1102,695142842368,1486512000,1149505024,1129517.875,1.8209772,"SSp-m6a",986,"188064",9,FALSE,734881840,1,77,3,1102,"Primary somatosensory area, mouth, layer 6a",NA,NA,1,345,"Primary somatosensory area mouth layer 6a",78,11,"/997/8/567/688/695/315/453/322/345/1102/",3455683244,8690
"7",1,629935556,FALSE,0.488163262605667,9070,4360,5330,0.000546261397776822,0.00158091739285737,0.62421715259552,394.844848632812,0.0004388567859375,175018829,1043,22026479616,226609200,141453344,358250.4375,0.27759627,"tspc",554,"CCCCCC",4,FALSE,734881840,1,1229,3,1043,"crossed tectospinal pathway",NA,NA,1,877,"crossed tectospinal pathway",1230,9,"/997/1009/1000/877/1043/",3614935982,8690
"8",2,629934630,FALSE,0.544780850410461,2500,2690,6470,0.000143314604481456,0.000214467006573988,0.259780443026257,1211.2839507397,0.000115136429109955,175018829,184,180817523160,438244200,113847272.429688,93988.9217224121,0.536849145,"FRP",871,"268F45",6,FALSE,734881840,1,6,3,184,"Frontal pole, cerebral cortex",NA,NA,1,315,"Frontal pole cerebral cortex",7,8,"/997/8/567/688/695/315/184/",2565719060,8690
"9",1,629936218,FALSE,0.571268498897552,6240,5930,5270,0.0129966337794269,0.0266552679240704,26.0601387023926,977.673095703125,0.010441266675,175018829,88,138977853440,319767296,8333179904,8523483,0.3917149376,"AHN",10,"FF4C3E",6,FALSE,734881840,1,757,3,88,"Anterior hypothalamic nucleus",NA,NA,1,467,"Anterior hypothalamic nucleus",758,8,"/997/8/343/1129/1097/467/88/",2309913226,8690
"10",1,629935632,FALSE,0,0,0,0,0,0,0,0,0,175018829,950,297911812096,426937504,0,0,0.5229984424,"SSp-m4",967,"188064",9,FALSE,734881840,1,75,3,950,"Primary somatosensory area, mouth, layer 4",NA,NA,1,345,"Primary somatosensory area mouth layer 4",76,11,"/997/8/567/688/695/315/453/322/345/950/",3488099998,8690
"11",1,629935658,FALSE,0.189452901482582,5360,1480,2380,2.09291354169566e-05,2.41630309121555e-05,0.00964039063448476,398.972739369176,1.68140987792969e-05,175018829,182305689,323537142272,568049388,5476218,13725.794921875,0.6958605003,"SSp-un",NA,"188064",8,FALSE,734881840,1,93,3,182305689,"Primary somatosensory area, unassigned",NA,NA,1,322,"Primary somatosensory area unassigned",94,9,"/997/8/567/688/695/315/453/322/182305689/",10092796,8690
"12",1,629936180,FALSE,0.579811632633209,6790,6170,5140,0.0205520155458187,0.0146409908415692,14.0474521319769,959.46048214803,0.0165111273168536,175018829,141,334943870976,920598300,12932060552.0293,13478471.2790642,1.1277329175,"PVR",300,"FF5547",5,FALSE,734881840,1,734,3,141,"Periventricular region",NA,NA,1,1097,"Periventricular region",735,6,"/997/8/343/1129/1097/141/",227550009,8690
"13",2,629934653,FALSE,1,8500,4590,6670,0.22415374895568,0.414688974618912,1912.45678710938,4611.78564453125,0.180081174,175018829,214,884278265861.781,354494688,677955764224,147005040,0.4342559928,"RN",309,"FF90FF",5,FALSE,734881840,1,853,3,214,"Red nucleus",NA,NA,1,323,"Red nucleus",854,8,"/997/8/343/313/323/214/",2118050513,8690
"14",1,629935596,FALSE,0.637888669967651,9880,6440,5040,0.012125494706742,0.00304956162769214,1.7518406861482,574.45656131041,0.00974140888695383,175018829,987,537032657408,2607643816,4568176531.85156,7952170.51996231,3.1943636746,"P-mot",264,"FFBA86",5,FALSE,734881840,1,906,3,987,"Pons, motor related",NA,NA,1,771,"Pons motor related",907,6,"/997/8/343/1065/771/987/",583149041,8690
"15",3,629936678,FALSE,0.201815232634544,10180,6470,8350,1.49452695351836e-05,4.35347982615792e-05,0.00350261069037365,80.4554248610085,1.20067663208008e-05,175018829,413,5034945920,225140400,788579.171875,9801.44189453125,0.27579699,"vVIIIn",617,"CCCCCC",4,FALSE,734881840,1,1135,3,413,"vestibular nerve",NA,NA,1,933,"vestibular nerve",1136,9,"/997/1009/967/933/413/",3018519253,8690
"16",2,629934528,FALSE,0.613826751708984,6180,5540,5950,0.0140719508867675,0.108652830123901,133.758651733398,1231.06457519531,0.0113051575,175018829,38,48843399168,84937504,11361125376,9228700,0.1040484424,"PVH",287,"FF5D50",6,FALSE,734881840,1,720,3,38,"Paraventricular hypothalamic nucleus",NA,NA,1,157,"Paraventricular hypothalamic nucleus",721,8,"/997/8/343/1129/1097/157/38/",3443963014,8690
"17",3,629937095,FALSE,0.561429560184479,4750,1690,8110,0.000456916271596194,0.000340108238672704,0.409775485816401,1204.83845794379,0.00036707848515625,175018829,854,510058545152,881060416,361036960,299655.90625,1.0792990096,"SSp-ul2/3",955,"188064",9,FALSE,734881840,1,81,3,854,"Primary somatosensory area, upper limb, layer 2/3",NA,NA,1,369,"Primary somatosensory area upper limb layer 2/3",82,11,"/997/8/567/688/695/315/453/322/369/854/",243505027,8690
"18",2,629934871,FALSE,0.682877600193024,7180,3660,9820,0.0163759589517087,0.0849017202854156,156.871292114258,1847.68090820312,0.013156157,175018829,520,88406376448,126495904,19843575808,10739720,0.1549574824,"AUDv6a",630,"019399",8,FALSE,734881840,1,155,3,520,"Ventral auditory area, layer 6a",NA,NA,1,1018,"Ventral auditory area layer 6a",156,11,"/997/8/567/688/695/315/247/1018/520/",2440393689,8690
"19",1,629936158,FALSE,0.552192211151123,7010,3060,3330,0.00063728341580492,0.00128579900119107,1.61045292840574,1252.49197340637,0.000511982272094726,175018829,170,132550674432,325046692,523472397,417944.711914062,0.3981821977,"LGd",162,"FF8084",7,FALSE,734881840,1,662,3,170,"Dorsal part of the lateral geniculate complex",NA,NA,1,1008,"Dorsal part of the lateral geniculate complex",663,8,"/997/8/343/1129/549/864/1008/170/",2639836426,8690
"20",3,629937276,FALSE,0.448635816574097,3770,3870,6250,0.000407712952484164,0.00144871640828685,1.40232830213623,967.979857282437,0.000327549405175781,175018829,1054,82773647360,184568400,258825491,267387.26953125,0.22609629,"ILA6a",980,"59B363",7,FALSE,734881840,1,250,3,1054,"Infralimbic area, layer 6a",NA,NA,1,44,"Infralimbic area layer 6a",251,11,"/997/8/567/688/695/315/44/1054/",696971210,8690
"21",3,629937192,FALSE,1,7640,4700,6890,0.129701664428993,0.00768379750392164,12.0309947373296,1565.76155620827,0.1042000328299,175018829,967,1538729721792,11070209912,133185637192.405,85061251.2897142,13.5610071422,"cm",686,"CCCCCC",2,FALSE,734881840,1,1102,3,967,"cranial nerves",NA,NA,1,1009,"cranial nerves",1103,2,"/997/1009/967/",1191830544,8690
"22",2,629934587,FALSE,0.575875043869019,5780,4460,6620,0.00189266677782825,0.00671746851594857,9.05484336651674,1347.95471612837,0.0015205351546875,175018829,127,108915793920,184779904,1673153088,1241253.1875,0.2263553824,"AM",15,"FF909F",7,FALSE,734881840,1,676,3,127,"Anteromedial nucleus",NA,NA,1,239,"Anteromedial nucleus",677,8,"/997/8/343/1129/549/856/239/127/",70138096,8690
"23",1,629935978,FALSE,0.352089941501617,12780,5760,3540,2.22226703084368e-05,1.93327505257912e-05,0.00739732105284929,382.631561279297,1.78533019287109e-05,175018829,429,124729040896,753856704,5576520,14574.1240234375,0.9234744624,"SPVC",336,"FFA5D2",6,FALSE,734881840,1,954,3,429,"Spinal nucleus of the trigeminal, caudal part",NA,NA,1,386,"Spinal nucleus of the trigeminal caudal part",955,9,"/997/8/343/1065/354/386/429/",3872657876,8690
"24",1,629935659,FALSE,0.281121879816055,10450,3190,4800,0.000184987963384046,6.60874154160233e-05,0.0656479955354698,993.350929556143,0.000148616071679687,175018829,920,1141695021056,1835738944,120512582,121319.2421875,2.2487802064,"CENT",397,"FFFC91",5,FALSE,734881840,1,1024,3,920,"Central lobule",NA,NA,1,645,"Central lobule",1025,7,"/997/8/512/528/645/920/",3534428959,8690
"25",2,629934677,FALSE,0.6361403465271,6540,3290,6930,0.058117496478702,0.0392353430204188,73.4668699274056,1872.46661483684,0.0466905730757812,175018829,239,687097014272,971439284,71368603520,38114753.53125,1.1900131229,"ATN",29,"FF909F",6,FALSE,734881840,1,674,3,239,"Anterior group of the dorsal thalamus",NA,NA,1,856,"Anterior group of the dorsal thalamus",675,7,"/997/8/343/1129/549/856/239/",3414692864,8690
"26",3,629937018,FALSE,0.494551628828049,4580,7120,6640,0.00682590824435204,0.00130910576909785,1.0318501274938,788.209900109817,0.00548381446210937,175018829,754,1222958972928,3419573376,3528487224,4476583.234375,4.1889773856,"OT",235,"80CDF8",6,FALSE,734881840,1,577,3,754,"Olfactory tubercle",NA,NA,1,493,"Olfactory tubercle",578,8,"/997/8/567/623/477/493/754/",1598442672,8690
"27",2,629934954,FALSE,1,7020,6820,8230,0.131653573656187,0.0587628650675114,140.753288398284,2395.2761363248,0.105768162325,175018829,631,786347098112,1469318368,206811392000,86341357,1.7999150008,"COA",78,"61E7B7",6,FALSE,734881840,1,426,3,631,"Cortical amygdalar area",NA,NA,1,698,"Cortical amygdalar area",427,8,"/997/8/567/688/695/698/631/",1492043464,8690
"28",2,629935371,FALSE,0.995739936828613,7820,4060,8030,0.00264451833814499,0.217734813690186,770.800048828125,3540.08642578125,0.00212455945625,175018829,563807439,14098522112,7965351,6139693056,1734334.25,0.009757554975,"IntG",NA,"FF909F",7,FALSE,734881840,1,706,3,563807439,"Intermediate geniculate nucleus",NA,NA,1,1014,"Intermediate geniculate nucleus",707,8,"/997/8/343/1129/549/856/1014/563807439/",2887461472,8690
"29",1,629935612,FALSE,0.230502590537071,11010,5430,5590,0.000110766668782417,0.000674567767418921,0.339657157659531,503.518218994141,8.89879908203125e-05,175018829,970,23090536448,107688600,36577204,72643.2578125,0.131918535,"PGRNd",828,"FFB3D9",7,FALSE,734881840,1,991,3,970,"Paragigantocellular reticular nucleus, dorsal part",NA,NA,1,938,"Paragigantocellular reticular nucleus dorsal part",992,9,"/997/8/343/1065/354/370/938/970/",33977280,8690
"30",2,629934967,FALSE,0.827412903308868,7070,6840,8310,0.0303810456952777,0.0177272075903564,19.8846695757105,1121.70343097509,0.024407597025,175018829,647,407186604032,1123954176,22349457408,19924569,1.3768438656,"COAp",80,"61E7B7",7,FALSE,734881840,1,431,3,647,"Cortical amygdalar area, posterior part",NA,NA,1,631,"Cortical amygdalar area posterior part",432,9,"/997/8/567/688/695/698/631/647/",713144098,8690
"31",1,629935565,FALSE,0.593668162822723,9130,3460,5360,0.00237946599872754,0.0823469161987305,113.527053833008,1378.64367675781,0.001911621075,175018829,614454277,11092035584,18950400,2151383040,1560507,0.02321424,"Su3",NA,"FF90FF",6,FALSE,734881840,1,842,3,614454277,"Supraoculomotor periaqueductal gray",NA,NA,1,795,"Supraoculomotor periaqueductal gray",843,9,"/997/8/343/313/323/795/614454277/",349636566,8690
"32",2,629934803,FALSE,0.906407594680786,7920,670,7360,0.00242331056987904,0.0634756311774254,97.0590667724609,1529.076171875,0.00194684503125,175018829,401,16713089024,25037346,2430101504,1589261.25,0.03067074885,"VISam4",1040,"08858C",8,FALSE,734881840,1,174,3,401,"Anteromedial visual area, layer 4",NA,NA,1,394,"Anteromedial visual area layer 4",175,11,"/997/8/567/688/695/315/669/394/401/",1463637765,8690
"33",2,629935069,FALSE,0.711794137954712,7090,4210,9700,0.00635935929089268,0.103255666792393,152.611083984375,1477.99243164062,0.00510899725,175018829,786,26396338176,40391100,6164129792,4170610,0.0494790975,"TEa6b",1088,"15B0B3",7,FALSE,734881840,1,366,3,786,"Temporal association areas, layer 6b",NA,NA,1,541,"Temporal association areas layer 6b",367,11,"/997/8/567/688/695/315/541/786/",3588912826,8690
"34",3,629937331,FALSE,0.46742245554924,5550,1280,7310,0.000611913846617263,0.00163437389529921,2.20748647072431,1350.66185104491,0.00049160080703125,175018829,1094,152464924672,245541600,542029760,401306.78125,0.30078846,"SSp-ll4",985,"188064",9,FALSE,734881840,1,68,3,1094,"Primary somatosensory area, lower limb, layer 4",NA,NA,1,337,"Primary somatosensory area lower limb layer 4",69,11,"/997/8/567/688/695/315/453/322/337/1094/",33028960,8690
"35",3,629936621,FALSE,0.752855479717255,3450,2600,6080,0.000217662720053252,0.000161938759017915,0.309887567633343,1913.6096232469,0.000174866395703125,175018829,363,486667862016,881494208,273164096,142748.078125,1.0798304048,"PL5",1035,"2FA850",7,FALSE,734881840,1,242,3,363,"Prelimbic area, layer 5",NA,NA,1,972,"Prelimbic area layer 5",243,11,"/997/8/567/688/695/315/972/363/",1282533063,8690
"36",1,629936195,FALSE,0.265352696180344,9840,6950,4710,1.88172041252721e-05,7.49421305954456e-05,0.0203842148184776,271.999389648438,1.51174103759766e-05,175018829,122,18058002432,164670304,3356674.75,12340.7431640625,0.2017211224,"POR",439,"FFAE6F",7,FALSE,734881840,1,903,3,122,"Superior olivary complex, periolivary region",NA,NA,1,398,"Superior olivary complex periolivary region",904,9,"/997/8/343/1065/771/1132/398/122/",197155834,8690
"37",1,629935925,FALSE,0.0156061109155416,5550,2690,5530,3.97247797339314e-08,1.54261181251059e-06,0.000719692674465477,466.541656494141,3.19141883850098e-08,175018829,530,2761535488,16888500,12154.529296875,26.0523986816406,0.0206884125,"df",490,"CCCCCC",5,FALSE,734881840,1,1246,3,530,"dorsal fornix",NA,NA,1,1099,"dorsal fornix",1247,9,"/997/1009/991/768/1099/530/",2407031315,8690
"38",2,629935097,FALSE,0.721716165542603,9790,2750,9410,0.0191975274228421,0.00151195699974644,1.67213942160508,1105.94376816636,0.0154229554147949,175018829,822,3469476474880,8327067296,13924017492,12590167.6855469,10.2006574376,"RHP",385,"32B825",6,FALSE,734881840,1,492,3,822,"Retrohippocampal region",NA,NA,1,1089,"Retrohippocampal region",493,6,"/997/8/567/688/695/1089/822/",3032553410,8690
"39",3,629936686,FALSE,0.495862454175949,8680,1470,9640,0.00385390626280163,0.01516791305355,19.1302406752807,1261.23090287647,0.00309616041455765,175018829,421,83224117248,166633200,3187733220.49219,2527477.88943481,0.20412567,"VISl1",618,"08858C",8,FALSE,734881840,1,179,3,421,"Lateral visual area, layer 1",NA,NA,1,409,"Lateral visual area layer 1",180,11,"/997/8/567/688/695/315/669/409/421/",764316736,8690
"40",1,629935816,FALSE,0.135430291295052,7840,830,5150,2.58244176713107e-05,2.24191026063636e-05,0.0241107381880283,1075.455078125,2.07468823242187e-05,175018829,687,398812545024,755437504,18214156,16936.23046875,0.9254109424,"RSPv5",651,"1AA698",8,FALSE,734881840,1,336,3,687,"Retrosplenial area, ventral part, layer 5",NA,NA,1,886,"Retrosplenial area ventral part layer 5",337,11,"/997/8/567/688/695/315/254/886/687/",1239413140,8690
