"","structure.acronym.IN","structure.acronym","normalized_projection_volume","Group"
"1","ACAd","CA1",0.000950563673913623,"CH"
"2","ACAd","AM",0.293515956023705,"CH"
"3","ACAd","CENT",0.00092892189700858,"CH"
"4","ACAd","ZI",1.42730858754952,"CH"
"5","ACAd","SSs",0.0261861571868223,"CH"
"6","ACAd","PRM",0.000327849172506506,"CH"
"7","ACAd","IP",3.16101411930344e-05,"CH"
"8","ACAd","PVT",0.00554817666239811,"CH"
"9","ACAd","PFL",0.00139474330380954,"CH"
"10","ACAd","PT",0.00196898085677876,"CH"
"11","ACAd","PYR",3.43647730737529e-07,"CH"
"12","ACAd","AV",0.25971018964104,"CH"
"13","ACAd","SIM",0.000190464647555814,"CH"
"14","ACAd","PO",0.100266722480278,"CH"
"15","ACAd","CP",8.35553649281853,"CH"
"16","ACAd","BLA",0.00597963188277831,"CH"
"17","ACAd","RPO",0.0442933031576696,"CH"
"18","ACAd","CLA",0.113262633623878,"CH"
"19","ACAd","LP",0.585710151735206,"CH"
"20","ACAd","VPM",0.0134323473532252,"CH"
"21","ACAd","ACB",0.161631244597268,"CH"
"22","ACAd","VPL",0.0819376026918797,"CH"
"23","ACAd","DG",0.00531137205910354,"CH"
"24","ACAd","PB",0.00194420774418523,"CH"
"25","ACAd","NOD",7.10008563849576e-05,"CH"
"26","ACAd","CUL",0.000222079081948594,"CH"
"27","ACAd","CEA",0.000917610878377269,"CH"
"28","ACAd","RSPv",2.27631667268109,"CH"
"29","ACAd","SSp",0.610586849101858,"CH"
"30","ACAd","MD",0.15194720645383,"CH"
"31","ACAd","RN",0.122612170700323,"CH"
"32","ACAd","AI",0.0867561642077946,"CH"
"33","ACAd","AAA",4.16109677413655e-05,"CH"
"34","ACAd","LH",0.0294631245289639,"CH"
"35","ACAd","MOs",3.42080967136405,"CH"
"36","ACAd","VM",0.285652049667696,"CH"
"37","ACAd","VAL",0.266831982237474,"CH"
"38","ACAd","CA3",0.0196296177993526,"CH"
"39","ACAd","AN",0.00158294335600281,"CH"
"40","ACAd","PG",0.342307013531837,"CH"
"41","ACAd","ACAv",3.05353338219201,"CH"
"42","ACAd","FN",6.56136062378245e-05,"CH"
"43","ACAd","LD",0.976395729983541,"CH"
"44","ACAd","MH",0.000119490994936538,"CH"
"45","ACAd","RSPd",3.28065669140826,"CH"
"46","ACAd","MOp",0.414311539229501,"CH"
"47","ACAd","LH",0.0413800639936006,"CH"
"48","ACAd","MOp",0.236728397414629,"CH"
"49","ACAd","RSPd",0.617242827401827,"CH"
"50","ACAd","SSp",0.262420021206143,"CH"
"51","ACAd","MH",0.000188328202423674,"CH"
"52","ACAd","MD",0.29415136228094,"CH"
"53","ACAd","PT",0.00672671062120703,"CH"
"54","ACAd","AAA",0.000334931137848735,"CH"
"55","ACAd","CUL",4.61929554424307e-06,"CH"
"56","ACAd","PO",0.0200602659146906,"CH"
"57","ACAd","FN",0,"CH"
"58","ACAd","CEA",0.00110659786088706,"CH"
"59","ACAd","AM",0.25796087180678,"CH"
"60","ACAd","SSs",0.0372340560021328,"CH"
"61","ACAd","CLA",0.13609013233316,"CH"
"62","ACAd","RPO",0.0242266126838837,"CH"
"63","ACAd","PFL",0.000205507859707453,"CH"
"64","ACAd","VPL",0.0303554958365203,"CH"
"65","ACAd","PRM",2.69268008316722e-05,"CH"
"66","ACAd","ACB",0.218132120078408,"CH"
"67","ACAd","ACAv",2.27274304939828,"CH"
"68","ACAd","AN",1.46724698297036e-06,"CH"
"69","ACAd","IP",0,"CH"
"70","ACAd","BLA",0.011822245212903,"CH"
"71","ACAd","AV",0.0566294108628936,"CH"
"72","ACAd","PVT",0.0112366380119224,"CH"
"73","ACAd","CENT",0.000667042868053206,"CH"
"74","ACAd","VPM",0.000986900404603275,"CH"
"75","ACAd","DG",0.000465390218713743,"CH"
"76","ACAd","PB",0.00246426796821609,"CH"
"77","ACAd","MOs",1.88821006449674,"CH"
"78","ACAd","CA3",0.000976299681177063,"CH"
"79","ACAd","RN",0.0310272683956553,"CH"
"80","ACAd","LP",0.208752540497278,"CH"
"81","ACAd","CA1",0.000179704817218772,"CH"
"82","ACAd","PG",0.114117939438546,"CH"
"83","ACAd","LD",0.217750245730112,"CH"
"84","ACAd","ZI",0.835210737627202,"CH"
"85","ACAd","RSPv",0.302117021270306,"CH"
"86","ACAd","VAL",0.185932421660021,"CH"
"87","ACAd","AI",0.108931795096466,"CH"
"88","ACAd","SIM",5.4474652491136e-08,"CH"
"89","ACAd","VM",0.291083403362279,"CH"
"90","ACAd","CP",9.24440848828304,"CH"
"91","ACAd","PYR",0,"CH"
"92","ACAd","NOD",0,"CH"
"93","ACAd","AM",0.143900736040535,"CH"
"94","ACAd","NOD",0,"CH"
"95","ACAd","PVT",0.00184024596411072,"CH"
"96","ACAd","PRM",5.67699117607911e-05,"CH"
"97","ACAd","LP",0.264318299369038,"CH"
"98","ACAd","RSPd",2.29184771521172,"CH"
"99","ACAd","CUL",0.00018931149618333,"CH"
"100","ACAd","CENT",9.869839099747e-05,"CH"
"101","ACAd","MD",0.13425705435405,"CH"
"102","ACAd","VPL",0.0407332455315889,"CH"
"103","ACAd","PFL",8.6406885106194e-05,"CH"
"104","ACAd","FN",2.18953620236514e-06,"CH"
"105","ACAd","CEA",0.000128943118036472,"CH"
"106","ACAd","AN",0.000168073405928764,"CH"
"107","ACAd","CP",5.06419052875228,"CH"
"108","ACAd","LD",0.438736568040491,"CH"
"109","ACAd","DG",0.00454724999214937,"CH"
"110","ACAd","PYR",0,"CH"
"111","ACAd","ZI",0.714561155967693,"CH"
"112","ACAd","ACAv",3.1895499922325,"CH"
"113","ACAd","PG",0.161979398867674,"CH"
"114","ACAd","CA3",0.0060963204953752,"CH"
"115","ACAd","RPO",0.0138686180030682,"CH"
"116","ACAd","PT",0.0011137439176672,"CH"
"117","ACAd","VAL",0.136396278945054,"CH"
"118","ACAd","MOp",0.133828992965589,"CH"
"119","ACAd","AI",0.0318186951158172,"CH"
"120","ACAd","CLA",0.0600455176438799,"CH"
"121","ACAd","RSPv",1.19857998944455,"CH"
"122","ACAd","SIM",4.64820962140679e-05,"CH"
"123","ACAd","AAA",3.64014149212292e-10,"CH"
"124","ACAd","SSp",0.146548828989544,"CH"
"125","ACAd","PO",0.0402100520604438,"CH"
"126","ACAd","CA1",0.000263257827200442,"CH"
"127","ACAd","BLA",0.00748808603576383,"CH"
"128","ACAd","VM",0.147789494775822,"CH"
"129","ACAd","ACB",0.0316049463069692,"CH"
"130","ACAd","RN",0.0362616711607959,"CH"
"131","ACAd","VPM",0.00393079849367089,"CH"
"132","ACAd","MH",8.05871376648277e-05,"CH"
"133","ACAd","IP",0,"CH"
"134","ACAd","AV",0.0641537762458316,"CH"
"135","ACAd","PB",2.20613230774944e-05,"CH"
"136","ACAd","SSs",0.00799217651894217,"CH"
"137","ACAd","MOs",1.4716817357655,"CH"
"138","ACAd","LH",0.0230149885852546,"CH"
"139","ACAv","LH",0.0452557600611783,"CH"
"140","ACAv","CLA",0.143233977497031,"CH"
"141","ACAv","IP",0,"CH"
"142","ACAv","PRM",0.000254624944796188,"CH"
"143","ACAv","RPO",0.0259918311293302,"CH"
"144","ACAv","FN",0.000234719851274704,"CH"
"145","ACAv","PB",0.00752465500577866,"CH"
"146","ACAv","AM",0.403971662006247,"CH"
"147","ACAv","ACAd",2.28793685021166,"CH"
"148","ACAv","AI",0.0790318608387666,"CH"
"149","ACAv","MH",0.000366160014319086,"CH"
"150","ACAv","CA3",0.00175221330964245,"CH"
"151","ACAv","CENT",0.00221067314846222,"CH"
"152","ACAv","MOp",0.0757589759813956,"CH"
"153","ACAv","ACB",0.177810131072479,"CH"
"154","ACAv","PT",0.0224634979519876,"CH"
"155","ACAv","ZI",0.863562212840681,"CH"
"156","ACAv","RSPd",0.276479952405874,"CH"
"157","ACAv","PO",0.0203161797434879,"CH"
"158","ACAv","CEA",0.0012184719928273,"CH"
"159","ACAv","CA1",0.00181539428785778,"CH"
"160","ACAv","NOD",1.20792361147903e-05,"CH"
"161","ACAv","RSPv",0.191534115224048,"CH"
"162","ACAv","SSp",0.14202912057346,"CH"
"163","ACAv","LP",0.184655197959425,"CH"
"164","ACAv","MOs",0.94785952682729,"CH"
"165","ACAv","AN",0.000919807662166597,"CH"
"166","ACAv","MD",0.395454019659551,"CH"
"167","ACAv","SIM",0.000643179386484211,"CH"
"168","ACAv","SSs",0.0183385203451966,"CH"
"169","ACAv","DG",0.00501829239251747,"CH"
"170","ACAv","VM",0.317184734387116,"CH"
"171","ACAv","LD",0.238425357959657,"CH"
"172","ACAv","PYR",0,"CH"
"173","ACAv","PFL",0.0040843268875603,"CH"
"174","ACAv","BLA",0.00907485501589469,"CH"
"175","ACAv","VAL",0.12953568949491,"CH"
"176","ACAv","VPM",0.00142812836402258,"CH"
"177","ACAv","RN",0.068345683181011,"CH"
"178","ACAv","PVT",0.0224962099057399,"CH"
"179","ACAv","PG",0.126765632050109,"CH"
"180","ACAv","AAA",0.000703915947116645,"CH"
"181","ACAv","VPL",0.0301910933789239,"CH"
"182","ACAv","CP",5.00136600019449,"CH"
"183","ACAv","AV",0.0974871262859466,"CH"
"184","ACAv","CUL",0.000666396726307141,"CH"
"185","ACAv","CEA",0,"CH"
"186","ACAv","SSp",0.0449311479148791,"CH"
"187","ACAv","AI",0.00538124371274897,"CH"
"188","ACAv","ACB",0.0379740278135779,"CH"
"189","ACAv","RPO",0.00563583492888158,"CH"
"190","ACAv","MOp",0.0564761746522359,"CH"
"191","ACAv","PRM",0.000446725587314676,"CH"
"192","ACAv","PG",0.0749932315818675,"CH"
"193","ACAv","CP",4.3726488858458,"CH"
"194","ACAv","PYR",0,"CH"
"195","ACAv","PB",2.16611101245062e-05,"CH"
"196","ACAv","VPL",0.0419418284575853,"CH"
"197","ACAv","PT",0.00292801426931652,"CH"
"198","ACAv","CENT",0.000470638607295085,"CH"
"199","ACAv","AN",0.00126837618666134,"CH"
"200","ACAv","MOs",0.906120707793817,"CH"
"201","ACAv","ACAd",2.38418856155986,"CH"
"202","ACAv","SSs",0.00100708509716051,"CH"
"203","ACAv","SIM",0.000692658304735887,"CH"
"204","ACAv","PFL",0.00142137075786048,"CH"
"205","ACAv","LH",0.0368870625213995,"CH"
"206","ACAv","ZI",0.683737577059278,"CH"
"207","ACAv","MD",0.15959900991868,"CH"
"208","ACAv","VPM",0.00228850583736499,"CH"
"209","ACAv","CUL",0.00163678692383892,"CH"
"210","ACAv","CA3",0.000859574937667787,"CH"
"211","ACAv","PVT",0.00230430936314264,"CH"
"212","ACAv","NOD",0.000202391863366796,"CH"
"213","ACAv","CA1",2.07964711219216e-05,"CH"
"214","ACAv","RN",0.0114606561064127,"CH"
"215","ACAv","LD",0.390741459486942,"CH"
"216","ACAv","DG",0.00268742644404667,"CH"
"217","ACAv","LP",0.223034083162857,"CH"
"218","ACAv","VAL",0.132360339034553,"CH"
"219","ACAv","CLA",0.0317999333959228,"CH"
"220","ACAv","VM",0.171377224105733,"CH"
"221","ACAv","MH",0.000536337368425723,"CH"
"222","ACAv","AM",0.171214516114434,"CH"
"223","ACAv","PO",0.0308903911284276,"CH"
"224","ACAv","BLA",1.58402595484638e-05,"CH"
"225","ACAv","IP",0,"CH"
"226","ACAv","FN",0,"CH"
"227","ACAv","AV",0.107218235466071,"CH"
"228","ACAv","RSPv",0.787090713177311,"CH"
"229","ACAv","RSPd",1.35358772337054,"CH"
"230","ACAv","AAA",0,"CH"
"231","SSp","RSPd",1.51499674803436e-05,"CH"
"232","SSp","DG",0.000240627509686094,"CH"
"233","SSp","MOp",2.18737198652371,"CH"
"234","SSp","VPL",0.0674902313313932,"CH"
"235","SSp","AN",0.00101509661074908,"CH"
"236","SSp","PT",3.40382518339811e-05,"CH"
"237","SSp","CEA",0.0283022186424839,"CH"
"238","SSp","MH",0,"CH"
"239","SSp","PO",0.13899341196071,"CH"
"240","SSp","FN",1.22010402102864e-07,"CH"
"241","SSp","IP",3.64311937506478e-05,"CH"
"242","SSp","ACB",0.00946605084149503,"CH"
"243","SSp","NOD",1.2709510215799e-05,"CH"
"244","SSp","PG",0.0797874732313293,"CH"
"245","SSp","PRM",0.000852744714998755,"CH"
"246","SSp","LP",1.11077552144718e-06,"CH"
"247","SSp","MD",0.016586386780549,"CH"
"248","SSp","AV",0,"CH"
"249","SSp","AI",0.79123937416108,"CH"
"250","SSp","VAL",0.113478406633021,"CH"
"251","SSp","PYR",0,"CH"
"252","SSp","CA1",1.25695358333418e-05,"CH"
"253","SSp","CLA",0.0170200392761943,"CH"
"254","SSp","PFL",0.000249303128996081,"CH"
"255","SSp","PB",0.0215420074326924,"CH"
"256","SSp","VPM",0.288785994689229,"CH"
"257","SSp","PVT",0.000812279418146316,"CH"
"258","SSp","CUL",0.000114090641949276,"CH"
"259","SSp","SSs",1.2171431430737,"CH"
"260","SSp","ACAv",3.89334017852077e-05,"CH"
"261","SSp","LH",5.82740638582198e-06,"CH"
"262","SSp","SIM",0.000266327964254461,"CH"
"263","SSp","AAA",0.000475464781137358,"CH"
"264","SSp","RN",0.00920212309306613,"CH"
"265","SSp","RSPv",6.86963292850996e-05,"CH"
"266","SSp","AM",1.89892495109454e-05,"CH"
"267","SSp","VM",0.0598561853268203,"CH"
"268","SSp","ZI",0.048029059563524,"CH"
"269","SSp","MOs",0.954811780858129,"CH"
"270","SSp","CP",2.96375665763777,"CH"
"271","SSp","RPO",0.000100127851498316,"CH"
"272","SSp","CA3",0.00089075591880151,"CH"
"273","SSp","CENT",5.75428256320155e-05,"CH"
"274","SSp","ACAd",0.00045198244438976,"CH"
"275","SSp","LD",6.04631434753724e-07,"CH"
"276","SSp","BLA",0.00410308132834336,"CH"
"277","SSp","ZI",0.344840575630617,"CH"
"278","SSp","ACB",0.0457768124421993,"CH"
"279","SSp","LP",0.0402858836121345,"CH"
"280","SSp","DG",0.00185074034824298,"CH"
"281","SSp","PT",7.38383231921918e-05,"CH"
"282","SSp","CA1",0.0881157353581386,"CH"
"283","SSp","CP",4.1357774050578,"CH"
"284","SSp","VAL",0.187674476802495,"CH"
"285","SSp","RSPv",0.0251226478678732,"CH"
"286","SSp","VM",0.0873540595675081,"CH"
"287","SSp","VPM",0.717010897952114,"CH"
"288","SSp","VPL",0.207802473626108,"CH"
"289","SSp","AN",0.00474181130611087,"CH"
"290","SSp","FN",8.85559397104949e-05,"CH"
"291","SSp","MD",0.0253097636744099,"CH"
"292","SSp","AI",0.104849092724444,"CH"
"293","SSp","SSs",3.18117722058471,"CH"
"294","SSp","LH",0.00161945436791364,"CH"
"295","SSp","SIM",0.000831643979190557,"CH"
"296","SSp","AM",0.00120988853836865,"CH"
"297","SSp","CUL",0.00136065484833543,"CH"
"298","SSp","LD",0.0133572158148671,"CH"
"299","SSp","MOs",2.5288979990429,"CH"
"300","SSp","CLA",0.0253087478373833,"CH"
"301","SSp","AV",0.00128170461467767,"CH"
"302","SSp","CEA",0.0168715610934021,"CH"
"303","SSp","CENT",0.000826352488388973,"CH"
"304","SSp","IP",0.000542615743130792,"CH"
"305","SSp","MOp",0.89750270301957,"CH"
