"Source";"Target";"Weight"
"Dst";"Xkr4";"0.524"
"Scn1a";"Xkr4";"0.509"
"Snhg11";"Xkr4";"0.527"
"Magi2";"Xkr4";"0.546"
"Ctnna2";"Xkr4";"0.543"
"Ube3a";"Xkr4";"0.507"
"Snhg14";"Xkr4";"0.504"
"Otud7a";"Xkr4";"0.505"
"Fam155a";"Xkr4";"0.589"
"Ube2e2";"Xkr4";"0.516"
"Erc2";"Xkr4";"0.5"
"Nrg3";"Xkr4";"0.522"
"Gria4";"Xkr4";"0.535"
"Rora";"Xkr4";"0.512"
"Pde4d";"Xkr4";"0.512"
"Ralgapa1";"Xkr4";"0.517"
"Mdga2";"Xkr4";"0.501"
"Meg3";"Xkr4";"0.523"
"Fam49b";"Xkr4";"0.503"
"Cadm2";"Xkr4";"0.588"
"Dscam";"Xkr4";"0.554"
"Nrxn1";"Xkr4";"0.633"
"ENSMUSG00000097451";"Xkr4";"0.537"
"B3galt1";"Atp6v1h";"0.509"
"Nlgn1";"Atp6v1h";"0.515"
"Ank2";"Atp6v1h";"0.506"
"Adam22";"Atp6v1h";"0.523"
"Ctnna2";"Atp6v1h";"0.516"
"Nrg3";"Atp6v1h";"0.511"
"Fgf14";"Atp6v1h";"0.502"
"Map1b";"Atp6v1h";"0.515"
"Ankrd12";"Atp6v1h";"0.503"
"Dlgap1";"Atp6v1h";"0.531"
"Ndfip1";"Atp6v1h";"0.502"
"Dner";"Sntg1";"0.535"
"Mgat5";"Sntg1";"0.516"
"Syt2";"Sntg1";"0.511"
"Frmd4a";"Sntg1";"0.531"
"Sptan1";"Sntg1";"0.522"
"Upp2";"Sntg1";"0.527"
"Lrrc4c";"Sntg1";"0.507"
"Ndrg3";"Sntg1";"0.542"
"Snhg11";"Sntg1";"0.54"
"Rtl4";"Sntg1";"0.525"
"Ank2";"Sntg1";"0.632"
"Agbl4";"Sntg1";"0.554"
"Rsrp1";"Sntg1";"0.535"
"Caln1";"Sntg1";"0.54"
"Dync1i1";"Sntg1";"0.533"
"Kcnd2";"Sntg1";"0.525"
"Exoc4";"Sntg1";"0.613"
"Ccser1";"Sntg1";"0.532"
"Ctnna2";"Sntg1";"0.587"
"Snhg14";"Sntg1";"0.522"
"Syne1";"Sntg1";"0.567"
"Fam155a";"Sntg1";"0.564"
"Nrg1";"Sntg1";"0.531"
"Cadps";"Sntg1";"0.517"
"Grid1";"Sntg1";"0.532"
"Nrg3";"Sntg1";"0.597"
"Tsc22d1";"Sntg1";"0.531"
"Pcdh9";"Sntg1";"0.533"
"Mycbp2";"Sntg1";"0.531"
"Fgf14";"Sntg1";"0.539"
"Gria4";"Sntg1";"0.579"
"Ntm";"Sntg1";"0.546"
"Rora";"Sntg1";"0.518"
"Pde4d";"Sntg1";"0.544"
"Myt1l";"Sntg1";"0.521"
"Mdga2";"Sntg1";"0.563"
"Meg3";"Sntg1";"0.593"
"Ctnnd2";"Sntg1";"0.584"
"Samd12";"Sntg1";"0.513"
"Cntn1";"Sntg1";"0.577"
"Slc38a1";"Sntg1";"0.51"
"Rbfox1";"Sntg1";"0.561"
"Grin2a";"Sntg1";"0.52"
"Ttc3";"Sntg1";"0.534"
"Dscam";"Sntg1";"0.543"
"Pde10a";"Sntg1";"0.516"
"Pja2";"Sntg1";"0.545"
"Ankrd12";"Sntg1";"0.502"
"Dlgap1";"Sntg1";"0.502"
"Nrxn1";"Sntg1";"0.587"
"ENSMUSG00000041670";"Sntg1";"0.521"
"Snhg11";"Sgk3";"0.505"
"Zfp599";"Sgk3";"0.509"
"Meg3";"Sgk3";"0.541"
"Malat1";"Sgk3";"0.501"
"Stau2";"A830018L16Rik";"0.504"
"Clasp1";"A830018L16Rik";"0.636"
"Dpp10";"A830018L16Rik";"0.517"
"Mdm4";"A830018L16Rik";"0.592"
"Cop1";"A830018L16Rik";"0.586"
"Mbd5";"A830018L16Rik";"0.516"
"Upp2";"A830018L16Rik";"0.603"
"Ryr3";"A830018L16Rik";"0.618"
"Eif2ak4";"A830018L16Rik";"0.527"
"Sema6d";"A830018L16Rik";"0.562"
"Ndrg3";"A830018L16Rik";"0.6"
"C230004F18Rik";"A830018L16Rik";"0.555"
"Dmd";"A830018L16Rik";"0.608"
"Htr2c";"A830018L16Rik";"0.517"
"Ctps2";"A830018L16Rik";"0.554"
"Nmd3";"A830018L16Rik";"0.544"
"Gria2";"A830018L16Rik";"0.575"
"Ash1l";"A830018L16Rik";"0.514"
"Gatad2b";"A830018L16Rik";"0.518"
"Ank2";"A830018L16Rik";"0.507"
"Rufy3";"A830018L16Rik";"0.57"
"Atxn2";"A830018L16Rik";"0.581"
"Galnt17";"A830018L16Rik";"0.525"
"Kcnd2";"A830018L16Rik";"0.525"
"Rbm28";"A830018L16Rik";"0.6"
"Fam19a1";"A830018L16Rik";"0.531"
"Erc1";"A830018L16Rik";"0.558"
"Fam168a";"A830018L16Rik";"0.555"
"Smg1";"A830018L16Rik";"0.569"
"Syne1";"A830018L16Rik";"0.506"
"Slc35f1";"A830018L16Rik";"0.519"
"Serinc1";"A830018L16Rik";"0.51"
"Usp15";"A830018L16Rik";"0.514"
"Glg1";"A830018L16Rik";"0.564"
"Fam208a";"A830018L16Rik";"0.54"
"Nrg3";"A830018L16Rik";"0.542"
"Dach1";"A830018L16Rik";"0.564"
"Nudcd3";"A830018L16Rik";"0.572"
"Acaca";"A830018L16Rik";"0.59"
"C130071C03Rik";"A830018L16Rik";"0.506"
"Nova1";"A830018L16Rik";"0.594"
"Akap6";"A830018L16Rik";"0.505"
"Oxct1";"A830018L16Rik";"0.573"
"Cdh10";"A830018L16Rik";"0.537"
"Ctnnd2";"A830018L16Rik";"0.532"
"Cntn1";"A830018L16Rik";"0.675"
"Ttc3";"A830018L16Rik";"0.549"
"Pde10a";"A830018L16Rik";"0.565"
"Fer";"A830018L16Rik";"0.505"
"Pja2";"A830018L16Rik";"0.514"
"Ankrd12";"A830018L16Rik";"0.514"
"Slc8a1";"A830018L16Rik";"0.541"
"Impact";"A830018L16Rik";"0.583"
"Mapre2";"A830018L16Rik";"0.72"
"Wdr7";"A830018L16Rik";"0.707"
"Tcf4";"A830018L16Rik";"0.505"
"ENSMUSG00000005506";"A830018L16Rik";"0.548"
"Dst";"Stau2";"0.502"
"Stau2";"Clasp1";"0.584"
"Stau2";"Nav1";"0.521"
"Stau2";"Fmn2";"0.547"
"Frmd4a";"Stau2";"0.512"
"Sptan1";"Stau2";"0.568"
"Stau2";"Mbd5";"0.519"
"Upp2";"Stau2";"0.582"
"Scn1a";"Stau2";"0.507"
"B3galt1";"Stau2";"0.501"
"Lrrc4c";"Stau2";"0.505"
"Stau2";"Ryr3";"0.532"
"Stau2";"Frmd5";"0.645"
"Stau2";"Trpm7";"0.539"
"Stau2";"Snph";"0.586"
"Stau2";"Rbm39";"0.504"
"Ndrg3";"Stau2";"0.5"
"Snhg11";"Stau2";"0.542"
"Stau2";"Chd6";"0.53"
"Stau2";"C230004F18Rik";"0.502"
"Stau2";"Nmd3";"0.509"
"Stau2";"Gria2";"0.56"
"Ank2";"Stau2";"0.596"
"Agbl4";"Stau2";"0.583"
"Stau2";"Camta1";"0.528"
"Stau2";"Pclo";"0.525"
"Stau2";"Kmt2c";"0.503"
"Stau2";"Fry";"0.523"
"Kcnd2";"Stau2";"0.537"
"Stau2";"Atp2b2";"0.507"
"Ube3a";"Stau2";"0.531"
"Stau2";"Snrpn";"0.506"
"Otud7a";"Stau2";"0.527"
"Syne1";"Stau2";"0.588"
"Stau2";"Syn3";"0.553"
"Stau2";"Ppp1r12a";"0.503"
"Stau2";"Usp15";"0.501"
"Stau2";"Kcnma1";"0.522"
"Stau2";"Fam208a";"0.535"
"Nrg3";"Stau2";"0.623"
"Pcdh9";"Stau2";"0.503"
"Mycbp2";"Stau2";"0.618"
"Fgf14";"Stau2";"0.513"
"Stau2";"Opcml";"0.545"
"Ntm";"Stau2";"0.551"
"Stau2";"Grik4";"0.541"
"Stau2";"Cep70";"0.577"
"Stau2";"Dock3";"0.525"
"Stau2";"Ehbp1";"0.512"
"Stau2";"Gabra1";"0.538"
"Stau2";"Acaca";"0.519"
"Stau2";"Prkar1a";"0.575"
"Stau2";"Dip2c";"0.52"
"Pde4d";"Stau2";"0.545"
"Stau2";"Hdac9";"0.5"
"Mdga2";"Stau2";"0.571"
"Stau2";"Ddx24";"0.548"
"Meg3";"Stau2";"0.592"
"Stau2";"Oxct1";"0.521"
"Ctnnd2";"Stau2";"0.592"
"Cntn1";"Stau2";"0.505"
"Ttc3";"Stau2";"0.577"
"Dscam";"Stau2";"0.531"
"Stau2";"Lrpprc";"0.528"
"Stau2";"Wdr7";"0.543"
"Stau2";"Ldlrad4";"0.55"
"Stau2";"Tcf4";"0.551"
"Stau2";"ENSMUSG00000102657";"0.51"
"Atp1b1";"Lmbrd1";"0.526"
"Cplx1";"Lmbrd1";"0.505"
"Msra";"Lmbrd1";"0.553"
"Lrrc4c";"Adgrb3";"0.569"
"Snhg11";"Adgrb3";"0.56"
"Chd6";"Adgrb3";"0.504"
"Nbea";"Adgrb3";"0.553"
"Gria2";"Adgrb3";"0.536"
"Ank2";"Adgrb3";"0.522"
"Lingo2";"Adgrb3";"0.522"
"Agbl4";"Adgrb3";"0.527"
"Magi2";"Adgrb3";"0.521"
"Ccser1";"Adgrb3";"0.558"
"Grid2";"Adgrb3";"0.576"
"Ube3a";"Adgrb3";"0.619"
"Dlg2";"Adgrb3";"0.643"
"Anks1b";"Adgrb3";"0.514"
"Nrg1";"Adgrb3";"0.508"
"Cntnap4";"Adgrb3";"0.538"
"Cadps";"Adgrb3";"0.537"
"Nrg3";"Adgrb3";"0.5"
"Pcdh9";"Adgrb3";"0.59"
"Mycbp2";"Adgrb3";"0.578"
"Fgf14";"Adgrb3";"0.657"
"Opcml";"Adgrb3";"0.548"
"Ntm";"Adgrb3";"0.58"
"Rora";"Adgrb3";"0.517"
"Spock1";"Adgrb3";"0.562"
"Pde4d";"Adgrb3";"0.509"
"Mdga2";"Adgrb3";"0.601"
"Nrxn3";"Adgrb3";"0.504"
"Ctnnd2";"Adgrb3";"0.511"
"Csmd3";"Adgrb3";"0.662"
"Nrxn1";"Adgrb3";"0.556"
"Ank3";"Khdrbs2";"0.506"
"Dst";"Gls";"0.55"
"Dst";"Hecw2";"0.533"
"Dst";"Dner";"0.546"
"Dst";"Agap1";"0.516"
"Dst";"R3hdm1";"0.517"
"Dst";"Nfasc";"0.525"
"Dst";"Syt2";"0.524"
"Dst";"Nav1";"0.594"
"Dst";"Esrrg";"0.676"
"Dst";"A330023F24Rik";"0.545"
"Dst";"Frmd4a";"0.569"
"Dst";"Nebl";"0.597"
"Dst";"Sptan1";"0.616"
"Dst";"Strbp";"0.569"
"Dst";"Mbd5";"0.507"
"Dst";"Scn1a";"0.5"
"Dst";"B3galt1";"0.551"
"Dst";"Ubr3";"0.54"
"Dst";"Lrrc4c";"0.545"
"Dst";"Stard9";"0.512"
"Dst";"Frmd5";"0.61"
"Dst";"Trpm7";"0.551"
"Dst";"4930402H24Rik";"0.514"
"Dst";"Snap25";"0.537"
"Dst";"Snhg11";"0.634"
"Dst";"Chd6";"0.514"
"Dst";"Il1rapl1";"0.551"
"Dst";"5330434G04Rik";"0.569"
"Dst";"Rtl4";"0.597"
"Dst";"Nlgn1";"0.511"
"Dst";"Nbea";"0.538"
"Dst";"Pde4dip";"0.538"
"Dst";"Ank2";"0.702"
"Dst";"Zranb2";"0.529"
"Dst";"Lingo2";"0.642"
"Dst";"Sh3gl2";"0.53"
"Dst";"Sgip1";"0.569"
"Dst";"Agbl4";"0.591"
"Dst";"Macf1";"0.543"
"Dst";"Camta1";"0.667"
"Dst";"Adam22";"0.556"
"Dst";"Magi2";"0.718"
"Dst";"Lhfpl3";"0.629"
"Dst";"Cit";"0.536"
"Dst";"Galnt17";"0.508"
"Dst";"Dync1i1";"0.624"
"Dst";"Ica1";"0.53"
"Dst";"Tmem178b";"0.632"
"Dst";"Ccser1";"0.571"
"Dst";"Ctnna2";"0.636"
"Dst";"Atp2b2";"0.564"
"Dst";"Bicd1";"0.652"
"Dst";"Nav2";"0.518"
"Dst";"Ube3a";"0.644"
"Dst";"Snhg14";"0.551"
"Dst";"A230006K03Rik";"0.508"
"Dst";"Otud7a";"0.558"
"Dst";"Dlg2";"0.629"
"Dst";"Tenm4";"0.544"
"Dst";"Aig1";"0.504"
"Dst";"Anks1b";"0.527"
"Dst";"Rmst";"0.552"
"Dst";"Syt1";"0.514"
"Dst";"Fam155a";"0.674"
"Dst";"Myo16";"0.527"
"Dst";"Eps15l1";"0.53"
"Dst";"Cadps";"0.62"
"Dst";"Ube2e2";"0.578"
"Dst";"Kcnma1";"0.626"
"Dst";"Nrg3";"0.638"
"Dst";"Atp8a2";"0.584"
"Dst";"Mir124a-1hg";"0.53"
"Dst";"Dpysl2";"0.525"
"Dst";"Pcdh9";"0.678"
"Dst";"Mycbp2";"0.568"
"Dst";"Rbm26";"0.502"
"Dst";"Gpc6";"0.52"
"Dst";"Fgf14";"0.577"
"Dst";"Gria4";"0.571"
"Dst";"Ntm";"0.547"
"Dst";"Sik3";"0.576"
"Dst";"Snap91";"0.55"
"Dst";"Tmem108";"0.502"
"Dst";"Ehbp1";"0.533"
"Dst";"Ccdc88a";"0.502"
"Dst";"Eml6";"0.512"
"Dst";"Tenm2";"0.569"
"Dst";"Specc1";"0.54"
"Dst";"Vmp1";"0.541"
"Dst";"Msi2";"0.61"
"Dst";"Nsf";"0.553"
"Dst";"Tanc2";"0.575"
"Dst";"Ryr2";"0.508"
"Dst";"Amph";"0.525"
"Dst";"A330102I10Rik";"0.527"
"Dst";"Atxn1";"0.533"
"Dst";"Spock1";"0.53"
"Dst";"Map1b";"0.589"
"Dst";"Srek1";"0.508"
"Dst";"Pde4d";"0.653"
"Dst";"Hdac9";"0.52"
