"Source";"Target";"Weight"
"Dst";"Xkr4";"0.525"
"Scn1a";"Xkr4";"0.51"
"Snhg11";"Xkr4";"0.524"
"Magi2";"Xkr4";"0.54"
"Ctnna2";"Xkr4";"0.548"
"Ube3a";"Xkr4";"0.505"
"Fam155a";"Xkr4";"0.591"
"Ube2e2";"Xkr4";"0.505"
"Nrg3";"Xkr4";"0.524"
"Pcdh9";"Xkr4";"0.502"
"Gria4";"Xkr4";"0.526"
"Snap91";"Xkr4";"0.5"
"Pde4d";"Xkr4";"0.513"
"Meg3";"Xkr4";"0.524"
"Cadm2";"Xkr4";"0.577"
"Dscam";"Xkr4";"0.547"
"Nrxn1";"Xkr4";"0.635"
"ENSMUSG00000097451";"Xkr4";"0.535"
"Nlgn1";"Atp6v1h";"0.51"
"Ank2";"Atp6v1h";"0.5"
"Adam22";"Atp6v1h";"0.52"
"Ctnna2";"Atp6v1h";"0.511"
"Nrg3";"Atp6v1h";"0.505"
"Map1b";"Atp6v1h";"0.507"
"Dlgap1";"Atp6v1h";"0.525"
"Dner";"Sntg1";"0.529"
"Mgat5";"Sntg1";"0.507"
"Syt2";"Sntg1";"0.504"
"Frmd4a";"Sntg1";"0.533"
"Sptan1";"Sntg1";"0.516"
"Upp2";"Sntg1";"0.525"
"Ndrg3";"Sntg1";"0.537"
"Snhg11";"Sntg1";"0.546"
"Rtl4";"Sntg1";"0.522"
"Ank2";"Sntg1";"0.628"
"Agbl4";"Sntg1";"0.556"
"Rsrp1";"Sntg1";"0.529"
"Caln1";"Sntg1";"0.533"
"Dync1i1";"Sntg1";"0.52"
"Kcnd2";"Sntg1";"0.516"
"Exoc4";"Sntg1";"0.609"
"Ccser1";"Sntg1";"0.535"
"Ctnna2";"Sntg1";"0.583"
"Snhg14";"Sntg1";"0.516"
"Syne1";"Sntg1";"0.563"
"Fam155a";"Sntg1";"0.559"
"Nrg1";"Sntg1";"0.524"
"Cadps";"Sntg1";"0.514"
"Grid1";"Sntg1";"0.526"
"Nrg3";"Sntg1";"0.601"
"Tsc22d1";"Sntg1";"0.528"
"Pcdh9";"Sntg1";"0.527"
"Mycbp2";"Sntg1";"0.527"
"Fgf14";"Sntg1";"0.541"
"Gria4";"Sntg1";"0.573"
"Ntm";"Sntg1";"0.545"
"Rora";"Sntg1";"0.509"
"Pde4d";"Sntg1";"0.536"
"Myt1l";"Sntg1";"0.515"
"Mdga2";"Sntg1";"0.548"
"Meg3";"Sntg1";"0.594"
"Ctnnd2";"Sntg1";"0.526"
"Samd12";"Sntg1";"0.508"
"Cntn1";"Sntg1";"0.576"
"Slc38a1";"Sntg1";"0.51"
"Rbfox1";"Sntg1";"0.553"
"Grin2a";"Sntg1";"0.509"
"Ttc3";"Sntg1";"0.526"
"Dscam";"Sntg1";"0.54"
"Pde10a";"Sntg1";"0.508"
"Pja2";"Sntg1";"0.542"
"Ankrd12";"Sntg1";"0.507"
"Nrxn1";"Sntg1";"0.592"
"ENSMUSG00000041670";"Sntg1";"0.52"
"Zfp599";"Sgk3";"0.502"
"Meg3";"Sgk3";"0.523"
"Clasp1";"A830018L16Rik";"0.622"
"Dpp10";"A830018L16Rik";"0.523"
"Mdm4";"A830018L16Rik";"0.56"
"Upp2";"A830018L16Rik";"0.596"
"Ryr3";"A830018L16Rik";"0.62"
"Eif2ak4";"A830018L16Rik";"0.516"
"Sema6d";"A830018L16Rik";"0.545"
"Ndrg3";"A830018L16Rik";"0.598"
"C230004F18Rik";"A830018L16Rik";"0.552"
"Dmd";"A830018L16Rik";"0.603"
"Ctps2";"A830018L16Rik";"0.519"
"Gria2";"A830018L16Rik";"0.557"
"Ash1l";"A830018L16Rik";"0.504"
"Gatad2b";"A830018L16Rik";"0.507"
"Ank2";"A830018L16Rik";"0.502"
"Rufy3";"A830018L16Rik";"0.567"
"Kcnd2";"A830018L16Rik";"0.507"
"Rbm28";"A830018L16Rik";"0.595"
"Erc1";"A830018L16Rik";"0.549"
"Fam168a";"A830018L16Rik";"0.544"
"Smg1";"A830018L16Rik";"0.55"
"Syne1";"A830018L16Rik";"0.504"
"Slc35f1";"A830018L16Rik";"0.523"
"Serinc1";"A830018L16Rik";"0.504"
"Glg1";"A830018L16Rik";"0.522"
"Fam208a";"A830018L16Rik";"0.536"
"Nrg3";"A830018L16Rik";"0.534"
"Dach1";"A830018L16Rik";"0.562"
"Acaca";"A830018L16Rik";"0.59"
"Nova1";"A830018L16Rik";"0.579"
"Oxct1";"A830018L16Rik";"0.552"
"Cdh10";"A830018L16Rik";"0.532"
"Cntn1";"A830018L16Rik";"0.672"
"Ttc3";"A830018L16Rik";"0.538"
"Pde10a";"A830018L16Rik";"0.543"
"Pja2";"A830018L16Rik";"0.501"
"Slc8a1";"A830018L16Rik";"0.536"
"Impact";"A830018L16Rik";"0.573"
"Mapre2";"A830018L16Rik";"0.716"
"Wdr7";"A830018L16Rik";"0.704"
"ENSMUSG00000005506";"A830018L16Rik";"0.54"
"Clasp1";"Stau2";"0.55"
"Nav1";"Stau2";"0.519"
"Fmn2";"Stau2";"0.523"
"Sptan1";"Stau2";"0.542"
"Upp2";"Stau2";"0.547"
"Ryr3";"Stau2";"0.5"
"Frmd5";"Stau2";"0.608"
"Trpm7";"Stau2";"0.503"
"Snph";"Stau2";"0.524"
"Rbm39";"Stau2";"0.502"
"Snhg11";"Stau2";"0.522"
"Gria2";"Stau2";"0.55"
"Ank2";"Stau2";"0.555"
"Agbl4";"Stau2";"0.557"
"Atxn2";"Stau2";"0.501"
"Kcnd2";"Stau2";"0.526"
"Ube3a";"Stau2";"0.514"
"Syne1";"Stau2";"0.556"
"Syn3";"Stau2";"0.539"
"Usp15";"Stau2";"0.516"
"Kcnma1";"Stau2";"0.513"
"Fam208a";"Stau2";"0.514"
"Nrg3";"Stau2";"0.595"
"Mycbp2";"Stau2";"0.585"
"Opcml";"Stau2";"0.536"
"Ntm";"Stau2";"0.538"
"Csnk1g1";"Stau2";"0.52"
"Cep70";"Stau2";"0.537"
"Prkar1a";"Stau2";"0.544"
"Pde4d";"Stau2";"0.505"
"Mdga2";"Stau2";"0.56"
"Ddx24";"Stau2";"0.51"
"Meg3";"Stau2";"0.563"
"Ctnnd2";"Stau2";"0.63"
"Ttc3";"Stau2";"0.562"
